訓練日期,20160804 - 20161103
測試日期,20161104 - 20170208
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12766642.899999998509884
真實報酬,234999.000000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,105.753416493511907 x^2 + 10232.514039563993720 x + 10000000.000000000000000
二次平均預期報酬,24086.211600214053760
風險,241435.581974483531667
二次平均趨勢值,0.099762476612746
一次趨勢線,20582.977734302541649 x + 10000000.000000000000000
一次預期報酬,20582.977734302541649
一次風險,314622.691263207059819
一次趨勢值,0.065421148270209
投資組合檔數,5
Stock#,AAPL[0](2),BA[2](3),GS[8](4),INTC[11](12),JPM[13](6)
張數,18905,15166,12631,58394,30931,
分配資金,2000000,2000000,2000000,2000000,2000000,
剩餘資金,40.049999999813735,59.579999999841675,7.459999999962747,5.500000000000000,1.540000000037253,
20160804,2001512.399999999906868,1989990.439999999944121,1996337.010000000009313,2019270.019999999785796,1996906.900000000139698,10004016.769999999552965
20160805,2031949.449999999953434,1997876.759999999776483,2047366.250000000000000,2042627.619999999878928,2050726.839999999850988,10170546.919999999925494
20160808,2048774.899999999906868,2004853.119999999878928,2056713.190000000176951,2046131.260000000009313,2044540.639999999897555,10201013.109999999403954
20160809,2057093.099999999860302,2011374.500000000000000,2064418.099999999860302,2039123.980000000214204,2037426.510000000242144,10209436.189999999478459
20160810,2041780.049999999813735,2006218.059999999823049,2048629.349999999860302,2016350.320000000065193,2019177.219999999972060,10132155.000000000000000
20160811,2040456.699999999953434,2017137.579999999841675,2069723.120000000111759,2025109.419999999925494,2024744.799999999813735,10177171.620000001043081
20160812,2045182.949999999953434,2018654.179999999701977,2062018.209999999962747,2018686.080000000074506,2020414.459999999729916,10164955.879999998956919
20160815,2069759.449999999953434,2042313.139999999897555,2091069.510000000009313,2038540.039999999804422,2032786.860000000102445,10274469.000000000000000
20160816,2067868.949999999720603,2047469.579999999841675,2092332.610000000102445,2056058.239999999990687,2032477.549999999813735,10296206.929999999701977
20160817,2064844.149999999906868,2043223.099999999860302,2092585.229999999748543,2044963.380000000121072,2038045.130000000121072,10283660.990000000223517
20160818,2062197.449999999720603,2047469.579999999841675,2097511.319999999832362,2042043.679999999934807,2039900.990000000223517,10289123.019999999552965
20160819,2067490.849999999860302,2038976.619999999878928,2099658.589999999850988,2057810.060000000055879,2037117.199999999953434,10301053.319999998435378
20160822,2051421.599999999860302,2047317.919999999925494,2100037.520000000018626,2064817.339999999850988,2035261.339999999850988,10298855.719999998807907
20160823,2057849.299999999813735,2034426.819999999599531,2097763.939999999944121,2067153.099999999860302,2034333.409999999916181,10291526.569999998435378
20160824,2042347.199999999720603,2021535.719999999739230,2087911.760000000009313,2052554.599999999860302,2039900.990000000223517,10244250.269999999552965
20160825,2033650.899999999674037,2016834.259999999776483,2095490.360000000102445,2049050.960000000195578,2043612.709999999729916,10238639.189999999478459
20160826,2021740.749999999767169,2005459.759999999776483,2096374.530000000027940,2058977.939999999944121,2048252.360000000102445,10230805.339999999850988
20160829,2019472.149999999674037,2015620.979999999981374,2107742.430000000167638,2075912.199999999720603,2070831.990000000223517,10289579.750000000000000
20160830,2003970.049999999813735,1983924.039999999804422,2139319.930000000167638,2084671.300000000279397,2087844.040000000037253,10299729.359999999403954
20160831,2005860.549999999813735,1963298.279999999562278,2140456.720000000204891,2095766.160000000149012,2087844.040000000037253,10293225.750000000000000
20160901,2017770.699999999953434,1970122.979999999981374,2128457.270000000018626,2103357.380000000353903,2078874.049999999813735,10298582.379999998956919
20160902,2036675.699999999953434,1989232.139999999897555,2136920.040000000037253,2106861.020000000018626,2087534.729999999981374,10357223.630000000819564
20160906,2036108.549999999813735,2016985.919999999925494,2138814.689999999944121,2135474.080000000074506,2085988.179999999934807,10413371.419999999925494
20160907,2048585.849999999860302,2011677.819999999599531,2143109.229999999981374,2129050.740000000223517,2077327.500000000000000,10409751.140000000596046
20160908,1994895.649999999674037,2015620.979999999981374,2168244.919999999925494,2127882.859999999869615,2080111.290000000037253,10386755.699999999254942
20160909,1949712.699999999720603,1949345.559999999823049,2129215.129999999888241,2069488.859999999869615,2061552.690000000176951,10159314.939999999478459
20160912,1993383.249999999767169,1973459.500000000000000,2160666.319999999832362,2106861.020000000018626,2074234.400000000139698,10308604.490000000223517
