訓練日期,20150211 - 20150514
測試日期,20150515 - 20150708
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10876198.800000000745058
真實報酬,-592959.550000000745058


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-89.584510140602362 x^2 + 18225.340823391143203 x + 10000000.000000000000000
二次平均預期報酬,8998.136278909099929
風險,101699.412220958678517
二次平均趨勢值,0.088477760907400
一次趨勢線,11338.695480436261278 x + 10000000.000000000000000
一次預期報酬,11338.695480436261278
一次風險,146519.614971374714514
一次趨勢值,0.077386877399668
投資組合檔數,5
Stock#,CAT[3](27),DIS[6](11),IBM[10](24),NKE[19](1),WBA[27](5)
張數,23837,19623,12613,43122,26079,
分配資金,2000000,2000000,2000000,2000000,2000000,
剩餘資金,75.699999999953434,23.839999999850988,82.719999999972060,1.639999999897555,1.489999999990687,
20150211,1988319.869999999878928,1999018.849999999860302,1995459.319999999832362,1968952.159999999683350,2074064.360000000102445,10025814.559999998658895
20150212,1991180.310000000055879,2032574.179999999701977,1999495.480000000214204,1983613.639999999897555,2085278.329999999841675,10092141.939999999478459
20150213,2029319.509999999776483,2044151.750000000000000,2023207.920000000158325,1984476.080000000074506,2053201.160000000149012,10134356.419999999925494
20150217,2035278.759999999776483,2043170.599999999860302,2030271.200000000186265,1980595.099999999860302,2034163.489999999990687,10123479.149999998509884
20150218,2021453.299999999813735,2038068.619999999878928,2045785.189999999944121,2018542.459999999962747,2028686.900000000139698,10152536.469999998807907
20150219,1985697.799999999813735,2038657.309999999823049,2067227.289999999804422,2020267.339999999850988,2010692.389999999897555,10122542.129999998956919
20150220,2012871.979999999981374,2051608.489999999757856,2064200.170000000158325,2047002.979999999748543,2011474.759999999776483,10187158.379999998956919
20150223,1990226.829999999841675,2060242.609999999636784,2054866.549999999813735,2048727.859999999869615,2049550.100000000093132,10203613.949999999254942
20150224,2014302.199999999953434,2053963.250000000000000,2079083.510000000242144,2057352.260000000009313,2096492.300000000046566,10301193.520000001415610
20150225,2029796.250000000000000,2071623.949999999720603,2053605.250000000000000,2087537.659999999683350,2086582.280000000027940,10329145.389999998733401
20150226,1997616.299999999813735,2051804.719999999972060,2029136.030000000027940,2091418.639999999897555,2129351.839999999850988,10299327.529999999329448
20150227,1976163.000000000000000,2042385.679999999701977,2042631.939999999944121,2094005.959999999962747,2166644.809999999590218,10321831.389999998733401
20150302,1978546.699999999953434,2077903.309999999823049,2024216.959999999729916,2129366.000000000000000,2180727.469999999739230,10390760.439999999478459
20150303,1974732.780000000027940,2086929.889999999664724,2031154.110000000102445,2112548.419999999925494,2170035.080000000074506,10375400.280000001192093
20150304,1948273.709999999962747,2071623.949999999720603,2010847.179999999701977,2102630.359999999403954,2165080.070000000298023,10298455.269999999552965
20150305,1943029.570000000065193,2061027.529999999795109,2033046.060000000055879,2122897.700000000186265,2169774.290000000037253,10329775.150000000372529
20150306,1908465.919999999925494,2037283.699999999720603,1999243.219999999972060,2089693.760000000009313,2147607.139999999664724,10182293.739999998360872
20150309,1926343.669999999925494,2065540.820000000065193,2027874.730000000214204,2100905.479999999515712,2177597.990000000223517,10298262.690000001341105
20150310,1904890.369999999878928,2022958.909999999916181,1990540.250000000000000,2081069.359999999869615,2157256.370000000111759,10156715.259999997913837
20150311,1899884.600000000093132,2019034.309999999823049,1977801.120000000111759,2055627.379999999888241,2151779.780000000260770,10104127.190000001341105
20150312,1911564.729999999981374,2103020.750000000000000,1992684.459999999729916,2092281.080000000074506,2197157.240000000223517,10296708.259999999776483
20150313,1888681.209999999962747,2088695.959999999729916,1946016.360000000102445,2065976.659999999683350,2183335.370000000111759,10172705.559999998658895
20150316,1906320.589999999850988,2106945.350000000093132,1981332.760000000242144,2079344.479999999748543,2262876.320000000298023,10336819.500000000000000
20150317,1870088.350000000093132,2098899.919999999925494,1979819.200000000186265,2081500.580000000074506,2249576.030000000260770,10279884.080000001937151
20150318,1938738.909999999916181,2118719.149999999906868,2015766.250000000000000,2102630.359999999403954,2273568.709999999962747,10449423.379999998956919
20150319,1909181.030000000027940,2106945.350000000093132,2015766.250000000000000,2119879.160000000149012,2278262.929999999701977,10430034.719999998807907
20150320,1935401.729999999981374,2127745.729999999981374,2054488.159999999916181,2198792.419999999925494,2300951.660000000149012,10617379.699999999254942
20150323,1933018.030000000027940,2123624.899999999906868,2076560.909999999916181,2187580.700000000186265,2292867.169999999925494,10613651.710000000894070
20150324,1918477.459999999962747,2101843.369999999646097,2056001.719999999972060,2170331.899999999441206,2294953.490000000223517,10541607.939999999478459
20150325,1903698.520000000018626,2060438.839999999850988,2008072.319999999832362,2134540.639999999664724,2239666.009999999776483,10346416.329999998211861
20150326,1904175.259999999776483,2065148.359999999636784,2025604.390000000130385,2141871.379999999888241,2202112.250000000000000,10338911.640000000596046
