訓練日期,20180105 - 20180410
測試日期,20180411 - 20180712
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11989164.140000000596046
真實報酬,-778382.449999999254942


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-42.339230792192289 x^2 + 20823.884720209563966 x + 10000000.000000000000000
二次平均預期報酬,15277.445486432374310
風險,265002.763580776692834
二次平均趨勢值,0.057650136474051
一次趨勢線,16679.993338651875092 x + 10000000.000000000000000
一次預期報酬,16679.993338651875092
一次風險,277037.063110799528658
一次趨勢值,0.060208526438142
投資組合檔數,2
Stock#,INTC[11](23),NKE[19](3)
張數,112536,78814,
分配資金,5000000,5000000,
剩餘資金,25.520000000484288,39.839999999850988,
20180105,5034886.160000001080334,5042559.559999999590218,10077445.720000000670552
20180108,5034886.160000001080334,5087483.540000000037253,10122369.700000001117587
20180109,4908845.839999999850988,5051229.100000000558794,9960074.940000001341105
20180110,4782805.520000000484288,5061474.919999999925494,9844280.440000001341105
20180111,4885213.280000000260770,5066991.900000000372529,9952205.179999999701977
20180112,4866082.160000001080334,5096941.219999999739230,9963023.380000000819564
20180116,4854828.560000000521541,4998423.719999999739230,9853252.280000001192093
20180117,4995498.560000000521541,5029161.179999999701977,10024659.740000000223517
20180118,5005626.799999999813735,5052805.379999999888241,10058432.179999999701977
20180119,5043889.040000000968575,5297128.779999999329448,10341017.820000000298023
20180122,5148547.520000000484288,5232501.299999999813735,10381048.820000000298023
20180123,5183433.680000000633299,5291611.799999999813735,10475045.480000000447035
20180124,5121538.879999999888241,5359391.839999999850988,10480930.719999998807907
20180125,5097906.320000000298023,5336535.779999999329448,10434442.099999999627471
20180126,5635828.400000000372529,5362544.400000000372529,10998372.800000000745058
20180129,5624574.799999999813735,5326289.959999999962747,10950864.759999999776483
20180130,5490656.959999999962747,5306586.459999999962747,10797243.419999999925494
20180131,5417508.560000000521541,5376730.919999999925494,10794239.480000000447035
20180201,5362365.919999999925494,5331806.940000000409782,10694172.859999999403954
20180202,5193561.919999999925494,5297916.919999999925494,10491478.839999999850988
20180205,5010128.240000001154840,5074873.299999999813735,10085001.540000000968575
20180206,5054017.280000000260770,5140288.919999999925494,10194306.199999999254942
20180207,5086652.720000000670552,5172602.659999999217689,10259255.379999998956919
20180208,4810939.520000000484288,4925126.700000000186265,9736066.220000000670552
20180209,4945982.720000000670552,5161568.699999999254942,10107551.419999999925494
20180212,5045014.400000000372529,5200187.560000000521541,10245201.960000000894070
20180213,5003376.080000001005828,5191518.020000000484288,10194894.100000001490116
20180214,5106909.200000001117587,5356239.279999999329448,10463148.480000000447035
20180215,5167678.640000000596046,5382247.900000000372529,10549926.540000000968575
20180216,5127165.680000000633299,5383036.040000000037253,10510201.720000000670552
20180220,5212693.040000000968575,5319196.699999999254942,10531889.740000000223517
20180221,5169929.360000000335276,5284518.540000000037253,10454447.900000000372529
20180222,5154174.320000000298023,5290823.659999999217689,10444997.980000000447035
20180223,5371368.799999999813735,5372002.079999999143183,10743370.879999998956919
20180226,5526668.480000000447035,5489434.940000000409782,11016103.420000001788139
20180227,5616697.280000000260770,5361756.259999999776483,10978453.539999999105930
20180228,5546924.959999999962747,5282942.259999999776483,10829867.219999998807907
20180301,5383747.760000000707805,5226984.319999999366701,10610732.080000000074506
20180302,5512038.799999999813735,5193094.299999999813735,10705133.099999999627471
20180305,5598691.520000000484288,5126890.540000000037253,10725582.060000000521541
