訓練日期,20180803 - 20181102
測試日期,20181105 - 20181226
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10649721.320000000298023
真實報酬,399074.599999999627471


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-154.190730371509119 x^2 + 30591.156799466349185 x + 10000000.000000000000000
二次平均預期報酬,15017.893031943927781
風險,300642.085894471732900
二次平均趨勢值,0.049952730294771
一次趨勢線,18969.318166986860888 x + 10000000.000000000000000
一次預期報酬,18969.318166986860888
一次風險,347632.398412019538227
一次趨勢值,0.054567175711005
投資組合檔數,3
Stock#,MCD[15](16),PFE[20](21),WBA[27](30)
張數,21448,84068,49766,
分配資金,3333333,3333333,3333333,
剩餘資金,99.320000000298023,36.800000000279397,6.319999999832362,
20180803,3350491.400000000372529,3408153.520000000018626,3345276.839999999850988,10103922.759999999776483
20180806,3361429.880000000353903,3450187.520000000018626,3355230.040000000037253,10166848.440000001341105
20180807,3346845.240000000223517,3433373.920000000391155,3336816.619999999646097,10117036.779999999329448
20180808,3408615.479999999981374,3481292.680000000167638,3308947.659999999683350,10198856.820000000298023
20180809,3416765.720000000670552,3446824.800000000279397,3293022.540000000037253,10156614.060000002384186
20180810,3403467.960000000428408,3440940.040000000037253,3308947.659999999683350,10153356.660000000149012
20180813,3391886.040000000037253,3430851.880000000353903,3308450.000000000000000,10131188.919999999925494
20180814,3444648.120000000111759,3422445.080000000540167,3416939.879999999888241,10284034.080000001937151
20180815,3429205.560000000055879,3460275.680000000167638,3420423.500000000000000,10309905.740000000223517
20180816,3468884.359999999869615,3482133.360000000335276,3464715.240000000223517,10415733.960000000894070
20180817,3456444.520000000484288,3538458.920000000391155,3483128.659999999683350,10478033.100000001490116
20180820,3467811.960000000428408,3558635.240000000223517,3483128.659999999683350,10509576.860000001266599
20180821,3454085.240000000223517,3544343.680000000167638,3496067.819999999832362,10494497.740000000223517
20180822,3443575.720000000670552,3536777.560000000521541,3465710.560000000055879,10446064.840000001713634
20180823,3411403.720000000670552,3547706.400000000372529,3447794.799999999813735,10406905.920000001788139
20180824,3418481.560000000055879,3564520.000000000000000,3444311.179999999701977,10427313.740000000223517
20180827,3442074.359999999869615,3495584.240000000223517,3455757.359999999869615,10393416.959999999031425
20180828,3466954.040000000037253,3488858.800000000279397,3447794.799999999813735,10403608.640000000596046
20180829,3498482.600000000558794,3488858.800000000279397,3416939.879999999888241,10404282.280000001192093
20180830,3491833.720000000670552,3488858.800000000279397,3374141.119999999646097,10354834.640000000596046
20180831,3479608.359999999869615,3490540.160000000614673,3411963.279999999795109,10382112.800000000745058
20180904,3468669.880000000353903,3477929.959999999962747,3365183.240000000223517,10311784.080000000074506
20180905,3501270.840000000316650,3518282.600000000558794,3396038.159999999683350,10415592.600000001490116
20180906,3511994.840000000316650,3512397.840000000316650,3385587.299999999813735,10409980.980000000447035
20180907,3515426.520000000484288,3547706.400000000372529,3393549.859999999869615,10456683.780000001192093
20180910,3540520.680000000167638,3535936.880000000353903,3423907.119999999646097,10500365.679999999701977
20180911,3530869.080000000540167,3556953.880000000353903,3420921.159999999683350,10508745.120000001043081
20180912,3533442.840000000316650,3565360.680000000167638,3502537.399999999441206,10601341.919999999925494
20180913,3483254.520000000484288,3602350.600000000558794,3507514.000000000000000,10593120.120000001043081
20180914,3449795.640000000596046,3611598.080000000540167,3497560.799999999813735,10558955.519999999552965
20180917,3391886.040000000037253,3615801.479999999981374,3506021.020000000018626,10513709.539999999105930
20180918,3383950.280000000726432,3657835.479999999981374,3527420.399999999441206,10569207.160000000149012
20180919,3414191.960000000428408,3636818.479999999981374,3547326.799999999813735,10598338.240000000223517
20180920,3448723.240000000223517,3678011.800000000279397,3627450.060000000055879,10754186.100000001490116
20180921,3545453.720000000670552,3704072.880000000353903,3632924.319999999832362,10882451.920000001788139
20180924,3502772.200000000186265,3693144.040000000037253,3593111.520000000018626,10789028.759999999776483
20180925,3569261.000000000000000,3681374.520000000018626,3593609.179999999701977,10844245.699999999254942
20180926,3555319.800000000279397,3672127.040000000037253,3630933.679999999701977,10858381.519999999552965
20180927,3571834.760000000242144,3690622.000000000000000,3673234.779999999795109,10935692.539999999105930
20180928,3588135.240000000223517,3704913.560000000521541,3627947.720000000204891,10920997.520000001415610
20181001,3574837.479999999981374,3721727.160000000614673,3606050.679999999701977,10902616.320000000298023
20181002,3542879.960000000428408,3717523.760000000242144,3657309.659999999683350,10917714.380000000819564
20181003,3531727.000000000000000,3767123.880000000353903,3672737.119999999646097,10971589.000000000000000
20181004,3556177.720000000670552,3757876.400000000372529,3649844.759999999776483,10963899.880000000819564
20181005,3572692.680000000167638,3775530.680000000167638,3608538.979999999981374,10956763.339999999850988
20181008,3598430.280000000726432,3806635.840000000316650,3690155.220000000204891,11095222.340000001713634
20181009,3642613.160000000614673,3822608.760000000242144,3660793.279999999795109,11126016.200000001117587
20181010,3611299.080000000540167,3741903.479999999981374,3598585.779999999795109,10951789.339999999850988
20181011,3495479.880000000353903,3598987.880000000353903,3528415.720000000204891,10622884.480000000447035
20181012,3513710.680000000167638,3680533.840000000316650,3657807.319999999832362,10852052.839999999850988
20181015,3510493.479999999981374,3625048.959999999962747,3718521.839999999850988,10854065.279999999329448
20181016,3519072.680000000167638,3693144.040000000037253,3796156.799999999813735,11008374.519999999552965
20181017,3576982.280000000726432,3746947.560000000521541,3830993.000000000000000,11154923.840000001713634
20181018,3577840.200000000186265,3699028.800000000279397,3811086.599999999627471,11087956.599999999627471
20181019,3592424.840000000316650,3741062.800000000279397,3849406.419999999459833,11182895.060000000521541
20181022,3573979.560000000055879,3730133.959999999962747,3864336.220000000204891,11168450.740000000223517
20181023,3799612.520000000484288,3707435.600000000558794,3844927.479999999981374,11351976.600000001490116
20181024,3803902.120000000111759,3571245.439999999944121,3692643.520000000018626,11067792.080000000074506
20181025,3760148.200000000186265,3649428.680000000167638,3769283.159999999683350,11178861.040000000968575
20181026,3717895.640000000596046,3581333.600000000558794,3793668.500000000000000,11092898.740000002086163
20181029,3715536.359999999869615,3634296.439999999944121,3823030.439999999478459,11172864.239999998360872
20181030,3828352.840000000316650,3605713.320000000298023,3921567.119999999646097,11355634.279999999329448
20181031,3794250.520000000484288,3620004.880000000353903,3969840.139999999664724,11384096.539999999105930
20181101,3750925.560000000055879,3671286.360000000335276,3976309.720000000204891,11398522.640000000596046
20181102,3791033.320000000298023,3609076.040000000037253,3946450.119999999646097,11346560.480000000447035
20181105,3869104.040000000037253,3658676.160000000614673,3979793.339999999850988,11507574.540000000968575
20181106,3918863.400000000372529,3615801.479999999981374,4011145.919999999459833,11545811.800000000745058
20181107,3951893.320000000298023,3732656.000000000000000,4076339.379999999888241,11760889.699999999254942
20181108,3978274.359999999869615,3686418.600000000558794,4102715.359999999869615,11767409.320000000298023
20181109,3988140.440000000409782,3722567.840000000316650,4100227.060000000055879,11810936.340000001713634
20181112,3954467.080000000540167,3708276.280000000260770,4071362.779999999795109,11734107.140000000596046
20181113,3946745.800000000279397,3658676.160000000614673,4076837.040000000037253,11682260.000000000000000
20181114,3943314.120000000111759,3607394.680000000167638,4056930.639999999664724,11607640.440000001341105
20181115,3937094.200000000186265,3632615.080000000540167,4095250.459999999962747,11664960.740000002086163
20181116,4023529.640000000596046,3657835.479999999981374,4106696.639999999664724,11788062.760000001639128
20181119,4004869.880000000353903,3714161.040000000037253,4076837.040000000037253,11795868.960000000894070
20181120,3940311.400000000372529,3659516.840000000316650,3970835.459999999962747,11570664.699999999254942
20181121,3919077.880000000353903,3623367.600000000558794,3969342.479999999981374,11511788.960000000894070
20181123,3902133.960000000428408,3626730.320000000298023,4021596.779999999795109,11550462.060000000521541
20181126,3944172.040000000037253,3643543.920000000391155,4065888.520000000018626,11653605.480000000447035
20181127,3960043.560000000055879,3704913.560000000521541,4156462.639999999664724,11821420.760000001639128
20181128,4029106.120000000111759,3774690.000000000000000,4212200.560000000521541,12015997.679999999701977
20181129,4059347.800000000279397,3825971.479999999981374,4222651.419999999925494,12107971.699999999254942
20181130,4043261.800000000279397,3886500.439999999944121,4213693.539999999105930,12143456.779999999329448
20181203,3975915.080000000540167,3866324.120000000577420,4264454.859999999403954,12106695.060000000521541
20181204,3968837.240000000223517,3794866.320000000298023,4121626.439999999478459,11885331.000000000000000
20181206,3977630.919999999925494,3781415.439999999944121,4127598.359999999869615,11886645.719999998807907
20181207,3924225.400000000372529,3692303.360000000335276,4040507.859999999869615,11657037.620000001043081
