訓練日期,20131031 - 20140204
測試日期,20140205 - 20140508
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11899675.289999999105930
真實報酬,108302.400000000372529


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-71.305429084816524 x^2 + 26127.762790958699043 x + 10000000.000000000000000
二次平均預期報酬,16786.751580847732839
風險,166093.727502300956985
二次平均趨勢值,0.101067944186003
一次趨勢線,19148.846369611444970 x + 10000000.000000000000000
一次預期報酬,19148.846369611444970
一次風險,214683.048496004863409
一次趨勢值,0.089195893684954
投資組合檔數,3
Stock#,DD[7](17),MRK[17](18),UTX[24](16)
張數,59619,73681,31461,
分配資金,3333333,3333333,3333333,
剩餘資金,34.710000000428408,4.560000000055879,40.049999999813735,
20131031,3351218.700000000651926,3322280.850000000093132,3342771.299999999813735,10016271.850000001490116
20131101,3307100.640000000130385,3332596.189999999944121,3382412.160000000149012,10022109.990000000223517
20131104,3260597.820000000298023,3368699.879999999888241,3397198.830000000074506,10026497.530000001192093
20131105,3287426.370000000577420,3342174.720000000204891,3387760.530000000260770,10017362.620000001043081
20131106,3333333.000000000000000,3386383.320000000298023,3418906.919999999925494,10138624.240000000223517
20131107,3283253.040000000502914,3376067.979999999981374,3374861.519999999552965,10034183.539999999105930
20131108,3367912.020000000484288,3448275.359999999869615,3415131.599999999627471,10231319.980000000447035
20131111,3367315.830000000074506,3463011.560000000055879,3400344.929999999701977,10230673.320000000298023
20131112,3339891.090000000782311,3506483.350000000093132,3380524.500000000000000,10226899.940000001341105
20131113,3361950.120000000577420,3488063.100000000093132,3380839.109999999403954,10230853.330000000074506
20131114,3404875.800000000279397,3523429.979999999981374,3419536.139999999664724,10347842.919999999925494
20131115,3415607.220000000204891,3541850.229999999981374,3416390.040000000037253,10373848.490000000223517
20131118,3385201.530000000726432,3537429.370000000111759,3433378.979999999515712,10356010.879999998956919
20131119,3370892.970000000204891,3541850.229999999981374,3432435.149999999441206,10345179.349999999627471
20131120,3333333.000000000000000,3546271.090000000316650,3423940.679999999701977,10303545.769999999552965
20131121,3364931.070000000298023,3582374.779999999795109,3453514.019999999552965,10400820.869999999180436
20131122,3367315.830000000074506,3605952.699999999720603,3467042.250000000000000,10440311.779999999329448
20131125,3311870.160000000149012,3659003.020000000018626,3470502.959999999962747,10441377.140000000596046
20131126,3293388.270000000484288,3653108.540000000037253,3490323.389999999664724,10436821.199999999254942
20131127,3319620.630000000353903,3671528.790000000037253,3508256.160000000149012,10499406.580000000074506
20131129,3316639.680000000633299,3671528.790000000037253,3487806.509999999776483,10475975.980000000447035
20131202,3394740.570000000298023,3697317.140000000130385,3470502.959999999962747,10562561.670000001788139
20131203,3287426.370000000577420,3666371.120000000111759,3450997.139999999664724,10404795.629999998956919
20131204,3301734.930000000633299,3633214.670000000391155,3427401.389999999664724,10362351.990000002086163
20131205,3277887.330000000074506,3596374.170000000391155,3430862.099999999627471,10305124.599999999627471
20131206,3333929.190000000409782,3639109.149999999906868,3495986.370000000111759,10469025.710000000894070
20131209,3463898.610000000335276,3651634.920000000391155,3497874.030000000260770,10613408.560000002384186
20131210,3547365.210000000428408,3642056.390000000130385,3491581.830000000074506,10681004.429999999701977
20131211,3485361.450000000651926,3606689.510000000242144,3418592.309999999590218,10510644.269999999552965
20131212,3460917.660000000149012,3560270.479999999981374,3400659.540000000037253,10421848.679999999701977
20131213,3525306.180000000633299,3564691.340000000316650,3377378.399999999441206,10467376.920000001788139
20131216,3531864.270000000484288,3543323.850000000093132,3414502.379999999888241,10489691.500000000000000
20131217,3583136.610000000335276,3529324.459999999962747,3385872.870000000111759,10498334.940000001341105
20131218,3694027.950000000651926,3603005.459999999962747,3454772.459999999962747,10751806.870000001043081
20131219,3727414.590000000782311,3594900.549999999813735,3445019.549999999813735,10767335.690000001341105
20131220,3717279.360000000335276,3633951.479999999981374,3481514.309999999590218,10832746.149999998509884
20131223,3725626.020000000484288,3636898.720000000204891,3486548.069999999366701,10849073.809999998658895
20131224,3771532.650000000372529,3640582.770000000018626,3506997.719999999739230,10919114.140000000596046
20131226,3808496.430000000633299,3663423.879999999888241,3545380.139999999664724,11017301.449999999254942
20131227,3786437.400000000372529,3668581.549999999813735,3548840.849999999627471,11003860.800000000745058
20131230,3786437.400000000372529,3679633.699999999720603,3546638.580000000074506,11012710.679999999701977
20131231,3769744.080000000074506,3687738.609999999869615,3580301.849999999627471,11037785.539999999105930
20140102,3724433.640000000130385,3646477.250000000000000,3539087.939999999478459,10909999.830000000074506
20140103,3707740.320000000298023,3664160.689999999944121,3551986.950000000186265,10923888.960000000894070
20140106,3701182.230000000447035,3664897.500000000000000,3548526.240000000223517,10914606.970000000670552
20140107,3660045.120000000577420,3692159.470000000204891,3571178.160000000149012,10923383.750000000000000
20140108,3664218.450000000651926,3668581.549999999813735,3575582.700000000186265,10908383.699999999254942
20140109,3617119.440000000409782,3648687.680000000167638,3577470.359999999403954,10843278.480000000447035
20140110,3626062.290000000502914,3675212.840000000316650,3581245.679999999701977,10882521.810000000521541
20140113,3556904.250000000000000,3913939.279999999795109,3548840.849999999627471,11019685.379999998956919
20140114,3621292.770000000484288,3905097.560000000055879,3543492.479999999515712,11069883.809999998658895
20140115,3655275.600000000558794,3869730.680000000167638,3588796.319999999366701,11113803.600000001490116
20140116,3658256.550000000279397,3868257.060000000055879,3593515.469999999739230,11120030.080000000074506
20140117,3657064.170000000856817,3827732.510000000242144,3593200.859999999403954,11077998.540000000968575
20140121,3899713.500000000000000,3818890.790000000037253,3617740.439999999478459,11336345.730000000447035
20140122,3878250.660000000149012,3783523.910000000149012,3653291.370000000111759,11315066.940000001341105
20140123,3797168.820000000298023,3801944.160000000149012,3613021.290000000037253,11212135.269999999552965
20140124,3685681.290000000502914,3829942.939999999944121,3517379.849999999627471,11033005.080000000074506
20140127,3659448.930000000633299,3870467.490000000223517,3579987.240000000223517,11109904.660000000149012
20140128,3655871.790000000502914,3895519.029999999795109,3582189.509999999776483,11133581.330000000074506
20140129,3797765.010000000707805,3846889.570000000298023,3563627.519999999552965,11208283.100000001490116
