訓練日期,20190718 - 20191017
測試日期,20191018 - 20191031
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11183618.820000000298023
真實報酬,619731.259999999776483


夏普值報酬,-0.017065109977006
夏普值風險,0.010397846171277
夏普值,-1.641215853351042
二次趨勢線,45.554224833612153 x^2 + 9380.874725890444097 x + 10000000.000000000000000
二次平均預期報酬,12842.995813244975579
風險,107655.412792249539052
二次平均趨勢值,0.119297260399057
一次趨勢線,11960.269575740672735 x + 10000000.000000000000000
一次預期報酬,11960.269575740672735
一次風險,111525.137363673420623
一次趨勢值,0.107242814117676
投資組合檔數,3
Stock#,AAPL[0](6),MRK[17](11),PG[21](2)
張數,16392,40690,28750,
分配資金,27013011,27013011,27013011,
剩餘資金,19.800000000279397,8.199999999720603,58.000000000000000,
20190718,3371198.520000000018626,3364664.299999999813735,3318958.000000000000000,10054821.820000000298023
20190719,3320875.080000000540167,3311767.299999999813735,3306595.500000000000000,9939238.880000000819564
20190722,3396770.040000000037253,3304443.099999999627471,3314933.000000000000000,10016147.140000000596046
20190723,3423325.080000000540167,3337808.899999999906868,3273245.500000000000000,10034380.480000000447035
20190724,3420538.439999999944121,3326415.699999999720603,3237308.000000000000000,9984263.140000000596046
20190725,3393491.640000000596046,3326415.699999999720603,3242195.500000000000000,9962103.839999999850988
20190726,3405293.880000000353903,3313394.899999999906868,3298545.500000000000000,10017235.280000001192093
20190729,3437094.360000000335276,3356526.299999999348074,3335058.000000000000000,10128679.660000000149012
20190730,3422341.560000000521541,3388264.499999999534339,3461845.500000000000000,10272452.560000000521541
20190731,3492171.479999999981374,3376871.299999999348074,3393708.000000000000000,10262751.779999999329448
20190801,3416604.360000000335276,3405354.299999999813735,3356045.500000000000000,10178005.160000000149012
20190802,3344315.640000000596046,3437092.499999999534339,3347708.000000000000000,10129117.140000000596046
20190805,3169249.080000000540167,3382161.000000000000000,3251108.000000000000000,9802519.080000000074506
20190806,3229243.800000000279397,3432209.699999999720603,3285608.000000000000000,9947062.500000000000000
20190807,3262683.479999999981374,3428140.699999999720603,3321258.000000000000000,10012083.179999999701977
20190808,3334644.360000000335276,3447671.899999999906868,3376458.000000000000000,10158775.259999999776483
20190809,3294647.880000000353903,3479816.999999999534339,3357483.000000000000000,10131948.879999998956919
20190812,3286287.959999999962747,3459471.999999999534339,3335920.500000000000000,10081681.459999999031425
20190813,3425456.040000000037253,3502603.399999999441206,3370995.500000000000000,10299055.939999999478459
20190814,3323497.800000000279397,3393554.199999999720603,3329020.500000000000000,10046073.500000000000000
20190815,3306941.880000000353903,3395995.599999999627471,3375020.500000000000000,10077958.980000000447035
20190816,3384967.800000000279397,3461099.599999999627471,3426483.000000000000000,10272551.400000000372529
20190819,3448077.000000000000000,3507079.299999999813735,3456958.000000000000000,10412115.300000000745058
20190820,3448240.920000000391155,3485106.699999999720603,3418433.000000000000000,10351781.620000001043081
20190821,3485614.680000000167638,3536376.099999999627471,3427058.000000000000000,10449049.779999999329448
20190822,3482664.120000000577420,3528644.999999999534339,3433383.000000000000000,10444693.120000001043081
20190823,3321694.680000000167638,3456216.799999999813735,3373008.000000000000000,10150920.480000000447035
20190826,3384803.880000000353903,3494465.399999999441206,3430508.000000000000000,10309778.279999999329448
20190827,3346610.520000000018626,3479816.999999999534339,3465870.500000000000000,10292299.019999999552965
20190828,3369067.560000000521541,3518879.399999999906868,3490308.000000000000000,10378255.960000000894070
20190829,3426111.720000000204891,3528644.999999999534339,3483983.000000000000000,10438740.719999998807907
20190830,3421685.880000000353903,3518472.499999999534339,3456670.500000000000000,10396829.879999998956919
20190903,3371854.200000000186265,3525796.699999999720603,3489158.000000000000000,10386809.900000000372529
20190904,3429062.280000000260770,3501382.699999999720603,3542345.500000000000000,10472791.480000000447035
20190905,3496105.560000000521541,3503417.199999999720603,3529408.000000000000000,10528931.759999999776483
20190906,3495777.720000000204891,3522541.499999999534339,3532570.500000000000000,10550890.719999998807907
20190909,3510694.439999999944121,3396402.499999999534339,3512445.500000000000000,10419543.439999999478459
20190910,3552166.200000000186265,3323974.299999999813735,3446608.000000000000000,10322749.500000000000000
20190911,3665107.080000000540167,3374023.000000000000000,3486570.500000000000000,10525701.580000000074506
20190912,3656911.080000000540167,3389892.099999999627471,3529695.500000000000000,10576499.679999999701977
20190913,3585769.800000000279397,3361409.099999999627471,3511008.000000000000000,10458187.900000000372529
20190916,3604620.600000000558794,3337808.899999999906868,3442870.500000000000000,10385301.000000000000000
20190917,3617734.200000000186265,3357340.100000000093132,3483408.000000000000000,10458483.300000000745058
20190918,3651665.640000000596046,3378091.999999999534339,3490595.500000000000000,10520354.140000000596046
20190919,3621996.120000000577420,3416747.499999999534339,3504683.000000000000000,10543427.620000001043081
20190920,3569049.959999999962747,3465168.599999999627471,3514458.000000000000000,10548677.559999998658895
20190923,3585278.040000000037253,3432616.599999999627471,3542633.000000000000000,10560528.640000000596046
20190924,3568230.360000000335276,3401692.199999999720603,3553845.500000000000000,10523769.060000000521541
20190925,3623143.560000000521541,3381347.199999999720603,3536883.000000000000000,10541374.759999999776483
20190926,3604456.680000000167638,3413085.399999999441206,3573970.500000000000000,10591513.580000000074506
20190927,3586917.240000000223517,3373616.099999999627471,3581445.500000000000000,10541979.839999999850988
20190930,3671336.040000000037253,3425292.399999999906868,3575983.000000000000000,10672612.439999999478459
20191001,3681499.080000000540167,3402099.099999999627471,3560745.500000000000000,10644344.679999999701977
20191002,3589212.120000000577420,3321126.000000000000000,3481108.000000000000000,10391447.120000001043081
20191003,3619701.240000000223517,3366698.799999999348074,3500083.000000000000000,10486484.039999999105930
20191004,3721167.720000000204891,3458658.199999999720603,3565058.000000000000000,10744884.919999999925494
20191007,3721987.320000000298023,3433837.299999999813735,3531708.000000000000000,10687533.620000001043081
20191008,3678384.600000000558794,3389078.299999999813735,3476795.500000000000000,10544259.400000000372529
20191009,3721495.560000000521541,3425292.399999999906868,3506983.000000000000000,10653771.960000000894070
20191010,3771655.080000000540167,3408202.600000000093132,3505833.000000000000000,10685691.679999999701977
20191011,3871974.120000000577420,3431802.799999999813735,3481395.500000000000000,10785173.419999999925494
20191014,3866400.840000000316650,3446044.299999999813735,3451495.500000000000000,10763941.640000000596046
20191015,3857385.240000000223517,3460285.799999999813735,3369558.000000000000000,10687230.039999999105930
20191016,3841812.840000000316650,3436278.699999999720603,3379045.500000000000000,10657138.039999999105930
20191017,3856729.560000000521541,3409830.199999999720603,3353170.500000000000000,10619731.259999999776483
20191018,3875252.520000000018626,3445637.399999999906868,3377320.500000000000000,10698211.419999999925494
20191021,3942459.720000000204891,3439126.999999999534339,3423608.000000000000000,10805195.719999998807907
20191022,3933444.120000000577420,3308105.199999999720603,3512733.000000000000000,10754283.320000000298023
20191023,3986226.360000000335276,3371988.500000000000000,3536308.000000000000000,10894523.859999999403954
20191024,3992783.160000000614673,3360188.399999999441206,3587770.500000000000000,10940743.060000000521541
20191025,4041959.160000000614673,3347167.600000000093132,3543495.500000000000000,10932623.260000001639128
20191028,4082447.400000000372529,3344726.199999999720603,3550108.000000000000000,10977282.599999999627471
20191029,3988029.479999999981374,3462727.199999999720603,3553558.000000000000000,11004315.679999999701977
20191030,3987537.720000000204891,3508299.999999999534339,3592083.000000000000000,11087921.719999998807907
20191031,4077693.720000000204891,3526203.599999999627471,3579720.500000000000000,11183618.820000000298023
