訓練日期,20120213 - 20120515
測試日期,20120516 - 20120629
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11599987.760000001639128
真實報酬,1002788.960000000894070


夏普值報酬,0.037515753539726
夏普值風險,0.022825784997495
夏普值,1.643569040181649
二次趨勢線,-197.298365166552173 x^2 + 30841.289331184761977 x + 10000000.000000000000000
二次平均預期報酬,11506.049544862649782
風險,194721.913258424872765
二次平均趨勢值,0.059089649194194
一次趨勢線,16414.225798313626001 x + 10000000.000000000000000
一次預期報酬,16414.225798313626001
一次風險,286540.605119556072168
一次趨勢值,0.057284117870362
投資組合檔數,2
Stock#,HD[9](8),KO[14](20)
張數,110302,147188,
分配資金,11610132,11610132,
剩餘資金,10.339999999850988,23.640000000596046,
20120213,5066181.200000000186265,5036797.000000000000000,10102978.199999999254942
20120214,5080520.459999999962747,5070650.240000001154840,10151170.700000001117587
20120215,5041914.759999999776483,5033853.240000001154840,10075768.000000000000000
20120216,5066181.200000000186265,5067706.480000000447035,10133887.679999999701977
20120217,5152216.759999999776483,5082425.280000001192093,10234642.040000000968575
20120221,5175380.179999999701977,5064762.719999999739230,10240142.899999998509884
20120222,5136774.479999999515712,5097144.080000001005828,10233918.560000000521541
20120223,5178689.240000000223517,5091256.560000001452863,10269945.800000000745058
20120224,5181998.299999999813735,5078009.640000000596046,10260007.940000001341105
20120227,5176483.200000000186265,5066234.600000000558794,10242717.800000000745058
20120228,5209573.799999999813735,5066234.600000000558794,10275808.400000000372529
20120229,5247076.479999999515712,5141300.480000000447035,10388376.960000000894070
20120301,5234943.259999999776483,5122166.040000000037253,10357109.300000000745058
20120302,5229428.159999999217689,5091256.560000001452863,10320684.720000000670552
20120305,5227222.120000000111759,5095672.200000000186265,10322894.320000000298023
20120306,5116920.120000000111759,5060347.080000001005828,10177267.200000001117587
20120307,5227222.120000000111759,5063290.840000000782311,10290512.960000000894070
20120308,5274651.979999999515712,5098615.960000000894070,10373267.940000001341105
20120309,5305536.540000000037253,5116278.520000000484288,10421815.060000000521541
20120312,5359584.520000000484288,5163378.680000000633299,10522963.200000001117587
20120313,5420250.620000000111759,5170738.080000001005828,10590988.700000001117587
20120314,5456650.279999999329448,5167794.320000000298023,10624444.599999999627471
20120315,5426868.740000000223517,5176625.600000000558794,10603494.339999999850988
20120316,5410323.439999999478459,5163378.680000000633299,10573702.120000001043081
20120319,5386057.000000000000000,5181041.240000001154840,10567098.240000002086163
20120320,5446723.100000000558794,5195760.040000000037253,10642483.140000000596046
20120321,5491946.919999999925494,5234028.920000000856817,10725975.839999999850988
20120322,5479813.700000000186265,5256107.120000001043081,10735920.820000000298023
20120323,5464371.419999999925494,5260522.760000000707805,10724894.179999999701977
20120326,5529449.600000000558794,5291432.240000001154840,10820881.840000001713634
20120327,5519522.419999999925494,5289960.360000000335276,10809482.780000001192093
20120328,5505183.159999999217689,5347363.680000000633299,10852546.839999999850988
20120329,5505183.159999999217689,5432732.719999999739230,10937915.879999998956919
20120330,5549303.959999999962747,5447451.520000000484288,10996755.480000000447035
20120402,5514007.320000000298023,5456282.800000000745058,10970290.120000001043081
20120403,5515110.339999999850988,5428317.080000001005828,10943427.420000001788139
20120404,5498565.040000000037253,5406238.879999999888241,10904803.919999999925494
20120405,5583497.579999999143183,5407710.760000000707805,10991208.339999999850988
20120409,5579085.500000000000000,5363554.360000000335276,10942639.859999999403954
20120410,5444517.059999999590218,5300263.520000000484288,10744780.580000000074506
20120411,5487534.839999999850988,5307622.920000000856817,10795157.760000001639128
20120412,5584600.600000000558794,5314982.320000000298023,10899582.920000001788139
20120413,5621000.259999999776483,5294376.000000000000000,10915376.259999999776483
20120416,5701520.719999999739230,5331173.000000000000000,11032693.719999998807907
20120417,5739023.400000000372529,5443035.879999999888241,11182059.280000001192093
20120418,5714756.959999999962747,5459226.560000001452863,11173983.520000001415610
20120419,5687181.459999999962747,5432732.719999999739230,11119914.179999999701977
20120420,5676151.259999999776483,5456282.800000000745058,11132434.060000000521541
20120423,5636442.540000000037253,5423901.440000000409782,11060343.980000000447035
20120424,5650781.799999999813735,5454810.920000000856817,11105592.720000000670552
20120425,5725787.159999999217689,5515158.000000000000000,11240945.160000000149012
20120426,5721375.079999999143183,5571089.440000000409782,11292464.519999999552965
20120427,5730199.240000000223517,5640267.800000000745058,11370467.040000000968575
20120430,5712550.919999999925494,5616717.719999999739230,11329268.640000000596046
20120501,5771010.979999999515712,5662346.000000000000000,11433356.980000000447035
20120502,5814028.759999999776483,5678536.680000000633299,11492565.440000001341105
20120503,5787556.279999999329448,5699143.000000000000000,11486699.279999999329448
20120504,5731302.259999999776483,5666761.640000000596046,11398063.900000000372529
20120507,5668430.120000000111759,5687367.960000000894070,11355798.080000001937151
20120508,5583497.579999999143183,5677064.800000000745058,11260562.379999998956919
20120509,5527243.559999999590218,5650570.960000000894070,11177814.519999999552965
20120510,5583497.579999999143183,5697671.120000001043081,11281168.699999999254942
20120511,5552613.020000000484288,5702086.760000000707805,11254699.780000001192093
20120514,5501874.100000000558794,5657930.360000000335276,11159804.460000000894070
20120515,5368408.679999999701977,5634380.280000001192093,11002788.960000000894070
20120516,5379438.879999999888241,5618189.600000000558794,10997628.480000000447035
