訓練日期,20170719 - 20171018
測試日期,20171019 - 20171130
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11721142.370000001043081
真實報酬,1023575.539999999105930


夏普值報酬,-0.002295948132872
夏普值風險,0.013882103554255
夏普值,-0.165389065417827
二次趨勢線,8.091242509602814 x^2 + 14660.102482682277696 x + 10000000.000000000000000
二次平均預期報酬,15436.861763604139924
風險,69212.248018536032760
二次平均趨勢值,0.223036560804526
一次趨勢線,15239.621841485251935 x + 10000000.000000000000000
一次預期報酬,15239.621841485251935
一次風險,69704.717355135959224
一次趨勢值,0.218631140326435
投資組合檔數,6
Stock#,AXP[1](19),CAT[3](12),HD[9](3),PG[21](23),UNH[23](9),V[25](10)
張數,19488,15566,10952,18802,8919,17079,
分配資金,23209657,23209657,23209657,23209657,23209657,23209657,
剩餘資金,52.239999999990687,14.380000000121072,100.160000000149012,56.719999999972060,150.850000000093132,97.179999999934807,
20170719,1674656.080000000074506,1678807.479999999981374,1679041.760000000242144,1661213.419999999925494,1687536.459999999962747,1678108.929999999934807,10059368.130000000819564
20170720,1663353.039999999804422,1670557.500000000000000,1610372.720000000204891,1665913.919999999925494,1708139.350000000093132,1675717.869999999878928,9994058.399999998509884
20170721,1668030.160000000149012,1659194.320000000065193,1606210.960000000195578,1666101.939999999944121,1710636.670000000158325,1701165.579999999841675,10011343.630000000819564
20170724,1656532.239999999990687,1683944.260000000242144,1583540.320000000298023,1658017.080000000074506,1702698.760000000009313,1714316.409999999916181,9999053.070000000298023
20170725,1664522.319999999832362,1782944.020000000251457,1609715.600000000093132,1676067.000000000000000,1698328.450000000186265,1707826.389999999897555,10139407.780000001192093
20170726,1662378.639999999897555,1767066.699999999953434,1606649.040000000037253,1679075.319999999832362,1701450.100000000093132,1722514.329999999841675,10139138.129999998956919
20170727,1634121.039999999804422,1780297.800000000279397,1618039.120000000111759,1705022.080000000074506,1685217.520000000251457,1700653.209999999729916,10123354.769999999552965
20170728,1652634.639999999897555,1776094.979999999981374,1621872.320000000298023,1696185.139999999897555,1705017.700000000186265,1693480.030000000027940,10145288.810000000521541
20170731,1661014.479999999981374,1773760.080000000074506,1638519.360000000102445,1707654.359999999869615,1710904.240000000223517,1700482.419999999925494,10192338.939999999478459
20170801,1661209.359999999869615,1760528.979999999981374,1641257.360000000102445,1712918.919999999925494,1714650.219999999972060,1722855.909999999916181,10213424.750000000000000
20170802,1662378.639999999897555,1760373.320000000065193,1648376.160000000149012,1711790.800000000046566,1721517.850000000093132,1729858.300000000046566,10234299.070000000298023
20170803,1667055.760000000009313,1767689.340000000083819,1651552.239999999990687,1708406.439999999944121,1737304.480000000214204,1718073.790000000037253,10250086.050000000745058
20170804,1675435.599999999860302,1779986.479999999981374,1673018.160000000149012,1704834.060000000055879,1738285.570000000065193,1723197.489999999990687,10294761.360000001266599
20170807,1673097.039999999804422,1785590.239999999990687,1679589.360000000102445,1719311.599999999860302,1737393.670000000158325,1733444.889999999897555,10328430.800000000745058
20170808,1674850.959999999962747,1780920.440000000176951,1679589.360000000102445,1721943.879999999888241,1738463.950000000186265,1729858.300000000046566,10325630.890000000596046
20170809,1669978.959999999962747,1779830.820000000065193,1700507.679999999934807,1728336.560000000055879,1737839.620000000111759,1724563.809999999823049,10341061.450000001117587
20170810,1647957.520000000018626,1761307.280000000260770,1685393.920000000158325,1724952.199999999953434,1717682.679999999934807,1699286.889999999897555,10236584.490000002086163
20170811,1642695.760000000009313,1756637.479999999981374,1696345.920000000158325,1717431.400000000139698,1721696.230000000214204,1709534.290000000037253,10244345.080000001937151
20170814,1665691.599999999860302,1770024.239999999990687,1689555.679999999934807,1723260.020000000018626,1727850.340000000083819,1739934.909999999916181,10316320.789999999105930
20170815,1691415.760000000009313,1769090.280000000260770,1644762.000000000000000,1733601.120000000111759,1734896.350000000093132,1752914.949999999953434,10326684.459999999031425
20170816,1703108.560000000055879,1776406.300000000279397,1667542.160000000149012,1738113.599999999860302,1728385.480000000214204,1764699.459999999729916,10378259.559999998658895
20170817,1677774.160000000149012,1761151.620000000111759,1639286.000000000000000,1731156.859999999869615,1718842.149999999906868,1744887.819999999832362,10273102.610000001266599
20170818,1663937.679999999934807,1773293.100000000093132,1615410.640000000363216,1738677.659999999916181,1702074.429999999934807,1750865.469999999972060,10244262.980000002309680
20170821,1662378.639999999897555,1768311.979999999981374,1634138.560000000055879,1746010.439999999944121,1712866.420000000158325,1762991.559999999823049,10286701.599999999627471
20170822,1662378.639999999897555,1802868.500000000000000,1641914.480000000214204,1744694.300000000046566,1737482.860000000102445,1777508.709999999729916,10366851.489999998360872
20170823,1661988.880000000121072,1786212.880000000121072,1633043.360000000102445,1738113.599999999860302,1732577.410000000149012,1762308.400000000139698,10314248.529999999329448
20170824,1663547.919999999925494,1786679.860000000102445,1623734.160000000149012,1734917.260000000009313,1737126.100000000093132,1762991.559999999823049,10309000.860000001266599
20170825,1665691.599999999860302,1795552.479999999981374,1639066.960000000195578,1739429.739999999990687,1733647.690000000176951,1765211.829999999841675,10338604.300000000745058
20170828,1664522.319999999832362,1791194.000000000000000,1658123.439999999944121,1738677.659999999916181,1740158.560000000055879,1772555.800000000046566,10365235.780000001192093
20170829,1664717.199999999953434,1805826.040000000270084,1641147.840000000083819,1735857.359999999869615,1754785.719999999972060,1772385.009999999776483,10374723.169999999925494
20170830,1669978.959999999962747,1829797.680000000167638,1642900.160000000149012,1727396.459999999962747,1747204.570000000065193,1771701.850000000093132,10388983.679999999701977
20170831,1677969.039999999804422,1828863.719999999972060,1641476.400000000139698,1734917.260000000009313,1774139.950000000186265,1768115.259999999776483,10425485.630000000819564
20170901,1678748.560000000055879,1841160.860000000102445,1651442.720000000204891,1739805.780000000027940,1781721.100000000093132,1774605.280000000027940,10467488.300000000745058
20170905,1662573.520000000018626,1841472.180000000167638,1674989.520000000251457,1743378.159999999916181,1777796.740000000223517,1759404.969999999972060,10459619.090000001713634
20170906,1661014.479999999981374,1820925.060000000288710,1714745.280000000260770,1743378.159999999916181,1769502.070000000065193,1762308.400000000139698,10471877.450000001117587
20170907,1645034.319999999832362,1833222.199999999953434,1729749.520000000251457,1748078.659999999916181,1767629.080000000074506,1785877.419999999925494,10509595.200000001117587
20170908,1641916.239999999990687,1834000.500000000000000,1748696.480000000214204,1745634.400000000139698,1763883.100000000093132,1783657.150000000139698,10517791.870000001043081
20170911,1669978.959999999962747,1850344.800000000279397,1734568.400000000139698,1767256.699999999953434,1780204.870000000111759,1813033.030000000027940,10615390.759999999776483
20170912,1686738.639999999897555,1882566.420000000158325,1751434.480000000214204,1758231.739999999990687,1761385.780000000027940,1814057.769999999785796,10654418.830000000074506
20170913,1688492.560000000055879,1862174.959999999962747,1752639.200000000186265,1758983.819999999832362,1769056.120000000111759,1807567.750000000000000,10638918.410000000149012
20170914,1679722.959999999962747,1875406.060000000288710,1745629.920000000158325,1758983.819999999832362,1763704.719999999972060,1811837.500000000000000,10635288.980000000447035
20170915,1695313.359999999869615,1889259.800000000279397,1734896.960000000195578,1753719.260000000009313,1767718.270000000251457,1798515.879999999888241,10639427.530000001192093
20170918,1712462.800000000046566,1927552.160000000149012,1728435.280000000260770,1751463.020000000018626,1767807.459999999962747,1790488.750000000000000,10678213.469999998807907
20170919,1734484.239999999990687,1941717.219999999972060,1726792.480000000214204,1770641.060000000055879,1736234.200000000186265,1800394.569999999832362,10710267.769999999552965
20170920,1723376.080000000074506,1943429.479999999981374,1737963.520000000251457,1774965.520000000018626,1746045.100000000093132,1800394.569999999832362,10726178.269999999552965
20170921,1723181.199999999953434,1942495.520000000251457,1743549.040000000037253,1741874.000000000000000,1741228.840000000083819,1798686.669999999925494,10691019.269999999552965
20170922,1722791.440000000176951,1936891.760000000242144,1752091.600000000093132,1734353.199999999953434,1721785.420000000158325,1802956.419999999925494,10670873.840000001713634
20170925,1719088.719999999972060,1935179.500000000000000,1764467.360000000102445,1743378.159999999916181,1710369.100000000093132,1759575.759999999776483,10632062.599999999627471
20170926,1728442.959999999962747,1938137.040000000270084,1766219.679999999934807,1742062.020000000018626,1718842.149999999906868,1758209.439999999944121,10651917.289999999105930
20170927,1744033.359999999869615,1938292.699999999953434,1762496.000000000000000,1708594.459999999962747,1734807.160000000149012,1774434.489999999990687,10662662.169999999925494
20170928,1756700.560000000055879,1949344.560000000288710,1778266.880000000353903,1708970.500000000000000,1749166.750000000000000,1786219.000000000000000,10728672.250000000000000
20170929,1762936.719999999972060,1941250.239999999990687,1791409.280000000260770,1710662.679999999934807,1746937.000000000000000,1786219.000000000000000,10739418.919999999925494
20171002,1764495.760000000009313,1941405.900000000139698,1796447.200000000186265,1725516.260000000009313,1761118.209999999962747,1800906.939999999944121,10789894.269999999552965
20171003,1781840.080000000074506,1953703.040000000270084,1809042.000000000000000,1732096.959999999962747,1771731.820000000065193,1803468.790000000037253,10851886.690000001341105
20171004,1773655.120000000111759,1972849.219999999972060,1810356.239999999990687,1737737.560000000055879,1788231.969999999972060,1798686.669999999925494,10881520.780000001192093
20171005,1776578.319999999832362,1967556.780000000260770,1819446.400000000139698,1730404.780000000027940,1765220.950000000186265,1814570.139999999897555,10873781.370000001043081
20171006,1784178.639999999897555,1975806.760000000242144,1816489.360000000102445,1736045.379999999888241,1766647.990000000223517,1822938.850000000093132,10902110.980000000447035
20171009,1786906.959999999962747,1975028.459999999962747,1814956.080000000307336,1732096.959999999962747,1750950.550000000279397,1827720.969999999972060,10887663.980000000447035
20171010,1790804.560000000055879,1995419.920000000158325,1808932.480000000214204,1722695.959999999962747,1736501.770000000251457,1832844.669999999925494,10887203.360000001266599
20171011,1792168.719999999972060,2001801.979999999981374,1809918.160000000149012,1719687.639999999897555,1741674.790000000037253,1852143.939999999944121,10917399.229999998584390
20171012,1785347.919999999925494,2023438.720000000204891,1802689.840000000083819,1732661.020000000018626,1720804.330000000074506,1846507.869999999878928,10911453.699999999254942
20171013,1809707.919999999925494,2034646.240000000223517,1801375.600000000093132,1749394.800000000046566,1717236.730000000214204,1855901.319999999832362,10968266.609999999403954
20171016,1792168.719999999972060,2046476.400000000139698,1798637.600000000093132,1751275.000000000000000,1723301.649999999906868,1849752.879999999888241,10961616.250000000000000
20171017,1786906.959999999962747,2032000.020000000018626,1789109.360000000102445,1744882.319999999832362,1818645.760000000009313,1836772.840000000083819,11008321.259999999776483
20171018,1794507.280000000027940,2043674.520000000018626,1790204.560000000055879,1744318.260000000009313,1830597.219999999972060,1841213.379999999888241,11044519.219999998807907
20171019,1790999.440000000176951,2047721.680000000400469,1787904.640000000363216,1722131.900000000139698,1812937.600000000093132,1827891.759999999776483,10989591.020000001415610
20171020,1794702.160000000149012,2044764.140000000363216,1789985.520000000251457,1659333.219999999972060,1850754.160000000149012,1836943.629999999888241,10976486.830000001937151
20171023,1800353.679999999934807,2049745.260000000242144,1804332.640000000363216,1641471.319999999832362,1846473.040000000037253,1836602.050000000046566,10978981.990000002086163
20171024,1829195.919999999925494,2151858.220000000670552,1818460.720000000204891,1635454.679999999934807,1856640.700000000186265,1851631.569999999832362,11143245.810000002384186
