訓練日期,20151210 - 20160315
測試日期,20160316 - 20160518
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10894379.050000000745058
真實報酬,1563422.630000002682209


夏普值報酬,0.070145625571734
夏普值風險,0.027966263532422
夏普值,2.508223005565728
二次趨勢線,-206.031507228244607 x^2 + 34939.814790558011737 x + 10000000.000000000000000
二次平均預期報酬,12070.317488222863176
風險,211479.392717721610097
二次平均趨勢值,0.057075620149591
一次趨勢線,17865.303229991004628 x + 10000000.000000000000000
一次預期報酬,17865.303229991004628
一次風險,352389.917320253909566
一次趨勢值,0.050697543692077
投資組合檔數,2
Stock#,VZ[26](21),WMT[28](20)
張數,110229,84559,
分配資金,20984286,20984286,
剩餘資金,12.560000000521541,26.330000000074506,
20151210,4995590.840000000782311,5036360.370000000111759,10031951.210000000894070
20151211,4940476.340000000782311,5019448.570000000298023,9959924.910000000149012
20151214,5009920.610000001266599,5106544.339999999850988,10116464.950000001117587
20151215,5020943.509999999776483,5043125.089999999850988,10064068.599999999627471
20151216,5126763.350000000558794,5098934.030000000260770,10225697.380000000819564
20151217,5081569.460000000894070,4987316.149999999441206,10068885.609999999403954
20151218,5022045.800000000745058,4976323.480000000447035,9998369.280000001192093
20151221,5059523.660000000149012,5035514.780000000260770,10095038.440000001341105
20151222,5108024.420000000856817,5119228.190000000409782,10227252.610000001266599
20151223,5175264.110000001266599,5165735.640000000596046,10340999.750000001862645
20151224,5148809.150000000372529,5143750.299999999813735,10292559.449999999254942
20151228,5153218.310000000521541,5136985.580000000074506,10290203.890000000596046
20151229,5203923.650000000372529,5209706.320000000298023,10413629.970000000670552
20151230,5155422.890000000596046,5215625.450000000186265,10371048.339999999850988
20151231,5094796.940000000409782,5183493.030000000260770,10278289.970000000670552
20160104,5056216.790000000037253,5197022.469999999739230,10253239.259999999776483
20160105,5125661.060000000521541,5320478.610000000335276,10446139.670000001788139
20160106,5017636.640000000596046,5373750.780000000260770,10391387.420000001788139
20160107,4990079.390000000596046,5498898.100000000558794,10488977.490000002086163
20160108,4941578.629999999888241,5372905.190000000409782,10314483.820000000298023
20160111,4970238.170000000856817,5430405.309999999590218,10400643.480000000447035
20160112,4952601.530000000260770,5379669.910000000149012,10332271.440000001341105
20160113,4866622.910000000149012,5235919.610000000335276,10102542.519999999552965
20160114,4945987.790000000037253,5332316.870000000111759,10278304.660000000149012
20160115,4897487.030000000260770,5236765.200000000186265,10134252.230000000447035
20160119,4945987.790000000037253,5290037.370000000111759,10236025.160000000149012
20160120,4896384.740000001154840,5144595.890000000596046,10040980.630000002682209
20160121,5056216.790000000037253,5232537.250000000000000,10288754.039999999105930
20160122,5185184.720000000670552,5301030.040000000037253,10486214.760000001639128
20160125,5184082.430000000633299,5365294.879999999888241,10549377.310000000521541
20160126,5318561.810000000521541,5411802.330000000074506,10730364.140000000596046
20160127,5404540.430000000633299,5407574.379999999888241,10812114.810000000521541
20160128,5402335.850000000558794,5430405.309999999590218,10832741.160000000149012
20160129,5508155.690000000409782,5611361.570000000298023,11119517.260000001639128
20160201,5595236.600000000558794,5707758.830000000074506,11302995.429999999701977
20160202,5501541.950000000186265,5653641.070000000298023,11155183.019999999552965
20160203,5579804.540000000037253,5603751.259999999776483,11183555.800000000745058
20160204,5558861.030000000260770,5616435.110000000335276,11175296.140000000596046
20160205,5618384.690000000409782,5665479.330000000074506,11283864.019999999552965
20160208,5593032.020000000484288,5657023.430000000633299,11250055.450000001117587
20160209,5527996.910000000149012,5564854.120000000111759,11092851.030000001192093
20160210,5509257.980000000447035,5563162.940000000409782,11072420.920000001788139
20160211,5444222.870000001043081,5523420.209999999962747,10967643.080000001937151
20160212,5523587.750000000000000,5596140.950000000186265,11119728.699999999254942
20160216,5537917.520000000484288,5572464.430000000633299,11110381.950000001117587
20160217,5546735.840000000782311,5590221.820000000298023,11136957.660000000149012
20160218,5615077.820000000298023,5421949.410000000149012,11037027.230000000447035
20160219,5606259.500000000000000,5467611.269999999552965,11073870.769999999552965
20160222,5629407.590000000782311,5549633.500000000000000,11179041.089999999850988
20160223,5580906.830000001005828,5621508.650000000372529,11202415.480000000447035
20160224,5601850.340000000782311,5675626.410000000149012,11277476.750000000000000
20160225,5633816.750000000000000,5753420.690000000409782,11387237.440000001341105
20160226,5623896.140000000596046,5624045.420000000856817,11247941.560000002384186
20160229,5591929.730000000447035,5609670.390000000596046,11201600.120000001043081
20160301,5672396.900000000372529,5619817.469999999739230,11292214.370000001043081
20160302,5745148.040000000037253,5598677.719999999739230,11343825.759999999776483
20160303,5719795.370000001043081,5592758.589999999850988,11312553.960000000894070
20160304,5710977.050000000745058,5646876.350000000558794,11357853.400000002235174
20160307,5755068.650000000372529,5740736.839999999850988,11495805.490000000223517
20160308,5782625.900000000372529,5753420.690000000409782,11536046.589999999850988
20160309,5769398.420000000856817,5710295.600000000558794,11479694.020000001415610
20160310,5767193.840000000782311,5700148.519999999552965,11467342.359999999403954
20160311,5790341.930000000633299,5679854.360000000335276,11470196.290000000968575
20160314,5791444.220000000670552,5695920.570000000298023,11487364.790000000968575
20160315,5805773.990000001154840,5757648.640000000596046,11563422.630000002682209
20160316,5865297.650000000372529,5749192.739999999292195,11614490.390000000596046
20160317,5911593.830000001005828,5703530.879999999888241,11615124.710000000894070
20160318,5868604.520000000484288,5661251.379999999888241,11529855.900000000372529
20160321,5890650.320000000298023,5747501.559999999590218,11638151.879999998956919
20160322,5865297.650000000372529,5739045.660000000149012,11604343.310000000521541
20160323,5832228.950000000186265,5704376.469999999739230,11536605.419999999925494
20160324,5903877.800000000745058,5750038.330000000074506,11653916.130000000819564
20160328,5886241.160000000149012,5760185.410000000149012,11646426.570000000298023
20160329,5957890.009999999776483,5752575.100000000558794,11710465.109999999403954
20160330,5956787.720000000670552,5817685.530000000260770,11774473.250000000000000
20160331,5961196.879999999888241,5791472.239999999292195,11752669.119999999180436
20160401,5953480.850000000558794,5839670.870000000111759,11793151.720000000670552
20160404,5998674.740000001154840,5843053.229999999515712,11841727.970000000670552
20160405,5962299.170000000856817,5804156.089999999850988,11766455.260000001639128
20160406,5899468.640000000596046,5837979.690000000409782,11737448.330000001937151
20160407,5731920.560000000521541,5768641.309999999590218,11500561.870000001043081
20160408,5751761.780000000260770,5755111.870000000111759,11506873.650000000372529
