訓練日期,20181115 - 20190221
測試日期,20190222 - 20190513
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10455040.019999999552965
真實報酬,1114585.539999999105930


夏普值報酬,-0.035813851760316
夏普值風險,0.021898763024985
夏普值,-1.635428070501282
二次趨勢線,-31.914899348857631 x^2 + 14123.503066908902838 x + 10000000.000000000000000
二次平均預期報酬,10229.885346348268286
風險,299600.808879110903945
二次平均趨勢值,0.034145052493754
一次趨勢線,11215.307115132109175 x + 10000000.000000000000000
一次預期報酬,11215.307115132109175
一次風險,304214.279233517067041
一次趨勢值,0.036866471696824
投資組合檔數,3
Stock#,CAT[3](20),IBM[10](17),MRK[17](23)
張數,26645,27731,44990,
分配資金,29006160,29006160,29006160,
剩餘資金,43.500000000000000,66.799999999813735,23.899999999906868,
20181115,3448439.399999999441206,3367719.439999999944121,3367075.500000000000000,10183235.339999999850988
20181116,3462827.700000000186265,3371324.469999999739230,3421963.299999999813735,10256116.469999998807907
20181119,3356780.600000000093132,3336383.409999999683350,3435010.399999999441206,10128175.410000000149012
20181120,3257927.649999999906868,3250140.000000000000000,3364376.100000000093132,9872444.750000000000000
20181121,3300559.649999999906868,3288131.469999999739230,3364826.000000000000000,9953518.119999999180436
20181123,3259259.899999999906868,3249862.689999999944121,3359427.200000000186265,9868550.789999999105930
20181126,3325339.500000000000000,3315585.159999999683350,3394069.500000000000000,10034995.160000000149012
20181127,3320010.500000000000000,3328618.729999999981374,3434560.500000000000000,10083190.730000000447035
20181128,3484410.150000000372529,3410979.799999999813735,3474601.600000000093132,10369992.550000000745058
20181129,3470021.849999999627471,3368828.679999999701977,3505194.799999999813735,10344046.329999998211861
20181130,3614970.649999999441206,3446198.169999999925494,3569530.500000000000000,10630700.320000000298023
20181203,3702366.249999999534339,3475038.409999999683350,3564131.699999999720603,10741537.359999999403954
20181204,3445774.899999999906868,3372156.399999999441206,3518691.799999999813735,10336624.099999997764826
20181206,3420462.149999999906868,3436215.009999999776483,3525890.200000000186265,10382568.359999999403954
20181207,3292033.250000000000000,3309484.339999999850988,3451656.699999999720603,10053175.289999999105930
20181210,3287770.049999999813735,3359122.829999999608845,3483149.700000000186265,10130043.579999998211861
20181211,3283773.299999999813735,3352467.389999999664724,3469202.799999999813735,10105444.489999998360872
20181212,3340527.149999999906868,3359954.759999999776483,3509693.800000000279397,10210176.710000000894070
20181213,3354649.000000000000000,3348030.429999999701977,3554683.800000000279397,10257364.230000000447035
20181214,3377830.149999999906868,3325013.700000000186265,3440859.100000000093132,10143703.949999999254942
20181217,3316546.649999999906868,3219635.899999999441206,3384621.600000000093132,9920805.149999998509884
20181218,3311217.649999999906868,3234887.950000000186265,3344130.599999999627471,9890237.199999999254942
20181219,3259526.350000000093132,3228787.129999999888241,3318936.199999999720603,9807250.679999999701977
20181220,3238743.250000000000000,3134224.419999999925494,3306338.999999999534339,9679307.669999999925494
20181221,3199308.649999999906868,3076543.939999999944121,3279794.900000000372529,9555648.490000000223517
20181224,3116176.250000000000000,2983090.469999999739230,3201062.400000000372529,9300330.120000001043081
20181226,3324273.700000000186265,3089022.889999999664724,3329283.899999999906868,9742581.490000000223517
20181227,3375165.649999999906868,3155299.979999999981374,3391370.099999999627471,9921836.730000000447035
20181228,3346921.950000000186265,3134501.729999999981374,3390920.200000000186265,9872344.879999998956919
20181231,3385823.649999999906868,3152249.569999999832362,3437709.799999999813735,9975784.019999999552965
20190102,3367438.600000000093132,3194955.309999999590218,3400818.000000000000000,9963212.910000000149012
20190103,3237677.450000000186265,3131174.009999999776483,3331083.500000000000000,9699935.960000000894070
20190104,3414600.250000000000000,3253467.719999999739230,3431411.199999999720603,10099480.169999999925494
20190107,3416731.849999999627471,3276484.450000000186265,3393619.600000000093132,10086836.900000000372529
20190108,3457765.150000000372529,3323072.529999999795109,3418813.999999999534339,10199652.679999999701977
20190109,3471087.650000000372529,3346921.189999999944121,3392719.799999999813735,10210729.640000000596046
20190110,3542762.700000000186265,3377425.290000000037253,3350879.100000000093132,10271068.089999999850988
20190111,3519848.000000000000000,3368274.059999999590218,3369774.900000000372529,10257897.960000000894070
20190114,3511854.500000000465661,3338601.889999999664724,3300940.200000000186265,10151397.589999999850988
20190115,3482278.549999999813735,3375761.429999999701977,3351778.899999999906868,10209819.879999998956919
20190116,3508124.199999999720603,3372711.020000000018626,3356727.799999999813735,10237564.019999999552965
20190117,3584861.799999999813735,3388517.689999999944121,3401267.899999999441206,10374648.390000000596046
20190118,3639750.500000000000000,3433719.219999999739230,3413415.200000000186265,10486885.919999999925494
20190122,3523578.300000000279397,3397668.919999999925494,3411615.599999999627471,10332863.820000000298023
20190123,3512387.399999999906868,3685239.389999999664724,3394069.500000000000000,10591697.289999999105930
