訓練日期,20131024 - 20140128
測試日期,20140129 - 20140527
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11289778.039999999105930
真實報酬,726659.589999999850988


夏普值報酬,0.050996448023572
夏普值風險,0.039109244121594
夏普值,1.303948699827054
二次趨勢線,-59.993182111411848 x^2 + 15270.193576987609049 x + 10000000.000000000000000
二次平均預期報酬,6391.202624498656405
風險,189598.910328423575265
二次平均趨勢值,0.033709068334980
一次趨勢線,8633.524068432321656 x + 10000000.000000000000000
一次預期報酬,8633.524068432321656
一次風險,239402.049974502384430
一次趨勢值,0.036062866083861
投資組合檔數,6
Stock#,AAPL[0](6),BA[2](24),MRK[17](19),UTX[24](23),V[25](30),XOM[29](12)
張數,22225,12917,35796,15665,33521,19023,
分配資金,15100548,15100548,15100548,15100548,15100548,15100548,
剩餘資金,13.250000000000000,114.659999999916181,4.239999999990687,66.649999999906868,1.880000000121072,60.969999999972060,
20131024,1688891.000000000000000,1666149.319999999832362,1654495.359999999869615,1677161.550000000046566,1700522.209999999962747,1682074.629999999888241,10069298.070000000298023
20131025,1669999.750000000000000,1694695.889999999897555,1665950.080000000074506,1684367.449999999953434,1701863.050000000279397,1673514.280000000027940,10090394.500000000000000
20131028,1682445.750000000000000,1677774.619999999878928,1623352.840000000083819,1660399.999999999767169,1701863.050000000279397,1678460.260000000009313,10024300.519999999552965
20131029,1640440.500000000000000,1674932.879999999888241,1631585.919999999925494,1667135.949999999953434,1711584.140000000130385,1691776.360000000102445,10017459.750000000000000
20131030,1666666.000000000000000,1675191.219999999972060,1619415.280000000027940,1659773.399999999906868,1708232.040000000037253,1689493.600000000093132,10018775.540000000968575
20131031,1659554.000000000000000,1685783.159999999916181,1614045.880000000121072,1664472.899999999906868,1648229.450000000186265,1704902.229999999981374,9976991.619999999180436
20131101,1651108.500000000232831,1718463.169999999925494,1619057.319999999832362,1684210.800000000046566,1669012.470000000204891,1708706.829999999841675,10050563.089999999850988
20131104,1672444.500000000000000,1715363.089999999850988,1636597.359999999869615,1691573.349999999860302,1646218.190000000176951,1752079.269999999785796,10114279.759999999776483
20131105,1668221.750000000000000,1725438.349999999860302,1623710.800000000046566,1686873.850000000093132,1653928.020000000251457,1749986.739999999990687,10108163.509999999776483
20131106,1653997.750000000000000,1719238.189999999944121,1645188.399999999906868,1702382.199999999953434,1668006.840000000083819,1773385.030000000027940,10162202.410000000149012
20131107,1627105.499999999767169,1698829.329999999841675,1640176.959999999962747,1680451.199999999953434,1643536.510000000242144,1749416.049999999813735,10039519.550000000745058
20131108,1652886.500000000000000,1724404.989999999990687,1675257.039999999804422,1700502.399999999906868,1661637.850000000093132,1764063.760000000009313,10178756.539999999105930
20131111,1647997.000000000232831,1712004.669999999925494,1682416.239999999990687,1693139.849999999860302,1670018.100000000093132,1768439.049999999813735,10174018.910000000149012
20131112,1651108.500000000232831,1709421.270000000018626,1703535.880000000121072,1683270.899999999906868,1661637.850000000093132,1762922.379999999888241,10171900.780000001192093
20131113,1653108.750000000000000,1720271.549999999813735,1694586.880000000121072,1683427.549999999813735,1674375.830000000307336,1761400.540000000037253,10187175.100000001490116
20131114,1676889.500000000000000,1745072.189999999944121,1711768.959999999962747,1702695.499999999767169,1677392.720000000204891,1773385.030000000027940,10287207.900000000372529
20131115,1666888.250000000000000,1757860.020000000018626,1720717.959999999962747,1701129.000000000000000,1692812.380000000121072,1812382.179999999934807,10351793.790000000968575
20131118,1646663.500000000000000,1787310.780000000027940,1718570.199999999953434,1709588.099999999860302,1675381.459999999962747,1815806.320000000065193,10353324.359999999403954
20131119,1649552.750000000000000,1769485.319999999832362,1720717.959999999962747,1709118.149999999906868,1654263.230000000214204,1815235.629999999888241,10318377.039999999105930
20131120,1635106.499999999767169,1710971.309999999823049,1722865.719999999972060,1704888.599999999860302,1660297.010000000242144,1801158.610000000102445,10235291.749999998137355
20131121,1654664.500000000000000,1717171.469999999972060,1740405.760000000009313,1719613.699999999953434,1689460.280000000027940,1801348.839999999850988,10322668.549999998882413
20131122,1650441.750000000000000,1756439.149999999906868,1751860.479999999981374,1726349.649999999906868,1693818.010000000242144,1807436.199999999953434,10386349.239999998360872
