訓練日期,20140224 - 20140527
測試日期,20140528 - 20140703
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11605756.320000000298023
真實報酬,933785.910000000149012


夏普值報酬,0.003434938784505
夏普值風險,0.010529070559537
夏普值,0.326233808110797
二次趨勢線,39.834128496201366 x^2 + 13610.086251197937599 x + 10000000.000000000000000
二次平均預期報酬,17314.660201344664529
風險,53873.792305609196774
二次平均趨勢值,0.321393008740205
一次趨勢線,16373.498170766833937 x + 10000000.000000000000000
一次預期報酬,16373.498170766833937
一次風險,66045.376790976137272
一次趨勢值,0.247912858799891
投資組合檔數,7
Stock#,AAPL[0](17),INTC[11](1),JNJ[12](3),KO[14](2),MCD[15](26),TRV[22](19),UNH[23](6)
張數,19037,58500,15609,38423,14811,17049,19354,
分配資金,15941630,15941630,15941630,15941630,15941630,15941630,15941630,
剩餘資金,34.519999999785796,1.000000000000000,35.320000000065193,3.860000000102445,50.050000000046566,35.289999999804422,52.260000000009313,
20140224,1434662.839999999850988,1440856.000000000000000,1422171.310000000055879,1440866.360000000102445,1429311.550000000046566,1422603.849999999860302,1471149.800000000046566,10061624.710000000894070
20140225,1419813.979999999748543,1440271.000000000000000,1422171.310000000055879,1451240.570000000298023,1431088.870000000111759,1420898.949999999953434,1457795.539999999804422,10043283.219999998807907
20140226,1407059.189999999711290,1450801.000000000000000,1422171.310000000055879,1455082.870000000111759,1420276.840000000083819,1422433.359999999869615,1472117.500000000000000,10049945.070000000298023
20140227,1435043.579999999608845,1448461.000000000000000,1426073.560000000055879,1462767.470000000204891,1408279.929999999934807,1429593.939999999711290,1471343.339999999850988,10081565.819999998435378
20140228,1431236.179999999934807,1448461.000000000000000,1437936.400000000139698,1467762.460000000195578,1409316.700000000186265,1429423.449999999953434,1495535.839999999850988,10119675.029999999329448
20140303,1435233.949999999720603,1433251.000000000000000,1429195.360000000102445,1464688.620000000111759,1397023.569999999832362,1418171.109999999869615,1492245.659999999916181,10069812.269999999552965
20140304,1444752.449999999720603,1439686.000000000000000,1456979.380000000121072,1471988.990000000223517,1406798.830000000074506,1434026.679999999701977,1512180.280000000027940,10166415.609999999403954
20140305,1447798.369999999646097,1433251.000000000000000,1445272.630000000121072,1473525.910000000149012,1407391.270000000018626,1438459.419999999925494,1509470.719999999972060,10155172.320000000298023
20140306,1443419.859999999636784,1440856.000000000000000,1449955.330000000074506,1478136.670000000158325,1415685.429999999934807,1438970.889999999897555,1502696.820000000065193,10169724.000000000000000
20140307,1442658.379999999888241,1441441.000000000000000,1456667.199999999953434,1481210.510000000009313,1414500.550000000046566,1430957.859999999869615,1498051.860000000102445,10165490.359999999403954
20140310,1443990.969999999739230,1453141.000000000000000,1458696.370000000111759,1485052.810000000055879,1410057.250000000000000,1428400.509999999776483,1507341.780000000027940,10186683.689999999478459
20140311,1457887.979999999748543,1446706.000000000000000,1459320.729999999981374,1490816.260000000009313,1463080.630000000121072,1424990.709999999729916,1505406.380000000121072,10248211.689999999478459
20140312,1459410.939999999711290,1448461.000000000000000,1461037.719999999972060,1478136.670000000158325,1462043.859999999869615,1422433.359999999869615,1501922.659999999916181,10233449.209999999031425
20140313,1443229.489999999757856,1437346.000000000000000,1451672.320000000065193,1458925.170000000158325,1442197.120000000111759,1408112.199999999953434,1490503.800000000046566,10131989.099999999627471
20140314,1427048.039999999571592,1433251.000000000000000,1448706.610000000102445,1466609.770000000251457,1445307.429999999934807,1409305.629999999655411,1465150.060000000055879,10095381.539999999105930
20140317,1432568.769999999785796,1444951.000000000000000,1466188.690000000176951,1470452.070000000298023,1445603.649999999906868,1424308.750000000000000,1485665.300000000046566,10169741.230000000447035
20140318,1445133.189999999711290,1451971.000000000000000,1466344.780000000027940,1475447.060000000055879,1441308.460000000195578,1431298.839999999850988,1509664.260000000009313,10221170.589999997988343
20140319,1444752.449999999720603,1463671.000000000000000,1460881.630000000121072,1465457.080000000074506,1423387.149999999906868,1418512.089999999850988,1547598.099999999860302,10224262.500000000000000
20140320,1437899.129999999888241,1487656.000000000000000,1469154.400000000139698,1477368.210000000195578,1430792.649999999906868,1419023.559999999823049,1577983.880000000121072,10299880.830000001937151
20140321,1449130.959999999962747,1472446.000000000000000,1497406.690000000176951,1476983.979999999981374,1414056.219999999972060,1428400.509999999776483,1574306.620000000111759,10312733.980000000447035
20140324,1466454.629999999888241,1469521.000000000000000,1486012.120000000111759,1475447.060000000055879,1424572.030000000260770,1429764.429999999701977,1573145.380000000121072,10324919.650000000372529
20140325,1482255.339999999850988,1489411.000000000000000,1520039.739999999990687,1483900.120000000111759,1420573.060000000055879,1432662.759999999776483,1569661.659999999916181,10398506.679999999701977
