訓練日期,20171101 - 20180205
測試日期,20180206 - 20180216
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12268703.609999999403954
真實報酬,1656395.050000000745058


夏普值報酬,-0.048589502385449
夏普值風險,0.009149984335593
夏普值,-5.310337220626689
二次趨勢線,-267.302976470029591 x^2 + 49076.136263446547673 x + 10000000.000000000000000
二次平均預期報酬,29028.413028194328945
風險,190479.402950892894296
二次平均趨勢值,0.152396598154385
一次趨勢線,34141.255195574107347 x + 10000000.000000000000000
一次預期報酬,34141.255195574107347
一次風險,252925.298634982231306
一次趨勢值,0.134985528849157
投資組合檔數,4
Stock#,BA[2](8),DIS[6](16),NKE[19](3),WMT[28](6)
張數,9690,25559,45462,28633,
分配資金,24805903,24805903,24805903,24805903,
剩餘資金,173.799999999813735,74.209999999962747,44.620000000111759,52.770000000018626,
20171101,2505038.799999999813735,2531181.979999999981374,2503636.959999999962747,2518038.790000000037253,10057896.529999999329448
20171102,2545058.500000000000000,2513801.859999999869615,2505910.060000000055879,2542663.169999999925494,10107433.589999999850988
20171103,2536531.299999999813735,2521213.970000000204891,2532732.640000000130385,2567860.210000000428408,10158338.120000001043081
20171106,2559012.099999999627471,2572331.970000000204891,2547735.100000000093132,2539799.870000000111759,10218879.039999999105930
20171107,2578973.500000000000000,2597124.199999999720603,2507273.919999999925494,2546958.120000000111759,10230329.739999998360872
20171108,2573547.099999999627471,2586133.830000000074506,2535005.740000000223517,2584467.350000000093132,10279154.019999999552965
20171109,2545736.799999999813735,2624472.330000000074506,2551826.680000000167638,2585612.669999999925494,10307648.480000000447035
20171110,2527810.299999999813735,2678146.229999999981374,2550008.200000000186265,2603365.129999999888241,10359329.859999999403954
20171113,2543023.600000000093132,2677123.869999999646097,2541825.040000000037253,2605369.439999999944121,10367341.949999999254942
20171114,2536628.199999999720603,2636996.240000000223517,2545007.379999999888241,2608232.740000000223517,10326864.559999998658895
20171115,2547287.199999999720603,2650286.919999999925494,2574557.680000000167638,2572155.160000000149012,10344286.959999999031425
20171116,2555426.799999999813735,2647986.609999999869615,2601834.879999999888241,2852472.229999999981374,10657720.519999999552965
20171117,2541473.199999999720603,2643897.169999999925494,2690940.399999999906868,2790911.279999999795109,10667222.049999998882413
20171120,2564438.500000000000000,2626261.459999999962747,2693668.120000000111759,2791197.610000000335276,10675565.690000001341105
20171121,2587306.899999999906868,2632651.209999999962747,2700032.800000000279397,2763709.929999999701977,10683700.839999999850988
20171122,2569477.299999999813735,2626005.869999999646097,2685484.959999999962747,2760560.299999999813735,10641528.429999999701977
20171124,2576551.000000000000000,2623449.970000000204891,2696850.459999999962747,2766573.229999999981374,10663424.660000000149012
