訓練日期,20160920 - 20161220
測試日期,20161221 - 20170228
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12806353.289999999105930
真實報酬,2149269.199999999254942


夏普值報酬,-0.109440665931448
夏普值風險,0.037215407659646
夏普值,-2.940735378538345
二次趨勢線,-140.298929150049247 x^2 + 38333.811100596270990 x + 10000000.000000000000000
二次平均預期報酬,22620.331035790757596
風險,171766.086025298689492
二次平均趨勢值,0.131692649924264
一次趨勢線,26601.549079115946370 x + 10000000.000000000000000
一次預期報酬,26601.549079115946370
一次風險,260187.966434460686287
一次趨勢值,0.102239736309314
投資組合檔數,2
Stock#,BA[2](4),CVX[5](28)
張數,39221,50999,
分配資金,19870773,19870773,
剩餘資金,106.919999999925494,58.040000000037253,
20160920,5012158.509999999776483,4982660.339999999850988,9994818.849999999627471
20160921,5120800.679999999701977,5081088.410000000149012,10201889.089999999850988
20160922,5172180.190000000409782,5098938.060000000521541,10271118.250000000000000
20160923,5168650.299999999813735,5060178.820000000298023,10228829.120000001043081
20160926,5121192.889999999664724,5037739.259999999776483,10158932.149999998509884
20160927,5150608.639999999664724,5047939.060000000521541,10198547.699999999254942
20160928,5186299.749999999068677,5209605.890000000596046,10395905.640000000596046
20160929,5139234.549999999813735,5164726.769999999552965,10303961.320000000298023
20160930,5167081.459999999962747,5248875.120000000111759,10415956.580000000074506
20161003,5192182.899999999441206,5224905.589999999850988,10417088.489999998360872
20161004,5187084.169999999925494,5164726.769999999552965,10351810.939999999478459
20161005,5281606.779999999329448,5213685.810000000521541,10495292.589999999850988
20161006,5272193.739999999292195,5211135.860000000335276,10483329.599999999627471
20161007,5249837.769999999552965,5215725.769999999552965,10465563.539999999105930
20161010,5327887.560000000521541,5302934.060000000521541,10630821.620000001043081
20161011,5245523.459999999962747,5254995.000000000000000,10500518.460000000894070
20161012,5222775.279999999329448,5209605.890000000596046,10432381.169999999925494
20161013,5231403.899999999441206,5140247.250000000000000,10371651.149999998509884
20161014,5236110.419999999925494,5155036.959999999962747,10391147.379999998956919
20161017,5255720.919999999925494,5169316.679999999701977,10425037.599999999627471
20161018,5298864.019999999552965,5191246.250000000000000,10490110.269999999552965
20161019,5341222.700000000186265,5215725.769999999552965,10556948.469999998807907
20161020,5327887.560000000521541,5195326.169999999925494,10523213.730000000447035
20161021,5319651.149999999441206,5166256.740000000223517,10485907.890000000596046
20161024,5391033.369999999180436,5133617.379999999888241,10524650.750000000000000
20161025,5452610.340000000782311,5139227.269999999552965,10591837.609999999403954
20161026,5708331.259999999776483,5160646.849999999627471,10868978.109999999403954
20161027,5620868.429999999701977,5095878.120000000111759,10716746.550000000745058
20161028,5609102.129999999888241,5294774.219999999739230,10903876.349999999627471
20161031,5586353.950000000186265,5342203.290000000037253,10928557.240000000223517
20161101,5585569.529999999329448,5430431.560000000521541,11016001.089999999850988
20161102,5520462.669999999925494,5374842.650000000372529,10895305.320000000298023
20161103,5491831.340000000782311,5374842.650000000372529,10866673.990000002086163
20161104,5473005.259999999776483,5343733.259999999776483,10816738.519999999552965
20161107,5609886.549999999813735,5449301.189999999478459,11059187.739999998360872
20161108,5577333.119999999180436,5471740.750000000000000,11049073.869999999180436
20161109,5690681.810000000521541,5489590.400000000372529,11180272.210000000894070
20161110,5792656.410000000149012,5497240.250000000000000,11289896.660000000149012
20161111,5825209.840000000782311,5438591.400000000372529,11263801.240000002086163
20161114,5882864.709999999962747,5436041.450000000186265,11318906.160000000149012
20161115,5809129.230000000447035,5556909.080000000074506,11366038.310000000521541
20161116,5743630.160000000149012,5525799.689999999478459,11269429.849999999627471
20161117,5700094.850000000558794,5514069.919999999925494,11214164.769999999552965
20161118,5740100.269999999552965,5569148.839999999850988,11309249.109999999403954
20161121,5766378.340000000782311,5619127.860000000335276,11385506.200000001117587
20161122,5864430.840000000782311,5641567.419999999925494,11505998.260000001639128
20161123,5873059.459999999962747,5660947.040000000037253,11534006.500000000000000
20161125,5884825.759999999776483,5660947.040000000037253,11545772.800000000745058
20161128,5874236.090000000782311,5635447.540000000037253,11509683.630000000819564
20161129,5947579.359999999403954,5576288.700000000186265,11523868.059999998658895
20161130,5905220.679999999701977,5689506.480000000447035,11594727.160000000149012
20161201,5976995.109999999403954,5777734.750000000000000,11754729.859999999403954
20161202,5971504.169999999925494,5762945.040000000037253,11734449.210000000894070
20161205,5967974.279999999329448,5775694.790000000037253,11743669.070000000298023
20161206,5971111.959999999962747,5750705.280000000260770,11721817.240000000223517
20161207,6045631.859999999403954,5836383.599999999627471,11882015.459999999031425
20161208,6094658.109999999403954,5873612.870000000111759,11968270.980000000447035
20161209,6137801.209999999962747,5906252.230000000447035,12044053.440000001341105
20161212,6164079.279999999329448,5974590.890000000596046,12138670.169999999925494
20161213,6144468.779999999329448,5988360.620000000111759,12132829.399999998509884
20161214,6058574.790000000037253,5913902.080000000074506,11972476.870000001043081
20161215,6031120.090000000782311,5969490.990000000223517,12000611.080000001937151
20161216,6059751.419999999925494,6022019.959999999962747,12081771.379999998956919
20161219,6125642.700000000186265,6000090.390000000596046,12125733.089999999850988
20161220,6133879.109999999403954,6015390.089999999850988,12149269.199999999254942
20161221,6176629.999999999068677,6013350.129999999888241,12189980.129999998956919
20161222,6175845.580000000074506,6057209.269999999552965,12233054.849999999627471
20161223,6189572.929999999701977,6039359.620000000111759,12228932.550000000745058
20161227,6176629.999999999068677,6029159.820000000298023,12205789.820000000298023
20161228,6122505.019999999552965,6013350.129999999888241,12135855.149999998509884
20161229,6106424.410000000149012,6008760.219999999739230,12115184.629999998956919
20161230,6106032.200000000186265,6002640.339999999850988,12108672.539999999105930
20170103,6156627.290000000037253,6010290.189999999478459,12166917.480000000447035
20170104,6221341.940000000409782,6008760.219999999739230,12230102.160000000149012
20170105,6224871.830000000074506,5982750.730000000447035,12207622.560000000521541
20170106,6240168.019999999552965,5958781.200000000186265,12198949.219999998807907
20170109,6209575.639999999664724,5907782.200000000186265,12117357.839999999850988
20170110,6238991.389999999664724,5862903.080000000074506,12101894.469999998807907
20170111,6251934.320000000298023,5912372.110000000335276,12164306.429999999701977
