訓練日期,20120821 - 20121123
測試日期,20121126 - 20130124
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12177824.980000000447035
真實報酬,1507893.959999999031425


夏普值報酬,0.016667505521884
夏普值風險,0.014160631192732
夏普值,1.177031256236545
二次趨勢線,-23.392823203416050 x^2 + 20494.078165045913920 x + 10000000.000000000000000
二次平均預期報酬,17991.046082280394330
風險,163547.083738487883238
二次平均趨勢值,0.110005300437201
一次趨勢線,18625.617596220941778 x + 10000000.000000000000000
一次預期報酬,18625.617596220941778
一次風險,166227.611787033907603
一次趨勢值,0.112048879220400
投資組合檔數,2
Stock#,HD[9](20),V[25](11)
張數,88386,156054,
分配資金,13912082,13912082,
剩餘資金,3.979999999515712,29.839999999850988,
20120821,4977903.500000000000000,4975031.359999999403954,9952934.859999999403954
20120822,5006187.019999999552965,4998439.459999999962747,10004626.480000000447035
20120823,4998232.279999999329448,4960986.500000000000000,9959218.779999999329448
20120824,5034470.540000000037253,4942260.020000000484288,9976730.560000000521541
20120827,5008838.599999999627471,4981273.520000000484288,9990112.120000001043081
20120828,4996464.559999999590218,4970349.740000000223517,9966814.300000000745058
20120829,5023864.219999999739230,4995318.379999999888241,10019182.599999999627471
20120830,5004419.299999998882413,4943820.559999999590218,9948239.859999999403954
20120831,5015909.479999999515712,5003121.080000000074506,10019030.559999998658895
20120904,5019444.919999998994172,5014044.860000000335276,10033489.779999999329448
20120905,4997348.419999998994172,4978152.439999999478459,9975500.859999999403954
20120906,5095456.879999998956919,5053058.360000000335276,10148515.239999998360872
20120907,5060986.339999998919666,5060861.059999999590218,10121847.399999998509884
20120910,5064521.779999999329448,5020287.020000000484288,10084808.800000000745058
20120911,5013257.899999999441206,5129524.819999999366701,10142782.719999998807907
20120912,5042425.279999999329448,5207551.819999999366701,10249977.099999997764826
20120913,5152907.779999999329448,5265291.799999999813735,10418199.579999998211861
20120914,5255435.540000000037253,5237202.080000000074506,10492637.620000001043081
20120917,5206823.239999999292195,5223157.219999999739230,10429980.459999999031425
20120918,5202403.939999999478459,5215354.520000000484288,10417758.460000000894070
20120919,5256319.399999999441206,5259049.640000000596046,10515369.039999999105930
20120920,5239526.059999999590218,5251246.939999999478459,10490773.000000000000000
20120921,5251900.099999999627471,5266852.339999999850988,10518752.439999999478459
20120924,5249248.519999999552965,5218475.599999999627471,10467724.119999999180436
20120925,5278415.899999999441206,5249686.400000000372529,10528102.300000000745058
20120926,5229803.599999999627471,5170098.860000000335276,10399902.460000000894070
20120927,5292557.660000000149012,5224717.759999999776483,10517275.419999999925494
20120928,5335866.799999998882413,5238762.620000000111759,10574629.419999998062849
20121001,5353544.000000000000000,5333955.559999999590218,10687499.559999998658895
20121002,5332331.359999999403954,5305865.839999999850988,10638197.199999999254942
20121003,5459607.200000000186265,5404179.860000000335276,10863787.060000000521541
20121004,5456955.620000000111759,5449435.520000000484288,10906391.140000000596046
20121005,5585999.179999999701977,5472843.620000000111759,11058842.800000000745058
20121008,5469329.660000000149012,5411982.559999999590218,10881312.219999998807907
20121009,5387130.679999999701977,5335516.099999999627471,10722646.779999999329448
20121010,5280183.620000000111759,5360484.740000000223517,10640668.359999999403954
20121011,5215661.839999998919666,5424466.879999999888241,10640128.719999998807907
20121012,5264274.139999999664724,5427587.959999999962747,10691862.099999999627471
20121015,5360614.879999998956919,5457238.219999999739230,10817853.099999997764826
20121016,5379175.939999999478459,5507175.500000000000000,10886351.439999999478459
20121017,5426020.519999999552965,5561794.400000000372529,10987814.919999999925494
20121018,5462258.779999999329448,5535265.219999999739230,10997524.000000000000000
20121019,5470213.519999999552965,5460359.299999999813735,10930572.820000000298023
20121022,5483471.419999998994172,5422906.339999999850988,10906377.759999997913837
20121023,5457839.479999999515712,5330834.479999999515712,10788673.959999999031425
20121024,5416298.059999999590218,5324592.319999999366701,10740890.379999998956919
20121025,5345589.259999998845160,5366726.900000000372529,10712316.160000000149012
20121026,5306699.419999998994172,5396377.159999999217689,10703076.579999998211861
20121031,5425136.660000000149012,5413543.099999999627471,10838679.759999999776483
20121101,5502916.339999998919666,5613292.219999999739230,11116208.559999998658895
20121102,5481703.700000000186265,5594565.740000000223517,11076269.440000001341105
20121105,5513522.660000000149012,5521220.360000000335276,11034743.019999999552965
20121106,5534735.299999998882413,5613292.219999999739230,11148027.519999999552965
20121107,5479052.120000000111759,5561794.400000000372529,11040846.519999999552965
20121108,5379175.939999999478459,5543067.919999999925494,10922243.859999999403954
20121109,5388014.540000000037253,5575839.259999999776483,10963853.800000000745058
20121112,5405691.739999999292195,5588323.580000000074506,10994015.320000000298023
20121113,5601908.660000000149012,5557112.779999999329448,11159021.439999999478459
20121114,5433091.399999999441206,5460359.299999999813735,10893450.699999999254942
20121115,5413646.479999999515712,5461919.839999999850988,10875566.320000000298023
20121116,5490542.299999998882413,5568036.559999999590218,11058578.859999999403954
20121119,5597489.359999999403954,5681955.979999999515712,11279445.339999999850988
20121120,5640798.500000000000000,5710045.700000000186265,11350844.199999999254942
20121121,5664662.719999999739230,5722530.020000000484288,11387192.740000000223517
20121123,5729184.499999999068677,5778709.459999999962747,11507893.959999999031425
20121126,5715926.599999999627471,5744377.580000000074506,11460304.179999999701977
20121127,5670849.739999999292195,5727211.640000000596046,11398061.379999998956919
20121128,5730068.359999999403954,5745938.120000000111759,11476006.480000000447035
20121129,5677920.619999999180436,5781830.539999999105930,11459751.159999998286366
20121130,5751280.999999999068677,5841131.059999999590218,11592412.059999998658895
20121203,5743326.259999999776483,5798996.479999999515712,11542322.739999998360872
20121204,5677920.619999999180436,5758422.439999999478459,11436343.059999998658895
20121205,5658475.699999999254942,5777148.919999999925494,11435624.619999999180436
20121206,5686759.219999999739230,5792754.319999999366701,11479513.539999999105930
20121207,5696481.679999999701977,5795875.400000000372529,11492357.080000000074506
20121210,5571857.419999998994172,5800557.020000000484288,11372414.439999999478459
20121211,5558599.519999999552965,5809920.259999999776483,11368519.779999999329448
20121212,5562134.959999999031425,5769346.219999999739230,11331481.179999999701977
20121213,5516174.239999999292195,5742817.039999999105930,11258991.279999997466803
20121214,5485239.139999999664724,5728772.179999999701977,11214011.320000000298023
20121217,5595721.639999999664724,5817722.959999999962747,11413444.599999999627471
20121218,5568321.979999999515712,5880144.559999999590218,11448466.539999999105930
20121219,5459607.200000000186265,5819283.500000000000000,11278890.699999999254942
20121220,5477284.399999999441206,5948808.319999999366701,11426092.719999998807907
20121221,5419833.500000000000000,5881705.099999999627471,11301538.599999999627471
20121224,5441930.000000000000000,5898871.039999999105930,11340801.039999999105930
20121226,5403924.019999999552965,5842691.599999999627471,11246615.619999999180436
