代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12483161.830000001937151
真實報酬,19448657.359999999403954


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-129.146442675989988 x^2 + 38837.425839749543229 x + 10000000.000000000000000
二次平均預期報酬,19207.166552999064152
風險,244576.120505532919196
二次平均趨勢值,0.078532468800708
一次趨勢線,24163.321125396440038 x + 10000000.000000000000000
一次預期報酬,24163.321125396440038
一次風險,328287.111661242437549
一次趨勢值,0.073604233206482
投資組合檔數,3
Stock#,CAT[3](24),DIS[6](15),XOM[29](29)
張數,42252,96116,50261,
分配資金,3333333,3333333,3333333,
剩餘資金,72.720000000204891,30.120000000111759,23.480000000447035,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3309671.880000000353903,3361206.640000000130385,3334338.220000000670552,10005217.740000002086163
FS( 3 ),3340093.320000000298023,3408303.479999999981374,3327301.680000000633299,10075699.480000000447035
FS( 4 ),3323192.520000000484288,3456361.479999999981374,3343887.810000000521541,10123442.810000000521541
FS( 5 ),3305024.160000000149012,3452516.840000000316650,3300663.350000000558794,10058205.350000001490116
FS( 6 ),3284743.200000000186265,3509225.279999999795109,3328306.900000000372529,10122276.380000000819564
FS( 7 ),3321079.919999999925494,3472701.200000000186265,3341877.370000000111759,10135659.490000000223517
FS( 8 ),3349388.760000000242144,3463089.600000000093132,3364997.430000000633299,10177476.790000000968575
FS( 9 ),3369669.720000000204891,3470778.879999999888241,3409729.720000000670552,10250179.320000000298023
FS( 10 ),3375162.479999999981374,3488079.760000000242144,3416263.650000000372529,10279506.890000000596046
FS( 11 ),3514594.080000000540167,3559205.600000000093132,3487131.660000000149012,10560932.339999999850988
FS( 12 ),3529804.800000000279397,3575545.320000000298023,3518293.480000000447035,10623644.600000001490116
FS( 13 ),3512058.960000000428408,3562089.080000000540167,3534377.000000000000000,10608526.040000000968575
FS( 14 ),3460934.040000000037253,3542865.879999999888241,3549957.910000000149012,10553758.830000000074506
FS( 15 ),3484172.640000000130385,3555360.960000000428408,3575088.410000000149012,10614623.010000001639128
FS( 16 ),3483327.600000000093132,3453478.000000000000000,3610271.110000000335276,10547077.710000000894070
FS( 17 ),3424174.800000000279397,3628409.120000000111759,3568051.870000000111759,10620636.789999999105930
FS( 18 ),3457131.359999999869615,3580351.120000000111759,3542418.760000000707805,10579902.240000002086163
FS( 19 ),3395865.960000000428408,3548632.840000000316650,3465016.820000000298023,10409516.620000001043081
FS( 20 ),3429667.560000000055879,3577467.640000000130385,3468535.090000000782311,10475671.290000000968575
FS( 21 ),3511636.440000000409782,3612069.399999999906868,3533874.390000000596046,10657581.230000000447035
FS( 22 ),3547973.160000000149012,3557283.279999999795109,3545434.420000000856817,10650691.859999999403954
FS( 23 ),3549240.720000000204891,3551516.320000000298023,3527843.070000000298023,10628601.110000001266599
FS( 24 ),3491355.479999999981374,3471740.040000000037253,3467027.260000000707805,10430123.780000001192093
FS( 25 ),3578394.600000000093132,3543827.040000000037253,3512262.160000000149012,10634484.800000000745058
FS( 26 ),3554733.479999999981374,3527487.320000000298023,3479592.510000000707805,10561814.310000002384186
FS( 27 ),3535297.560000000055879,3500574.840000000316650,3490649.930000000633299,10526523.330000001937151
FS( 28 ),3574591.919999999925494,3509225.279999999795109,3496178.640000000596046,10579996.839999999850988
