代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11279103.439999999478459
真實報酬,19566162.720000002533197


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-557.163738765688777 x^2 + 53773.185646489917417 x + 10000000.000000000000000
二次平均預期報酬,16443.215149188767100
風險,53216.021907724440098
二次平均趨勢值,0.308989934980502
一次趨勢線,25986.215125942395389 x + 10000000.000000000000000
一次預期報酬,25986.215125942395389
一次風險,25986.215125942602754
一次趨勢值,0.999999999999992
投資組合檔數,1
Stock#,AAPL[0](11)
張數,310462,
分配資金,10000000,
剩餘資金,18.980000000447035,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10049673.919999999925494,10049673.919999999925494
FS( 3 ),9928593.740000000223517,9928593.740000000223517
FS( 4 ),9953430.700000001117587,9953430.700000001117587
FS( 5 ),9941012.220000000670552,9941012.220000000670552
FS( 6 ),9962744.560000002384186,9962744.560000002384186
FS( 7 ),9857187.480000000447035,9857187.480000000447035
FS( 8 ),9968953.800000000745058,9968953.800000000745058
FS( 9 ),10127289.419999999925494,10127289.419999999925494
FS( 10 ),10173858.720000000670552,10173858.720000000670552
FS( 11 ),10052778.540000000968575,10052778.540000000968575
FS( 12 ),10242160.360000001266599,10242160.360000001266599
FS( 13 ),10307357.380000000819564,10307357.380000000819564
FS( 14 ),10459483.759999999776483,10459483.759999999776483
FS( 15 ),10422228.320000000298023,10422228.320000000298023
FS( 16 ),10465693.000000000000000,10465693.000000000000000
FS( 17 ),10577459.320000000298023,10577459.320000000298023
FS( 18 ),10624028.619999999180436,10624028.619999999180436
FS( 19 ),10670597.919999999925494,10670597.919999999925494
FS( 20 ),10642656.340000001713634,10642656.340000001713634
FS( 21 ),10723376.460000000894070,10723376.460000000894070
FS( 22 ),10745108.800000000745058,10745108.800000000745058
FS( 23 ),10751318.040000000968575,10751318.040000000968575
FS( 24 ),10897235.180000001564622,10897235.180000001564622
FS( 25 ),11040047.700000001117587,11040047.700000001117587
FS( 26 ),10971746.060000002384186,10971746.060000002384186
FS( 27 ),10959327.580000000074506,10959327.580000000074506
FS( 28 ),10847561.259999999776483,10847561.259999999776483
FS( 29 ),11496426.840000001713634,11496426.840000001713634
FS( 30 ),11819307.320000000298023,11819307.320000000298023
FS( 31 ),12011793.759999999776483,12011793.759999999776483
FS( 32 ),11952805.980000000447035,11952805.980000000447035
FS( 33 ),11620611.640000000596046,11620611.640000000596046
FS( 34 ),11601983.919999999925494,11601983.919999999925494
FS( 35 ),11915550.540000000968575,11915550.540000000968575
FS( 36 ),11580251.580000000074506,11580251.580000000074506
FS( 37 ),11813098.080000000074506,11813098.080000000074506
FS( 38 ),11471589.880000000819564,11471589.880000000819564
FS( 39 ),11353614.320000000298023,11353614.320000000298023
FS( 40 ),10922072.140000000596046,10922072.140000000596046
FS( 41 ),10459483.759999999776483,10459483.759999999776483
FS( 42 ),11263580.340000001713634,11263580.340000001713634
FS( 43 ),11378451.279999999329448,11378451.279999999329448
FS( 44 ),11623716.259999999776483,11623716.259999999776483
FS( 45 ),11459171.399999998509884,11459171.399999998509884
FS( 46 ),11257371.099999999627471,11257371.099999999627471
FS( 47 ),11275998.820000000298023,11275998.820000000298023
FS( 48 ),11192174.080000000074506,11192174.080000000074506
FS( 49 ),11015210.740000000223517,11015210.740000000223517
FS( 50 ),10546413.119999999180436,10546413.119999999180436
FS( 51 ),10748213.419999999925494,10748213.419999999925494
FS( 52 ),10943804.480000000447035,10943804.480000000447035
FS( 53 ),10875502.840000001713634,10875502.840000001713634
FS( 54 ),10825828.919999999925494,10825828.919999999925494
FS( 55 ),11235638.759999999776483,11235638.759999999776483
FS( 56 ),11393974.380000000819564,11393974.380000000819564
FS( 57 ),11567833.099999999627471,11567833.099999999627471
FS( 58 ),11707541.000000000000000,11707541.000000000000000
FS( 59 ),11670285.560000002384186,11670285.560000002384186
FS( 60 ),11353614.320000000298023,11353614.320000000298023
FS( 61 ),11130081.680000001564622,11130081.680000001564622
FS( 62 ),11058675.419999999925494,11058675.419999999925494
FS( 63 ),10785468.860000001266599,10785468.860000001266599
FS( 64 ),11111453.960000000894070,11111453.960000000894070
FS( 65 ),11244952.619999999180436,11244952.619999999180436
FS( 66 ),11279103.439999999478459,11279103.439999999478459
