訓練日期,20181019 - 20190124
測試日期,20190125 - 20190403
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12629794.199999999254942
真實報酬,1408696.929999999701977


夏普值報酬,0.124353206200592
夏普值風險,0.038364322634404
夏普值,3.241376301248088
二次趨勢線,-48.845225680201139 x^2 + 26594.579735359322513 x + 10000000.000000000000000
二次平均預期報酬,21026.224007816395897
風險,358991.037618816015311
二次平均趨勢值,0.058570331302094
一次趨勢線,22436.710590784383385 x + 10000000.000000000000000
一次預期報酬,22436.710590784383385
一次風險,365848.180414465488866
一次趨勢值,0.061327927243935
投資組合檔數,2
Stock#,INTC[11](14),PG[21](9)
張數,111185,62313,
分配資金,29277501,29277501,
剩餘資金,10.549999999813735,4.879999999888241,
20181019,4892150.549999999813735,5439929.779999999329448,10332080.329999998211861
20181022,5004447.399999999441206,5396310.679999999701977,10400758.079999998211861
20181023,4947743.049999999813735,5431205.959999999962747,10378949.009999999776483
20181024,4716478.250000000000000,5574525.859999999403954,10291004.109999999403954
20181025,4926617.900000000372529,5545861.879999999888241,10472479.780000001192093
20181026,5080053.199999999254942,5474825.059999999590218,10554878.259999997913837
20181029,5047809.549999999813735,5498504.000000000000000,10546313.550000000745058
20181030,5310206.149999999441206,5557701.349999999627471,10867907.500000000000000
20181031,5212363.350000000558794,5525921.720000000670552,10738285.070000000298023
20181101,5361351.250000000000000,5582626.549999999813735,10943977.800000000745058
20181102,5237935.899999999441206,5596335.410000000149012,10834271.309999998658895
20181105,5333555.000000000000000,5682950.480000000447035,11016505.480000000447035
20181106,5253501.799999999813735,5702267.509999999776483,10955769.309999998658895
20181107,5416943.750000000000000,5688558.650000000372529,11105502.400000000372529
20181108,5446963.700000000186265,5692920.559999999590218,11139884.259999999776483
20181109,5349120.899999999441206,5758349.209999999962747,11107470.109999999403954
20181112,5186790.799999999813735,5776419.980000000447035,10963210.780000001192093
20181113,5269067.700000000186265,5824400.990000000223517,11093468.690000001341105
20181114,5235712.200000000186265,5825647.250000000000000,11061359.449999999254942
20181115,5349120.899999999441206,5846833.669999999925494,11195954.570000000298023
20181116,5429174.099999999627471,5846210.539999999105930,11275384.639999998733401
20181119,5336890.549999999813735,5813184.650000000372529,11150075.199999999254942
20181120,5269067.700000000186265,5739032.179999999701977,11008099.879999998956919
20181121,5229041.099999999627471,5696036.209999999962747,10925077.309999998658895
20181123,5174560.449999999254942,5704136.900000000372529,10878697.349999999627471
20181126,5275738.799999999813735,5729062.099999999627471,11004800.899999998509884
20181127,5344673.500000000000000,5777666.240000000223517,11122339.740000000223517
20181128,5432509.649999999441206,5795737.009999999776483,11228246.660000000149012
20181129,5303535.049999999813735,5783897.539999999105930,11087432.589999999850988
20181130,5482542.900000000372529,5889206.509999999776483,11371749.410000000149012
20181203,5573714.600000000558794,5815054.039999999105930,11388768.640000000596046
20181204,5309094.299999999813735,5814430.910000000149012,11123525.210000000894070
20181206,5378028.999999999068677,5829386.029999999329448,11207415.029999997466803
20181207,5141204.950000000186265,5760841.730000000447035,10902046.679999999701977
20181210,5249054.400000000372529,5796983.269999999552965,11046037.669999999925494
20181211,5267955.850000000558794,5851818.709999999962747,11119774.560000000521541
20181212,5317989.099999999627471,5859296.269999999552965,11177285.369999999180436
20181213,5369134.199999999254942,6012586.250000000000000,11381720.449999999254942
20181214,5321324.649999999441206,6021933.200000000186265,11343257.849999999627471
20181217,5234600.349999999627471,5780781.889999999664724,11015382.239999998360872
20181218,5307982.450000000186265,5763334.250000000000000,11071316.699999999254942
20181219,5066711.000000000000000,5717845.759999999776483,10784556.759999999776483
20181220,5063375.449999999254942,5669241.620000000111759,10732617.070000000298023
20181221,4985545.950000000186265,5668618.490000000223517,10654164.440000001341105
20181224,4846564.700000000186265,5443668.559999999590218,10290233.259999999776483
20181226,5135645.699999999254942,5613783.049999999813735,10749428.750000000000000
20181227,5154547.149999999441206,5734047.139999999664724,10888594.289999999105930
20181228,5197909.299999999813735,5681704.220000000670552,10879613.519999999552965
20181231,5217922.599999999627471,5727815.839999999850988,10945738.439999999478459
20190102,5234600.349999999627471,5687935.519999999552965,10922535.869999999180436
20190103,4946631.200000000186265,5648055.200000000186265,10594686.400000000372529
20190104,5250166.250000000000000,5763334.250000000000000,11013500.500000000000000
20190107,5274626.949999999254942,5740278.440000000409782,11014905.390000000596046
20190108,5307982.450000000186265,5761464.859999999403954,11069447.309999998658895
20190109,5338002.399999999441206,5667372.230000000447035,11005374.629999998956919
20190110,5399154.150000000372529,5681081.089999999850988,11080235.240000000223517
20190111,5440292.599999999627471,5718468.889999999664724,11158761.489999998360872
20190114,5375805.299999999813735,5679834.830000000074506,11055640.129999998956919
20190115,5403601.549999999813735,5733424.009999999776483,11137025.559999998658895
20190116,5351344.600000000558794,5693543.690000000409782,11044888.290000000968575
20190117,5389147.500000000000000,5648055.200000000186265,11037202.699999999254942
20190118,5469200.699999999254942,5696659.339999999850988,11165860.039999999105930
20190122,5366910.500000000000000,5635592.599999999627471,11002503.099999999627471
20190123,5330219.449999999254942,5909769.799999999813735,11239989.250000000000000
20190124,5532576.149999999441206,5876120.779999999329448,11408696.929999999701977
20190125,5230152.949999999254942,5832501.679999999701977,11062654.629999998956919
20190128,5193461.900000000372529,5827516.639999999664724,11020978.539999999105930
20190129,5174560.449999999254942,5828762.900000000372529,11003323.349999999627471
20190130,5285745.449999999254942,5889829.639999999664724,11175575.089999999850988
20190131,5239047.749999999068677,6011339.990000000223517,11250387.739999998360872
20190201,5418055.599999999627471,6073652.990000000223517,11491708.589999999850988
20190204,5472536.250000000000000,6108548.269999999552965,11581084.519999999552965
20190205,5560372.399999999441206,6071783.599999999627471,11632156.000000000000000
20190206,5548142.049999999813735,6101693.839999999850988,11649835.890000000596046
20190207,5473648.099999999627471,6053089.700000000186265,11526737.800000000745058
20190208,5430285.950000000186265,6088608.109999999403954,11518894.059999998658895
20190211,5422503.000000000000000,6123503.389999999664724,11546006.390000000596046
20190212,5560372.399999999441206,6185193.259999999776483,11745565.660000000149012
20190213,5611517.500000000000000,6183947.000000000000000,11795464.500000000000000
20190214,5649320.400000000372529,6135342.859999999403954,11784663.259999999776483
