訓練日期,20151229 - 20160401
測試日期,20160404 - 20160513
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10792978.449999999254942
真實報酬,1460410.500000000000000


夏普值報酬,0.060007645380744
夏普值風險,0.026379962674951
夏普值,2.274743377014834
二次趨勢線,-246.849243717257650 x^2 + 34411.620909510762431 x + 10000000.000000000000000
二次平均預期報酬,10714.093512654029837
風險,191509.762335011007963
二次平均趨勢值,0.055945416996089
一次趨勢線,16731.528479918713856 x + 10000000.000000000000000
一次預期報酬,16731.528479918713856
一次風險,316781.940242302371189
一次趨勢值,0.052817179120505
投資組合檔數,2
Stock#,VZ[26](20),WMT[28](21)
張數,106951,82304,
分配資金,20677166,20677166,
剩餘資金,40.750000000000000,32.000000000000000,
20151229,5049197.459999999962747,5070781.440000000409782,10119978.900000000372529
20151230,5002139.020000000484288,5076542.719999999739230,10078681.740000000223517
20151231,4943315.969999999739230,5045267.200000000186265,9988583.169999999925494
20160104,4905883.120000000111759,5058435.839999999850988,9964318.960000000894070
20160105,4973262.250000000000000,5178599.679999999701977,10151861.929999999701977
20160106,4868450.270000000484288,5230451.200000000186265,10098901.470000000670552
20160107,4841712.520000000484288,5352261.120000000111759,10193973.640000000596046
20160108,4794654.080000000074506,5229628.160000000149012,10024282.240000000223517
20160111,4822461.340000000782311,5285594.879999999888241,10108056.220000000670552
20160112,4805349.179999999701977,5236212.479999999515712,10041561.660000000149012
20160113,4721927.399999999441206,5096295.679999999701977,9818223.079999998211861
20160114,4798932.120000000111759,5190122.240000000223517,9989054.359999999403954
20160115,4751873.679999999701977,5097118.719999999739230,9848992.399999998509884
20160119,4798932.120000000111759,5148970.240000000223517,9947902.359999999403954
20160120,4750804.169999999925494,5007407.360000000335276,9758211.530000001192093
20160121,4905883.120000000111759,5093003.520000000484288,9998886.640000000596046
20160122,5031015.790000000037253,5159669.759999999776483,10190685.550000000745058
20160125,5029946.280000000260770,5222220.799999999813735,10252167.080000000074506
20160126,5160426.500000000000000,5267488.000000000000000,10427914.500000000000000
20160127,5243848.280000000260770,5263372.799999999813735,10507221.080000000074506
20160128,5241709.259999999776483,5285594.879999999888241,10527304.140000000596046
20160129,5344382.219999999739230,5461725.440000000409782,10806107.660000000149012
20160201,5428873.509999999776483,5555552.000000000000000,10984425.509999999776483
20160202,5337965.159999999217689,5502877.440000000409782,10840842.599999999627471
20160203,5413900.370000000111759,5454318.080000000074506,10868218.449999999254942
20160204,5393579.679999999701977,5466663.679999999701977,10860243.359999999403954
20160205,5451333.219999999739230,5514400.000000000000000,10965733.219999998807907
20160208,5426734.490000000223517,5506169.600000000558794,10932904.089999999850988
20160209,5363633.399999999441206,5416458.240000000223517,10780091.640000000596046
20160210,5345451.729999999515712,5414812.160000000149012,10760263.890000000596046
20160211,5282350.639999999664724,5376129.279999999329448,10658479.919999998062849
20160212,5359355.360000000335276,5446910.720000000670552,10806266.080000001937151
20160216,5373258.990000000223517,5423865.600000000558794,10797124.589999999850988
20160217,5381815.070000000298023,5441149.440000000409782,10822964.510000001639128
20160218,5448124.689999999478459,5277364.480000000447035,10725489.169999999925494
20160219,5439568.610000000335276,5321808.639999999664724,10761377.250000000000000
20160222,5462028.320000000298023,5401643.519999999552965,10863671.839999999850988
20160223,5414969.879999999888241,5471601.919999999925494,10886571.800000000745058
20160224,5435290.570000000298023,5524276.480000000447035,10959567.050000000745058
20160225,5466306.360000000335276,5599996.160000000149012,11066302.519999999552965
20160226,5456680.770000000484288,5474071.040000000037253,10930751.810000000521541
20160229,5425664.979999999515712,5460079.360000000335276,10885744.339999999850988
20160301,5503739.209999999962747,5469955.839999999850988,10973695.050000000745058
20160302,5574326.870000000111759,5449379.839999999850988,11023706.710000000894070
20160303,5549728.139999999664724,5443618.559999999590218,10993346.699999999254942
20160304,5541172.060000000521541,5496293.120000000111759,11037465.179999999701977
20160307,5583952.459999999962747,5587650.559999999590218,11171603.019999999552965
20160308,5610690.209999999962747,5599996.160000000149012,11210686.370000001043081
20160309,5597856.090000000782311,5558021.120000000111759,11155877.210000000894070
20160310,5595717.070000000298023,5548144.639999999664724,11143861.710000000894070
20160311,5618176.780000000260770,5528391.679999999701977,11146568.460000000894070
20160314,5619246.290000000037253,5544029.440000000409782,11163275.730000000447035
20160315,5633149.919999999925494,5604111.360000000335276,11237261.280000001192093
20160316,5690903.459999999962747,5595880.959999999962747,11286784.419999999925494
20160317,5735822.879999999888241,5551436.799999999813735,11287259.679999999701977
20160318,5694111.990000000223517,5510284.799999999813735,11204396.789999999105930
20160321,5715502.189999999478459,5594234.879999999888241,11309737.070000000298023
20160322,5690903.459999999962747,5586004.480000000447035,11276907.940000001341105
