訓練日期,20180717 - 20181016
測試日期,20181017 - 20181219
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11253044.280000001192093
真實報酬,1263997.390000000596046


夏普值報酬,-0.137024770036085
夏普值風險,0.033167149530246
夏普值,-4.131339954647881
二次趨勢線,-34.639461213812510 x^2 + 23339.096789541399630 x + 10000000.000000000000000
二次平均預期報酬,19528.756056022019038
風險,197660.558263884158805
二次平均趨勢值,0.098799458159733
一次趨勢線,20494.390351502966951 x + 10000000.000000000000000
一次預期報酬,20494.390351502966951
一次風險,203065.282637790922308
一次趨勢值,0.100925131491132
投資組合檔數,3
Stock#,MCD[15](2),PFE[20](10),WBA[27](8)
張數,20993,89174,51156,
分配資金,23029114,23029114,23029114,
剩餘資金,64.459999999962747,8.879999999888241,8.040000000037253,
20180717,3353696.209999999962747,3357409.979999999981374,3357376.319999999832362,10068483.509999999776483
20180718,3315488.950000000186265,3358301.719999999739230,3384489.000000000000000,10058280.669999999925494
20180719,3304572.589999999850988,3331549.520000000018626,3321567.120000000577420,9957690.230000000447035
20180720,3316328.669999999925494,3328874.299999999813735,3324124.920000000391155,9969328.890000000596046
20180723,3332703.209999999962747,3318173.419999999925494,3342541.080000000074506,9993418.710000000894070
20180724,3315698.879999999888241,3361868.680000000167638,3351237.600000000093132,10028806.160000000149012
20180725,3335642.229999999515712,3387729.140000000130385,3412113.240000000223517,10135485.609999999403954
20180726,3277911.479999999515712,3402888.719999999739230,3455084.280000000260770,10135885.480000000447035
20180727,3306042.099999999627471,3425182.219999999739230,3511355.879999999888241,10242581.199999999254942
20180730,3330393.979999999515712,3441233.540000000037253,3537957.000000000000000,10309585.519999999552965
20180731,3307301.679999999701977,3560726.699999999720603,3459176.760000000242144,10327206.139999998733401
20180801,3294286.019999999552965,3591045.860000000335276,3398812.679999999701977,10284145.559999998658895
20180802,3262586.589999999850988,3535757.979999999981374,3426436.920000000391155,10224782.490000000223517
20180803,3279380.990000000223517,3615122.839999999850988,3438714.359999999869615,10333219.189999999478459
20180806,3290087.419999999925494,3659709.839999999850988,3448945.560000000055879,10398743.820000000298023
20180807,3275812.179999999701977,3641875.040000000037253,3430017.839999999850988,10347706.059999998658895
20180808,3336272.019999999552965,3692704.219999999739230,3401370.479999999981374,10430347.719999998807907
20180809,3344249.360000000335276,3656142.879999999888241,3385000.560000000055879,10385393.800000000745058
20180810,3331233.700000000186265,3649900.699999999720603,3401370.479999999981374,10382505.880000000819564
20180813,3319897.479999999515712,3639199.820000000298023,3400858.920000000391155,10359957.220000000670552
20180814,3371540.259999999776483,3630282.419999999925494,3512379.000000000000000,10514202.679999999701977
20180815,3356425.299999999813735,3670410.719999999739230,3515959.920000000391155,10542796.939999999478459
20180816,3395262.349999999627471,3693595.959999999962747,3561488.760000000242144,10650348.070000000298023
20180817,3383086.410000000149012,3753342.540000000037253,3580416.479999999981374,10716846.429999999701977
20180820,3394212.700000000186265,3774744.299999999813735,3580416.479999999981374,10749374.480000000447035
20180821,3380777.179999999701977,3759584.719999999739230,3593717.040000000037253,10734079.939999999478459
20180822,3370490.610000000335276,3751559.060000000055879,3562511.879999999888241,10684562.550000000745058
20180823,3339001.110000000335276,3763151.680000000167638,3544095.720000000204891,10646249.510000001639128
20180824,3345928.799999999813735,3780986.479999999981374,3540514.799999999813735,10667431.079999998211861
20180827,3369021.099999999627471,3707863.799999999813735,3552280.679999999701977,10629166.579999998211861
20180828,3393372.979999999515712,3700729.879999999888241,3544095.720000000204891,10638199.580000000074506
20180829,3424232.690000000409782,3700729.879999999888241,3512379.000000000000000,10637342.570000000298023
20180830,3417724.860000000335276,3700729.879999999888241,3468384.839999999850988,10586840.580000000074506
20180831,3405758.849999999627471,3702513.360000000335276,3507263.400000000372529,10615536.609999999403954
20180904,3395052.419999999925494,3689137.259999999776483,3459176.760000000242144,10543367.439999999478459
20180905,3426961.780000000260770,3731940.779999999795109,3490893.479999999981374,10649797.040000000968575
20180906,3437458.280000000260770,3725698.600000000093132,3480150.720000000204891,10643308.600000001490116
20180907,3440817.160000000149012,3763151.680000000167638,3488335.679999999701977,10692305.519999999552965
20180910,3465378.969999999739230,3750667.320000000298023,3519540.839999999850988,10735588.129999998956919
20180911,3455932.120000000111759,3772960.820000000298023,3516471.479999999981374,10745365.419999999925494
20180912,3458451.280000000260770,3781878.219999999739230,3600367.319999999832362,10840697.820000000298023
20180913,3409327.660000000149012,3821114.779999999795109,3605482.920000000391155,10835926.359999999403954
20180914,3376578.580000000074506,3830923.919999999925494,3595251.720000000204891,10802755.220000000670552
20180917,3319897.479999999515712,3835382.619999999646097,3603948.240000000223517,10759229.339999999850988
20180918,3312130.070000000298023,3879969.619999999646097,3625945.319999999832362,10818046.009999999776483
20180919,3341730.200000000186265,3857676.119999999646097,3646407.720000000204891,10845815.040000000968575
20180920,3375528.929999999701977,3901371.379999999888241,3728768.879999999888241,11005670.189999999478459
20180921,3470207.360000000335276,3929015.320000000298023,3734396.040000000037253,11133619.720000000670552
20180924,3428431.290000000037253,3917422.699999999720603,3693471.240000000223517,11039326.230000000447035
20180925,3493509.589999999850988,3904938.339999999850988,3693982.799999999813735,11092431.730000000447035
20180926,3479864.139999999664724,3895129.199999999720603,3732349.799999999813735,11107344.140000000596046
20180927,3496028.750000000000000,3914747.479999999981374,3775832.400000000372529,11186609.630000000819564
20180928,3511983.429999999701977,3929907.060000000055879,3729280.440000000409782,11171171.929999999701977
