訓練日期,20181024 - 20190129
測試日期,20190130 - 20190327
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11416446.160000000149012
真實報酬,683262.350000001490116


夏普值報酬,0.114778914496850
夏普值風險,0.032134932307936
夏普值,3.571780186028446
二次趨勢線,-51.728101574721620 x^2 + 19583.795371112792054 x + 10000000.000000000000000
二次平均預期報酬,14100.616604192302475
風險,260751.323828620690620
二次平均趨勢值,0.054076874460894
一次趨勢線,15490.901267842775269 x + 10000000.000000000000000
一次預期報酬,15490.901267842775269
一次風險,268614.515828445262741
一次趨勢值,0.057669635686168
投資組合檔數,2
Stock#,CAT[3](20),PG[21](12)
張數,42023,57365,
分配資金,22314538,22314538,
剩餘資金,103.459999999962747,66.600000000558794,
20181024,4720967.280000000260770,5131939.500000000000000,9852906.780000001192093
20181025,4859222.950000000186265,5105551.600000000558794,9964774.550000000745058
20181026,4834849.609999999403954,5040155.500000000931323,9875005.109999999403954
20181029,4789885.000000000000000,5061954.200000000186265,9851839.199999999254942
20181030,4936125.040000000037253,5116450.950000000186265,10052575.990000000223517
20181031,5098333.819999999366701,5087194.800000000745058,10185528.620000001043081
20181101,5240371.560000000521541,5139396.950000001117587,10379768.510000001639128
20181102,5286176.629999999888241,5152017.250000000931323,10438193.880000000819564
20181105,5312230.889999999664724,5231754.600000000558794,10543985.490000000223517
20181106,5434938.050000000745058,5249537.750000000931323,10684475.800000000745058
20181107,5677410.759999999776483,5236917.450000001117587,10914328.210000000894070
20181108,5521505.429999999701977,5240933.000000000931323,10762438.429999999701977
20181109,5333242.389999999664724,5301166.250000000000000,10634408.640000000596046
20181112,5252978.459999999962747,5317802.100000000558794,10570780.560000000521541
20181113,5293320.540000000037253,5361973.150000000372529,10655293.690000001341105
20181114,5257180.759999999776483,5363120.450000000186265,10620301.210000000894070
20181115,5438720.119999999180436,5382624.550000000745058,10821344.669999999925494
20181116,5461412.540000000037253,5382050.900000000372529,10843463.440000001341105
20181119,5294161.000000000000000,5351647.450000001117587,10645808.450000001117587
20181120,5138255.669999999925494,5283383.100000000558794,10421638.769999999552965
20181121,5205492.469999999739230,5243801.250000000000000,10449293.719999998807907
20181123,5140356.819999999366701,5251258.700000001117587,10391615.519999999552965
20181126,5244573.859999999403954,5274204.700000000186265,10518778.559999998658895
20181127,5236169.259999999776483,5318949.400000000372529,10555118.660000000149012
20181128,5495451.170000000856817,5335585.250000000931323,10831036.420000001788139
20181129,5472758.749999999068677,5324685.900000000372529,10797444.649999998509884
20181130,5701363.869999999180436,5421632.750000000931323,11122996.620000001043081
20181203,5839199.309999999590218,5353368.400000000372529,11192567.710000000894070
20181204,5434517.819999999366701,5352794.750000000931323,10787312.570000000298023
20181206,5394595.969999999739230,5366562.350000000558794,10761158.320000000298023
20181207,5192045.109999999403954,5303460.850000000558794,10495505.960000000894070
20181210,5185321.429999999701977,5336732.550000000745058,10522053.980000000447035
20181211,5179017.979999999515712,5387213.750000000000000,10566231.730000000447035
20181212,5268526.969999999739230,5394097.550000000745058,10662624.519999999552965
20181213,5290799.160000000149012,5535215.450000000186265,10826014.609999999403954
20181214,5327359.169999999925494,5543820.200000000186265,10871179.370000001043081
20181217,5230706.269999999552965,5321817.650000000372529,10552523.919999999925494
20181218,5222301.669999999925494,5305755.450000000186265,10528057.120000001043081
20181219,5140777.049999999813735,5263879.000000000931323,10404656.050000000745058
20181220,5107999.109999999403954,5219134.300000000745058,10327133.410000000149012
20181221,5045805.069999999366701,5218560.650000000372529,10264365.719999998807907
20181224,4914693.310000000521541,5011473.000000000931323,9926166.310000002384186
20181226,5242892.940000000409782,5168079.450000001117587,10410972.390000000596046
20181227,5323156.870000000111759,5278793.900000000372529,10601950.769999999552965
20181228,5278612.490000000223517,5230607.300000000745058,10509219.790000000968575
20181231,5339966.069999999366701,5273057.400000000372529,10613023.469999998807907
20190102,5310970.200000000186265,5236343.800000000745058,10547314.000000000000000
20190103,5106318.190000000409782,5199630.200000000186265,10305948.390000000596046
20190104,5385350.910000000149012,5305755.450000000186265,10691106.359999999403954
20190107,5388712.749999999068677,5284530.400000000372529,10673243.149999998509884
20190108,5453428.170000000856817,5304034.500000000000000,10757462.670000001788139
20190109,5474439.670000000856817,5217413.350000000558794,10691853.020000001415610
20190110,5587481.540000000037253,5230033.650000000372529,10817515.190000001341105
20190111,5551341.759999999776483,5264452.650000000372529,10815794.410000000149012
20190114,5538734.860000000335276,5228886.350000000558794,10767621.210000000894070
20190115,5492089.330000000074506,5278220.250000000931323,10770309.580000001937151
20190116,5532851.639999999664724,5241506.650000000372529,10774358.289999999105930
20190117,5653877.879999999888241,5199630.200000000186265,10853508.080000000074506
20190118,5740445.259999999776483,5244374.900000000372529,10984820.160000000149012
20190122,5557224.980000000447035,5188157.200000000186265,10745382.179999999701977
20190123,5539575.319999999366701,5440563.200000001117587,10980138.519999999552965
20190124,5577816.249999999068677,5409586.100000000558794,10987402.349999999627471
20190125,5751371.240000000223517,5369430.600000000558794,11120801.839999999850988
20190128,5226503.969999999739230,5364841.400000000372529,10591345.370000001043081
20190129,5317273.650000000372529,5365988.700000001117587,10683262.350000001490116
20190130,5467715.990000000223517,5422206.400000000372529,10889922.390000000596046
20190131,5595886.139999999664724,5534068.150000000372529,11129954.289999999105930
20190201,5501334.389999999664724,5591433.150000000372529,11092767.539999999105930
20190204,5500073.700000000186265,5623557.550000000745058,11123631.250000000000000
20190205,5547139.459999999962747,5589712.200000000186265,11136851.660000000149012
20190206,5485785.879999999888241,5617247.400000000372529,11103033.280000001192093
20190207,5411825.400000000372529,5572502.700000000186265,10984328.100000001490116
20190208,5404261.259999999776483,5605200.750000000000000,11009462.009999999776483
20190211,5418128.850000000558794,5637325.150000000372529,11055454.000000000000000
20190212,5575294.869999999180436,5694116.500000000931323,11269411.370000001043081
20190213,5593364.759999999776483,5692969.200000000186265,11286333.960000000894070
20190214,5573193.719999999739230,5648224.500000000000000,11221418.219999998807907
20190215,5723636.059999999590218,5649371.800000000745058,11373007.859999999403954
20190219,5706826.860000000335276,5735992.950000000186265,11442819.810000000521541
20190220,5896350.589999999850988,5695263.800000000745058,11591614.390000000596046
20190221,5836257.700000000186265,5723946.300000000745058,11560204.000000000000000
20190222,5827853.100000000558794,5750907.850000000558794,11578760.950000001117587
20190225,5942575.889999999664724,5711899.650000000372529,11654475.539999999105930
20190226,5798436.999999999068677,5726814.550000000745058,11525251.550000000745058
20190227,5865673.800000000745058,5674038.750000000000000,11539712.550000000745058
20190228,5771542.280000000260770,5653387.350000000558794,11424929.630000000819564
20190301,5777005.269999999552965,5647077.200000000186265,11424082.469999998807907
20190304,5813985.509999999776483,5671744.150000000372529,11485729.660000000149012
20190305,5763137.679999999701977,5684364.450000001117587,11447502.130000000819564
20190306,5666064.550000000745058,5675186.050000000745058,11341250.600000001490116
20190307,5580757.860000000335276,5653387.350000000558794,11234145.210000000894070
20190308,5519824.509999999776483,5645356.250000000000000,11165180.759999999776483
20190311,5593784.990000000223517,5712473.300000000745058,11306258.290000000968575
