訓練日期,20121018 - 20130124
測試日期,20130125 - 20130503
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12321467.969999998807907
真實報酬,1081654.910000000149012


夏普值報酬,-0.023259313327148
夏普值風險,0.012215368113058
夏普值,-1.904102529852038
二次趨勢線,36.926764464313045 x^2 + 9743.174731554749087 x + 10000000.000000000000000
二次平均預期報酬,14728.287934237010631
風險,158349.161445537349209
二次平均趨勢值,0.093011467820767
一次趨勢線,13468.110619060818863 x + 10000000.000000000000000
一次預期報酬,13468.110619060818863
一次風險,175136.136249481496634
一次趨勢值,0.076900809321701
投資組合檔數,2
Stock#,HD[9](14),V[25](17)
張數,81446,140291,
分配資金,12642538,12642538,
剩餘資金,30.059999999590218,28.759999999776483,
20121018,5033392.859999999403954,4976150.529999999329448,10009543.389999998733401
20121019,5040723.000000000000000,4908810.849999999627471,9949533.849999999627471
20121022,5052939.899999999441206,4875141.009999999776483,9928080.910000000149012
20121023,5029320.559999999590218,4792369.319999999366701,9821689.879999998956919
20121024,4991040.939999999478459,4786757.679999999701977,9777798.619999999180436
20121025,4925884.139999999664724,4824636.250000000000000,9750520.390000000596046
20121026,4890047.899999999441206,4851291.539999999105930,9741339.439999997615814
20121031,4999185.540000000037253,4866723.549999999813735,9865909.089999999850988
20121101,5070858.019999999552965,5046296.029999999329448,10117154.049999998882413
20121102,5051310.979999999515712,5029461.110000000335276,10080772.089999999850988
20121105,5080631.540000000037253,4963524.339999999850988,10044155.879999998956919
20121106,5100178.579999999143183,5046296.029999999329448,10146474.609999999403954
20121107,5048867.599999999627471,5000000.000000000000000,10048867.599999999627471
20121108,4956833.619999999180436,4983165.080000000074506,9939998.699999999254942
20121109,4964978.219999999739230,5012626.189999999478459,9977604.410000000149012
20121112,4981267.419999998994172,5023849.469999999739230,10005116.889999998733401
20121113,5162077.540000000037253,4995791.269999999552965,10157868.809999998658895
20121114,5006515.679999999701977,4908810.849999999627471,9915326.529999999329448
20121115,4988597.559999999590218,4910213.759999999776483,9898811.320000000298023
20121116,5059455.579999999143183,5005611.639999999664724,10065067.219999998807907
20121119,5158005.239999999292195,5108024.069999999366701,10266029.309999998658895
20121120,5197913.779999999329448,5133276.450000000186265,10331190.230000000447035
20121121,5219904.200000000186265,5144499.730000000447035,10364403.929999999701977
20121123,5279359.779999999329448,5195004.490000000223517,10474364.269999999552965
20121126,5267142.879999999888241,5164140.469999999739230,10431283.349999999627471
20121127,5225605.419999998994172,5148708.459999999962747,10374313.879999998956919
20121128,5280174.239999999292195,5165543.379999999888241,10445717.619999999180436
20121129,5232121.099999999627471,5197810.309999999590218,10429931.410000000149012
20121130,5299721.279999999329448,5251120.889999999664724,10550842.169999998062849
20121203,5292391.139999999664724,5213242.319999999366701,10505633.459999999031425
20121204,5232121.099999999627471,5176766.659999999217689,10408887.759999997913837
20121205,5214202.979999999515712,5193601.580000000074506,10407804.559999998658895
20121206,5240265.700000000186265,5207630.679999999701977,10447896.379999998956919
20121207,5249224.759999999776483,5210436.500000000000000,10459661.259999999776483
20121210,5134385.899999999441206,5214645.230000000447035,10349031.129999998956919
20121211,5122169.000000000000000,5223062.689999999478459,10345231.689999999478459
20121212,5125426.839999999850988,5186587.029999999329448,10312013.869999999180436
20121213,5083074.919999998994172,5162737.559999999590218,10245812.479999998584390
20121214,5054568.819999999366701,5150111.370000000111759,10204680.189999999478459
20121217,5156376.319999999366701,5230077.240000000223517,10386453.559999998658895
20121218,5131128.059999999590218,5286193.639999999664724,10417321.699999999254942
20121219,5030949.479999999515712,5231480.149999999441206,10262429.629999998956919
20121220,5047238.679999999701977,5347921.679999999701977,10395160.359999999403954
20121221,4994298.779999999329448,5287596.549999999813735,10281895.329999998211861
20121224,5014660.279999999329448,5303028.559999999590218,10317688.839999999850988
20121226,4979638.500000000000000,5252523.799999999813735,10232162.300000000745058
20121227,4973937.279999999329448,5239897.610000000335276,10213834.890000000596046
20121228,4939729.959999999031425,5213242.319999999366701,10152972.279999997466803
20121231,5037465.160000000149012,5317057.659999999217689,10354522.820000000298023
20130102,5170222.139999999664724,5450334.110000000335276,10620556.250000000000000
20130103,5155561.859999999403954,5454542.839999999850988,10610104.699999999254942
20130104,5145788.339999999850988,5498033.049999999813735,10643821.390000000596046
20130107,5118096.700000000186265,5537314.529999999329448,10655411.230000000447035
20130108,5149046.179999999701977,5589222.200000000186265,10738268.379999998956919
20130109,5144973.879999999888241,5674799.709999999962747,10819773.589999999850988
20130110,5181624.579999999143183,5629906.589999999850988,10811531.169999998062849
20130111,5188140.259999999776483,5652353.149999999441206,10840493.410000000149012
20130114,5170222.139999999664724,5634115.319999999366701,10804337.459999999031425
20130115,5208501.759999999776483,5627100.769999999552965,10835602.529999999329448
20130116,5201171.619999999180436,5618683.309999999590218,10819854.929999999701977
20130117,5298092.359999999403954,5607460.029999999329448,10905552.389999998733401
20130118,5332299.679999999701977,5551343.629999999888241,10883643.309999998658895
20130122,5355104.559999999590218,5577998.919999999925494,10933103.480000000447035
20130123,5412931.219999998807907,5577998.919999999925494,10990930.139999998733401
20130124,5485418.159999999217689,5596236.750000000000000,11081654.910000000149012
20130125,5523697.779999999329448,5606057.120000000111759,11129754.899999998509884
20130128,5504150.739999999292195,5484003.950000000186265,10988154.689999999478459
