訓練日期,20090930 - 20091231
測試日期,20100104 - 20100526
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10316077.019999999552965
真實報酬,1598498.350000001490116


夏普值報酬,-0.138924312000000
夏普值風險,0.034542353124914
夏普值,-4.021854315993346
二次趨勢線,-121.119071650494163 x^2 + 27152.234123110607470 x + 10000000.000000000000000
二次平均預期報酬,7046.468229128568964
風險,378798.759307931701187
二次平均趨勢值,0.018602141786321
一次趨勢線,12118.466573985035211 x + 10000000.000000000000000
一次預期報酬,12118.466573985035211
一次風險,530533.639697463135235
一次趨勢值,0.022842032374979
投資組合檔數,4
Stock#,MSFT[18](23),NKE[19](5),V[25](27),VZ[26](29)
張數,97087,166444,143760,88652,
分配資金,10000000,10000000,10000000,10000000,
剩餘資金,9.750000000000000,11.120000000111759,13.600000000093132,13.600000000093132,
20090930,2497087.389999999664724,2693075.040000000037253,2484186.400000000372529,2508865.200000000186265,10183214.030000001192093
20091001,2415534.310000000055879,2601530.840000000316650,2484186.400000000372529,2487588.720000000204891,9988840.270000001415610
20091002,2423301.270000000018626,2581557.560000000055879,2436745.600000000093132,2477837.000000000000000,9919441.429999999701977
20091005,2392233.430000000167638,2613181.919999999925494,2449684.000000000000000,2483156.120000000111759,9938255.469999998807907
20091006,2437864.319999999832362,2624833.000000000000000,2453996.800000000279397,2500886.520000000018626,10017580.640000000596046
20091007,2436893.450000000186265,2639812.959999999962747,2547440.799999999813735,2435284.040000000037253,10059431.250000000000000
20091008,2492233.040000000037253,2664779.560000000521541,2577630.399999999906868,2416667.120000000111759,10151310.120000001043081
20091009,2480582.600000000093132,2646470.720000000204891,2622196.000000000000000,2416667.120000000111759,10165916.440000001341105
20091012,2497087.389999999664724,2631490.760000000242144,2649510.399999999906868,2403369.319999999832362,10181457.870000001043081
20091013,2505825.219999999739230,2649799.600000000093132,2684012.800000000279397,2405142.359999999869615,10244779.980000000447035
20091014,2520388.270000000018626,2701397.240000000223517,2688325.600000000093132,2398936.720000000204891,10309047.830000000074506
20091015,2593203.520000000018626,2703061.679999999701977,2698388.799999999813735,2413121.040000000037253,10407775.039999999105930
20091016,2572815.250000000000000,2708055.000000000000000,2669636.800000000279397,2395390.640000000130385,10345897.690000001341105
20091019,2559223.069999999832362,2749666.000000000000000,2694076.000000000000000,2400709.759999999776483,10403674.830000000074506
20091020,2560193.939999999944121,2708055.000000000000000,2696951.200000000186265,2387411.959999999962747,10352612.099999999627471
20091021,2580582.209999999962747,2694739.480000000447035,2702701.600000000093132,2406028.880000000353903,10384052.170000001788139
20091022,2581553.080000000074506,2713048.320000000298023,2719952.800000000279397,2405142.359999999869615,10419696.560000000521541
