訓練日期,20150326 - 20150626
測試日期,20150629 - 20150821
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10034500.330000000074506
真實報酬,1298815.440000001341105


夏普值報酬,-0.148575816577638
夏普值風險,0.034080421447033
夏普值,-4.359565118892459
二次趨勢線,-238.890527035173164 x^2 + 33205.903821788109781 x + 10000000.000000000000000
二次平均預期報酬,8122.398483094925723
風險,174984.781485693529248
二次平均趨勢值,0.046417742240967
一次趨勢線,14483.287396734844151 x + 10000000.000000000000000
一次預期報酬,14483.287396734844151
一次風險,340707.627045156725217
一次趨勢值,0.042509431098868
投資組合檔數,3
Stock#,DIS[6](26),GS[8](20),JPM[13](17)
張數,31746,17792,55919,
分配資金,18922863,18922863,18922863,
剩餘資金,3.000000000000000,1.800000000279397,1.410000000149012,
20150326,3340952.040000000037253,3331375.880000000353903,3329418.669999999925494,10001747.589999999850988
20150327,3348571.080000000074506,3345965.320000000298023,3329977.859999999869615,10024515.259999999776483
20150330,3368888.520000000018626,3398629.640000000596046,3408823.650000000372529,10176342.810000000521541
20150331,3329840.939999999944121,3344364.040000000037253,3387574.430000000167638,10061780.410000000149012
20150401,3347301.239999999757856,3420157.959999999962747,3352345.460000000428408,10119805.660000000149012
20150402,3365079.000000000000000,3408059.400000000372529,3384219.290000000502914,10157358.690000001341105
20150406,3353332.979999999981374,3416955.400000000372529,3381423.340000000316650,10151712.720000000670552
20150407,3346983.780000000260770,3423004.680000000167638,3402672.560000000055879,10172662.020000001415610
20150408,3376507.560000000055879,3426029.320000000298023,3413856.359999999869615,10216394.240000000223517
20150409,3389523.419999999925494,3467484.680000000167638,3437342.340000000316650,10294351.439999999478459
20150410,3395237.700000000186265,3480828.680000000167638,3450203.710000000428408,10326271.090000001713634
20150413,3381269.459999999962747,3479761.160000000614673,3470893.740000000223517,10331925.360000001266599
20150414,3386031.359999999869615,3517836.040000000037253,3525135.169999999925494,10429003.570000000298023
20150415,3396190.080000000074506,3577973.000000000000000,3590560.399999999906868,10564724.480000000447035
20150416,3431745.599999999627471,3562138.120000000577420,3568192.800000000279397,10562077.520000001415610
20150417,3386983.739999999757856,3511253.000000000000000,3513951.370000000111759,10412189.109999999403954
20150420,3435555.120000000111759,3524597.000000000000000,3536318.970000000204891,10496472.089999999850988
20150421,3418412.280000000260770,3502179.080000000540167,3484314.300000000279397,10404906.660000002011657
20150422,3426666.239999999757856,3528511.240000000223517,3519543.270000000018626,10474721.750000000000000
20150423,3460317.000000000000000,3546125.320000000298023,3511714.609999999869615,10518157.929999999701977
20150424,3477142.379999999888241,3522639.880000000353903,3500530.810000000055879,10500314.070000000298023
20150427,3497142.359999999869615,3496485.640000000596046,3485991.870000000111759,10479620.870000001043081
20150428,3489523.319999999832362,3513743.880000000353903,3509477.850000000093132,10512746.050000000745058
20150429,3486031.260000000242144,3532781.320000000298023,3556449.810000000055879,10575263.390000000596046
20150430,3451428.120000000111759,3494706.439999999944121,3537437.350000000093132,10483572.910000000149012
20150501,3508570.919999999925494,3514455.560000000521541,3557009.000000000000000,10580036.480000000447035
20150504,3524761.379999999888241,3545947.400000000372529,3619079.090000000316650,10689788.870000001043081
20150505,3517777.260000000242144,3510185.479999999981374,3601185.010000000242144,10629148.750000000000000
20150506,3483174.120000000111759,3491681.800000000279397,3574343.890000000130385,10549200.810000000521541
20150507,3468570.959999999962747,3511964.680000000167638,3606776.910000000149012,10587313.550000000745058
20150508,3495555.060000000055879,3567297.800000000279397,3662136.719999999739230,10724990.580000000074506
20150511,3447618.599999999627471,3589181.959999999962747,3659899.960000000428408,10696701.519999999552965
20150512,3467936.040000000037253,3567831.560000000521541,3654867.250000000000000,10690635.850000001490116
20150513,3466348.739999999757856,3583844.360000000335276,3663814.290000000037253,10714008.390000000596046
20150514,3489840.780000000260770,3605016.840000000316650,3693451.359999999869615,10788309.980000000447035
20150515,3501586.799999999813735,3611244.040000000037253,3683945.129999999888241,10796776.969999998807907
20150518,3502539.180000000167638,3641312.520000000018626,3714141.390000000130385,10857994.089999999850988
20150519,3509840.760000000242144,3654478.600000000558794,3747133.600000000558794,10911453.960000000894070
20150520,3498412.200000000186265,3648785.160000000614673,3717496.530000000260770,10864694.890000000596046
20150521,3504443.939999999944121,3646472.200000000186265,3727002.760000000242144,10877919.900000000372529
20150522,3500316.959999999962747,3697179.400000000372529,3716937.340000000316650,10914434.700000001117587
20150526,3474285.239999999757856,3671914.760000000242144,3675557.280000000260770,10821758.280000001192093
20150527,3503809.020000000018626,3719597.320000000298023,3716937.340000000316650,10940344.679999999701977
20150528,3508888.379999999888241,3709277.959999999962747,3701839.210000000428408,10920006.550000000745058
20150529,3503809.020000000018626,3668534.280000000260770,3678353.229999999981374,10850697.530000001192093
20150601,3522539.159999999683350,3697357.320000000298023,3695128.930000000167638,10915026.410000000149012
20150602,3515872.500000000000000,3672804.360000000335276,3691773.790000000037253,10880451.650000000372529
20150603,3529205.819999999832362,3705897.479999999981374,3729798.710000000428408,10964903.009999999776483
20150604,3501586.799999999813735,3716216.840000000316650,3709108.680000000167638,10926913.320000000298023
20150605,3501586.799999999813735,3744328.200000000186265,3770060.390000000130385,11015976.390000000596046
20150608,3469523.340000000316650,3732585.479999999981374,3740423.320000000298023,10942533.140000000596046
20150609,3445078.919999999925494,3718885.640000000596046,3756639.830000000540167,10920605.390000000596046
20150610,3492063.000000000000000,3792010.760000000242144,3817032.350000000558794,11101107.109999999403954
20150611,3511745.520000000018626,3806422.280000000260770,3831571.290000000037253,11149740.089999999850988
20150612,3490475.700000000186265,3790765.320000000298023,3816473.160000000149012,11097715.179999999701977
20150615,3497777.280000000260770,3767635.720000000204891,3801934.219999999739230,11067348.219999998807907
20150616,3525713.760000000242144,3799661.320000000298023,3823183.440000000409782,11148559.519999999552965
20150617,3539364.540000000037253,3788452.360000000335276,3810322.070000000298023,11138139.970000000670552
20150618,3594285.120000000111759,3818165.000000000000000,3846110.229999999981374,11258561.349999999627471
20150619,3575237.520000000018626,3793078.280000000260770,3806966.930000000167638,11175283.730000000447035
20150622,3604126.379999999888241,3852147.720000000204891,3856175.649999999906868,11312450.750000000000000
20150623,3632062.859999999869615,3885774.600000000558794,3900351.660000000149012,11418190.120000001043081
20150624,3611745.419999999925494,3815140.360000000335276,3859530.790000000037253,11286417.570000000298023
20150625,3633332.700000000186265,3786495.240000000223517,3838840.760000000242144,11258669.700000001117587
20150626,3650475.540000000037253,3792722.439999999944121,3855616.460000000428408,11298815.440000001341105
20150629,3588888.299999999813735,3694510.600000000558794,3757758.210000000428408,11041158.110000001266599
20150630,3623491.439999999944121,3714793.479999999981374,3789072.850000000558794,11127358.769999999552965
20150701,3654919.979999999981374,3735254.280000000260770,3806407.739999999757856,11196583.000000000000000
20150702,3649840.620000000111759,3722088.200000000186265,3775652.290000000037253,11147582.109999999403954
20150706,3673015.200000000186265,3701449.479999999981374,3765027.680000000167638,11139493.359999999403954
20150707,3717459.599999999627471,3704474.120000000577420,3735390.609999999869615,11157325.330000000074506
20150708,3656824.739999999757856,3630637.320000000298023,3658781.580000000540167,10946244.640000000596046
20150709,3669840.599999999627471,3643981.320000000298023,3696806.500000000000000,11010629.419999999925494
20150710,3696507.239999999757856,3686326.280000000260770,3749370.359999999869615,11132204.879999998956919
20150713,3747618.299999999813735,3738456.840000000316650,3807526.120000000111759,11293602.260000001639128
20150714,3741269.099999999627471,3774752.520000000018626,3860649.170000000391155,11376671.789999999105930
20150715,3755554.799999999813735,3788986.120000000577420,3869037.020000000018626,11413578.939999999478459
20150716,3779999.219999999739230,3757316.360000000335276,3889727.050000000279397,11427043.630000000819564
20150717,3773332.560000000055879,3780090.120000000577420,3870155.399999999906868,11423579.080000000074506
20150720,3796189.680000000167638,3778844.680000000167638,3872951.350000000558794,11447986.710000000894070
20150721,3787618.260000000242144,3763009.800000000279397,3864004.310000000055879,11414633.370000001043081
20150722,3788253.180000000167638,3794145.800000000279397,3918804.930000000167638,11501204.910000000149012
20150723,3771427.799999999813735,3755003.400000000372529,3894200.570000000298023,11420632.769999999552965
20150724,3774919.859999999869615,3689173.000000000000000,3853379.700000000186265,11317473.559999998658895
20150727,3753967.500000000000000,3647717.640000000596046,3803052.600000000558794,11204738.740000002086163
20150728,3760634.159999999683350,3669423.880000000353903,3805289.359999999869615,11235348.400000000372529
20150729,3804443.640000000130385,3680099.080000000540167,3855057.270000000018626,11339600.990000000223517
20150730,3810475.379999999888241,3686504.200000000186265,3860649.170000000391155,11357629.750000000000000
20150731,3809523.000000000000000,3648607.240000000223517,3832130.479999999981374,11290261.720000000670552
