訓練日期,20130107 - 20130410
測試日期,20130411 - 20140304
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13138945.539999999105930
真實報酬,1415487.009999999776483


夏普值報酬,0.079707656250643
夏普值風險,0.042806282365343
夏普值,1.862055096734491
二次趨勢線,-31.186151365937903 x^2 + 18285.380581776436884 x + 10000000.000000000000000
二次平均預期報酬,9179.024382922569202
風險,272550.779180097975768
二次平均趨勢值,0.033678217360212
一次趨勢線,11467.328299101085577 x + 10000000.000000000000000
一次預期報酬,11467.328299101085577
一次風險,402754.297992925508879
一次趨勢值,0.028472267971433
投資組合檔數,10
Stock#,AXP[1](4),JNJ[12](15),JPM[13](16),MCD[15](25),MMM[16](5),MRK[17](10),PG[21](23),TRV[22](22),VZ[26](28),WBA[27](8)
張數,16775,13976,22045,11129,10485,23826,14473,13502,22573,26896,
分配資金,13402312,13402312,13402312,13402312,13402312,13402312,13402312,13402312,13402312,13402312,
剩餘資金,42.250000000000000,17.200000000069849,38.800000000046566,59.350000000093132,45.549999999930151,22.780000000027940,60.429999999934807,41.880000000004657,16.100000000093132,6.719999999972060,
20130107,1004193.750000000000000,997903.600000000093132,1001102.250000000000000,1011796.740000000107102,1001258.199999999837019,1003573.900000000023283,993197.689999999944121,986498.000000000000000,1008803.470000000088476,1022861.599999999976717,10031189.200000001117587
20130108,1009897.250000000000000,998043.359999999986030,1003086.300000000046566,1012130.610000000102445,1001363.049999999930151,1005003.460000000079162,991605.660000000032596,988253.260000000009313,972912.400000000139698,1026627.040000000037253,10008922.390000000596046
20130109,1010903.750000000000000,1002515.680000000167638,1002424.950000000069849,1010683.840000000083819,1010904.399999999906868,1014772.120000000111759,996960.669999999925494,998379.760000000009313,970655.100000000093132,1034157.920000000041910,10052358.190000001341105
20130110,1019794.500000000000000,1008944.640000000013970,1017415.550000000046566,1017249.950000000186265,1015937.199999999953434,1019299.060000000055879,1002605.139999999897555,1005265.780000000027940,983973.170000000158325,1037385.439999999944121,10127870.429999999701977
20130111,1027343.250000000000000,1011180.800000000046566,1017195.100000000093132,1020922.520000000135042,1009541.349999999976717,1030020.760000000009313,1001881.489999999874271,1010666.579999999958090,977427.000000000000000,1051640.320000000065193,10157819.170000001788139
20130114,1026840.000000000000000,1014115.760000000125729,1011463.400000000139698,1018696.720000000088476,1017929.349999999860302,1032641.620000000111759,1007815.419999999925494,1012016.780000000027940,961400.170000000158325,1050026.560000000055879,10152945.780000001192093
20130115,1019291.250000000000000,1011460.320000000181608,1021824.550000000046566,1018474.140000000130385,1020131.199999999953434,1021443.400000000023283,1011433.669999999925494,1020253.000000000000000,947404.910000000032596,1057019.519999999785796,10148735.959999999031425
20130116,1016942.750000000000000,1014395.280000000027940,1032185.700000000069849,1013911.250000000000000,1023381.549999999813735,1013580.820000000065193,1003618.250000000000000,1020117.979999999981374,937021.330000000074506,1059440.159999999916181,10134595.070000000298023
20130117,1018955.750000000000000,1018867.600000000093132,1023808.599999999976717,1021256.390000000130385,1028414.349999999860302,1018584.280000000027940,1008394.339999999967404,1024843.680000000051223,951016.590000000200234,1058633.280000000027940,10172774.859999999403954
20130118,1002851.750000000000000,1023479.680000000167638,1024249.500000000116415,1026820.890000000130385,1035334.449999999837019,1024064.260000000009313,1012302.049999999930151,1030379.500000000000000,960271.520000000018626,1054598.879999999888241,10194352.480000000447035
20130122,996477.250000000000000,1015932.640000000013970,1026013.099999999976717,1034499.900000000139698,1041520.599999999860302,1029305.980000000097789,1012446.780000000027940,1052522.780000000260770,969300.720000000088476,1062129.760000000009313,10240149.510000001639128
20130123,988593.000000000000000,1018168.800000000046566,1019179.150000000023283,1040398.270000000135042,1043198.199999999837019,1020252.099999999976717,1023156.799999999930151,1048337.160000000032596,965914.770000000018626,1062936.640000000130385,10230134.890000000596046
20130124,994799.750000000000000,1021662.800000000046566,1022265.449999999953434,1038506.340000000083819,1045085.500000000000000,1024540.780000000027940,1019249.089999999967404,1054413.060000000055879,961400.170000000158325,1060784.959999999962747,10242707.899999998509884
20130125,998154.750000000000000,1033123.120000000111759,1039681.000000000000000,1043069.230000000097789,1054731.700000000186265,1035500.739999999990687,1060207.679999999934807,1057923.580000000074506,963206.010000000125729,1066971.040000000037253,10352568.850000001490116
20130128,990941.500000000000000,1028930.320000000181608,1028217.600000000093132,1050191.790000000037253,1055360.799999999813735,1022872.960000000079162,1067733.639999999897555,1044421.579999999958090,965463.310000000172295,1078536.320000000065193,10332669.820000000298023
20130129,997316.000000000000000,1039971.359999999986030,1038799.199999999953434,1056424.030000000027940,1067523.399999999906868,1040265.939999999944121,1085535.429999999934807,1050632.500000000000000,981941.600000000093132,1077460.479999999981374,10435869.939999999478459
20130130,995303.000000000000000,1035499.040000000153668,1039019.650000000139698,1053641.780000000027940,1056933.549999999813735,1036453.780000000027940,1086693.270000000018626,1047527.040000000037253,984424.630000000121072,1072350.239999999990687,10407845.980000000447035
20130131,986580.000000000000000,1033123.120000000111759,1037256.049999999930151,1060541.760000000242144,1054312.299999999813735,1030497.280000000027940,1087851.109999999869615,1059408.799999999813735,984424.630000000121072,1074770.879999999888241,10408765.929999999701977
20130201,1005032.500000000000000,1036756.880000000121072,1054892.050000000046566,1067886.900000000139698,1064902.149999999906868,996664.359999999986030,1098850.589999999850988,1078716.660000000149012,1005868.980000000097789,1084184.479999999981374,10493755.550000000745058
20130204,996645.000000000000000,1035778.560000000055879,1051144.400000000139698,1052862.750000000000000,1056619.000000000000000,973314.880000000004657,1089153.679999999934807,1053197.879999999888241,1004966.060000000172295,1076115.679999999934807,10389797.889999998733401
20130205,1017613.750000000000000,1043465.359999999986030,1075614.350000000093132,1056312.739999999990687,1064168.199999999720603,987133.960000000079162,1095666.530000000027940,1061974.180000000167638,1005868.980000000097789,1111618.399999999906868,10519436.450000001117587
20130206,1015936.250000000000000,1053667.839999999850988,1071646.250000000000000,1058093.380000000121072,1076750.199999999720603,979033.120000000111759,1102179.380000000121072,1066159.799999999813735,1010157.850000000093132,1114576.959999999962747,10548201.029999997466803
20130207,1042440.750000000000000,1049055.760000000242144,1063269.149999999906868,1053196.620000000111759,1071822.250000000000000,976888.780000000027940,1102179.380000000121072,1068320.120000000111759,1003611.680000000167638,1111080.479999999981374,10541864.970000000670552
20130208,1036737.250000000000000,1054925.680000000167638,1072087.150000000139698,1055867.580000000074506,1076435.649999999906868,981177.460000000079162,1096390.179999999934807,1064809.600000000093132,1001128.650000000139698,1113501.119999999878928,10553060.320000000298023
20130211,1039756.750000000000000,1053947.359999999869615,1072748.500000000000000,1059206.280000000027940,1076016.250000000000000,985942.660000000032596,1097258.560000000055879,1069535.299999999813735,1000451.460000000079162,1115652.799999999813735,10570515.920000001788139
20130212,1043447.250000000000000,1059398.000000000000000,1083330.100000000093132,1058427.250000000000000,1084823.649999999906868,987610.480000000097789,1099718.969999999972060,1078851.680000000167638,1003160.220000000088476,1128293.920000000158325,10627061.520000001415610
20130213,1041769.750000000000000,1057441.359999999869615,1073189.400000000139698,1046185.350000000093132,1078532.649999999906868,980462.680000000051223,1108113.310000000055879,1080066.859999999869615,1004966.060000000172295,1115652.799999999813735,10586380.219999998807907
20130214,1045795.750000000000000,1059537.760000000242144,1085093.699999999953434,1041288.590000000083819,1077693.850000000093132,981415.719999999972060,1111297.369999999878928,1084792.560000000055879,1000677.190000000060536,1125873.280000000027940,10613465.769999999552965
20130215,1034892.000000000000000,1064429.359999999869615,1077598.400000000139698,1045072.450000000186265,1082412.100000000093132,986895.700000000069849,1107823.850000000093132,1085467.660000000149012,1002257.300000000046566,1106777.119999999878928,10593625.940000001341105
20130219,1044789.250000000000000,1075610.160000000149012,1090164.050000000046566,1044516.000000000000000,1092372.850000000093132,1005956.500000000000000,1119981.169999999925494,1088303.080000000074506,1004514.600000000093132,1121569.920000000158325,10687777.580000000074506
20130220,1038582.500000000000000,1071277.600000000093132,1071646.250000000000000,1045183.740000000107102,1081573.299999999813735,1016439.939999999944121,1115639.270000000018626,1081687.100000000093132,1013995.260000000125729,1118880.320000000065193,10654905.279999999329448
20130221,1032375.750000000000000,1074352.320000000298023,1063710.050000000046566,1047743.410000000149012,1077064.750000000000000,1012627.780000000027940,1115060.350000000093132,1085332.640000000130385,1018509.859999999986030,1119418.239999999990687,10646195.150000000372529
20130222,1049654.000000000000000,1065687.200000000186265,1078259.750000000000000,1060096.600000000093132,1085662.450000000186265,1023826.000000000000000,1114336.699999999953434,1093838.899999999906868,1024830.300000000046566,1124528.479999999981374,10720720.380000002682209
20130225,1040427.750000000000000,1056183.520000000018626,1051585.300000000046566,1070001.410000000149012,1066894.299999999813735,1013104.300000000046566,1098850.589999999850988,1070075.379999999888241,1032053.660000000032596,1093060.159999999916181,10592236.370000001043081
20130226,1038750.250000000000000,1058699.200000000186265,1049380.800000000046566,1070891.729999999981374,1072765.899999999906868,1010721.700000000069849,1101166.270000000018626,1080741.959999999962747,1041082.859999999986030,1097363.519999999785796,10621564.190000001341105
20130227,1048479.750000000000000,1066665.520000000018626,1086416.400000000139698,1065438.520000000251457,1085977.000000000000000,1023826.000000000000000,1110863.179999999934807,1090733.439999999944121,1046274.650000000139698,1107315.040000000037253,10731989.500000000000000
20130228,1042608.500000000000000,1063730.560000000055879,1078480.200000000186265,1067330.450000000186265,1090485.549999999813735,1018107.760000000009313,1102613.570000000065193,1085872.720000000204891,1050337.790000000037253,1101128.959999999962747,10700696.060000002384186
20130301,1046299.000000000000000,1071976.399999999906868,1078259.750000000000000,1064882.070000000065193,1088074.000000000000000,1015725.160000000032596,1107100.199999999953434,1089518.259999999776483,1054626.660000000149012,1111349.439999999944121,10727810.939999999478459
20130304,1055022.000000000000000,1078964.399999999906868,1082448.300000000046566,1058093.380000000121072,1082936.350000000093132,1032641.620000000111759,1109850.070000000065193,1087222.919999999925494,1063430.130000000121072,1123452.640000000130385,10774061.810000000521541
20130305,1075655.250000000000000,1085393.359999999869615,1091045.850000000093132,1066328.840000000083819,1095203.799999999813735,1030497.280000000027940,1115205.079999999841675,1099914.799999999813735,1076522.469999999972060,1095211.839999999850988,10830978.570000000298023
20130306,1084546.000000000000000,1081619.839999999850988,1102950.150000000139698,1077457.840000000083819,1097405.649999999906868,1040742.460000000079162,1117376.030000000027940,1094649.020000000018626,1067267.540000000037253,1074770.879999999888241,10838785.410000000149012
20130307,1083036.250000000000000,1086651.200000000186265,1116177.150000000139698,1080573.960000000195578,1096147.450000000186265,1030973.800000000046566,1113034.130000000121072,1096404.280000000260770,1071782.140000000130385,1079343.199999999953434,10854123.560000000521541
20130308,1085384.750000000000000,1092800.640000000130385,1106697.800000000046566,1098602.939999999944121,1108414.899999999906868,1023826.000000000000000,1117086.570000000065193,1102480.180000000167638,1082617.180000000167638,1093060.159999999916181,10910971.120000001043081
20130311,1098804.750000000000000,1096294.640000000130385,1112870.399999999906868,1100606.160000000149012,1109463.399999999906868,1040265.939999999944121,1119546.979999999748543,1103830.379999999888241,1079231.230000000214204,1110273.600000000093132,10971187.479999998584390
20130312,1095282.000000000000000,1097971.760000000242144,1108461.400000000139698,1099159.390000000130385,1102333.600000000093132,1073145.820000000065193,1116941.839999999850988,1103695.359999999869615,1091646.380000000121072,1103818.560000000055879,10992456.110000001266599
20130313,1095449.750000000000000,1097832.000000000000000,1105816.000000000000000,1106059.370000000111759,1101914.200000000186265,1062424.120000000111759,1111586.829999999841675,1108826.120000000111759,1082165.719999999972060,1150617.600000000093132,11022691.710000000894070
20130314,1096791.750000000000000,1105518.799999999813735,1124333.800000000046566,1105280.340000000083819,1111665.250000000000000,1054799.800000000046566,1120125.899999999906868,1112066.600000000093132,1094355.140000000130385,1149003.839999999850988,11073941.219999998807907
20130315,1108702.000000000000000,1106776.640000000130385,1102729.700000000186265,1109286.780000000027940,1115649.549999999813735,1050511.120000000111759,1104929.250000000000000,1110986.439999999944121,1083971.560000000055879,1145238.399999999906868,11038781.440000001341105
20130318,1103501.750000000000000,1101465.760000000242144,1091486.750000000000000,1097044.880000000121072,1105269.399999999906868,1039551.160000000032596,1102324.109999999869615,1114361.939999999944121,1100449.850000000093132,1141204.000000000000000,10996659.599999999627471
20130319,1092598.000000000000000,1102164.560000000055879,1084652.800000000046566,1095152.950000000186265,1102857.850000000093132,1041218.980000000097789,1116073.459999999962747,1123273.259999999776483,1104964.450000000186265,1203333.760000000009313,11066290.069999998435378
20130320,1107192.250000000000000,1110410.399999999906868,1082889.199999999953434,1099270.679999999934807,1107890.649999999906868,1051225.899999999906868,1122875.770000000018626,1132049.560000000055879,1097063.900000000139698,1237760.640000000130385,11148628.950000001117587
