訓練日期,20180105 - 20180410
測試日期,20180411 - 20180416
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11182218.599999999627471
真實報酬,1050324.080000001937151


夏普值報酬,0.010373567601652
夏普值風險,0.006479172147220
夏普值,1.601063741777985
二次趨勢線,-118.809018673107786 x^2 + 23800.627443324261549 x + 10000000.000000000000000
二次平均預期報酬,15483.996136206718802
風險,241726.272312567918561
二次平均趨勢值,0.064055909140836
一次趨勢線,17608.027872916587512 x + 10000000.000000000000000
一次預期報酬,17608.027872916587512
一次風險,250152.597808629943756
一次趨勢值,0.070389146573593
投資組合檔數,2
Stock#,INTC[11](23),NKE[19](27)
張數,112536,78814,
分配資金,25558032,25558032,
剩餘資金,25.520000000484288,39.839999999850988,
20180105,5034886.160000001080334,5042559.559999999590218,10077445.720000000670552
20180108,5034886.160000001080334,5087483.540000000037253,10122369.700000001117587
20180109,4908845.839999999850988,5051229.100000000558794,9960074.940000001341105
20180110,4782805.520000000484288,5061474.919999999925494,9844280.440000001341105
20180111,4885213.280000000260770,5066991.900000000372529,9952205.179999999701977
20180112,4866082.160000001080334,5096941.219999999739230,9963023.380000000819564
20180116,4854828.560000000521541,4998423.719999999739230,9853252.280000001192093
20180117,4995498.560000000521541,5029161.179999999701977,10024659.740000000223517
20180118,5005626.799999999813735,5052805.379999999888241,10058432.179999999701977
20180119,5043889.040000000968575,5297128.779999999329448,10341017.820000000298023
20180122,5148547.520000000484288,5232501.299999999813735,10381048.820000000298023
20180123,5183433.680000000633299,5291611.799999999813735,10475045.480000000447035
20180124,5121538.879999999888241,5359391.839999999850988,10480930.719999998807907
20180125,5097906.320000000298023,5336535.779999999329448,10434442.099999999627471
20180126,5635828.400000000372529,5362544.400000000372529,10998372.800000000745058
20180129,5624574.799999999813735,5326289.959999999962747,10950864.759999999776483
20180130,5490656.959999999962747,5306586.459999999962747,10797243.419999999925494
20180131,5417508.560000000521541,5376730.919999999925494,10794239.480000000447035
20180201,5362365.919999999925494,5331806.940000000409782,10694172.859999999403954
20180202,5193561.919999999925494,5297916.919999999925494,10491478.839999999850988
20180205,5010128.240000001154840,5074873.299999999813735,10085001.540000000968575
20180206,5054017.280000000260770,5140288.919999999925494,10194306.199999999254942
20180207,5086652.720000000670552,5172602.659999999217689,10259255.379999998956919
20180208,4810939.520000000484288,4925126.700000000186265,9736066.220000000670552
20180209,4945982.720000000670552,5161568.699999999254942,10107551.419999999925494
20180212,5045014.400000000372529,5200187.560000000521541,10245201.960000000894070
20180213,5003376.080000001005828,5191518.020000000484288,10194894.100000001490116
20180214,5106909.200000001117587,5356239.279999999329448,10463148.480000000447035
20180215,5167678.640000000596046,5382247.900000000372529,10549926.540000000968575
20180216,5127165.680000000633299,5383036.040000000037253,10510201.720000000670552
20180220,5212693.040000000968575,5319196.699999999254942,10531889.740000000223517
20180221,5169929.360000000335276,5284518.540000000037253,10454447.900000000372529
20180222,5154174.320000000298023,5290823.659999999217689,10444997.980000000447035
20180223,5371368.799999999813735,5372002.079999999143183,10743370.879999998956919
20180226,5526668.480000000447035,5489434.940000000409782,11016103.420000001788139
20180227,5616697.280000000260770,5361756.259999999776483,10978453.539999999105930
20180228,5546924.959999999962747,5282942.259999999776483,10829867.219999998807907
20180301,5383747.760000000707805,5226984.319999999366701,10610732.080000000074506
20180302,5512038.799999999813735,5193094.299999999813735,10705133.099999999627471
20180305,5598691.520000000484288,5126890.540000000037253,10725582.060000000521541
20180306,5706726.080000001005828,5141865.199999999254942,10848591.280000001192093
20180307,5775373.040000000968575,5057534.219999999739230,10832907.260000001639128
20180308,5710102.160000001080334,5131619.379999999888241,10841721.540000000968575
20180309,5873279.360000000335276,5225408.040000000037253,11098687.400000000372529
20180312,5797880.240000001154840,5266391.319999999366701,11064271.560000000521541
20180313,5827139.600000000558794,5215162.219999999739230,11042301.820000000298023
20180314,5836142.480000000447035,5217526.639999999664724,11053669.120000001043081
20180315,5725857.200000001117587,5232501.299999999813735,10958358.500000000000000
20180316,5758492.640000000596046,5194670.579999999143183,10953163.219999998807907
20180319,5720230.400000000372529,5178907.779999999329448,10899138.179999999701977
20180320,5801256.320000000298023,5264815.040000000037253,11066071.359999999403954
20180321,5802381.680000000633299,5229348.739999999292195,11031730.419999999925494
20180322,5720230.400000000372529,5077237.719999999739230,10797468.120000001043081
20180323,5554802.480000000447035,5093788.659999999217689,10648591.140000000596046
20180326,5905914.799999999813735,5193882.440000000409782,11099797.240000000223517
20180327,5760743.360000000335276,5215162.219999999739230,10975905.580000000074506
20180328,5581811.120000001043081,5157628.000000000000000,10739439.120000001043081
20180329,5860900.400000000372529,5236442.000000000000000,11097342.400000000372529
20180402,5505286.640000000596046,5053593.520000000484288,10558880.160000000149012
20180403,5598691.520000000484288,5256933.639999999664724,10855625.160000000149012
20180404,5625700.160000001080334,5392493.719999999739230,11018193.880000000819564
20180405,5669589.200000001117587,5484706.100000000558794,11154295.300000000745058
20180406,5490656.959999999962747,5323925.540000000037253,10814582.500000000000000
20180409,5576184.320000000298023,5294764.360000000335276,10870948.679999999701977
20180410,5769746.240000001154840,5280577.839999999850988,11050324.080000001937151
20180411,5750615.120000001043081,5267179.459999999962747,11017794.580000001937151
20180412,5932923.440000000409782,5341264.619999999180436,11274188.059999998658895
20180413,5836142.480000000447035,5300281.339999999850988,11136423.820000000298023
20180416,5896911.919999999925494,5285306.679999999701977,11182218.599999999627471
