訓練日期,20101005 - 20110105
測試日期,20110106 - 20110408
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12746708.160000000149012
真實報酬,1506070.179999999701977


夏普值報酬,0.141901570585675
夏普值風險,0.037352490614022
夏普值,3.798985509480428
二次趨勢線,-52.451801314613135 x^2 + 28144.293571643476753 x + 10000000.000000000000000
二次平均預期報酬,21273.107599429156835
風險,166942.925772637157934
二次平均趨勢值,0.127427427673104
一次趨勢線,23010.648879759177362 x + 10000000.000000000000000
一次預期報酬,23010.648879759177362
一次風險,194630.825126832758542
一次趨勢值,0.118227155769206
投資組合檔數,3
Stock#,CAT[3](3),DIS[6](15),KO[14](8)
張數,43138,100583,113224,
分配資金,10281242,10281242,10281242,
剩餘資金,59.740000000223517,12.379999999888241,18.439999999944121,
20101005,3425216.940000000409782,3402735.269999999552965,3377490.359999999869615,10205443.570000000298023
20101006,3401922.420000000391155,3374572.029999999795109,3383151.560000000055879,10159647.009999999776483
20101007,3396745.859999999869615,3410781.909999999683350,3365035.719999999739230,10172564.489999998360872
20101008,3467060.800000000279397,3471131.709999999497086,3363903.479999999981374,10302096.990000000223517
20101011,3450236.980000000447035,3477166.689999999944121,3371829.160000000149012,10299233.830000000074506
20101012,3422628.660000000149012,3468114.219999999739230,3374093.640000000130385,10264837.519999999552965
20101013,3463609.760000000707805,3511364.909999999683350,3393341.719999999739230,10368317.390000000596046
20101014,3447217.320000000298023,3505329.930000000167638,3392209.479999999981374,10344757.730000000447035
20101015,3440315.240000000223517,3508347.419999999925494,3393341.719999999739230,10342005.379999998956919
20101018,3461452.859999999869615,3495271.629999999888241,3396738.439999999944121,10353463.929999999701977
20101019,3388549.640000000130385,3443974.300000000279397,3415986.520000000018626,10248511.460000000894070
20101020,3464903.899999999906868,3482195.839999999850988,3462408.359999999869615,10409509.099999999627471
20101021,3403216.560000000055879,3488230.819999999832362,3480524.199999999720603,10371972.580000000074506
20101022,3379059.280000000260770,3517399.889999999664724,3488449.879999999888241,10384910.050000000745058
20101025,3410118.640000000130385,3566685.560000000055879,3454482.680000000167638,10431287.880000000819564
20101026,3392863.440000000409782,3616977.060000000055879,3466937.319999999832362,10476778.820000000298023
20101027,3374314.100000000093132,3612953.740000000223517,3464672.840000000316650,10451941.679999999701977
20101028,3353607.859999999869615,3672297.709999999497086,3465805.080000000074506,10491711.649999998509884
20101029,3390706.540000000037253,3634076.169999999925494,3471466.279999999795109,10496249.990000000223517
20101101,3419609.000000000000000,3624017.870000000111759,3494111.080000000074506,10537738.949999999254942
20101102,3440315.240000000223517,3632064.509999999776483,3502036.759999999776483,10574417.509999999776483
20101103,3445923.180000000167638,3650169.449999999720603,3507697.959999999962747,10603791.589999999850988
20101104,3588278.580000000540167,3724600.870000000111759,3536003.959999999962747,10848884.410000000149012
20101105,3603808.260000000707805,3741699.979999999981374,3542797.399999999906868,10888306.640000000596046
20101108,3585690.300000000279397,3727618.360000000335276,3536003.959999999962747,10849313.620000001043081
20101109,3533493.320000000298023,3707501.759999999776483,3546194.120000000111759,10787190.199999999254942
20101110,3557219.219999999739230,3720577.550000000279397,3541665.160000000149012,10819462.929999999701977
20101111,3556356.459999999962747,3613959.569999999832362,3555252.039999999571592,10725569.069999998435378
20101112,3495963.260000000707805,3797020.629999999888241,3562045.479999999981374,10855030.370000001043081
20101115,3529610.899999999906868,3746729.129999999888241,3564309.959999999962747,10840650.989999998360872
20101116,3467060.800000000279397,3713536.740000000223517,3514491.399999999906868,10695089.940000001341105
20101117,3501571.200000000186265,3743711.639999999664724,3539400.680000000167638,10784684.519999999552965
20101118,3585258.920000000391155,3779921.519999999552965,3614128.520000000018626,10979309.959999999031425
20101119,3622357.600000000093132,3722589.209999999497086,3641302.279999999329448,10986250.089999999850988
20101122,3623651.740000000223517,3716554.229999999981374,3639037.799999999813735,10979244.769999999552965
20101123,3564552.680000000167638,3633070.339999999850988,3601673.879999999888241,10799297.899999998509884
20101124,3653416.959999999962747,3708507.589999999850988,3658285.880000000353903,11020211.429999999701977
20101126,3629259.680000000167638,3691408.479999999981374,3629979.880000000353903,10950649.040000000968575
20101129,3609416.200000000186265,3663245.240000000223517,3589219.239999999757856,10861881.679999999701977
20101130,3649534.540000000037253,3672297.709999999497086,3576764.600000000093132,10898597.849999999627471
20101201,3772477.840000000316650,3733653.339999999850988,3662814.840000000316650,11168947.019999999552965
20101202,3822949.300000000279397,3755781.600000000093132,3674137.240000000223517,11252869.140000000596046
20101203,3855734.180000000167638,3780927.350000000093132,3651492.439999999944121,11288154.970000000670552
20101206,3847969.340000000316650,3777909.860000000335276,3623186.439999999944121,11249066.640000000596046
20101207,3897578.040000000037253,3754775.769999999552965,3631112.120000000111759,11283466.929999999701977
20101208,3866087.300000000279397,3718565.889999999664724,3645831.240000000223517,11230485.429999999701977
