訓練日期,20150618 - 20150918
測試日期,20150921 - 20150921
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10553089.419999999925494
真實報酬,420927.300000000745058


夏普值報酬,0.001068809059443
夏普值風險,0.000000000000000
夏普值,inf
二次趨勢線,-273.025980065702697 x^2 + 25098.309648715781805 x + 10000000.000000000000000
二次平均預期報酬,6805.568984313706096
風險,183400.566417215508409
二次平均趨勢值,0.037107677022283
一次趨勢線,11481.908703033026541 x + 10000000.000000000000000
一次預期報酬,11481.908703033026541
一次風險,228007.724733389186440
一次趨勢值,0.050357542563345
投資組合檔數,1
Stock#,HD[9](10)
張數,90522,
分配資金,16103411,
剩餘資金,34.660000000149012,
20150618,10124920.359999999403954,10124920.359999999403954
20150619,10177423.120000001043081,10177423.120000001043081
20150622,10235357.199999999254942,10235357.199999999254942
20150623,10245314.620000001043081,10245314.620000001043081
20150624,10170181.359999999403954,10170181.359999999403954
20150625,10160223.939999999478459,10160223.939999999478459
20150626,10192811.859999999403954,10192811.859999999403954
20150629,10006336.540000000968575,10006336.540000000968575
20150630,10059744.519999999552965,10059744.519999999552965
20150701,10144835.199999999254942,10144835.199999999254942
20150702,10092332.439999999478459,10092332.439999999478459
20150706,10076943.699999999254942,10076943.699999999254942
20150707,10174707.460000000894070,10174707.460000000894070
20150708,10047976.660000000149012,10047976.660000000149012
20150709,10082375.019999999552965,10082375.019999999552965
20150710,10238072.859999999403954,10238072.859999999403954
20150713,10401012.460000000894070,10401012.460000000894070
20150714,10442652.580000000074506,10442652.580000000074506
20150715,10462567.419999999925494,10462567.419999999925494
20150716,10385623.720000000670552,10385623.720000000670552
20150717,10362088.000000000000000,10362088.000000000000000
20150720,10266134.679999999701977,10266134.679999999701977
20150721,10306869.580000000074506,10306869.580000000074506
20150722,10401012.460000000894070,10401012.460000000894070
20150723,10372950.640000000596046,10372950.640000000596046
20150724,10282428.640000000596046,10282428.640000000596046
20150727,10235357.199999999254942,10235357.199999999254942
20150728,10395581.140000000596046,10395581.140000000596046
20150729,10534079.800000000745058,10534079.800000000745058
20150730,10542226.779999999329448,10542226.779999999329448
20150731,10593824.320000000298023,10593824.320000000298023
20150803,10581151.240000000223517,10581151.240000000223517
20150804,10639085.320000000298023,10639085.320000000298023
20150805,10681630.660000000149012,10681630.660000000149012
20150806,10551278.980000000447035,10551278.980000000447035
20150807,10584772.120000001043081,10584772.120000001043081
20150810,10645421.859999999403954,10645421.859999999403954
20150811,10653568.839999999850988,10653568.839999999850988
20150812,10653568.839999999850988,10653568.839999999850988
20150813,10773963.099999999627471,10773963.099999999627471
20150814,10840044.160000000149012,10840044.160000000149012
20150817,10835518.060000000521541,10835518.060000000521541
20150818,11116136.259999999776483,11116136.259999999776483
20150819,11112515.380000000819564,11112515.380000000819564
20150820,10911556.540000000968575,10911556.540000000968575
20150821,10515070.179999999701977,10515070.179999999701977
20150824,10187380.540000000968575,10187380.540000000968575
20150825,10045261.000000000000000,10045261.000000000000000
20150826,10494250.120000001043081,10494250.120000001043081
20150827,10650853.179999999701977,10650853.179999999701977
20150828,10638180.099999999627471,10638180.099999999627471
20150831,10542226.779999999329448,10542226.779999999329448
20150901,10235357.199999999254942,10235357.199999999254942
20150902,10544037.220000000670552,10544037.220000000670552
20150903,10554899.859999999403954,10554899.859999999403954
20150904,10357561.900000000372529,10357561.900000000372529
20150908,10539511.120000001043081,10539511.120000001043081
20150909,10316827.000000000000000,10316827.000000000000000
20150910,10363898.439999999478459,10363898.439999999478459
20150911,10449894.339999999850988,10449894.339999999850988
20150914,10385623.720000000670552,10385623.720000000670552
20150915,10516880.620000001043081,10516880.620000001043081
20150916,10665336.699999999254942,10665336.699999999254942
20150917,10673483.679999999701977,10673483.679999999701977
20150918,10420927.300000000745058,10420927.300000000745058
20150921,10553089.419999999925494,10553089.419999999925494
