訓練日期,20190305 - 20190605
測試日期,20190606 - 20190808
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10917348.829999998211861
真實報酬,879815.370000001043081


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-10.371679310046526 x^2 + 11200.215514084378810 x + 10000000.000000000000000
二次平均預期報酬,10048.959110669236907
風險,132030.103146703506354
二次平均趨勢值,0.076111120654836
一次趨勢線,10340.680190267590660 x + 10000000.000000000000000
一次預期報酬,10340.680190267590660
一次風險,132790.431371155515080
一次趨勢值,0.077872178616281
投資組合檔數,13
Stock#,AXP[1](15),DIS[6](20),JNJ[12](19),KO[14](18),MCD[15](26),MMM[16](21),MRK[17](13),MSFT[18](5),PFE[20](27),PG[21](3),TRV[22](28),UNH[23](12),V[25](16)
張數,7057,6728,5554,16850,4259,3718,9453,6852,17859,7780,5820,3259,5198,
分配資金,769230,769230,769230,769230,769230,769230,769230,769230,769230,769230,769230,769230,769230,
剩餘資金,17.000000000000000,17.760000000009313,112.080000000074506,27.500000000000000,97.189999999944121,124.519999999902211,39.390000000013970,24.479999999981374,42.869999999995343,21.399999999906868,117.000000000000000,40.819999999948777,133.919999999925494,
20190305,768171.449999999953434,767009.760000000009313,770840.660000000149012,768387.500000000000000,772466.839999999967404,758001.639999999897555,772349.489999999990687,765392.880000000004657,766015.380000000004657,770941.599999999976717,772372.799999999930151,786861.189999999944121,769178.019999999902211,10007999.209999999031425
20190306,769088.859999999986030,772728.559999999939464,772617.940000000060536,765860.000000000000000,775362.959999999962747,754134.919999999925494,763463.670000000041910,765735.479999999981374,747620.609999999986030,769696.799999999930151,767193.000000000116415,779169.949999999953434,768450.299999999930151,9971133.050000000745058
20190307,761185.020000000018626,767077.040000000037253,767897.040000000153668,762995.500000000000000,768931.869999999995343,743204.000000000000000,760533.239999999990687,756416.760000000009313,739226.880000000004657,766740.399999999906868,765388.800000000046566,771446.119999999878928,763356.260000000009313,9894408.929999999701977
20190308,762031.859999999986030,765731.440000000060536,766897.320000000065193,755581.500000000000000,764587.689999999944121,747033.539999999804422,754388.790000000037253,757239.000000000000000,730297.380000000004657,765651.199999999837019,762653.400000000023283,773368.929999999934807,766059.219999999855645,9871531.270000001415610
20190311,773181.920000000041910,772055.760000000009313,769674.320000000065193,778160.500000000000000,771316.910000000032596,770122.319999999832362,764503.500000000000000,773135.640000000013970,741191.369999999995343,774753.799999999930151,767600.400000000023283,792466.669999999925494,783316.579999999841675,10031489.689999999478459
20190312,779321.510000000009313,771921.200000000069849,773117.800000000162981,775970.000000000000000,774511.160000000032596,765288.919999999925494,767906.580000000074506,778548.719999999972060,745298.939999999944121,778410.399999999906868,772547.400000000023283,801363.739999999990687,788826.459999999846332,10073042.830000000074506
20190313,791388.979999999981374,767615.280000000027940,774395.220000000088476,778834.500000000000000,775490.729999999981374,768486.399999999906868,771404.189999999944121,784578.479999999981374,750299.459999999962747,787201.799999999930151,774177.000000000000000,822123.569999999948777,792672.979999999864958,10138678.589999999850988
20190314,792870.949999999953434,770239.200000000069849,766675.160000000149012,770072.500000000000000,778386.849999999976717,771163.359999999869615,770364.359999999986030,785195.160000000032596,735655.079999999958090,788290.999999999883585,774526.200000000069849,825447.750000000000000,801665.519999999902211,10130563.089999999850988
20190315,801127.640000000013970,773468.640000000013970,764342.480000000097789,763332.500000000000000,789417.660000000032596,773765.959999999962747,771120.599999999976717,794239.799999999930151,746191.890000000013970,797004.599999999860302,781044.600000000093132,819353.419999999925494,808215.000000000000000,10182634.789999999105930
20190318,801339.349999999976717,761089.119999999995343,761954.260000000009313,765186.000000000000000,783540.239999999874271,775290.339999999967404,769040.939999999944121,805614.119999999878928,746727.660000000032596,789769.199999999953434,785467.799999999930151,831085.819999999948777,805616.000000000000000,10181730.850000001490116
20190319,795129.190000000060536,740097.760000000009313,769007.840000000083819,767713.500000000000000,779962.680000000051223,777260.879999999888241,774334.619999999995343,806162.280000000027940,755478.569999999948777,792803.399999999906868,773769.600000000093132,838027.489999999990687,803692.739999999990687,10173450.550000000745058
20190320,781720.890000000013970,740030.479999999981374,762620.739999999990687,767208.000000000000000,787884.419999999925494,774583.919999999925494,775941.630000000004657,805271.519999999902211,753156.900000000023283,791402.999999999883585,764457.600000000093132,816420.319999999948777,799326.419999999925494,10120035.839999999850988
20190321,789130.739999999990687,731082.239999999990687,767119.480000000097789,766871.000000000000000,793847.020000000018626,779454.500000000000000,784165.739999999990687,823771.919999999925494,756371.520000000018626,797393.599999999860302,782150.400000000023283,821374.000000000000000,809982.319999999948777,10202724.480000000447035
20190322,772476.219999999972060,728189.200000000069849,760510.220000000088476,773948.000000000000000,795720.979999999981374,761050.399999999906868,777926.760000000125729,802051.079999999958090,747442.020000000018626,790936.199999999837019,785235.000000000000000,805307.130000000004657,795791.779999999911524,10096594.989999998360872
20190325,769512.280000000027940,725228.880000000004657,758844.020000000135042,775633.000000000000000,791078.669999999925494,755659.299999999930151,778493.939999999944121,806230.799999999930151,748156.380000000004657,793270.199999999837019,785525.999999999883585,804557.559999999939464,795583.859999999986030,10087784.889999998733401
20190326,772758.500000000000000,741039.680000000051223,769729.859999999986030,785911.500000000000000,798574.509999999892898,770642.839999999967404,783882.150000000023283,807943.799999999930151,757621.650000000023283,801516.999999999883585,785700.599999999976717,793248.829999999958090,807383.319999999948777,10175964.240000000223517
20190327,769088.859999999986030,741981.599999999976717,770451.880000000004657,785406.000000000000000,798702.279999999911524,770345.399999999906868,777926.760000000125729,800132.519999999902211,750478.050000000046566,800583.399999999906868,793674.000000000000000,787773.709999999962747,801769.479999999864958,10148323.939999997615814
20190328,770359.119999999995343,744874.640000000013970,771451.600000000093132,784900.500000000000000,806709.199999999837019,775439.059999999939464,781140.780000000027940,801228.840000000083819,755299.979999999981374,805640.399999999906868,796875.000000000000000,789468.389999999897555,804108.579999999841675,10187506.090000001713634
20190329,771347.099999999976717,747027.599999999976717,776505.739999999990687,789618.500000000000000,808881.289999999920838,772650.559999999939464,786245.400000000023283,808149.359999999986030,758514.599999999976717,809530.399999999906868,798388.199999999953434,805861.159999999916181,812009.539999999920838,10244739.449999999254942
20190401,788283.900000000023283,756985.040000000037253,772007.000000000000000,787259.500000000000000,802450.199999999837019,788117.439999999944121,787474.290000000037253,815549.519999999902211,765122.430000000051223,806340.599999999860302,803393.400000000023283,800255.679999999934807,817571.399999999906868,10290820.399999998509884
20190402,783344.000000000000000,753284.640000000013970,764953.420000000158325,784732.000000000000000,802279.839999999967404,788823.859999999869615,786623.519999999902211,816714.359999999986030,766372.559999999939464,807196.399999999906868,796351.200000000069849,796573.009999999892898,820274.359999999986030,10267533.169999998062849
20190403,780238.920000000041910,757052.319999999948777,761954.260000000009313,778160.500000000000000,802279.839999999967404,792541.859999999869615,786339.930000000051223,822058.919999999925494,765122.430000000051223,806729.599999999860302,795129.000000000000000,801233.380000000004657,823809.000000000000000,10272659.959999999031425
20190404,777133.840000000083819,772055.760000000009313,753067.859999999986030,783215.500000000000000,808753.520000000018626,799606.059999999939464,773767.439999999944121,817879.199999999953434,763336.530000000027940,804706.799999999930151,794663.400000000023283,806284.829999999958090,819546.639999999897555,10274027.380000000819564
20190405,783061.719999999972060,773737.760000000009313,756455.800000000162981,783047.000000000000000,812331.079999999958090,801018.899999999906868,767150.340000000083819,821510.760000000009313,767801.280000000027940,806418.399999999906868,793965.000000000000000,810814.839999999967404,819598.619999999995343,10296921.499999998137355
20190408,781226.900000000023283,773468.640000000013970,756233.640000000013970,784395.000000000000000,808668.339999999967404,799568.879999999888241,765259.739999999990687,821784.840000000083819,770480.130000000004657,816687.999999999883585,790938.599999999976717,810717.069999999948777,820118.419999999925494,10299558.200000001117587
20190409,775228.449999999953434,786251.839999999967404,753067.859999999986030,786417.000000000000000,809647.910000000032596,788191.799999999930151,763841.790000000037253,817331.040000000037253,765122.430000000051223,814276.199999999837019,786922.799999999930151,810847.429999999934807,818766.939999999944121,10275923.490000000223517
20190410,777416.119999999995343,788270.239999999990687,753123.400000000139698,785911.500000000000000,805985.169999999925494,788749.500000000000000,764030.849999999976717,823566.359999999986030,763157.939999999944121,814198.399999999906868,788494.200000000069849,801852.589999999967404,824328.799999999930151,10279095.070000000298023
20190411,775228.449999999953434,784502.559999999939464,751068.420000000158325,787091.000000000000000,804537.109999999869615,794029.059999999939464,754766.910000000032596,824525.640000000013970,754942.800000000046566,814976.399999999906868,793266.599999999976717,767274.599999999860302,820690.199999999953434,10226909.749999998137355
20190412,782708.869999999995343,875061.440000000060536,755345.000000000000000,787596.500000000000000,816121.589999999967404,808492.079999999841675,750891.180000000051223,828773.880000000004657,744941.760000000009313,817388.199999999953434,801647.400000000023283,727514.799999999930151,829942.639999999897555,10326435.339999999850988
20190415,780027.209999999962747,888382.880000000004657,758344.160000000149012,791977.500000000000000,817186.339999999967404,802580.459999999962747,742383.479999999981374,829459.079999999958090,751728.180000000051223,822600.799999999930151,796234.799999999930151,750262.619999999878928,834101.039999999920838,10365278.549999997019768
20190416,789554.159999999916181,873984.960000000079162,766675.160000000149012,791135.000000000000000,816547.489999999874271,806558.719999999972060,733214.070000000065193,827540.519999999902211,730833.150000000023283,827968.999999999883585,805255.800000000046566,720149.459999999962747,833009.459999999846332,10322436.950000001117587
20190417,788707.320000000065193,886431.760000000009313,769452.160000000149012,796695.500000000000000,816164.180000000051223,809310.039999999804422,698805.150000000023283,834392.519999999902211,712259.790000000037253,823534.399999999906868,790880.400000000023283,706722.380000000004657,834101.039999999920838,10267466.640000000596046
20190418,802186.190000000060536,891141.359999999986030,763898.160000000149012,800065.500000000000000,830218.879999999888241,813920.359999999869615,691904.459999999962747,845355.719999999972060,703330.290000000037253,825090.399999999906868,808689.600000000093132,722724.069999999948777,832645.599999999860302,10331180.589999997988343
20190422,792729.809999999939464,885960.800000000046566,765619.900000000139698,798717.500000000000000,826002.469999999855645,812656.239999999874271,694456.769999999902211,848028.000000000000000,696186.689999999944121,824779.199999999953434,795187.200000000069849,740192.309999999939464,833893.119999999995343,10314420.009999999776483
20190423,804303.290000000037253,897263.840000000083819,777116.680000000051223,812366.000000000000000,831709.529999999911524,816225.519999999902211,705233.189999999944121,859539.359999999986030,704044.650000000023283,802606.199999999837019,803335.199999999953434,751501.040000000037253,840442.599999999860302,10405697.099999999627471
20190424,804656.140000000013970,908970.559999999939464,773228.880000000004657,808490.500000000000000,841803.359999999869615,814663.959999999962747,706462.080000000074506,856593.000000000000000,703151.699999999953434,806729.599999999860302,810144.600000000093132,750751.469999999972060,839558.939999999944121,10425214.790000000968575
20190425,817782.159999999916181,923368.480000000097789,775728.180000000051223,806131.500000000000000,843081.059999999939464,709221.479999999864958,721681.410000000032596,884960.280000000027940,707437.859999999986030,803539.799999999930151,810202.799999999930151,752185.429999999934807,837115.880000000004657,10392446.320000002160668
20190426,829920.199999999953434,941399.519999999902211,779838.140000000013970,813208.500000000000000,840908.969999999855645,712753.579999999841675,724422.780000000027940,890030.759999999892898,713867.099999999976717,823612.199999999953434,816313.800000000046566,772423.819999999948777,847044.059999999939464,10505753.430000001564622
20190429,823992.320000000065193,937228.160000000032596,776783.440000000060536,815904.500000000000000,839631.270000000018626,707325.299999999930151,725840.729999999981374,889208.520000000018626,707080.680000000051223,815209.799999999930151,823414.200000000069849,773890.369999999878928,853385.619999999995343,10488904.909999998286366
20190430,827309.109999999986030,921551.920000000041910,784336.880000000004657,826688.500000000000000,841547.819999999948777,704722.699999999837019,744085.019999999902211,894895.679999999934807,725296.859999999986030,828435.799999999930151,836742.000000000000000,759615.949999999953434,854841.059999999939464,10550079.299999998882413
20190501,825827.140000000013970,917582.400000000023283,788502.380000000004657,818769.000000000000000,827067.219999999855645,691932.779999999911524,744179.550000000046566,876258.239999999990687,728154.300000000046566,816376.799999999930151,832842.600000000093132,755965.869999999878928,846316.339999999850988,10469784.619999999180436
20190502,827450.250000000000000,902511.679999999934807,784781.200000000069849,815399.000000000000000,828941.180000000051223,687025.019999999902211,751741.949999999953434,864815.399999999906868,732440.459999999962747,821278.199999999953434,830630.999999999883585,757595.369999999878928,837635.679999999934807,10442256.389999998733401
20190503,842269.949999999953434,903790.000000000116415,788835.619999999995343,820959.500000000000000,841334.869999999995343,688772.479999999864958,756279.390000000013970,883247.280000000027940,739226.880000000004657,825323.799999999930151,834414.000000000000000,755965.869999999878928,842417.839999999850988,10522847.479999998584390
20190506,842199.380000000004657,908297.760000000009313,789279.940000000060536,816747.000000000000000,847212.289999999920838,680667.239999999874271,751363.830000000074506,878108.280000000027940,743870.219999999972060,822211.799999999930151,834879.600000000093132,783830.319999999948777,843665.359999999986030,10542343.019999999552965
20190507,834295.540000000037253,897802.079999999958090,777505.460000000079162,808827.500000000000000,843549.549999999930151,666092.679999999934807,736428.090000000083819,860087.519999999902211,729225.839999999967404,814587.399999999906868,824869.200000000069849,775845.770000000018626,832905.500000000000000,10402032.129999997094274
20190508,829143.929999999934807,908230.480000000097789,776505.739999999990687,806300.000000000000000,843506.959999999962747,664122.139999999897555,739074.930000000051223,860019.000000000000000,731368.920000000041910,817465.999999999883585,823821.599999999976717,779430.669999999925494,835764.399999999906868,10414764.769999999552965
20190509,827520.820000000065193,898811.280000000027940,770618.500000000000000,798717.500000000000000,842229.259999999892898,651815.559999999939464,740492.880000000004657,859950.479999999981374,725832.630000000004657,811008.599999999860302,825567.600000000093132,775585.049999999930151,830826.299999999930151,10358986.460000000894070
20190510,835989.219999999972060,901838.880000000004657,772395.780000000144355,812029.000000000000000,851854.599999999976717,653972.000000000000000,739169.459999999962747,871119.239999999990687,727261.349999999976717,824779.199999999953434,837964.200000000069849,784123.630000000004657,835504.500000000000000,10448011.060000000521541
20190513,817923.300000000046566,883673.280000000027940,762120.880000000004657,809670.000000000000000,847765.959999999962747,647316.779999999911524,729527.400000000023283,845218.679999999934807,724582.500000000000000,825557.199999999953434,834763.199999999953434,780734.270000000018626,817935.260000000009313,10326798.709999999031425
20190514,825756.570000000065193,896187.359999999986030,760010.359999999986030,820454.000000000000000,843421.779999999911524,651555.299999999930151,731890.650000000023283,854674.440000000060536,726189.809999999939464,821589.399999999906868,848149.200000000069849,770566.189999999944121,832905.500000000000000,10383360.559999998658895
20190515,830343.619999999995343,906144.800000000046566,760510.220000000088476,828710.500000000000000,847936.319999999948777,647502.679999999934807,733119.540000000037253,863513.519999999902211,734940.719999999972060,830147.399999999906868,852863.400000000023283,769425.540000000037253,846316.339999999850988,10451484.599999997764826
