訓練日期,20181224 - 20190328
測試日期,20190329 - 20190520
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11916893.829999998211861
真實報酬,2984779.180000001564622


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-108.849874653316334 x^2 + 30695.707126737190265 x + 10000000.000000000000000
二次平均預期報酬,19593.019912098920031
風險,98700.956555317257880
二次平均趨勢值,0.198508916183785
一次趨勢線,22409.711496108175197 x + 10000000.000000000000000
一次預期報酬,22409.711496108175197
一次風險,159798.898182121833088
一次趨勢值,0.140236958771568
投資組合檔數,12
Stock#,AAPL[0](1),AXP[1](2),CSCO[4](30),DIS[6](16),JNJ[12](20),KO[14](6),MRK[17](17),PG[21](4),TRV[22](24),V[25](8),VZ[26](14),XOM[29](26)
張數,5528,9124,19912,7995,6505,17518,11431,9160,7180,6706,15173,12233,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
剩餘資金,97.560000000055879,38.079999999958090,15.799999999930151,94.099999999976717,107.549999999930151,1.739999999990687,13.099999999976717,47.800000000046566,22.199999999953434,45.439999999944121,31.839999999967404,21.039999999920838,
20181224,811773.800000000162981,816636.079999999958090,802071.159999999916181,802392.349999999976717,799181.750000000000000,805129.020000000018626,813328.750000000000000,800265.400000000023283,808705.599999999976717,816366.819999999948777,804959.489999999874271,801404.869999999995343,9682219.089999999850988
20181226,868933.319999999948777,856234.239999999990687,845678.439999999944121,846204.949999999953434,824356.099999999860302,822296.659999999916181,845907.099999999976717,825272.200000000069849,841302.799999999930151,873367.819999999832362,826049.959999999962747,839694.159999999916181,10115301.750000000000000
20181227,863294.760000000125729,863898.400000000023283,854439.719999999855645,851721.500000000000000,828909.599999999860302,832632.280000000027940,861681.879999999888241,842951.000000000000000,852072.799999999930151,885304.499999999883585,836822.789999999920838,843364.059999999939464,10217097.289999999105930
20181228,863737.000000000000000,861526.159999999916181,851652.040000000037253,857957.599999999976717,827998.899999999906868,826851.340000000083819,861567.570000000065193,835256.600000000093132,848985.399999999906868,878129.079999999958090,838643.550000000046566,833944.649999999906868,10186253.890000002458692
20181231,872084.280000000144355,869737.759999999892898,862802.759999999892898,876745.849999999976717,839577.800000000046566,829479.040000000037253,873455.809999999939464,842035.000000000116415,859827.199999999953434,884835.079999999958090,853057.899999999906868,834189.309999999939464,10297831.790000000968575
20190102,873079.319999999948777,873022.400000000023283,855236.199999999953434,871309.250000000000000,831121.299999999930151,822121.479999999981374,864082.390000000013970,836172.600000000093132,842738.799999999930151,891406.959999999846332,850023.300000000046566,852538.809999999939464,10262856.810000000521541
20190103,786123.880000000004657,852493.400000000023283,817801.639999999897555,850202.449999999953434,817916.149999999906868,817041.260000000009313,846364.340000000083819,830310.200000000069849,827589.000000000000000,859285.219999999855645,853057.899999999906868,839449.500000000000000,9997638.939999999478459
20190104,819678.839999999967404,890905.439999999944121,854638.839999999967404,876426.049999999930151,831641.699999999953434,833333.000000000000000,871855.469999999972060,847256.199999999953434,852144.599999999976717,896302.339999999967404,855182.119999999995343,870398.989999999990687,10299767.589999997988343
20190107,817854.600000000093132,895741.159999999916181,860413.319999999948777,884021.300000000046566,826307.599999999976717,822471.840000000083819,862253.430000000051223,843867.000000000116415,849416.199999999953434,912463.799999999930151,860644.399999999906868,874925.199999999837019,10310383.849999999627471
20190108,833443.560000000055879,900120.680000000051223,867382.520000000018626,890897.000000000000000,845497.349999999976717,831756.379999999888241,868654.789999999920838,846981.400000000023283,846113.400000000023283,917426.239999999990687,885831.579999999958090,881286.359999999986030,10415395.259999999776483
20190109,847595.240000000107102,901763.000000000000000,862603.639999999897555,900890.750000000000000,838797.199999999953434,815815.000000000000000,862024.809999999939464,833149.800000000046566,852144.599999999976717,928222.899999999906868,865651.489999999874271,885934.899999999906868,10394597.330000000074506
20190110,850303.960000000079162,896562.319999999948777,861010.679999999934807,901930.099999999976717,843871.099999999976717,824574.000000000000000,851393.979999999981374,835165.000000000116415,863560.799999999930151,929966.459999999846332,873996.640000000013970,881408.689999999944121,10413747.730000000447035
20190111,841956.680000000051223,899208.279999999911524,865988.679999999934807,900730.849999999976717,844131.299999999930151,829303.860000000102445,856195.000000000000000,840661.000000000000000,864996.799999999930151,925875.799999999930151,880369.300000000046566,877371.799999999930151,10426793.350000001490116
20190114,829297.560000000055879,898204.639999999897555,860413.319999999948777,898892.000000000000000,834568.949999999953434,825975.439999999944121,838705.570000000065193,834981.800000000046566,865786.599999999976717,919438.039999999920838,880521.030000000027940,876270.829999999841675,10363059.779999999329448
20190115,846268.520000000018626,894098.839999999967404,876542.040000000037253,893615.300000000046566,841594.349999999976717,833333.000000000000000,851622.599999999976717,842859.400000000139698,874689.799999999930151,921047.479999999981374,881583.140000000013970,876760.149999999906868,10434018.620000001043081
20190116,856605.880000000004657,907054.919999999925494,875347.319999999948777,886819.549999999930151,833007.749999999883585,821946.300000000046566,852880.010000000009313,836997.000000000116415,878136.199999999953434,921047.479999999981374,866106.679999999934807,876393.159999999916181,10412346.249999998137355
20190117,861691.640000000130385,907784.839999999967404,880325.319999999948777,887619.050000000046566,839838.000000000000000,824398.820000000065193,864196.699999999953434,830310.200000000069849,882731.399999999906868,920645.119999999995343,862313.429999999934807,882387.329999999841675,10444245.849999999627471
20190118,866998.520000000018626,916817.599999999976717,896653.159999999916181,887858.900000000023283,850245.999999999883585,834033.719999999972060,867283.070000000065193,837455.000000000116415,890414.000000000000000,928826.439999999944121,866258.410000000032596,892907.709999999846332,10535756.529999999329448
20190122,847539.960000000079162,910887.000000000000000,891675.159999999916181,884341.099999999976717,837951.550000000046566,835960.699999999953434,866825.829999999958090,828478.200000000069849,878567.000000000000000,925808.739999999990687,864741.109999999986030,879451.409999999916181,10452231.759999999776483
