訓練日期,20170628 - 20170928
測試日期,20170929 - 20180212
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11523703.119999999180436
真實報酬,4274161.150000000372529


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,27.831673956388503 x^2 + 9477.322511719121394 x + 10000000.000000000000000
二次平均預期報酬,13902.558670784894275
風險,199646.507614090165589
二次平均趨勢值,0.069635872106804
一次趨勢線,12785.779829380266165 x + 10000000.000000000000000
一次預期報酬,12785.779829380266165
一次風險,214449.214977129799081
一次趨勢值,0.059621481154612
投資組合檔數,18
Stock#,AAPL[0](14),AXP[1](5),BA[2](15),CAT[3](24),CSCO[4](12),CVX[5](23),DD[7](29),HD[9](13),IBM[10](25),JNJ[12](21),JPM[13](16),KO[14](7),MCD[15](8),PFE[20](22),PG[21](3),UNH[23](19),V[25](2),WBA[27](30)
張數,3865,6686,2793,5345,17492,5338,6183,3649,3590,4114,6309,12331,3614,16451,6269,3009,5854,7190,
分配資金,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,555555,
剩餘資金,38.550000000046566,82.119999999995343,55.229999999981374,49.149999999906868,9.079999999958090,29.340000000083819,12.450000000069849,31.239999999990687,2.500000000000000,123.859999999986030,47.550000000046566,43.450000000069849,10.920000000041910,4.729999999981374,58.910000000032596,93.599999999976717,10.400000000023283,55.599999999976717,
20170628,563671.500000000116415,561505.540000000037253,557593.890000000013970,569024.399999999906868,561152.439999999944121,556675.980000000097789,556915.260000000009313,559167.510000000009313,557601.299999999930151,550659.339999999967404,566721.930000000051223,558884.370000000111759,557651.120000000111759,555225.979999999981374,554050.440000000060536,558864.899999999906868,563340.820000000065193,554332.699999999953434,10063049.419999998062849
20170629,555361.750000000116415,559232.299999999930151,551561.010000000009313,564694.949999999953434,549432.799999999930151,555821.900000000139698,552154.350000000093132,555263.079999999958090,553329.199999999953434,545804.819999999948777,575112.900000000139698,552842.180000000051223,553422.739999999990687,553251.859999999986030,545399.219999999972060,557571.030000000027940,552745.080000000074506,563535.900000000023283,9996547.070000000298023
20170630,556675.850000000093132,563310.760000000009313,552370.979999999981374,574422.849999999860302,547508.679999999934807,556942.880000000121072,555369.510000000009313,559787.839999999967404,552252.200000000069849,544364.919999999925494,576690.150000000139698,553088.800000000046566,553531.160000000032596,552593.820000000065193,546402.260000000125729,558022.379999999888241,548998.520000000018626,563104.500000000000000,10015448.059999998658895
20170703,554666.050000000046566,569060.719999999972060,554717.099999999976717,571803.799999999930151,548033.439999999944121,567458.740000000107102,563036.430000000051223,562013.729999999981374,558534.700000000069849,546874.459999999962747,585207.300000000046566,551979.010000000009313,551145.920000000041910,556377.549999999930151,550100.969999999972060,561723.449999999953434,546481.300000000046566,561810.299999999930151,10061034.970000000670552
20170705,556946.400000000023283,567656.660000000032596,563710.559999999939464,574583.199999999837019,544185.199999999953434,558490.900000000139698,558461.010000000009313,557197.049999999930151,551677.799999999930151,549918.819999999948777,591074.670000000041910,552718.870000000111759,553205.900000000023283,553416.369999999995343,549662.140000000013970,566537.849999999976717,550344.940000000060536,565477.199999999953434,10065275.539999999105930
20170706,551690.000000000000000,559967.760000000009313,562788.869999999995343,569345.099999999976717,537363.319999999948777,554220.500000000000000,559697.610000000102445,554861.690000000060536,546974.900000000023283,545311.140000000013970,589181.969999999972060,547539.850000000093132,553278.180000000051223,546506.949999999953434,547781.440000000060536,562596.059999999939464,545895.900000000023283,558862.400000000023283,9993873.640000002458692
20170707,557294.250000000116415,563912.500000000000000,565274.640000000013970,571536.549999999930151,540511.879999999888241,552458.960000000079162,562603.619999999995343,555518.510000000009313,549057.099999999976717,545393.419999999925494,592147.199999999953434,547416.540000000037253,564770.700000000069849,548645.579999999958090,549536.760000000125729,565665.239999999990687,549818.080000000074506,557064.900000000023283,10038636.429999999701977
