訓練日期,20141030 - 20150203
測試日期,20150204 - 20150409
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,11656986.859999997541308
真實報酬,3424269.750000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-132.779238715010280 x^2 + 28888.356031814568269 x + 10000000.000000000000000
二次平均預期報酬,14149.860534448422186
風險,160685.514985934540164
二次平均趨勢值,0.088059340854009
一次趨勢線,17884.501927446170157 x + 10000000.000000000000000
一次預期報酬,17884.501927446170157
一次風險,242528.167743992788019
一次趨勢值,0.073741957867445
投資組合檔數,12
Stock#,BA[2](10),CSCO[4](7),DIS[6](18),HD[9](4),IBM[10](29),MMM[16](26),PG[21](19),UNH[23](5),UTX[24](23),V[25](2),WBA[27](30),WMT[28](16)
張數,6770,34578,9307,8642,5098,5518,9629,8964,7872,15526,13263,10908,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
剩餘資金,81.400000000023283,3.199999999953434,77.290000000037253,71.359999999986030,13.919999999925494,59.820000000065193,39.339999999967404,39.560000000055879,81.800000000046566,52.579999999958090,18.710000000079162,70.880000000004657,
20141030,838342.799999999930151,832641.439999999944121,839754.830000000074506,842839.199999999953434,837870.219999999855645,839347.619999999995343,837184.599999999976717,841579.880000000004657,837190.280000000027940,918570.739999999874271,835057.190000000060536,833987.479999999981374,10134370.279999999329448
20141031,845722.099999999976717,846126.859999999869615,850550.949999999953434,842839.199999999953434,838125.119999999995343,848562.680000000167638,840362.169999999925494,851709.200000000069849,842385.800000000046566,937201.939999999944121,851768.570000000065193,832024.039999999920838,10227382.629999998956919
20141103,853304.500000000000000,849930.439999999944121,853622.260000000009313,830481.140000000013970,837921.199999999953434,845969.220000000088476,841421.359999999869615,850364.600000000093132,836875.400000000023283,937667.719999999972060,861848.450000000186265,832133.119999999995343,10231543.409999998286366
20141104,852018.200000000069849,860303.839999999967404,840964.739999999990687,829357.679999999934807,829203.619999999995343,855625.720000000088476,853553.900000000023283,851440.280000000144355,841441.160000000032596,943101.819999999948777,865296.829999999958090,842822.960000000079162,10265134.750000001862645
20141105,841050.800000000046566,869639.899999999906868,847014.290000000037253,827802.119999999995343,824972.279999999911524,859157.240000000107102,857020.339999999967404,858790.760000000009313,849706.760000000125729,968564.459999999962747,870867.290000000037253,847622.479999999981374,10322212.719999998807907
20141106,843488.000000000000000,873443.479999999981374,856321.290000000037253,840851.540000000037253,823137.000000000000000,861143.720000000088476,856057.440000000060536,862466.000000000000000,854823.560000000055879,970738.099999999976717,883997.660000000149012,848822.359999999986030,10375294.150000000372529
20141107,842607.900000000023283,875863.939999999944121,837707.290000000037253,843962.660000000032596,826246.779999999911524,863902.720000000088476,858272.109999999869615,839159.600000000093132,858759.560000000055879,979898.439999999944121,887578.670000000158325,859294.039999999920838,10373257.709999999031425
