訓練日期,20180323 - 20180625
測試日期,20180626 - 20181012
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11783286.529999999329448
真實報酬,3111102.120000001043081


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-103.345505042294192 x^2 + 31642.817900922600529 x + 10000000.000000000000000
二次平均預期報酬,16864.410679874530615
風險,132774.503784297790844
二次平均趨勢值,0.127015429914707
一次趨勢線,20597.903030455079715 x + 10000000.000000000000000
一次預期報酬,20597.903030455079715
一次風險,272107.798973851546180
一次趨勢值,0.075697584222621
投資組合檔數,4
Stock#,HD[9](13),NKE[19](10),UNH[23](22),V[25](5)
張數,14551,38681,11761,21367,
分配資金,2500000,2500000,2500000,2500000,
剩餘資金,138.199999999720603,46.970000000204891,199.449999999720603,61.000000000000000,
20180323,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20180326,2566643.579999999608845,2549124.870000000577420,2576681.719999999739230,2577775.879999999888241,10270226.050000000745058
20180327,2541906.879999999888241,2559568.740000000223517,2563627.009999999776483,2508546.800000000279397,10173649.429999999701977
20180328,2543070.959999999497086,2531331.610000000335276,2569977.949999999720603,2499786.330000000074506,10144166.849999999627471
20180329,2593708.439999999944121,2570012.610000000335276,2517053.449999999720603,2555981.540000000037253,10236756.039999999105930
20180402,2516006.099999999627471,2480272.690000000409782,2554688.649999999441206,2529700.129999999888241,10080667.570000000298023
20180403,2528519.959999999497086,2580069.670000000391155,2641484.830000000074506,2547007.399999999906868,10297081.859999999403954
20180404,2582067.639999999664724,2646600.990000000223517,2690998.639999999664724,2560041.270000000018626,10479708.539999999105930
20180405,2606658.829999999608845,2691857.760000000242144,2694291.719999999739230,2589527.729999999981374,10582336.039999999105930
20180406,2538560.149999999441206,2612948.520000000018626,2634193.009999999776483,2514956.899999999906868,10300658.580000000074506
20180409,2510331.209999999497086,2598636.550000000279397,2619726.979999999515712,2538246.930000000167638,10266941.669999999925494
20180410,2524591.189999999944121,2591673.970000000204891,2667476.639999999664724,2579485.239999999757856,10363227.039999999105930
20180411,2515424.060000000055879,2585098.200000000186265,2609965.349999999627471,2559400.260000000242144,10269887.869999999180436
20180412,2522699.560000000055879,2621458.339999999850988,2637486.089999999850988,2586963.689999999944121,10368607.679999999701977
20180413,2514551.000000000000000,2601344.220000000204891,2637956.529999999795109,2580126.250000000000000,10333978.000000000000000
20180416,2538269.129999999888241,2593994.830000000074506,2708992.969999999739230,2604270.959999999962747,10445527.890000000596046
20180417,2545253.609999999869615,2611401.280000000260770,2805786.000000000000000,2645295.600000000093132,10607736.490000000223517
20180418,2617135.549999999813735,2560729.170000000391155,2780499.849999999627471,2645295.600000000093132,10603660.169999999925494
20180419,2576829.279999999795109,2542549.100000000558794,2772972.809999999590218,2648714.319999999832362,10541065.509999999776483
20180420,2575810.709999999497086,2556474.260000000242144,2764740.109999999869615,2653842.399999999906868,10550867.480000000447035
20180423,2585268.859999999869615,2587032.250000000000000,2756272.189999999944121,2659397.819999999832362,10587971.119999999180436
20180424,2564897.459999999497086,2590513.540000000037253,2754860.869999999646097,2591237.089999999850988,10501508.959999999031425
20180425,2581340.089999999385327,2578909.240000000223517,2754860.869999999646097,2589955.069999999832362,10505065.269999999552965
20180426,2702549.919999999925494,2632289.020000000018626,2787909.279999999795109,2715379.359999999869615,10838127.579999998211861
20180427,2713317.659999999683350,2690697.330000000074506,2824956.429999999701977,2692516.669999999925494,10921488.089999999850988
20180430,2689163.000000000000000,2645440.560000000055879,2780499.849999999627471,2711105.959999999962747,10826209.370000001043081
