訓練日期,20140313 - 20140613
測試日期,20140616 - 20140806
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11212261.519999999552965
真實報酬,3076393.500000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-76.948538292357412 x^2 + 23370.345276806685433 x + 10000000.000000000000000
二次平均預期報酬,15444.645832693873672
風險,65186.860854199963796
二次平均趨勢值,0.236928817100705
一次趨勢線,17455.067155103013647 x + 10000000.000000000000000
一次預期報酬,17455.067155103013647
一次風險,72008.217617491114652
一次趨勢值,0.242403821850231
投資組合檔數,8
Stock#,AAPL[0](9),CSCO[4](6),INTC[11](12),KO[14](15),MCD[15](5),TRV[22](10),VZ[26](21),XOM[29](28)
張數,16488,58085,50875,32920,12837,15135,27156,13348,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
剩餘資金,44.719999999972060,10.800000000046566,1.250000000000000,27.600000000093132,61.310000000055879,0.349999999860302,9.320000000065193,93.280000000027940,
20140313,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
20140314,1235985.199999999953434,1240125.550000000046566,1246438.750000000000000,1256584.000000000232831,1252695.770000000018626,1251059.449999999720603,1251357.800000000046566,1247730.840000000083819,9981977.359999999403954
20140317,1240766.719999999972060,1249419.150000000139698,1256613.750000000000000,1259876.000000000232831,1252952.510000000009313,1264378.250000000000000,1257603.680000000167638,1259076.639999999897555,10040686.700000001117587
20140318,1251648.799999999813735,1256389.350000000093132,1262718.750000000000000,1264155.600000000093132,1249229.780000000027940,1270583.599999999860302,1268194.520000000251457,1264282.359999999869615,10087202.759999999776483
20140319,1251319.040000000037253,1256389.350000000093132,1272893.750000000000000,1255596.400000000139698,1233697.010000000009313,1259232.349999999860302,1258961.479999999981374,1251201.320000000065193,10039290.699999999254942
20140320,1245383.360000000102445,1268006.349999999860302,1293752.500000000000000,1265801.600000000093132,1240115.510000000009313,1259686.399999999906868,1282044.080000000074506,1262547.120000000111759,10117336.920000001788139
20140321,1255111.280000000027940,1256970.200000000186265,1280525.000000000000000,1265472.399999999906868,1225609.699999999953434,1268010.649999999906868,1273897.280000000027940,1258943.160000000149012,10084539.669999999925494
20140324,1270115.360000000102445,1252904.250000000000000,1277981.250000000000000,1264155.600000000093132,1234723.970000000204891,1269221.449999999953434,1276612.880000000121072,1263348.000000000000000,10109062.760000001639128
20140325,1283800.399999999906868,1297629.699999999953434,1295278.750000000000000,1271398.000000000000000,1231257.979999999981374,1271794.399999999906868,1282315.640000000130385,1266951.959999999962747,10200426.830000001937151
20140326,1271434.399999999906868,1296468.000000000000000,1291208.750000000000000,1271068.800000000046566,1230359.390000000130385,1262713.399999999906868,1276612.880000000121072,1264148.880000000121072,10164014.500000001862645
20140327,1265993.360000000102445,1279042.500000000000000,1287647.500000000000000,1277982.000000000000000,1234467.229999999981374,1263621.499999999767169,1295078.959999999962747,1284704.800000000046566,10188537.850000001490116
20140328,1264509.439999999944121,1297048.849999999860302,1303418.750000000000000,1282261.600000000093132,1248331.189999999944121,1271188.999999999767169,1287746.840000000083819,1304192.880000000121072,10258698.550000000745058
20140331,1264344.560000000055879,1302276.500000000232831,1313085.000000000000000,1272714.800000000046566,1258472.420000000158325,1287988.849999999860302,1291820.239999999990687,1303925.920000000158325,10294628.289999999105930
20140401,1275886.159999999916181,1341774.300000000046566,1322242.500000000000000,1264484.800000000046566,1256803.610000000102445,1277242.999999999767169,1296708.320000000065193,1304593.320000000065193,10339736.009999999776483
20140402,1278029.600000000093132,1335384.949999999953434,1317155.000000000000000,1261851.199999999953434,1252824.140000000130385,1281178.099999999860302,1298609.239999999990687,1307529.880000000121072,10332562.110000001266599
