訓練日期,20190513 - 20190813
測試日期,20190814 - 20190917
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10915928.240000000223517
真實報酬,232095.890000000596046


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-100.303880125495581 x^2 + 21858.450753248180263 x + 10000000.000000000000000
二次平均預期報酬,12831.101541953577907
風險,101486.786002833352541
二次平均趨勢值,0.126431253243110
一次趨勢線,15125.762933651389176 x + 10000000.000000000000000
一次預期報酬,15125.762933651389176
一次風險,109172.311101275161491
一次趨勢值,0.138549443362244
投資組合檔數,2
Stock#,KO[14](20),MCD[15](29)
張數,104058,25121,
分配資金,5000000,5000000,
剩餘資金,13.100000000558794,167.370000000111759,
20190513,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20190514,5066597.120000000111759,4974376.580000000074506,10040973.699999999254942
20190515,5117585.540000000968575,5001004.839999999850988,10118590.380000000819564
20190516,5159208.740000000223517,5024116.160000000149012,10183324.900000000372529
20190517,5119666.700000001117587,5004772.990000000223517,10124439.690000001341105
20190520,5083246.400000000372529,4998995.160000000149012,10082241.560000000521541
20190521,5057231.900000000372529,5020348.009999999776483,10077579.910000000149012
20190522,5166492.800000000745058,5023362.530000000260770,10189855.330000001937151
20190523,5187304.400000000372529,4998492.740000000223517,10185797.140000000596046
20190524,5162330.480000000447035,4968347.540000000037253,10130678.019999999552965
20190528,5109260.900000000372529,4940714.439999999478459,10049975.339999999850988
20190529,5058272.480000000447035,4924385.790000000037253,9982658.269999999552965
20190530,5124869.600000000558794,5005275.410000000149012,10130145.010000001639128
20190531,5112382.640000000596046,4980908.040000000037253,10093290.679999999701977
20190603,5200831.940000000409782,4993719.750000000000000,10194551.690000001341105
20190604,5202913.100000000558794,5015072.599999999627471,10217985.699999999254942
20190605,5284078.340000000782311,5027633.099999999627471,10311711.440000001341105
20190606,5348594.300000000745058,5100986.420000000856817,10449580.720000002533197
20190607,5357959.520000000484288,5162030.450000000186265,10519989.970000000670552
20190610,5346513.140000000596046,5057024.670000000856817,10403537.810000002384186
20190611,5341310.240000000223517,5106261.830000000074506,10447572.070000000298023
20190612,5373568.220000000670552,5148213.900000000372529,10521782.120000001043081
20190613,5320498.640000000596046,5137160.660000000149012,10457659.300000000745058
20190614,5339229.080000001005828,5157257.459999999962747,10496486.540000000968575
20190617,5293443.560000000521541,5120078.379999999888241,10413521.940000001341105
20190618,5269510.220000000670552,5137663.080000000074506,10407173.300000000745058
20190619,5319458.060000000521541,5138667.920000000856817,10458125.980000000447035
20190620,5375649.379999999888241,5152986.890000000596046,10528636.269999999552965
20190621,5364203.000000000000000,5131382.830000000074506,10495585.830000000074506
20190624,5402704.460000000894070,5122841.689999999478459,10525546.150000000372529
20190625,5386055.180000000633299,5167808.280000000260770,10553863.460000000894070
20190626,5319458.060000000521541,5138667.920000000856817,10458125.980000000447035
20190627,5315295.740000000223517,5181876.040000000037253,10497171.780000001192093
20190628,5298646.460000000894070,5216794.230000000447035,10515440.690000001341105
20190701,5369405.900000000372529,5182629.670000000856817,10552035.570000000298023
20190702,5408947.940000000409782,5265026.550000000745058,10673974.490000002086163
20190703,5421434.900000000372529,5346167.379999999888241,10767602.280000001192093
20190705,5422475.480000000447035,5306727.410000000149012,10729202.890000000596046
20190708,5411029.100000000558794,5329838.730000000447035,10740867.830000001937151
20190709,5368365.320000001229346,5328080.259999999776483,10696445.580000001937151
20190710,5392298.660000000149012,5350940.370000000111759,10743239.030000001192093
20190711,5415191.420000000856817,5343152.860000000335276,10758344.280000001192093
20190712,5423516.060000000521541,5350689.160000000149012,10774205.220000000670552
20190715,5424556.640000000596046,5381336.780000000260770,10805893.420000001788139
20190716,5425597.220000000670552,5369027.490000000223517,10794624.710000000894070
20190717,5429759.540000000968575,5368776.280000000260770,10798535.820000000298023
20190718,5414150.840000000782311,5424042.480000000447035,10838193.320000000298023
20190719,5347553.720000000670552,5372795.640000000596046,10720349.360000001266599
20190722,5329863.860000000335276,5401182.370000000111759,10731046.230000000447035
20190723,5653484.240000000223517,5383848.879999999888241,11037333.120000001043081
20190724,5596252.340000000782311,5345413.750000000000000,10941666.089999999850988
20190725,5522371.160000000149012,5387114.610000000335276,10909485.769999999552965
20190726,5636834.960000000894070,5415752.550000000745058,11052587.510000001639128
20190729,5618104.520000000484288,5400679.950000000186265,11018784.470000000670552
20190730,5590008.860000000335276,5334360.509999999776483,10924369.370000001043081
20190731,5476585.640000000596046,5293664.490000000223517,10770250.130000000819564
20190801,5414150.840000000782311,5306978.620000000111759,10721129.460000000894070
20190802,5445368.240000000223517,5388119.450000000186265,10833487.690000001341105
20190805,5374608.800000000745058,5286881.819999999366701,10661490.620000001043081
20190806,5439124.760000000707805,5378071.050000000745058,10817195.810000002384186
20190807,5533817.540000000968575,5447153.800000000745058,10980971.340000001713634
20190808,5586887.120000000111759,5476796.580000000074506,11063683.699999999254942
20190809,5558791.460000000894070,5555676.520000000484288,11114467.980000000447035
20190812,5535898.700000001117587,5455443.730000000447035,10991342.430000001564622
20190813,5567116.100000000558794,5520004.700000000186265,11087120.800000000745058
20190814,5514046.520000000484288,5438361.450000000186265,10952407.970000000670552
20190815,5605617.560000000521541,5483328.040000000037253,11088945.600000001490116
20190816,5661808.879999999888241,5488352.240000000223517,11150161.120000001043081
20190819,5690945.120000000111759,5496139.750000000000000,11187084.870000001043081
20190820,5606658.140000000596046,5488352.240000000223517,11095010.380000000819564
20190821,5629550.900000000372529,5544623.280000000260770,11174174.179999999701977
20190822,5670133.520000000484288,5513975.660000000149012,11184109.179999999701977
20190823,5592090.020000000484288,5392641.230000000447035,10984731.250000000000000
20190826,5675336.420000000856817,5449163.480000000447035,11124499.900000002235174
20190827,5694066.860000000335276,5427559.420000000856817,11121626.280000001192093
20190828,5734649.480000000447035,5478303.839999999850988,11212953.320000000298023
20190829,5728406.000000000000000,5540352.709999999962747,11268758.710000000894070
20190830,5727365.420000000856817,5475791.740000000223517,11203157.160000000149012
20190903,5754420.500000000000000,5454690.099999999627471,11209110.599999999627471
20190904,5803327.760000000707805,5489105.870000000111759,11292433.630000000819564
20190905,5735690.060000000521541,5513975.660000000149012,11249665.720000000670552
20190906,5747136.440000000409782,5527541.000000000000000,11274677.440000001341105
20190909,5673255.260000000707805,5457955.830000000074506,11131211.089999999850988
20190910,5660768.300000000745058,5267538.650000000372529,10928306.950000001117587
20190911,5699269.760000000707805,5280601.569999999366701,10979871.330000000074506
20190912,5734649.480000000447035,5329587.520000000484288,11064237.000000000000000
20190913,5646200.180000000633299,5270804.379999999888241,10917004.560000000521541
20190916,5614982.780000000260770,5210262.770000000484288,10825245.550000000745058
20190917,5644119.020000000484288,5271809.219999999739230,10915928.240000000223517
