訓練日期,20140506 - 20140806
測試日期,20140807 - 20140911
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11850812.080000000074506
真實報酬,3757531.509999999776483


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-153.786662596809492 x^2 + 34569.286623287232942 x + 10000000.000000000000000
二次平均預期報酬,20574.700326977566874
風險,85719.270973771068384
二次平均趨勢值,0.240024210346739
一次趨勢線,24131.335518304909783 x + 10000000.000000000000000
一次預期報酬,24131.335518304909783
一次風險,85363.892749600257957
一次趨勢值,0.282687852451737
投資組合檔數,3
Stock#,CSCO[4](6),DIS[6](21),INTC[11](14)
張數,146713,41137,127226,
分配資金,3333333,3333333,3333333,
剩餘資金,13.640000000130385,1.890000000130385,11.800000000279397,
20140506,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20140507,3355339.950000000186265,3302891.620000000577420,3354961.420000000391155,10013193.990000000223517
20140508,3377346.899999999906868,3356781.089999999850988,3351144.640000000130385,10085273.630000000819564
20140509,3377346.899999999906868,3371179.040000000037253,3346055.600000000558794,10094582.539999999105930
20140512,3402288.110000000335276,3390513.430000000167638,3354961.420000000391155,10147763.960000000894070
20140513,3353872.819999999832362,3376526.850000000093132,3365139.500000000000000,10095540.169999999925494
20140514,3346537.169999999925494,3328807.930000000167638,3349872.379999999888241,10025218.480000000447035
20140515,3547533.979999999981374,3297132.440000000409782,3309160.060000000521541,10153827.480000000447035
20140516,3575409.450000000186265,3307005.320000000298023,3284987.120000000111759,10167402.890000000596046
20140519,3572475.190000000409782,3334155.740000000223517,3312976.840000000316650,10219608.770000001415610
20140520,3538731.200000000186265,3335801.220000000204891,3312976.840000000316650,10187510.259999999776483
20140521,3591547.880000000353903,3381051.919999999925494,3333333.000000000000000,10305933.800000000745058
20140522,3576876.580000000074506,3387633.839999999850988,3326971.700000000186265,10291483.120000001043081
20140523,3597416.399999999906868,3427536.729999999981374,3344783.340000000316650,10369737.470000000670552
20140527,3625291.870000000111759,3444814.270000000018626,3398218.260000000242144,10468325.400000000372529
20140528,3641430.300000000279397,3439055.089999999850988,3419846.680000000167638,10500333.070000000298023
20140529,3620890.479999999981374,3456744.000000000000000,3430024.760000000242144,10507660.240000000223517
20140530,3612087.700000000186265,3455921.260000000242144,3475826.120000000111759,10543836.080000001937151
20140602,3635561.780000000260770,3466616.879999999888241,3468192.560000000521541,10570372.220000000670552
20140603,3620890.479999999981374,3450573.449999999720603,3519082.960000000428408,10590547.890000000596046
20140604,3594482.140000000130385,3465382.770000000018626,3511449.400000000372529,10571315.310000000521541
20140605,3623824.740000000223517,3487596.750000000000000,3519082.960000000428408,10630505.450000001117587
20140606,3642897.429999999701977,3480603.459999999962747,3583968.220000000670552,10707470.109999999403954
