訓練日期,20100818 - 20101117
測試日期,20101118 - 20101223
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10929823.679999999701977
真實報酬,18445618.500000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-82.523229761252196 x^2 + 18906.491662830329005 x + 10000000.000000000000000
二次平均預期報酬,11396.877754556375294
風險,94870.853700484760338
二次平均趨勢值,0.120130443756069
一次趨勢線,13305.398416327680025 x + 10000000.000000000000000
一次預期報酬,13305.398416327680025
一次風險,90341.396119870216353
一次趨勢值,0.147279087857723
投資組合檔數,3
Stock#,KO[14](16),MCD[15](6),WMT[28](22)
張數,119388,45506,65539,
分配資金,3333333,3333333,3333333,
剩餘資金,20.039999999571592,18.500000000000000,19.459999999962747,
20100818,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20100819,3299904.359999999869615,3320591.319999999832362,3280901.800000000279397,9901398.480000000447035
20100820,3301098.239999999292195,3325596.979999999981374,3291388.040000000037253,9918084.259999997913837
20100823,3319006.439999999478459,3337428.540000000037253,3351683.919999999925494,10008119.899999998509884
20100824,3322588.079999999143183,3309214.819999999832362,3362170.159999999683350,9993974.059999998658895
20100825,3307067.639999999664724,3330602.639999999664724,3378554.909999999683350,10016226.189999999478459
20100826,3292741.079999999143183,3329237.459999999962747,3340542.290000000037253,9962521.829999998211861
20100827,3352435.079999999143183,3367007.439999999944121,3342508.459999999962747,10061951.980000000447035
20100830,3316618.679999999701977,3310124.939999999944121,3313015.909999999683350,9939760.529999999329448
20100831,3335720.759999999776483,3324686.860000000335276,3286144.919999999925494,9946553.539999999105930
20100901,3421680.119999999646097,3392035.740000000223517,3355616.260000000242144,10169333.119999999180436
20100902,3425261.759999999776483,3413878.619999999646097,3392318.099999999627471,10231459.479999998584390
20100903,3436006.679999999701977,3417064.040000000037253,3410669.020000000018626,10263740.740000000223517
20100907,3440782.199999999720603,3449373.299999999813735,3398872.000000000000000,10289028.500000000000000
20100908,3452721.000000000000000,3462114.979999999981374,3396905.830000000074506,10311742.810000000521541
20100909,3480180.239999999292195,3384299.720000000204891,3402148.949999999720603,10266629.909999998286366
20100910,3493312.919999999925494,3413423.560000000055879,3406081.290000000037253,10312818.769999999552965
20100913,3464659.799999999348074,3393400.919999999459833,3421810.649999999906868,10279872.369999999180436
20100914,3438394.439999999478459,3364732.139999999664724,3451303.199999999720603,10254430.779999999329448
20100915,3427649.519999999552965,3399771.759999999776483,3464411.000000000000000,10291833.279999999329448
20100916,3433618.919999999925494,3403867.299999999813735,3483417.310000000055879,10320904.529999999329448
20100917,3436006.679999999701977,3382024.419999999459833,3474241.849999999627471,10292273.949999999254942
20100920,3461078.159999999217689,3417974.160000000149012,3508977.520000000018626,10388030.839999999850988
20100921,3469435.319999999366701,3436176.560000000055879,3510943.689999999944121,10416556.569999998435378
20100922,3476598.599999999627471,3418884.279999999795109,3527328.439999999944121,10422812.319999998435378
20100923,3455108.759999999776483,3396586.339999999850988,3516186.810000000055879,10367882.910000000149012
20100924,3499282.319999999366701,3417519.099999999627471,3544368.580000000074506,10461171.000000000000000
20100927,3498088.439999999478459,3402047.060000000055879,3505045.179999999701977,10405181.679999999701977
20100928,3527935.439999999478459,3396131.279999999795109,3527328.439999999944121,10451396.159999998286366
20100929,3507639.479999999515712,3387940.200000000186265,3496525.109999999869615,10392105.789999999105930
20100930,3493312.919999999925494,3390670.560000000055879,3507666.740000000223517,10391651.220000000670552
20101001,3529129.319999999366701,3409328.020000000018626,3497180.500000000000000,10435638.839999999850988
20101004,3514802.759999999776483,3410693.200000000186265,3510943.689999999944121,10436440.650000000372529
20101005,3561364.079999999143183,3450283.419999999459833,3539125.459999999962747,10550773.959999997168779
20101006,3567333.479999999515712,3431170.900000000372529,3573861.129999999888241,10572366.509999999776483
20101007,3548231.399999999441206,3452103.660000000149012,3562719.500000000000000,10563055.559999998658895
20101008,3547037.519999999552965,3463025.099999999627471,3565996.449999999720603,10576060.069999998435378
20101011,3555394.679999999701977,3439817.040000000037253,3579104.250000000000000,10574316.969999998807907
20101012,3557782.439999999478459,3439361.979999999981374,3533882.339999999850988,10531027.759999999776483
20101013,3578078.399999999441206,3447098.000000000000000,3527328.439999999944121,10552505.839999999850988
20101014,3576884.519999999552965,3505800.740000000223517,3489971.209999999962747,10572657.469999998807907
20101015,3578078.399999999441206,3525823.380000000353903,3496525.109999999869615,10600427.889999998733401
20101018,3581660.039999999571592,3518542.419999999459833,3523396.099999999627471,10623599.559999998658895
20101019,3601956.000000000000000,3503525.439999999944121,3494558.939999999944121,10600041.379999998956919
20101020,3650905.079999999143183,3522637.959999999962747,3504389.790000000037253,10677933.829999998211861
20101021,3670007.159999999217689,3569509.139999999664724,3541091.629999999888241,10780608.929999999701977
20101022,3678364.319999999366701,3574514.799999999813735,3543057.800000000279397,10795937.919999999925494
20101025,3642547.919999999925494,3581340.700000000186265,3535848.510000000242144,10759738.130000000819564
20101026,3655680.599999999627471,3584071.060000000055879,3575827.300000000279397,10815579.960000000894070
20101027,3653292.839999999850988,3525823.380000000353903,3530605.389999999664724,10709722.609999999403954
20101028,3654486.719999999273568,3525823.380000000353903,3544368.580000000074506,10724679.679999999701977
20101029,3660456.119999999646097,3539020.119999999646097,3550267.089999999850988,10749744.329999998211861
20101101,3684333.719999999273568,3544025.779999999795109,3559442.550000000279397,10787803.049999998882413
20101102,3692690.879999999422580,3567688.900000000372529,3590901.270000000018626,10851282.049999998882413
20101103,3698660.279999999795109,3572239.500000000000000,3598765.949999999720603,10869666.729999998584390
20101104,3728507.279999999795109,3603183.580000000540167,3628258.500000000000000,10959950.359999999403954
