訓練日期,20120809 - 20121112
測試日期,20121113 - 20121231
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11716345.189999999478459
真實報酬,11000520.200000002980232


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-121.326388382722754 x^2 + 30157.317994614062627 x + 10000000.000000000000000
二次平均預期報酬,18146.005544724514039
風險,110459.987904395326041
二次平均趨勢值,0.164276729420160
一次趨勢線,21194.562004087278183 x + 10000000.000000000000000
一次預期報酬,21194.562004087278183
一次風險,123809.573842471683747
一次趨勢值,0.171186777777412
投資組合檔數,2
Stock#,HD[9](3),V[25](1)
張數,94073,155617,
分配資金,5000000,5000000,
剩餘資金,20.049999999813735,25.790000000037253,
20120809,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20120810,4991533.429999999701977,5021786.380000000819564,10013319.810000000521541
20120813,4968955.910000000149012,4992219.149999999441206,9961175.059999998658895
20120814,5146753.879999999888241,5052909.780000000260770,10199663.660000000149012
20120815,5174035.049999999813735,5021786.380000000819564,10195821.429999999701977
20120816,5297270.679999999701977,5045128.930000000633299,10342399.609999999403954
20120817,5336781.339999999850988,5006224.680000000633299,10343006.019999999552965
20120820,5321729.660000000149012,4985994.469999999739230,10307724.129999998956919
20120821,5298211.410000000149012,4961095.750000000000000,10259307.160000000149012
20120822,5328314.769999999552965,4984438.299999999813735,10312753.070000000298023
20120823,5319848.199999999254942,4947090.219999999739230,10266938.419999998062849
20120824,5358418.129999999888241,4928416.180000000633299,10286834.310000000521541
20120827,5331136.959999999962747,4967320.430000000633299,10298457.390000000596046
20120828,5317966.740000000223517,4956427.240000000223517,10274393.980000000447035
20120829,5347129.370000000111759,4981325.959999999962747,10328455.330000000074506
20120830,5326433.309999999590218,4929972.349999999627471,10256405.660000000149012
20120831,5338662.799999999813735,4989106.810000000521541,10327769.609999999403954
20120904,5342425.719999999739230,5000000.000000000000000,10342425.719999998807907
20120905,5318907.469999999739230,4964208.089999999850988,10283115.559999998658895
20120906,5423328.500000000000000,5038904.250000000000000,10462232.750000000000000
20120907,5386640.029999999329448,5046685.099999999627471,10433325.129999998956919
20120910,5390402.949999999254942,5006224.680000000633299,10396627.629999998956919
20120911,5335840.609999999403954,5115156.580000000074506,10450997.189999999478459
20120912,5366884.699999999254942,5192965.080000000074506,10559849.779999999329448
20120913,5484475.949999999254942,5250543.370000000111759,10735019.320000000298023
20120914,5593600.629999999888241,5222532.310000000521541,10816132.940000001341105
20120917,5541860.479999999515712,5208526.780000000260770,10750387.259999999776483
20120918,5537156.830000000074506,5200745.930000000633299,10737902.760000001639128
20120919,5594541.359999999403954,5244318.690000000409782,10838860.050000000745058
20120920,5576667.490000000223517,5236537.839999999850988,10813205.330000000074506
20120921,5589837.709999999962747,5252099.540000000037253,10841937.250000000000000
20120924,5587015.519999999552965,5203858.269999999552965,10790873.789999999105930
20120925,5618059.609999999403954,5234981.669999999925494,10853041.279999999329448
20120926,5566319.459999999962747,5155617.000000000000000,10721936.460000000894070
20120927,5633111.290000000037253,5210082.949999999254942,10843194.239999998360872
20120928,5679207.059999999590218,5224088.480000000447035,10903295.539999999105930
20121001,5698021.660000000149012,5319014.849999999627471,11017036.509999999776483
20121002,5675444.139999999664724,5291003.790000000037253,10966447.929999999701977
20121003,5810909.259999999776483,5389042.500000000000000,11199951.759999999776483
20121004,5808087.070000000298023,5434171.430000000633299,11242258.500000000000000
20121005,5945433.650000000372529,5457513.980000000447035,11402947.630000000819564
20121008,5821257.290000000037253,5396823.349999999627471,11218080.640000000596046
20121009,5733769.400000000372529,5320571.019999999552965,11054340.419999999925494
20121010,5619941.070000000298023,5345469.740000000223517,10965410.810000000521541
20121011,5551267.779999999329448,5409272.709999999962747,10960540.489999998360872
20121012,5603007.929999999701977,5412385.049999999813735,11015392.980000000447035
20121015,5705547.500000000000000,5441952.280000000260770,11147499.780000001192093
20121016,5725302.830000000074506,5491749.719999999739230,11217052.550000000745058
20121017,5775161.519999999552965,5546215.669999999925494,11321377.189999999478459
20121018,5813731.449999999254942,5519760.780000000260770,11333492.230000000447035
20121019,5822198.019999999552965,5445064.620000000111759,11267262.640000000596046
20121022,5836308.969999999739230,5407716.540000000037253,11244025.509999999776483
20121023,5809027.799999999813735,5315902.509999999776483,11124930.309999998658895
20121024,5764813.490000000223517,5309677.830000000074506,11074491.320000000298023
20121025,5689555.089999999850988,5351694.419999999925494,11041249.509999999776483
20121026,5648162.969999999739230,5381261.649999999441206,11029424.619999999180436
20121031,5774220.790000000037253,5398379.519999999552965,11172600.309999998658895
20121101,5857005.029999999329448,5597569.280000000260770,11454574.309999998658895
20121102,5834427.509999999776483,5578895.240000000223517,11413322.750000000000000
20121105,5868293.790000000037253,5505755.250000000000000,11374049.039999999105930
20121106,5890871.309999999590218,5597569.280000000260770,11488440.589999999850988
20121107,5831605.320000000298023,5546215.669999999925494,11377820.990000000223517
20121108,5725302.830000000074506,5527541.630000000819564,11252844.460000000894070
20121109,5734710.129999999888241,5560221.199999999254942,11294931.329999998211861
20121112,5753524.729999999515712,5572670.560000000521541,11326195.289999999105930
20121113,5962366.790000000037253,5541547.160000000149012,11503913.949999999254942
20121114,5782687.359999999403954,5445064.620000000111759,11227751.980000000447035
20121115,5761991.299999999813735,5446620.790000000037253,11208612.089999999850988
20121116,5843834.809999999590218,5552440.349999999627471,11396275.160000000149012
20121119,5957663.139999999664724,5666040.759999999776483,11623703.899999998509884
20121120,6003758.910000000149012,5694051.820000000298023,11697810.730000000447035
20121121,6029158.620000000111759,5706501.180000000633299,11735659.800000000745058
20121123,6097831.909999999217689,5762523.299999999813735,11860355.209999999031425
20121126,6083720.959999999962747,5728287.560000000521541,11812008.519999999552965
20121127,6035743.729999999515712,5711169.690000000409782,11746913.419999999925494
20121128,6098772.639999999664724,5729843.730000000447035,11828616.370000001043081
20121129,6043269.569999999366701,5765635.639999999664724,11808905.209999999031425
20121130,6121350.159999999217689,5824770.099999999627471,11946120.259999997913837
20121203,6112883.589999999850988,5782753.509999999776483,11895637.099999999627471
20121204,6043269.569999999366701,5742293.089999999850988,11785562.660000000149012
20121205,6022573.509999999776483,5760967.130000000819564,11783540.640000000596046
20121206,6052676.870000000111759,5776528.830000000074506,11829205.699999999254942
20121207,6063024.900000000372529,5779641.169999999925494,11842666.070000000298023
20121210,5930381.969999999739230,5784309.680000000633299,11714691.650000000372529
20121211,5916271.019999999552965,5793646.699999999254942,11709917.719999998807907
20121212,5920033.939999999478459,5753186.280000000260770,11673220.219999998807907
20121213,5871115.979999999515712,5726731.389999999664724,11597847.369999999180436
20121214,5838190.429999999701977,5712725.860000000335276,11550916.289999999105930
20121217,5955781.679999999701977,5801427.549999999813735,11757209.230000000447035
20121218,5926619.049999999813735,5863674.349999999627471,11790293.399999998509884
20121219,5810909.259999999776483,5802983.719999999739230,11613892.980000000447035
20121220,5829723.859999999403954,5932145.830000000074506,11761869.689999999478459
20121221,5768576.410000000149012,5865230.519999999552965,11633806.929999999701977
20121224,5792094.660000000149012,5882348.389999999664724,11674443.050000000745058
20121226,5751643.269999999552965,5826326.269999999552965,11577969.539999999105930
20121227,5745058.160000000149012,5812320.740000000223517,11557378.900000000372529
20121228,5705547.500000000000000,5782753.509999999776483,11488301.009999999776483
20121231,5818435.099999999627471,5897910.089999999850988,11716345.189999999478459
