訓練日期,20110112 - 20110414
測試日期,20110415 - 20110527
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11215694.379999998956919
真實報酬,16353316.980000000447035


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-79.989611978706336 x^2 + 20679.261562518702704 x + 10000000.000000000000000
二次平均預期報酬,13000.258812562893581
風險,72870.513518128311262
二次平均趨勢值,0.178402184709852
一次趨勢線,14950.162652211354725 x + 10000000.000000000000000
一次預期報酬,14950.162652211354725
一次風險,72078.312065995196463
一次趨勢值,0.207415548778708
投資組合檔數,3
Stock#,CVX[5](28),MCD[15](6),PFE[20](15)
張數,36055,45289,181455,
分配資金,3333333,3333333,3333333,
剩餘資金,48.250000000000000,62.600000000093132,4.649999999906868,
20110112,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
20110113,3323598.150000000372529,3291214.229999999981374,3306114.749999999534339,9920928.130000000819564
20110114,3347033.899999999906868,3354165.940000000409782,3327889.350000000093132,10029090.189999999478459
20110118,3365782.500000000000000,3382245.120000000577420,3335147.549999999813735,10083176.170000001788139
20110119,3352081.600000000093132,3412588.750000000000000,3324260.250000000000000,10088931.599999999627471
20110120,3342707.299999999813735,3403983.839999999850988,3309743.849999999627471,10056435.989999998360872
20110121,3381286.149999999906868,3397190.490000000223517,3331518.449999999720603,10109996.089999999850988
20110124,3392823.750000000000000,3413947.419999999925494,3347849.399999999906868,10154621.570000000298023
20110125,3392102.649999999906868,3418476.320000000298023,3351478.499999999534339,10162058.470000000670552
20110126,3412293.450000000186265,3404436.729999999981374,3331518.449999999720603,10148249.629999998956919
20110127,3416259.500000000000000,3367299.750000000000000,3353293.049999999813735,10136853.300000000745058
20110128,3366503.600000000093132,3318840.520000000018626,3293412.899999999441206,9978758.019999999552965
20110131,3422749.400000000372529,3336503.229999999981374,3306114.749999999534339,10065368.380000000819564
20110201,3469260.350000000093132,3327445.430000000167638,3487569.749999999534339,10284276.529999999329448
20110202,3478634.650000000372529,3335144.560000000055879,3440391.450000000186265,10254171.660000000149012
20110203,3508560.300000000279397,3343749.470000000204891,3478497.000000000000000,10330807.769999999552965
20110204,3501349.299999999813735,3353713.049999999813735,3502086.149999999906868,10357149.500000000000000
20110207,3521179.549999999813735,3326539.650000000372529,3454907.849999999627471,10302628.050000000745058
20110208,3524063.949999999720603,3413041.640000000130385,3476682.449999999720603,10413789.039999999105930
20110209,3469981.449999999720603,3438856.370000000577420,3456722.399999999906868,10365561.220000000670552
20110210,3486566.750000000000000,3431157.240000000223517,3453093.300000000279397,10370818.290000000968575
20110211,3477553.000000000000000,3448367.060000000055879,3416802.299999999813735,10342723.359999999403954
20110214,3495580.500000000000000,3452895.959999999962747,3456722.399999999906868,10405199.859999999403954
20110215,3473586.950000000186265,3448819.950000000186265,3456722.399999999906868,10379130.300000000745058
20110216,3485124.549999999813735,3442932.379999999888241,3498457.050000000279397,10426514.980000000447035
20110217,3503512.600000000093132,3441120.820000000298023,3514788.000000000000000,10459422.419999999925494
20110218,3559397.850000000093132,3447914.169999999925494,3482126.100000000093132,10489439.119999999180436
20110222,3617085.849999999627471,3428439.900000000372529,3427689.600000000093132,10473216.349999999627471
20110223,3687393.099999999627471,3405342.509999999776483,3404100.450000000186265,10496837.059999998658895
20110224,3678739.899999999906868,3406248.290000000037253,3429504.149999999441206,10514493.339999999850988
20110225,3681263.750000000000000,3371375.759999999776483,3422245.949999999720603,10474886.459999999031425
20110228,3740754.500000000000000,3427534.120000000577420,3491198.849999999627471,10659488.470000000670552
20110301,3710107.750000000000000,3391755.810000000055879,3473053.350000000093132,10574917.910000000149012
20110302,3730659.100000000093132,3382698.009999999776483,3482126.100000000093132,10595484.209999999031425
20110303,3756618.699999999720603,3452895.959999999962747,3587370.000000000000000,10796885.660000000149012
20110304,3740754.500000000000000,3443385.270000000018626,3567409.949999999720603,10751550.719999998807907
20110307,3714073.800000000279397,3455160.410000000149012,3558337.199999999720603,10727572.410000000149012
20110308,3741475.599999999627471,3421193.660000000149012,3571039.049999999813735,10733709.309999998658895
20110309,3682705.950000000186265,3432063.020000000018626,3567409.949999999720603,10682179.919999999925494
20110310,3572377.649999999906868,3472823.120000000577420,3512973.449999999720603,10558175.220000000670552
20110311,3603024.400000000372529,3475087.570000000298023,3532933.499999999534339,10611046.470000000670552
20110314,3634392.250000000000000,3427081.229999999981374,3594628.199999999720603,10656102.679999999701977
20110315,3649895.900000000372529,3402172.280000000260770,3585555.450000000186265,10637624.630000000819564
20110316,3587881.300000000279397,3323369.419999999925494,3502086.149999999906868,10413337.870000001043081
20110317,3686311.449999999720603,3324275.200000000186265,3607330.049999999813735,10617917.699999999254942
