訓練日期,20110311 - 20110613
測試日期,20110614 - 20110616
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10753108.429999999701977
真實報酬,16781798.850000001490116


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-131.086788076058326 x^2 + 23046.317800911128870 x + 10000000.000000000000000
二次平均預期報酬,14001.329423663104535
風險,56411.835236353479559
二次平均趨勢值,0.248198438590068
一次趨勢線,16312.092877704570128 x + 10000000.000000000000000
一次預期報酬,16312.092877704570128
一次風險,45000.913260459710727
一次趨勢值,0.362483596350416
投資組合檔數,2
Stock#,JNJ[12](10),PFE[20](15)
張數,83766,256805,
分配資金,5000000,5000000,
剩餘資金,7.459999999962747,6.650000000372529,
20110311,5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
20110314,4953091.040000000037253,5087313.700000000186265,10040404.740000000223517
20110315,4898643.139999999664724,5074473.450000001117587,9973116.589999999850988
20110316,4829955.019999999552965,4956343.150000000372529,9786298.169999999925494
20110317,4869325.040000000037253,5105290.049999999813735,9974615.089999999850988
20110318,4906182.080000000074506,5182331.550000000745058,10088513.630000000819564
20110321,4927961.240000000223517,5130970.550000000745058,10058931.790000000968575
20110322,4924610.599999999627471,5120698.350000000558794,10045308.949999999254942
20110323,4918746.979999999515712,5115562.250000000931323,10034309.230000000447035
20110324,4944714.440000000409782,5213148.150000000372529,10157862.589999999850988
20110325,4940526.139999999664724,5225988.400000000372529,10166514.539999999105930
20110328,4962305.299999999813735,5205444.000000000000000,10167749.300000000745058
20110329,4960629.979999999515712,5233692.549999999813735,10194322.529999999329448
20110330,4974032.540000000037253,5223420.350000000558794,10197452.890000000596046
20110331,4963142.959999999962747,5215716.200000000186265,10178859.160000000149012
20110401,4983246.799999999813735,5233692.549999999813735,10216939.349999999627471
20110404,5038532.359999999403954,5274781.350000000558794,10313313.710000000894070
20110405,5009214.259999999776483,5251668.900000000372529,10260883.160000000149012
20110406,4997487.019999999552965,5210580.100000000558794,10208067.120000001043081
20110407,4982409.139999999664724,5220852.299999999813735,10203261.439999999478459
20110408,4980733.820000000298023,5254236.950000000186265,10234970.769999999552965
20110411,5014240.219999999739230,5308166.000000000931323,10322406.220000000670552
20110412,5020941.500000000000000,5254236.950000000186265,10275178.449999999254942
20110413,4992461.060000000521541,5254236.950000000186265,10246698.010000001639128
20110414,5027642.780000000260770,5261941.099999999627471,10289583.879999998956919
20110415,5072876.419999999925494,5272213.300000000745058,10345089.720000000670552
20110418,5064499.820000000298023,5238828.650000000372529,10303328.470000000670552
20110419,5251298.000000000000000,5272213.300000000745058,10523511.300000000745058
20110420,5393700.200000000186265,5236260.600000000558794,10629960.800000000745058
20110421,5366895.079999999143183,5082177.600000000558794,10449072.679999999701977
20110425,5370245.719999999739230,5172059.350000000558794,10542305.070000000298023
20110426,5440609.160000000149012,5184899.600000000558794,10625508.760000001639128
20110427,5492544.079999999143183,5297893.799999999813735,10790437.879999998956919
20110428,5476628.540000000037253,5349254.799999999813735,10825883.339999999850988
20110429,5505108.979999999515712,5385207.500000000000000,10890316.480000000447035
20110502,5546154.319999999366701,5398047.750000000000000,10944202.070000000298023
20110503,5550342.620000000111759,5249100.850000000558794,10799443.470000000670552
20110504,5500920.679999999701977,5300461.850000000558794,10801382.530000001192093
20110505,5445635.120000000111759,5236260.600000000558794,10681895.720000000670552
20110506,5467414.279999999329448,5277349.400000000372529,10744763.679999999701977
20110509,5497570.040000000037253,5290189.650000000372529,10787759.690000001341105
20110510,5508459.620000000111759,5356958.950000000186265,10865418.570000000298023
20110511,5576310.079999999143183,5292757.700000000186265,10869067.779999999329448
20110512,5628245.000000000000000,5364663.100000000558794,10992908.100000001490116
20110513,5580498.379999999888241,5372367.250000000931323,10952865.630000000819564
20110516,5559556.879999999888241,5387775.550000000745058,10947332.429999999701977
20110517,5562069.860000000335276,5428864.350000000558794,10990934.210000000894070
20110518,5570446.459999999962747,5439136.550000000745058,11009583.010000001639128
20110519,5561232.200000000186265,5400615.800000000745058,10961848.000000000000000
20110520,5502596.000000000000000,5313302.100000000558794,10815898.100000001490116
20110523,5491706.419999999925494,5287621.600000000558794,10779328.019999999552965
20110524,5510134.940000000409782,5269645.250000000000000,10779780.190000001341105
20110525,5552855.600000000558794,5336414.550000000745058,10889270.150000002235174
20110526,5487518.120000000111759,5367231.150000000372529,10854749.269999999552965
20110527,5593063.279999999329448,5374935.300000000745058,10967998.580000000074506
20110531,5636621.600000000558794,5508473.900000000372529,11145095.500000000000000
20110601,5568771.140000000596046,5405751.900000000372529,10974523.040000000968575
20110602,5568771.140000000596046,5392911.650000000372529,10961682.790000000968575
20110603,5536102.400000000372529,5351822.850000000558794,10887925.250000000000000
20110606,5532751.759999999776483,5326142.349999999627471,10858894.109999999403954
20110607,5486680.459999999962747,5326142.349999999627471,10812822.809999998658895
20110608,5540290.700000000186265,5310734.050000000745058,10851024.750000000000000
20110609,5593900.940000000409782,5328710.400000000372529,10922611.339999999850988
20110610,5536102.400000000372529,5164355.200000000186265,10700457.600000001490116
20110613,5577985.400000000372529,5254236.950000000186265,10832222.350000001490116
20110614,5620706.059999999590218,5285053.549999999813735,10905759.609999999403954
20110615,5541966.019999999552965,5184899.600000000558794,10726865.620000001043081
20110616,5555368.579999999143183,5197739.849999999627471,10753108.429999999701977
