訓練日期,20121107 - 20130211
測試日期,20130212 - 20130403
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12129280.799999998882413
真實報酬,11340638.059999998658895


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-103.490068261493576 x^2 + 33512.037991366189090 x + 10000000.000000000000000
二次平均預期報酬,23059.541096955334069
風險,106357.991566366021289
二次平均趨勢值,0.216810610630669
一次趨勢線,25711.667174641639576 x + 10000000.000000000000000
一次預期報酬,25711.667174641639576
一次風險,107640.415319859981537
一次趨勢值,0.238866294767053
投資組合檔數,4
Stock#,BA[2](11),CSCO[4](8),GS[8](26),PFE[20](17)
張數,35658,145264,21190,103434,
分配資金,2500000,2500000,2500000,2500000,
剩餘資金,17.620000000111759,6.560000000055879,3.799999999813735,0.219999999739230,
20121107,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20121108,2531022.460000000428408,2444799.679999999701977,2442575.099999999627471,2498965.659999999683350,9917362.900000000372529
20121109,2611966.120000000111759,2443347.040000000037253,2461222.299999999813735,2500000.000000000000000,10016535.460000000894070
20121112,2627655.640000000130385,2449157.600000000093132,2484319.399999999906868,2493793.959999999497086,10054926.599999999627471
20121113,2615888.500000000000000,2447704.960000000428408,2468003.099999999627471,2487587.919999999925494,10019184.480000000447035
20121114,2542076.440000000409782,2565368.800000000279397,2420749.399999999906868,2462763.759999999776483,9990958.400000000372529
20121115,2533161.940000000409782,2606042.720000000204891,2446177.399999999906868,2447248.659999999683350,10032630.720000000670552
20121116,2523534.279999999795109,2613305.919999999925494,2454653.399999999906868,2467935.459999999497086,10059429.059999998658895
20121119,2565967.299999999813735,2658337.760000000242144,2506780.799999999813735,2496896.979999999981374,10227982.839999999850988
20121120,2586648.940000000409782,2664148.319999999832362,2502330.899999999906868,2511377.739999999757856,10264505.900000000372529
20121121,2608400.320000000298023,2684485.280000000260770,2494066.799999999813735,2518618.120000000111759,10305570.519999999552965
20121123,2629438.540000000037253,2736780.319999999832362,2549372.699999999720603,2537236.239999999757856,10452827.799999998882413
20121126,2648337.279999999795109,2768738.399999999906868,2562722.399999999906868,2533098.879999999422580,10512896.959999999031425
20121127,2656182.040000000037253,2754212.000000000000000,2509111.699999999720603,2508274.719999999739230,10427780.460000000894070
20121128,2641918.840000000316650,2735327.679999999701977,2528606.500000000000000,2551717.000000000000000,10457570.019999999552965
20121129,2642988.580000000074506,2761475.200000000186265,2515892.500000000000000,2570335.120000000111759,10490691.400000000372529
20121130,2648693.860000000335276,2746948.800000000279397,2495973.899999999906868,2587918.899999999906868,10479535.460000000894070
20121203,2639422.779999999795109,2764380.480000000447035,2508899.799999999813735,2595159.279999999795109,10507862.339999999850988
