訓練日期,20130325 - 20130625
測試日期,20130626 - 20130815
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11820995.440000001341105
真實報酬,7940949.650000002235174


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-146.873033977762702 x^2 + 37732.412637801127858 x + 10000000.000000000000000
二次平均預期報酬,22751.363172069333814
風險,144727.707964123954298
二次平均趨勢值,0.157201157208329
一次趨勢線,26551.974243424916494 x + 10000000.000000000000000
一次預期報酬,26551.974243424916494
一次風險,128360.858472330830409
一次趨勢值,0.206854134191915
投資組合檔數,4
Stock#,BA[2](9),CSCO[4](8),INTC[11](12),UNH[23](4)
張數,29463,119904,118203,45570,
分配資金,2500000,2500000,2500000,2500000,
剩餘資金,64.450000000186265,1.599999999627471,6.550000000279397,29.799999999813735,
20130325,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
20130326,2552149.510000000242144,2500000.000000000000000,2573285.860000000335276,2536000.299999999813735,10161435.669999999925494
20130327,2539775.050000000279397,2497601.919999999459833,2580378.040000000037253,2580203.199999999720603,10197958.209999999031425
20130328,2529463.000000000000000,2505995.199999999254942,2581560.070000000298023,2607089.500000000000000,10224107.769999999552965
20130401,2511785.200000000186265,2497601.919999999459833,2533096.840000000316650,2687292.699999999720603,10229776.659999998286366
20130402,2477608.120000000111759,2544364.479999999515712,2536642.930000000167638,2813521.600000000093132,10372137.129999998956919
20130403,2485563.130000000353903,2541966.399999999441206,2488179.700000000186265,2810331.699999999720603,10326040.929999999701977
20130404,2502946.300000000279397,2522781.759999999310821,2498817.970000000204891,2826736.899999999906868,10351282.929999999701977
20130405,2538891.160000000149012,2471223.039999999571592,2475177.370000000577420,2829926.799999999813735,10315218.370000001043081
20130408,2555979.700000000186265,2466426.879999999888241,2492907.820000000298023,2820357.099999999627471,10335671.500000000000000
20130409,2569532.680000000167638,2514388.479999999515712,2570921.800000000279397,2833572.399999999906868,10488415.360000001266599
20130410,2587505.109999999869615,2574340.479999999515712,2631205.330000000540167,2844053.499999999534339,10637104.419999999925494
20130411,2608423.840000000316650,2600719.359999999869615,2580378.040000000037253,2870028.399999999441206,10659549.640000000596046
20130412,2619030.520000000018626,2582733.759999999310821,2562647.590000000316650,2872306.899999999906868,10636718.769999999552965
20130415,2556568.959999999962747,2523980.799999999813735,2527186.689999999944121,2806686.100000000093132,10414422.549999998882413
20130416,2560104.520000000018626,2537170.239999999757856,2591016.310000000521541,2862281.500000000000000,10550572.570000000298023
20130417,2554211.919999999925494,2473621.119999999646097,2592198.340000000316650,2826736.899999999906868,10446768.279999999329448
20130418,2537418.010000000242144,2467625.919999999459833,2628841.270000000018626,2720103.099999999627471,10353988.299999998882413
20130419,2591629.930000000167638,2453237.439999999944121,2652481.870000000577420,2736052.599999999627471,10433401.839999999850988
20130422,2561577.669999999925494,2468824.959999999497086,2704491.189999999944121,2698685.199999999720603,10433579.019999997690320
20130423,2598111.790000000502914,2507194.239999999757856,2763592.689999999944121,2667697.599999999627471,10536596.320000000298023
20130424,2676188.740000000223517,2444844.159999999683350,2796689.530000000260770,2679090.099999999627471,10596812.530000001192093
20130425,2700937.660000000149012,2474820.159999999683350,2763592.689999999944121,2704153.600000000093132,10643504.109999999403954
20130426,2735704.000000000000000,2478417.279999999795109,2765956.750000000000000,2710533.399999999441206,10690611.429999999701977
20130429,2707714.150000000372529,2515587.519999999552965,2808509.830000000540167,2734685.499999999534339,10766497.000000000000000
20130430,2693277.280000000260770,2508393.279999999795109,2830968.400000000372529,2731039.899999999906868,10763678.860000001266599
20130501,2686500.790000000502914,2443645.119999999646097,2835696.520000000018626,2721470.199999999720603,10687312.629999998956919
20130502,2716847.680000000167638,2485611.519999999552965,2849880.880000000353903,2710533.399999999441206,10762873.480000000447035
20130503,2761926.069999999832362,2497601.919999999459833,2832150.430000000167638,2685014.199999999720603,10776692.619999999180436
20130506,2775184.419999999925494,2495203.839999999385327,2826240.280000000260770,2743343.799999999813735,10839972.339999999850988
20130507,2792862.220000000204891,2443645.119999999646097,2854609.000000000000000,2757014.799999999813735,10848131.140000000596046
20130508,2770764.970000000204891,2484412.479999999515712,2866429.300000000279397,2848610.499999999534339,10970217.250000000000000
20130509,2787558.880000000353903,2497601.919999999459833,2879431.630000000353903,2825825.499999999534339,10990417.929999999701977
20130510,2776657.569999999832362,2529976.000000000000000,2895980.050000000279397,2866838.499999999534339,11069452.120000001043081
20130513,2791978.330000000540167,2550359.679999999701977,2846334.790000000037253,2843142.099999999627471,11031814.899999998509884
20130514,2831753.380000000353903,2550359.679999999701977,2817966.070000000298023,2813065.899999999441206,11013145.030000001192093
20130515,2858564.709999999962747,2543165.439999999944121,2860519.150000000372529,2807597.500000000000000,11069846.800000000745058
20130516,2845600.990000000223517,2864508.159999999683350,2829786.370000000577420,2831749.599999999627471,11371645.120000001043081
20130517,2914544.410000000149012,2906474.559999999590218,2841606.670000000391155,2863648.600000000093132,11526274.240000000223517
20130520,2908651.810000000055879,2871702.399999999441206,2846334.790000000037253,2850889.000000000000000,11477578.000000000000000
20130521,2909535.700000000186265,2878896.639999999664724,2854609.000000000000000,2865015.699999999720603,11508057.039999999105930
20130522,2885376.040000000502914,2798560.959999999497086,2845152.760000000242144,2838129.399999999906868,11367219.160000000149012
20130523,2938998.700000000186265,2818944.639999999664724,2842788.700000000186265,2841775.000000000000000,11442507.039999999105930
20130524,2946364.450000000186265,2821342.719999999739230,2827422.310000000521541,2828104.000000000000000,11423233.480000000447035
20130528,2949605.380000000353903,2864508.159999999683350,2846334.790000000037253,2886433.600000000093132,11546881.929999999701977
20130529,2919553.120000000111759,2892086.079999999608845,2868793.360000000335276,2886889.299999999813735,11567321.859999999403954
20130530,2962274.470000000204891,2922062.079999999608845,2861701.180000000167638,2946585.999999999534339,11692623.730000000447035
20130531,2917490.709999999962747,2892086.079999999608845,2869975.390000000596046,2854078.899999999906868,11533631.080000000074506
20130603,2968167.069999999832362,2923261.119999999646097,2983450.270000000018626,2861825.799999999813735,11736704.259999997913837
20130604,2934873.880000000353903,2920863.039999999571592,2997634.630000000353903,2841775.000000000000000,11695146.550000000745058
20130605,2901875.319999999832362,2916066.879999999888241,2919620.650000000372529,2813977.299999999813735,11551540.149999998509884
20130606,2939293.330000000540167,2943644.799999999813735,2913710.500000000000000,2821724.199999999720603,11618372.830000000074506
20130607,3019727.319999999832362,2936450.559999999590218,2906618.320000000298023,2851344.699999999720603,11714140.899999998509884
20130610,3012361.569999999832362,2920863.039999999571592,2956263.580000000540167,2901927.399999999906868,11791415.589999999850988
20130611,2997924.700000000186265,2886090.879999999888241,2920802.680000000167638,2913319.899999999906868,11718138.160000000149012
20130612,2972291.890000000130385,2876498.559999999590218,2891251.930000000167638,2908762.899999999906868,11648805.279999999329448
20130613,3010004.530000000260770,2919664.000000000000000,2953899.520000000018626,2923345.300000000279397,11806913.350000001490116
20130614,3000281.740000000223517,2888488.959999999497086,2945625.310000000521541,2907395.799999999813735,11741791.809999998658895
20130617,3035637.340000000316650,2961630.399999999441206,2966901.850000000558794,2933370.700000000186265,11897540.289999999105930
20130618,3066573.490000000223517,2976018.879999999888241,3010636.959999999962747,2993067.399999999906868,12046296.730000000447035
20130619,3012656.200000000186265,2959232.319999999366701,2955081.550000000279397,2973928.000000000000000,11900898.070000000298023
20130620,2935757.770000000018626,2930455.359999999869615,2859337.120000000577420,2907395.799999999813735,11632946.050000000745058
20130621,2945775.190000000409782,2935251.519999999552965,2860519.150000000372529,2911952.799999999813735,11653498.660000000149012
20130624,2883019.000000000000000,2884891.839999999385327,2787233.290000000037253,2946130.300000000279397,11501274.429999999701977
20130625,2907178.660000000149012,2878896.639999999664724,2822694.189999999944121,2904205.899999999441206,11512975.390000000596046
20130626,2968461.700000000186265,2924460.159999999683350,2838060.580000000540167,2952054.399999999906868,11683036.839999999850988
