訓練日期,20121114 - 20130219
測試日期,20130220 - 20130403
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12482229.869999999180436
真實報酬,11664181.850000001490116


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-167.185745785484102 x^2 + 42979.170375430672721 x + 10000000.000000000000000
二次平均預期報酬,26929.338780024190783
風險,105067.750249359844020
二次平均趨勢值,0.256304515097279
一次趨勢線,31004.819577810685587 x + 10000000.000000000000000
一次預期報酬,31004.819577810685587
一次風險,200617.248908585839672
一次趨勢值,0.154547127659688
投資組合檔數,7
Stock#,CSCO[4](7),GS[8](26),JNJ[12](12),JPM[13](6),MMM[16](19),NKE[19](9),WBA[27](28)
張數,84781,12265,20552,35678,16036,62464,43901,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
剩餘資金,11.149999999906868,66.449999999953434,1.479999999981374,23.880000000121072,84.120000000111759,19.319999999832362,32.459999999962747,
20121114,1497243.609999999869615,1401220.049999999813735,1423638.519999999785796,1401812.500000000000000,1400187.280000000260770,1414828.919999999692664,1416278.719999999972060,9955212.599999999627471
20121115,1520982.290000000037253,1415938.049999999813735,1419528.119999999878928,1405380.300000000046566,1411572.840000000083819,1418576.759999999776483,1414961.689999999711290,10006943.049999998882413
20121116,1525221.339999999850988,1420844.050000000046566,1421994.359999999869615,1410375.220000000204891,1419270.120000000111759,1446060.919999999692664,1411888.619999999878928,10055657.629999998956919
20121119,1551503.449999999953434,1451015.949999999953434,1423227.479999999981374,1448193.900000000139698,1436428.639999999897555,1504152.439999999711290,1433400.109999999869615,10247924.969999998807907
20121120,1554894.689999999944121,1448440.300000000046566,1431859.320000000065193,1452118.480000000214204,1427608.840000000083819,1492908.919999999692664,1436473.179999999934807,10244306.730000000447035
20121121,1566764.030000000027940,1443656.949999999953434,1430215.160000000149012,1453188.820000000065193,1426325.959999999962747,1492908.919999999692664,1432522.090000000083819,10245584.929999999701977
20121123,1597285.189999999944121,1475668.600000000093132,1429598.600000000093132,1466032.900000000139698,1447814.200000000186265,1511023.479999999981374,1452716.550000000046566,10380142.520000001415610
20121126,1615937.009999999776483,1483395.549999999813735,1419939.160000000149012,1458540.520000000251457,1444767.360000000102445,1525390.199999999953434,1451838.530000000027940,10399811.330000000074506
