訓練日期,20130626 - 20130926
測試日期,20130927 - 20140203
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12893806.120000001043081
真實報酬,6194180.160000000149012


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-93.909328476764955 x^2 + 38875.535215370560763 x + 10000000.000000000000000
二次平均預期報酬,24413.498629948757298
風險,212543.238741169101559
二次平均趨勢值,0.114863680324732
一次趨勢線,28064.338484574760514 x + 10000000.000000000000000
一次預期報酬,28064.338484574760514
一次風險,326451.456920891301706
一次趨勢值,0.085967876355276
投資組合檔數,3
Stock#,AAPL[0](10),BA[2](9),DD[7](26)
張數,57950,33782,72025,
分配資金,3333333,3333333,3333333,
剩餘資金,49.000000000000000,63.060000000055879,16.000000000000000,
20130626,3295665.500000000000000,3403599.560000000055879,3303082.500000000000000,10002348.560000000521541
20130627,3259736.500000000000000,3484676.360000000335276,3318207.750000000000000,10062621.609999999403954
20130628,3282916.500000000000000,3460691.140000000130385,3299481.250000000000000,10043089.890000000596046
20130701,3387806.000000000000000,3487716.739999999757856,3333333.000000000000000,10208856.740000000223517
20130702,3464300.000000000000000,3427922.600000000093132,3327571.000000000000000,10219794.599999999627471
20130703,3483423.500000000000000,3475893.040000000037253,3326130.500000000000000,10285448.039999999105930
20130705,3455607.500000000000000,3520147.459999999962747,3352779.750000000000000,10328535.710000000894070
20130708,3435904.500000000000000,3525890.400000000372529,3393834.000000000000000,10355629.900000000372529
20130709,3496752.000000000000000,3536362.820000000298023,3489627.250000000000000,10522743.070000000298023
20130710,3482844.000000000000000,3564064.060000000055879,3465859.000000000000000,10512768.060000000521541
20130711,3537317.000000000000000,3610683.219999999739230,3507633.500000000000000,10655634.719999998807907
20130712,3530942.500000000000000,3441435.400000000372529,3499710.750000000465661,10472089.650000000372529
20130715,3538476.000000000000000,3569469.180000000167638,3528520.750000000000000,10636466.929999999701977
20130716,3561656.000000000000000,3521160.920000000391155,3484585.500000000000000,10567403.419999999925494
20130717,3562235.500000000000000,3540078.840000000316650,3562372.500000000000000,10664687.839999999850988
20130718,3574405.000000000000000,3636019.719999999739230,3547247.250000000000000,10757672.969999998807907
20130719,3518193.500000000000000,3613385.779999999795109,3555890.250000000000000,10687470.529999999329448
20130722,3529204.000000000000000,3610007.580000000074506,3547967.500000000000000,10687180.080000000074506
20130723,3468936.000000000000000,3641424.840000000316650,3543646.000000000000000,10654007.839999999850988
20130724,3646842.500000000000000,3613047.959999999962747,3525639.750000000000000,10785531.210000000894070
20130725,3630037.000000000000000,3604602.459999999962747,3589021.750000000000000,10823662.210000000894070
20130726,3650899.000000000000000,3567442.259999999776483,3559491.500000000000000,10777833.759999999776483
20130729,3707110.500000000000000,3540754.479999999981374,3589742.000000000465661,10837607.980000000447035
20130730,3752891.000000000465661,3571833.920000000391155,3596224.250000000000000,10920950.170000001788139
20130731,3746516.500000000465661,3550551.259999999776483,3594063.500000000000000,10891132.259999999776483
20130801,3780706.999999999534339,3604602.459999999962747,3630796.249999999534339,11016106.709999999031425
20130802,3829385.000000000000000,3645140.860000000335276,3715065.500000000000000,11189592.359999999403954
20130805,3886176.000000000000000,3631628.060000000055879,3741714.750000000000000,11259519.810000000521541
20130806,3851405.999999999534339,3616088.340000000316650,3698499.750000000000000,11165995.089999999850988
20130807,3849667.500000000465661,3595143.500000000000000,3722268.000000000000000,11167080.000000000000000
20130808,3816636.000000000000000,3575549.939999999944121,3785650.000000000000000,11177836.939999999478459
20130809,3762163.000000000000000,3558321.120000000111759,3901610.250000000000000,11222095.370000001043081
20130812,3869370.500000000000000,3521498.739999999757856,3843990.250000000000000,11234860.490000000223517
20130813,4053072.000000000000000,3588724.920000000391155,3885044.500000000000000,11526842.419999999925494
20130814,4126668.499999999534339,3518796.180000000167638,3872080.000000000000000,11517545.679999999701977
20130815,4122032.499999999534339,3470487.920000000391155,3810858.749999999534339,11403380.169999999925494
20130816,4158541.000000000465661,3495486.600000000093132,3783489.250000000000000,11437517.850000001490116
20130819,4203162.500000000000000,3537714.100000000093132,3756839.999999999534339,11497717.599999999627471
20130820,4148110.000000000000000,3534673.719999999739230,3789971.500000000000000,11472756.219999998807907
20130821,4159120.500000000000000,3510350.680000000167638,3809418.250000000000000,11478890.429999999701977
20130822,4163756.499999999534339,3551902.540000000037253,3814460.000000000000000,11530120.039999999105930
20130823,4147530.499999999534339,3563388.420000000391155,3973635.250000000000000,11684555.169999999925494
20130826,4163756.499999999534339,3565077.520000000018626,3964272.000000000000000,11693107.019999999552965
20130827,4044959.000000000000000,3486703.279999999795109,3852633.250000000000000,11384296.529999999329448
20130828,4064082.499999999534339,3488730.199999999720603,3841109.250000000000000,11393922.949999999254942
20130829,4070456.999999999534339,3544808.320000000298023,3848311.750000000000000,11463578.070000000298023
20130830,4033368.999999999534339,3510688.500000000000000,3836067.500000000000000,11380126.000000000000000
