訓練日期,20140612 - 20140912
測試日期,20140915 - 20141015
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10622987.930000001564622
真實報酬,2472640.740000000223517


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-112.952304831929396 x^2 + 22057.856846906677674 x + 10000000.000000000000000
二次平均預期報酬,12005.101716864963237
風險,123602.493912481106236
二次平均趨勢值,0.097126694914145
一次趨勢線,14560.886919417946046 x + 10000000.000000000000000
一次預期報酬,14560.886919417946046
一次風險,158472.624313860782422
一次趨勢值,0.091882664166522
投資組合檔數,6
Stock#,AAPL[0](9),DIS[6](20),GS[8](25),INTC[11](14),NKE[19](11),PG[21](18)
張數,17756,19768,10074,59672,44361,20817,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
剩餘資金,87.840000000083819,25.919999999925494,124.179999999934807,27.040000000037253,23.229999999981374,56.979999999981374,
20140612,1638789.080000000307336,1636816.319999999832362,1672005.219999999972060,1668456.160000000149012,1658681.020000000018626,1660420.900000000139698,9935172.700000001117587
20140613,1620855.520000000018626,1636816.319999999832362,1671300.039999999804422,1782429.680000000167638,1655132.140000000130385,1657922.860000000102445,10024460.560000000521541
20140616,1637191.040000000037253,1646700.319999999832362,1670897.079999999841675,1790783.760000000242144,1653801.310000000055879,1658963.709999999962747,10058341.219999998807907
20140617,1635060.320000000065193,1643932.799999999813735,1694772.459999999962747,1787203.439999999944121,1665778.779999999795109,1656673.839999999850988,10083425.639999998733401
20140618,1636835.920000000158325,1652235.359999999869615,1711293.820000000065193,1786010.000000000000000,1690177.330000000074506,1661045.410000000149012,10137601.839999999850988
20140619,1631154.000000000000000,1655991.279999999795109,1709984.199999999720603,1795557.520000000018626,1677756.250000000000000,1670413.059999999823049,10140860.310000000521541
20140620,1614285.800000000046566,1637211.679999999701977,1711092.340000000083819,1802121.439999999944121,1665778.779999999795109,1663959.790000000037253,10094453.829999998211861
20140623,1612865.320000000065193,1636025.600000000093132,1715121.939999999944121,1803911.600000000093132,1673763.759999999776483,1655424.819999999832362,10097117.039999999105930
20140624,1603099.520000000018626,1634444.160000000149012,1694873.199999999720603,1820023.040000000037253,1663117.120000000111759,1644808.150000000139698,10060369.189999999478459
20140625,1604520.000000000000000,1658561.120000000111759,1696384.299999999813735,1842698.399999999906868,1696387.870000000111759,1651261.419999999925494,10149817.110000001266599
20140626,1614108.240000000223517,1669433.520000000018626,1692656.919999999925494,1836731.200000000186265,1704816.459999999962747,1636689.520000000018626,10154439.859999999403954
20140627,1633284.720000000204891,1686236.319999999832362,1680265.899999999906868,1845682.000000000000000,1723004.470000000204891,1645016.319999999832362,10213493.730000000447035
20140630,1650152.920000000158325,1694934.239999999757856,1686914.739999999990687,1843891.839999999850988,1720342.810000000055879,1636065.010000000009313,10232305.560000000521541
20140701,1660628.959999999962747,1709364.879999999888241,1680568.119999999878928,1848665.600000000093132,1730102.229999999981374,1650428.739999999990687,10279762.530000001192093
20140702,1659918.720000000204891,1708771.839999999850988,1681374.039999999804422,1848665.600000000093132,1725666.129999999888241,1656257.500000000000000,10280657.829999998211861
20140703,1669684.520000000018626,1716679.040000000037253,1707264.219999999972060,1858213.120000000111759,1740305.259999999776483,1665000.640000000130385,10357150.800000000745058
20140707,1704131.160000000149012,1711737.040000000037253,1690339.899999999906868,1851649.200000000186265,1744741.359999999869615,1669372.209999999962747,10371974.870000001043081
20140708,1693122.439999999944121,1697306.399999999906868,1661427.519999999785796,1837327.919999999925494,1723004.470000000204891,1677074.500000000000000,10289267.250000000000000
20140709,1693832.680000000167638,1724190.879999999888241,1659009.759999999776483,1843295.120000000111759,1745628.580000000074506,1700181.370000000111759,10366142.390000000596046
20140710,1687618.080000000307336,1717074.399999999906868,1646417.259999999776483,1865373.760000000242144,1719011.979999999981374,1698932.349999999860302,10334431.830000000074506
20140711,1690814.160000000149012,1717667.439999999944121,1660319.380000000121072,1864777.040000000037253,1714575.879999999888241,1689564.699999999953434,10337722.599999999627471
20140714,1712654.040000000037253,1715097.600000000093132,1682482.179999999934807,1879098.319999999832362,1729215.009999999776483,1692895.419999999925494,10411446.570000000298023
20140715,1692589.760000000009313,1703039.120000000111759,1704342.759999999776483,1892226.160000000149012,1730989.450000000186265,1691646.400000000139698,10414837.650000000372529
20140716,1683001.520000000018626,1687224.719999999739230,1717438.959999999962747,2067661.839999999850988,1706147.290000000037253,1684984.959999999962747,10546463.289999999105930
20140717,1652993.880000000121072,1680898.959999999962747,1714114.539999999804422,2010973.440000000176951,1697718.700000000186265,1673743.780000000027940,10430447.299999998882413
20140718,1676786.920000000158325,1696318.000000000000000,1727512.959999999962747,2010973.440000000176951,1719455.589999999850988,1676866.329999999841675,10507917.240000000223517
20140721,1668086.479999999981374,1694934.239999999757856,1730031.459999999962747,2032455.360000000102445,1703929.239999999757856,1671245.739999999990687,10500686.519999999552965
20140722,1681936.160000000149012,1704225.199999999720603,1763275.660000000149012,2076015.919999999925494,1708808.950000000186265,1667498.679999999934807,10601764.570000000298023
20140723,1725793.479999999981374,1700864.640000000130385,1781408.859999999869615,2058711.040000000037253,1716350.319999999832362,1665208.809999999823049,10648341.150000000372529
20140724,1722952.520000000018626,1715888.319999999832362,1775767.419999999925494,2043793.040000000037253,1743410.529999999795109,1670829.400000000139698,10672645.230000000447035
20140725,1734316.360000000102445,1704620.560000000055879,1767103.780000000027940,2043793.040000000037253,1723891.689999999944121,1656257.500000000000000,10629986.929999999701977
20140728,1758286.959999999962747,1722807.120000000111759,1772644.479999999748543,2042599.599999999860302,1738974.430000000167638,1650012.400000000139698,10685328.990000000223517
20140729,1746923.120000000111759,1704027.520000000018626,1768514.139999999897555,2040212.719999999972060,1732320.279999999795109,1637314.030000000027940,10629315.809999998658895
20140730,1742839.240000000223517,1723993.199999999720603,1770730.419999999925494,2049760.240000000223517,1766034.640000000130385,1627113.699999999953434,10680475.439999999478459
20140731,1697561.439999999944121,1697701.759999999776483,1741616.560000000055879,2022311.120000000111759,1711027.000000000000000,1609627.419999999925494,10479849.299999998882413
20140801,1706972.120000000111759,1687817.759999999776483,1715222.679999999934807,2013360.320000000065193,1703042.020000000018626,1658131.030000000027940,10484549.929999999701977
20140804,1697383.880000000121072,1724586.239999999757856,1729729.239999999990687,2031858.639999999897555,1711470.609999999869615,1649179.719999999972060,10544212.330000000074506
20140805,1689038.560000000055879,1714899.919999999925494,1706861.259999999776483,1958462.080000000074506,1706147.290000000037253,1653134.949999999953434,10428548.059999998658895
20140806,1686197.599999999860302,1711737.040000000037253,1710084.939999999944121,1960252.240000000223517,1711027.000000000000000,1688107.510000000009313,10467410.330000000074506
20140807,1677674.720000000204891,1690387.600000000093132,1703637.579999999841675,1950108.000000000000000,1693282.600000000093132,1668331.360000000102445,10383425.859999999403954
20140808,1682291.280000000027940,1716876.719999999739230,1735471.419999999925494,1945334.240000000223517,1709252.560000000055879,1685193.130000000121072,10474423.350000001490116
20140811,1704486.280000000027940,1729725.919999999925494,1737486.219999999972060,1970396.480000000214204,1709252.560000000055879,1696226.140000000130385,10547577.600000001490116
20140812,1704131.160000000149012,1723993.199999999720603,1736176.600000000093132,1976960.400000000139698,1702154.799999999813735,1694977.120000000111759,10538397.280000001192093
20140813,1726681.280000000027940,1731702.719999999739230,1736579.560000000055879,2034842.240000000223517,1713688.660000000149012,1696226.140000000130385,10639724.600000001490116
20140814,1731297.840000000083819,1751668.399999999906868,1740206.199999999720603,2025294.719999999972060,1714575.879999999888241,1706010.130000000121072,10669057.169999999925494
20140815,1739820.720000000204891,1764912.959999999962747,1731844.780000000027940,2039019.280000000027940,1711027.000000000000000,1702471.239999999990687,10689099.980000000447035
20140818,1760772.800000000046566,1778552.879999999888241,1758540.880000000121072,2053340.559999999823049,1742523.310000000055879,1716210.459999999962747,10809944.890000000596046
20140819,1785098.520000000018626,1780925.040000000037253,1752597.219999999972060,2049163.520000000251457,1741636.089999999850988,1721414.709999999962747,10830839.100000001490116
20140820,1785808.760000000009313,1775983.040000000037253,1753302.399999999906868,2058711.040000000037253,1750508.290000000037253,1723912.750000000000000,10848230.279999999329448
20140821,1785986.320000000065193,1786657.759999999776483,1764585.280000000027940,2097497.839999999850988,1750951.899999999906868,1733696.739999999990687,10919379.839999999850988
20140822,1799125.760000000009313,1788832.239999999757856,1767808.959999999962747,2084966.719999999972060,1758936.879999999888241,1735986.610000000102445,10935661.169999998062849
20140825,1803032.080000000307336,1786657.759999999776483,1791986.560000000055879,2077209.360000000102445,1774906.839999999850988,1739109.160000000149012,10972905.760000001639128
20140826,1791490.680000000167638,1779541.279999999795109,1792288.780000000027940,2076612.639999999897555,1762929.370000000111759,1735778.439999999944121,10938645.189999999478459
20140827,1813508.120000000111759,1786460.080000000074506,1791382.119999999878928,2076015.919999999925494,1768252.689999999944121,1734321.250000000000000,10969944.179999999701977
20140828,1815638.840000000083819,1783692.560000000055879,1789770.280000000027940,2067661.839999999850988,1748290.239999999757856,1728492.489999999990687,10933550.250000000000000
20140829,1820077.840000000083819,1776773.759999999776483,1804478.320000000065193,2083773.280000000027940,1742523.310000000055879,1730157.849999999860302,10957788.359999999403954
20140902,1834282.640000000130385,1794960.319999999832362,1811127.160000000149012,2062888.080000000074506,1758493.270000000018626,1727451.640000000130385,10989207.110000001266599
20140903,1756866.479999999981374,1797727.839999999850988,1809414.579999999841675,2062888.080000000074506,1748290.239999999757856,1725786.280000000027940,10900977.499999998137355
20140904,1742306.560000000055879,1781913.439999999944121,1814250.100000000093132,2083176.559999999823049,1772688.790000000037253,1742439.880000000121072,10936779.330000000074506
20140905,1757399.160000000149012,1797727.839999999850988,1810925.679999999934807,2088547.040000000037253,1819711.450000000186265,1743897.069999999832362,11018212.240000000223517
20140908,1746568.000000000000000,1790216.000000000000000,1814552.320000000065193,2108238.799999999813735,1827696.430000000167638,1734529.419999999925494,11021804.970000000670552
20140909,1739998.280000000027940,1771238.719999999739230,1787251.780000000027940,2083176.559999999823049,1815275.350000000093132,1727659.809999999823049,10924604.500000000000000
20140910,1793443.840000000083819,1769657.279999999795109,1812134.560000000055879,2089740.480000000214204,1829470.870000000111759,1741190.860000000102445,11035641.890000000596046
20140911,1801078.920000000158325,1778552.879999999888241,1823518.179999999934807,2089740.480000000214204,1814831.739999999757856,1738068.309999999823049,11045794.509999999776483
20140912,1805162.800000000046566,1772622.479999999981374,1845378.759999999776483,2065871.679999999934807,1815275.350000000093132,1733280.400000000139698,11037595.470000000670552
20140915,1804630.120000000111759,1780727.359999999869615,1853538.699999999720603,2061097.919999999925494,1810395.640000000130385,1745978.770000000018626,11056372.509999999776483
20140916,1790958.000000000000000,1784483.279999999795109,1854143.139999999897555,2084370.000000000000000,1801079.830000000074506,1750350.339999999850988,11065388.589999999850988
20140917,1803742.320000000065193,1785669.359999999869615,1862000.859999999869615,2087353.599999999860302,1808177.589999999850988,1752015.699999999953434,11098963.429999997839332
20140918,1807471.080000000307336,1785867.040000000037253,1892928.039999999804422,2098691.280000000260770,1818380.620000000111759,1752640.209999999962747,11155982.269999999552965
20140919,1792733.599999999860302,1788832.239999999757856,1875902.979999999748543,2077806.080000000074506,1814831.739999999757856,1758468.969999999972060,11108579.609999999403954
20140922,1794509.200000000186265,1765110.640000000130385,1866735.639999999897555,2071242.160000000149012,1789989.580000000074506,1765546.750000000000000,11053137.970000000670552
20140923,1822563.680000000167638,1745738.000000000000000,1864720.840000000083819,2053937.280000000027940,1777124.890000000130385,1757844.459999999962747,11021933.150000002235174
20140924,1806760.840000000083819,1768273.520000000018626,1892122.119999999878928,2073629.040000000037253,1793094.850000000093132,1774498.059999999823049,11108382.430000001564622
20140925,1737867.560000000055879,1740993.679999999701977,1854646.840000000083819,2037229.120000000111759,1769139.910000000149012,1755554.589999999850988,10895435.699999999254942
20140926,1789004.840000000083819,1754238.239999999757856,1865023.060000000055879,2044389.760000000009313,1985177.979999999981374,1760758.839999999850988,11198596.720000000670552
20140929,1777641.000000000000000,1756017.359999999869615,1852027.600000000093132,2082579.839999999850988,1976749.390000000130385,1757844.459999999962747,11202863.649999998509884
20140930,1789004.840000000083819,1759970.959999999962747,1849408.359999999869615,2077806.080000000074506,1978523.830000000074506,1743272.559999999823049,11197990.630000000819564
20141001,1761127.920000000158325,1729528.239999999757856,1820495.979999999748543,2028278.320000000065193,1945253.080000000074506,1730782.360000000102445,11015469.899999998509884
20141002,1773912.240000000223517,1715690.640000000130385,1842457.299999999813735,2000232.480000000214204,1980741.879999999888241,1728908.829999999841675,11041947.369999999180436
20141003,1768940.560000000055879,1748505.520000000018626,1894741.359999999869615,2030665.200000000186265,2002922.379999999888241,1744313.410000000149012,11190092.429999999701977
20141006,1768940.560000000055879,1750680.000000000000000,1888797.699999999720603,2035438.959999999962747,1978967.439999999944121,1739733.669999999925494,11162562.330000000074506
20141007,1753492.840000000083819,1722016.399999999906868,1851725.380000000121072,1997248.879999999888241,1953681.669999999925494,1731198.699999999953434,11009367.869999999180436
20141008,1789892.640000000130385,1741784.399999999906868,1880335.539999999804422,2044986.480000000214204,1970538.850000000093132,1752432.040000000037253,11179973.949999999254942
20141009,1793798.959999999962747,1694341.199999999720603,1826238.160000000149012,2006199.679999999934807,1935050.049999999813735,1741607.199999999953434,10997239.250000000000000
20141010,1788649.720000000204891,1705411.279999999795109,1817272.299999999813735,1904160.560000000055879,1934162.830000000074506,1763048.709999999962747,10912709.399999998509884
20141013,1772314.200000000186265,1658758.799999999813735,1801053.160000000149012,1877904.879999999888241,1894237.930000000167638,1735570.270000000018626,10739843.240000000223517
20141014,1753492.840000000083819,1663305.439999999944121,1800347.979999999748543,1917885.120000000111759,1887583.779999999795109,1739317.329999999841675,10761936.490000000223517
