訓練日期,20110121 - 20110425
測試日期,20110426 - 20110531
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11308206.500000000000000
真實報酬,16196094.719999998807907


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-109.018615551181327 x^2 + 22806.371941404668178 x + 10000000.000000000000000
二次平均預期報酬,12885.677926247173673
風險,94363.053844699970796
二次平均趨勢值,0.136554269931260
一次趨勢線,15406.959278165675642 x + 10000000.000000000000000
一次預期報酬,15406.959278165675642
一次風險,137560.358120704651810
一次趨勢值,0.112001447863683
投資組合檔數,3
Stock#,CVX[5](28),MCD[15](5),PFE[20](15)
張數,35954,44349,182748,
分配資金,3333333,3333333,3333333,
剩餘資金,37.660000000149012,62.160000000149012,9.480000000447035,
20110121,3371803.780000000260770,3326680.650000000372529,3355262.760000000242144,10053748.190000001341105
20110124,3383309.060000000055879,3343089.779999999795109,3371710.080000000540167,10098109.919999999925494
20110125,3382589.979999999981374,3347524.680000000167638,3375365.040000000037253,10105480.699999999254942
20110126,3402724.220000000204891,3333776.490000000223517,3355262.760000000242144,10091764.470000000670552
20110127,3406679.160000000149012,3297410.310000000055879,3377192.520000000484288,10081282.990000002086163
20110128,3357062.640000000130385,3249956.880000000353903,3316885.680000000167638,9923906.200000001117587
20110131,3413150.880000000353903,3267252.990000000223517,3329678.040000000037253,10010082.910000000149012
20110201,3459531.540000000037253,3258383.189999999944121,3512426.040000000037253,10230341.769999999552965
20110202,3468879.580000000074506,3265922.520000000018626,3464911.560000000521541,10199714.660000000149012
20110203,3498721.400000000372529,3274348.830000000074506,3503288.640000000596046,10276359.870000001043081
20110204,3491530.600000000093132,3284105.609999999869615,3527045.880000000353903,10302683.089999999850988
20110207,3511305.299999999813735,3257496.210000000428408,3479531.400000000372529,10248333.910000000149012
20110208,3514181.620000000111759,3342202.800000000279397,3501461.160000000614673,10357846.580000000074506
20110209,3460250.620000000111759,3367481.730000000447035,3481358.880000000353903,10309092.230000000447035
20110210,3476789.460000000428408,3359942.400000000372529,3477703.920000000856817,10314436.780000001192093
20110211,3467800.960000000428408,3376795.020000000018626,3441154.320000000298023,10285751.300000000745058
20110214,3485777.960000000428408,3381229.919999999925494,3481358.880000000353903,10348367.760000001639128
20110215,3463846.020000000484288,3377238.510000000242144,3481358.880000000353903,10322444.410000002011657
20110216,3475351.299999999813735,3371473.140000000130385,3523390.920000000856817,10370216.359999999403954
20110217,3493687.840000000316650,3369699.180000000167638,3539838.240000000689179,10403226.260000001639128
20110218,3549416.540000000037253,3376351.529999999795109,3506943.600000000558794,10432712.670000001788139
20110222,3606942.939999999944121,3357281.460000000428408,3452119.200000000651926,10416344.600000001490116
20110223,3677053.240000000223517,3334663.470000000204891,3428361.960000000894070,10440079.670000001788139
20110224,3668424.280000000260770,3335550.449999999720603,3453946.680000000167638,10457922.410000000149012
20110225,3670941.060000000055879,3301401.720000000204891,3446636.760000000242144,10418980.540000000968575
20110228,3730265.160000000149012,3356394.480000000447035,3516081.000000000000000,10602741.640000000596046
20110301,3699704.260000000242144,3321358.770000000018626,3497806.200000000651926,10518870.230000000447035
