訓練日期,20091201 - 20100305
測試日期,20100308 - 20100520
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10675064.919999999925494
真實報酬,1252732.070000000298023


夏普值報酬,-0.101072121452655
夏普值風險,0.028998260159561
夏普值,-3.485454675436120
二次趨勢線,-121.689230902448315 x^2 + 25900.803033460386359 x + 10000000.000000000000000
二次平均預期報酬,11419.784556069034807
風險,186838.242534348566551
二次平均趨勢值,0.061121237286149
一次趨勢線,15085.865183256737510 x + 10000000.000000000000000
一次預期報酬,15085.865183256737510
一次風險,267501.993308288743719
一次趨勢值,0.056395337457806
投資組合檔數,4
Stock#,BA[2](15),MCD[15](1),PG[21](12),UNH[23](26)
張數,47700,39525,40096,87199,
分配資金,10002845,10002845,10002845,10002845,
剩餘資金,43.000000000000000,43.750000000000000,14.399999999906868,4.669999999925494,
20091201,2562487.000000000000000,2511462.250000000000000,2522453.759999999776483,2502615.969999999739230,10099018.980000000447035
20091202,2565349.000000000000000,2470356.250000000000000,2533680.639999999664724,2466864.379999999888241,10036250.269999999552965
20091203,2564872.000000000000000,2449408.000000000000000,2508420.160000000149012,2383153.339999999850988,9905853.500000000000000
20091204,2608279.000000000000000,2434388.500000000000000,2510024.000000000000000,2394489.209999999962747,9947180.710000000894070
20091207,2662657.000000000000000,2447827.000000000000000,2504811.520000000018626,2467736.370000000111759,10083031.890000000596046
20091208,2655025.000000000000000,2395654.000000000000000,2480753.919999999925494,2481688.209999999962747,10013121.129999998956919
20091209,2645962.000000000000000,2395258.750000000000000,2495589.439999999944121,2485176.169999999925494,10021986.359999999403954
20091210,2624020.000000000000000,2413045.000000000000000,2495589.439999999944121,2643006.359999999869615,10175660.799999998882413
20091211,2652163.000000000000000,2437155.250000000000000,2499599.040000000037253,2657830.189999999944121,10246747.480000000447035
20091214,2673628.000000000000000,2456127.250000000000000,2526463.359999999869615,2698813.719999999739230,10355032.329999998211861
20091215,2655502.000000000000000,2450593.750000000000000,2490777.919999999925494,2731077.350000000093132,10327951.019999999552965
20091216,2629744.000000000000000,2467194.250000000000000,2492381.759999999776483,2807812.470000000204891,10397132.480000000447035
20091217,2598262.000000000000000,2447431.750000000000000,2469527.040000000037253,2774676.850000000093132,10289897.640000000596046
20091218,2549131.000000000000000,2457313.000000000000000,2467923.199999999720603,2750261.129999999888241,10224628.329999998211861
20091221,2590153.000000000000000,2476680.250000000000000,2457899.199999999720603,2805196.500000000000000,10329928.949999999254942
20091222,2628313.000000000000000,2488933.000000000000000,2457899.199999999720603,2818276.350000000093132,10393421.549999998882413
20091223,2621635.000000000000000,2504347.750000000000000,2458300.160000000149012,2757237.049999999813735,10341519.960000000894070
20091224,2646439.000000000000000,2506719.250000000000000,2457097.279999999795109,2762468.989999999757856,10372724.519999999552965
20091228,2630221.000000000000000,2514229.000000000000000,2455894.399999999906868,2737181.279999999795109,10337525.679999999701977
20091229,2633560.000000000000000,2513438.500000000000000,2469126.079999999608845,2690093.819999999832362,10306218.400000000372529
20091230,2621635.000000000000000,2485771.000000000000000,2460705.919999999925494,2704045.660000000149012,10272157.580000000074506
20091231,2582044.000000000000000,2467984.750000000000000,2431034.879999999888241,2657830.189999999944121,10138893.820000000298023
20100104,2679829.000000000000000,2481423.250000000000000,2450681.919999999925494,2749389.140000000130385,10361323.310000000521541
20100105,2767597.000000000000000,2462451.250000000000000,2451483.839999999850988,2745029.189999999944121,10426561.279999999329448
20100106,2851549.000000000000000,2428855.000000000000000,2439856.000000000000000,2772060.879999999888241,10492320.879999998956919
20100107,2966983.000000000000000,2446641.250000000000000,2426624.319999999832362,2878443.659999999683350,10718692.230000000447035
20100108,2938363.000000000000000,2444269.750000000000000,2423416.639999999664724,2851411.970000000204891,10657461.359999999403954
20100111,2903542.000000000000000,2463241.750000000000000,2413793.600000000093132,2870595.750000000000000,10651173.099999999627471
20100112,2882554.000000000000000,2476680.250000000000000,2441459.839999999850988,2794732.619999999646097,10595426.709999999031425
20100113,2917375.000000000000000,2473913.500000000000000,2466720.319999999832362,2837460.129999999888241,10695468.949999999254942
