訓練日期,20190530 - 20190829
測試日期,20190830 - 20191017
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10873223.969999998807907
真實報酬,1440764.750000000000000


夏普值報酬,-0.012937899275489
夏普值風險,0.027403151686803
夏普值,-0.472131797953721
二次趨勢線,-259.397474575815238 x^2 + 36650.849437441451300 x + 10000000.000000000000000
二次平均預期報酬,10711.101979859929997
風險,117211.742412439343752
二次平均趨勢值,0.091382499393023
一次趨勢線,17293.801711557778617 x + 10000000.000000000000000
一次預期報酬,17293.801711557778617
一次風險,310767.962717132468242
一次趨勢值,0.055648598910754
投資組合檔數,2
Stock#,MCD[15](22),PG[21](21)
張數,25507,47989,
分配資金,28429092,28429092,
剩餘資金,117.859999999403954,26.089999999850988,
20190530,5082132.540000000037253,5054707.459999999962747,10136840.000000000000000
20190531,5057390.750000000000000,4938574.080000000074506,9995964.830000000074506
20190603,5070399.319999999366701,4981284.290000000037253,10051683.609999999403954
20190604,5092080.269999999552965,5023514.610000000335276,10115594.879999998956919
20190605,5104833.769999999552965,5121892.059999999590218,10226725.829999998211861
20190606,5179314.209999999962747,5153084.909999999217689,10332399.119999999180436
20190607,5241296.219999998807907,5219789.620000000111759,10461085.839999999850988
20190610,5134676.959999999962747,5217390.169999999925494,10352067.129999998956919
20190611,5184670.679999998770654,5249062.909999999217689,10433733.589999997988343
20190612,5227267.369999999180436,5263459.610000000335276,10490726.980000000447035
20190613,5216044.290000000037253,5322486.080000000074506,10538530.370000001043081
20190614,5236449.889999999664724,5336402.889999999664724,10572852.779999999329448
20190617,5198699.529999999329448,5326325.199999999254942,10525024.729999998584390
20190618,5216554.429999998770654,5259620.489999999292195,10476174.919999998062849
20190619,5217574.709999999962747,5298971.469999999739230,10516546.179999999701977
20190620,5232113.699999999254942,5362316.949999999254942,10594430.649999998509884
20190621,5210177.679999998770654,5336402.889999999664724,10546580.569999998435378
20190624,5201505.299999998882413,5390630.459999999962747,10592135.759999997913837
20190625,5247162.829999999143183,5361357.169999999925494,10608520.000000000000000
20190626,5217574.709999999962747,5265859.059999999590218,10483433.769999999552965
20190627,5261446.750000000000000,5268258.509999999776483,10529705.259999999776483
20190628,5296901.479999999515712,5262019.940000000409782,10558921.419999999925494
20190701,5262211.959999999962747,5302330.699999999254942,10564542.660000000149012
20190702,5345874.919999999925494,5349839.809999999590218,10695714.730000000447035
20190703,5428262.529999999329448,5474611.209999999962747,10902873.739999998360872
20190705,5388216.540000000037253,5429981.440000000409782,10818197.980000000447035
20190708,5411682.979999999515712,5473171.540000000037253,10884854.519999999552965
20190709,5409897.489999999292195,5418464.080000000074506,10828361.570000000298023
20190710,5433108.859999999403954,5458774.839999999850988,10891883.699999999254942
20190711,5425201.689999999478459,5489007.909999999217689,10914209.599999997764826
20190712,5432853.790000000037253,5518281.199999999254942,10951134.989999998360872
20190715,5463972.329999999143183,5541795.809999999590218,11005768.139999998733401
20190716,5451473.899999999441206,5561471.299999999813735,11012945.199999999254942
20190717,5451218.829999999143183,5563870.750000000000000,11015089.579999998211861
20190718,5507334.229999999515712,5539876.250000000000000,11047210.480000000447035
20190719,5455299.949999999254942,5519240.980000000447035,10974540.929999999701977
20190722,5484122.859999999403954,5533157.790000000037253,11017280.649999998509884
20190723,5466523.029999999329448,5463573.739999999292195,10930096.769999999552965
20190724,5427497.319999999366701,5403587.489999999292195,10831084.809999998658895
20190725,5469838.939999999478459,5411745.620000000111759,10881584.559999998658895
20190726,5498916.919999999925494,5505804.059999999590218,11004720.980000000447035
20190729,5483612.719999998807907,5566750.089999999850988,11050362.809999998658895
20190730,5416274.239999999292195,5778381.580000000074506,11194655.820000000298023
20190731,5374952.899999999441206,5664647.650000000372529,11039600.550000000745058
20190801,5388471.609999999403954,5601782.059999999590218,10990253.669999998062849
20190802,5470859.219999998807907,5587865.250000000000000,11058724.469999998807907
20190805,5368066.009999998845160,5426622.209999999962747,10794688.219999998807907
20190806,5460656.419999999925494,5484209.009999999776483,10944865.429999999701977
20190807,5530800.669999999925494,5543715.370000000111759,11074516.039999999105930
20190808,5560898.929999998770654,5635854.250000000000000,11196753.179999999701977
