訓練日期,20121204 - 20130308
測試日期,20130311 - 20130312
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11435117.039999999105930
真實報酬,11180547.799999997019768


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-9.373522247951399 x^2 + 22328.448872548411600 x + 10000000.000000000000000
二次平均預期報酬,21691.049359687720425
風險,64618.163942703373323
二次平均趨勢值,0.335680372765173
一次趨勢線,21853.940346307674190 x + 10000000.000000000000000
一次預期報酬,21853.940346307674190
一次風險,64795.574999661796028
一次趨勢值,0.337275197363736
投資組合檔數,5
Stock#,JNJ[12](12),JPM[13](7),MMM[16](19),NKE[19](9),VZ[26](24)
張數,28715,49007,22148,82000,45351,
分配資金,2000000,2000000,2000000,2000000,2000000,
剩餘資金,0.249999999767169,24.329999999841675,35.600000000093132,20.000000000000000,20.899999999906868,
20121204,2006030.149999999674037,1988238.319999999832362,1996013.360000000102445,2002460.000000000232831,1980499.070000000065193,9973240.900000000372529
20121205,2009188.799999999813735,2019112.729999999981374,2010188.080000000307336,2002460.000000000232831,2000000.000000000000000,10040949.609999999403954
20121206,2011485.999999999767169,2032344.619999999878928,2014396.200000000186265,2018040.000000000000000,2015872.850000000093132,10092139.669999999925494
20121207,2022971.999999999767169,2085762.250000000000000,2026799.080000000307336,2021319.999999999767169,2014058.809999999823049,10170912.140000000596046
20121210,2027279.249999999534339,2073510.500000000000000,2034772.360000000102445,2010660.000000000000000,1996825.429999999934807,10143047.539999999105930
20121211,2041636.749999999534339,2089682.809999999823049,2074860.240000000223517,2037720.000000000232831,2015419.339999999850988,10259319.140000000596046
20121212,2037616.649999999674037,2096053.719999999972060,2062457.360000000102445,2033620.000000000000000,2031292.189999999944121,10261039.919999999925494
20121213,2031586.499999999767169,2096543.789999999804422,2048725.600000000093132,1995079.999999999767169,2019047.420000000158325,10190983.310000000521541
20121214,2029863.599999999627471,2098014.000000000000000,2043853.040000000037253,1986880.000000000000000,2004988.609999999869615,10163599.250000000000000
20121217,2037042.349999999627471,2130848.689999999478459,2060464.040000000037253,2009020.000000000000000,2000907.019999999785796,10238282.099999999627471
20121218,2037329.499999999767169,2149961.419999999925494,2078625.399999999906868,2027880.000000000000000,1989569.269999999785796,10283365.589999999850988
20121219,2028140.699999999720603,2133299.040000000037253,2060242.560000000055879,2004920.000000000000000,1967347.280000000027940,10193949.580000000074506
20121220,2031586.499999999767169,2182306.040000000037253,2084826.840000000083819,2029520.000000000000000,1986848.209999999962747,10315087.589999999850988
20121221,2017803.299999999580905,2156332.330000000074506,2062014.399999999906868,2154980.000000000000000,1975963.969999999972060,10367094.000000000000000
20121224,2010624.549999999580905,2152411.769999999552965,2064007.719999999972060,2164820.000000000000000,1974603.439999999944121,10366467.479999998584390
20121226,2014931.799999999813735,2154372.049999999813735,2061349.959999999962747,2104960.000000000000000,1970521.850000000093132,10306135.660000000149012
20121227,2012634.599999999860302,2138199.740000000223517,2051826.320000000065193,2122180.000000000000000,1971882.379999999655411,10296723.039999999105930
20121228,1995118.449999999953434,2119087.009999999776483,2032779.040000000037253,2091020.000000000000000,1945578.799999999813735,10183583.300000000745058
20121231,2012921.749999999534339,2154862.120000000111759,2056477.399999999906868,2115620.000000000000000,1962358.670000000158325,10302239.939999999478459
20130102,2034170.849999999860302,2188676.949999999254942,2099223.040000000037253,2125460.000000000000000,2007709.670000000158325,10455240.509999999776483
20130103,2031299.349999999627471,2184266.320000000298023,2096786.760000000242144,2147600.000000000000000,1998185.959999999962747,10458138.390000000596046
20130104,2054558.499999999767169,2222981.849999999627471,2112290.360000000335276,2168100.000000000000000,2009070.199999999720603,10567000.910000000149012
20130107,2050251.250000000000000,2225432.199999999254942,2114948.120000000111759,2171380.000000000000000,2026757.089999999850988,10588768.660000000149012
20130108,2050538.399999999674037,2229842.830000000074506,2115169.600000000093132,2148420.000000000000000,1954649.000000000000000,10498619.830000000074506
20130109,2059727.199999999953434,2228372.620000000111759,2135324.279999999795109,2150880.000000000000000,1950113.899999999906868,10524418.000000000000000
20130110,2072936.099999999627471,2261697.379999999888241,2145955.320000000298023,2154980.000000000000000,1976870.989999999990687,10612439.790000000968575
20130111,2077530.499999999534339,2261207.309999999590218,2132445.040000000037253,2177120.000000000000000,1963719.199999999720603,10612022.049999997019768
20130114,2083560.649999999906868,2248465.490000000223517,2150163.439999999944121,2181220.000000000000000,1931519.989999999990687,10594929.570000000298023
20130115,2078104.799999999813735,2271498.780000000260770,2154814.520000000018626,2199260.000000000000000,1903402.369999999878928,10607080.469999998807907
20130116,2084134.949999999720603,2294532.070000000298023,2161680.399999999906868,2203360.000000000000000,1882540.909999999916181,10626248.330000000074506
20130117,2093323.750000000000000,2275909.410000000149012,2172311.439999999944121,2192700.000000000000000,1910658.530000000027940,10644903.129999998956919
20130118,2102799.700000000186265,2276889.549999999813735,2186929.120000000111759,2185320.000000000000000,1929252.439999999944121,10681190.810000000521541
20130122,2087293.599999999627471,2280810.109999999403954,2199996.439999999944121,2192700.000000000000000,1947392.839999999850988,10708192.989999998360872
20130123,2091887.999999999534339,2265617.939999999478459,2203540.120000000111759,2177120.000000000000000,1940590.189999999944121,10678756.249999998137355
20130124,2099066.750000000000000,2272478.919999999925494,2207526.760000000242144,2208280.000000000000000,1931519.989999999990687,10718872.419999999925494
20130125,2122613.049999999813735,2311194.449999999254942,2227902.920000000391155,2277980.000000000000000,1935148.070000000065193,10874838.490000000223517
20130128,2113998.549999999813735,2285710.809999999590218,2229231.800000000279397,2234520.000000000000000,1939683.170000000158325,10803144.330000000074506
20130129,2136683.399999999441206,2309234.169999999925494,2254923.479999999981374,2210740.000000000000000,1972789.399999999906868,10884370.449999999254942
20130130,2127494.599999999627471,2309724.240000000223517,2232554.000000000000000,2198440.000000000000000,1977778.009999999776483,10845990.849999999627471
20130131,2122613.049999999813735,2305803.679999999701977,2227017.000000000000000,2216480.000000000000000,1977778.009999999776483,10849691.740000000223517
20130201,2130078.950000000186265,2345009.280000000260770,2249386.479999999981374,2201720.000000000000000,2020861.459999999962747,10947056.170000001788139
20130204,2128068.899999999441206,2336678.089999999850988,2231889.560000000055879,2200080.000000000000000,2019047.420000000158325,10915763.969999998807907
20130205,2143862.149999999441206,2391075.859999999403954,2247836.120000000111759,2209920.000000000000000,2020861.459999999962747,11013555.589999999850988
20130206,2164824.099999999627471,2382254.599999999627471,2274413.720000000204891,2220580.000000000000000,2029478.149999999906868,11071550.570000000298023
20130207,2155348.149999999441206,2363631.939999999478459,2264004.160000000149012,2241900.000000000000000,2016326.359999999869615,11041210.609999999403954
20130208,2167408.450000000186265,2383234.740000000223517,2273749.279999999795109,2238620.000000000000000,2011337.750000000000000,11074350.220000000670552
20130211,2165398.399999999441206,2384704.949999999254942,2272863.360000000335276,2264040.000000000000000,2009977.219999999972060,11096983.929999999701977
20130212,2176597.250000000000000,2408228.309999999590218,2291467.680000000167638,2259120.000000000000000,2015419.339999999850988,11150832.580000000074506
20130213,2172577.149999999441206,2385685.089999999850988,2278178.879999999888241,2236980.000000000000000,2019047.420000000158325,11092468.539999999105930
20130214,2176884.399999999441206,2412148.870000000111759,2276407.040000000037253,2239440.000000000000000,2010430.729999999748543,11115311.039999999105930
20130215,2186934.649999999441206,2395486.490000000223517,2286373.640000000130385,2253380.000000000000000,2013605.299999999813735,11135780.079999998211861
20130219,2209906.649999999441206,2423420.479999999515712,2307414.240000000223517,2233700.000000000000000,2018140.399999999906868,11192581.769999999552965
20130220,2201005.000000000000000,2382254.599999999627471,2284601.800000000279397,2214840.000000000000000,2037187.820000000065193,11119889.220000000670552
20130221,2207322.299999999813735,2364612.080000000074506,2275078.160000000149012,2236160.000000000000000,2046258.019999999785796,11129430.559999998658895
20130222,2189519.000000000000000,2396956.699999999254942,2293239.520000000018626,2233700.000000000000000,2058956.299999999813735,11172371.519999999552965
20130225,2169992.799999999813735,2337658.229999999515712,2253594.600000000093132,2215660.000000000000000,2073468.619999999878928,11050374.249999998137355
20130226,2175161.500000000000000,2332757.530000000260770,2265997.479999999981374,2225500.000000000000000,2091609.019999999785796,11091025.529999999329448
20130227,2191529.049999999813735,2415089.290000000037253,2293903.959999999962747,2227960.000000000000000,2102039.750000000000000,11230522.050000000745058
