訓練日期,20160202 - 20160504
測試日期,20160505 - 20160505
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11179966.949999999254942
真實報酬,11680050.350000001490116


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-15.503320249156957 x^2 + 20691.510773892638099 x + 10000000.000000000000000
二次平均預期報酬,19652.788317199123412
風險,63510.267112366876972
二次平均趨勢值,0.309442696602551
一次趨勢線,19918.326388835041143 x + 10000000.000000000000000
一次預期報酬,19918.326388835041143
一次風險,63974.420005684551143
一次趨勢值,0.311348291818279
投資組合檔數,6
Stock#,DD[7](29),JNJ[12](23),MCD[15](11),MMM[16](26),PFE[20](24),XOM[29](27)
張數,27484,15968,13375,11205,55242,21846,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
剩餘資金,36.239999999990687,85.839999999850988,7.250000000000000,146.350000000093132,14.859999999869615,34.659999999916181,
20160202,1762585.159999999916181,1651336.719999999739230,1657838.500000000000000,1657029.700000000186265,1665008.739999999990687,1629527.800000000046566,10023330.620000001043081
20160203,1829371.280000000027940,1662993.359999999869615,1624668.500000000000000,1709132.950000000186265,1639045.000000000000000,1714508.739999999990687,10179723.830000000074506
20160204,1854931.399999999906868,1659161.040000000037253,1613834.750000000000000,1719441.550000000046566,1602032.859999999869615,1744000.839999999850988,10193406.439999999478459
20160205,1827447.399999999906868,1605508.560000000055879,1543482.250000000000000,1719777.700000000186265,1603690.119999999878928,1749462.339999999850988,10049372.370000001043081
20160208,1809582.800000000046566,1628821.839999999850988,1552176.000000000000000,1724595.850000000093132,1577726.379999999888241,1773056.019999999785796,10065962.890000000596046
20160209,1823874.479999999981374,1628342.799999999813735,1565016.000000000000000,1734008.050000000279397,1607557.060000000055879,1749462.339999999850988,10108264.730000000447035
20160210,1806834.399999999906868,1624510.479999999981374,1572104.750000000000000,1708348.599999999860302,1629101.439999999711290,1733514.759999999776483,10074418.429999999701977
20160211,1753515.439999999944121,1624031.439999999944121,1561271.000000000000000,1688403.699999999953434,1609214.319999999832362,1738976.259999999776483,9975416.160000000149012
20160212,1800787.919999999925494,1625947.599999999627471,1577321.000000000000000,1725268.150000000139698,1621919.979999999748543,1770216.040000000037253,10121464.689999999478459
20160216,1832944.199999999953434,1633931.599999999627471,1594039.750000000000000,1742860.000000000000000,1646778.879999999888241,1774366.779999999795109,10224925.209999999031425
20160217,1878292.800000000046566,1636805.839999999850988,1586817.250000000000000,1755073.450000000186265,1636835.319999999832362,1791406.659999999916181,10285235.320000000298023
20160218,1861802.399999999906868,1664590.159999999683350,1567156.000000000000000,1756866.250000000000000,1632415.959999999962747,1801237.359999999869615,10284072.129999998956919
20160219,1842838.439999999944121,1663312.719999999739230,1558596.000000000000000,1753168.599999999860302,1629101.439999999711290,1802329.659999999916181,10249350.859999999403954
