訓練日期,20110610 - 20110912
測試日期,20110913 - 20110913
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10598076.459999999031425
真實報酬,14537496.600000001490116


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-184.300885206365990 x^2 + 25168.538779954375059 x + 10000000.000000000000000
二次平均預期報酬,12820.379471127855140
風險,186491.253057755704504
二次平均趨勢值,0.068745205262562
一次趨勢線,15977.051775639885818 x + 10000000.000000000000000
一次預期報酬,15977.051775639885818
一次風險,207704.750370858702809
一次趨勢值,0.076921937255228
投資組合檔數,1
Stock#,MCD[15](6)
張數,123061,
分配資金,10000000,
剩餘資金,63.139999998733401,
20110610,9889245.099999997764826,9889245.099999997764826
20110613,9934777.669999999925494,9934777.669999999925494
20110614,10025842.809999998658895,10025842.809999998658895
20110615,9997538.779999997466803,9997538.779999997466803
20110616,10067683.549999998882413,10067683.549999998882413
20110617,10155056.859999997541308,10155056.859999997541308
20110620,10175977.229999998584390,10175977.229999998584390
20110621,10189513.939999997615814,10189513.939999997615814
20110622,10171054.789999999105930,10171054.789999999105930
20110623,10126752.830000000074506,10126752.830000000074506
20110624,10071375.379999998956919,10071375.379999998956919
20110627,10130444.659999998286366,10130444.659999998286366
20110628,10380258.489999998360872,10380258.489999998360872
20110629,10407331.909999998286366,10407331.909999998286366
20110630,10376566.659999998286366,10376566.659999998286366
20110701,10540237.789999999105930,10540237.789999999105930
20110705,10539007.179999999701977,10539007.179999999701977
20110706,10566080.599999997764826,10566080.599999997764826
20110707,10590692.799999998882413,10590692.799999998882413
20110708,10534084.739999998360872,10534084.739999998360872
20110711,10503319.489999998360872,10503319.489999998360872
20110712,10459017.529999997466803,10459017.529999997466803
20110713,10455325.699999997392297,10455325.699999997392297
20110714,10559927.549999998882413,10559927.549999998882413
20110715,10519317.419999999925494,10519317.419999999925494
20110718,10509472.539999999105930,10509472.539999999105930
20110719,10609151.949999997392297,10609151.949999997392297
20110720,10616535.609999997541308,10616535.609999997541308
20110721,10649762.080000000074506,10649762.080000000074506
20110722,10898345.299999998882413,10898345.299999998882413
20110725,10844198.459999999031425,10844198.459999999031425
20110726,10831892.359999997541308,10831892.359999997541308
20110727,10717445.629999998956919,10717445.629999998956919
20110728,10679296.719999998807907,10679296.719999998807907
20110729,10642378.419999999925494,10642378.419999999925494
20110801,10631302.929999999701977,10631302.929999999701977
20110802,10467631.799999998882413,10467631.799999998882413
20110803,10526701.080000000074506,10526701.080000000074506
20110804,10371644.219999998807907,10371644.219999998807907
20110805,10470093.019999997690320,10470093.019999997690320
20110808,10104601.849999997764826,10104601.849999997764826
20110809,10578386.699999997392297,10578386.699999997392297
20110810,10347032.019999997690320,10347032.019999997690320
20110811,10617766.219999998807907,10617766.219999998807907
20110812,10644839.639999998733401,10644839.639999998733401
20110815,10684219.159999998286366,10684219.159999998286366
20110816,10665760.009999999776483,10665760.009999999776483
20110817,10767900.639999998733401,10767900.639999998733401
20110818,10535315.349999997764826,10535315.349999997764826
20110819,10734674.169999999925494,10734674.169999999925494
20110822,10799896.500000000000000,10799896.500000000000000
20110823,11017714.469999998807907,11017714.469999998807907
20110824,11091551.069999998435378,11091551.069999998435378
20110825,10916804.449999997392297,10916804.449999997392297
20110826,11066938.869999999180436,11066938.869999999180436
20110829,11172771.330000000074506,11172771.330000000074506
20110830,11171540.719999998807907,11171540.719999998807907
20110831,11126008.149999998509884,11126008.149999998509884
20110901,11084167.409999998286366,11084167.409999998286366
20110902,10963567.629999998956919,10963567.629999998956919
20110906,10930341.159999998286366,10930341.159999998286366
20110907,10988179.830000000074506,10988179.830000000074506
20110908,10904498.349999997764826,10904498.349999997764826
20110909,10463939.969999998807907,10463939.969999998807907
20110912,10606690.729999998584390,10606690.729999998584390
20110913,10598076.459999999031425,10598076.459999999031425
