訓練日期,20141002 - 20150105
測試日期,20150106 - 20150106
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12152407.440000001341105
真實報酬,3820050.080000000074506


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-68.660767500484667 x^2 + 42404.919957787082240 x + 10000000.000000000000000
二次平均預期報酬,37804.648535254600574
風險,168627.278827007568907
二次平均趨勢值,0.224190586471112
一次趨勢線,38980.657771089885500 x + 10000000.000000000000000
一次預期報酬,38980.657771089885500
一次風險,172034.214312223397428
一次趨勢值,0.226586658514011
投資組合檔數,2
Stock#,UNH[23](5),WBA[27](30)
張數,58906,84688,
分配資金,5000000,5000000,
剩餘資金,58.720000000670552,20.480000000447035,
20141002,5001178.120000001043081,5060975.360000000335276,10062153.480000000447035
20141003,5067152.840000000782311,5146510.240000001154840,10213663.080000001937151
20141006,5012370.260000000707805,5136347.680000000633299,10148717.940000001341105
20141007,4959354.860000000335276,5067750.400000000372529,10027105.260000001639128
20141008,5102496.440000001341105,5204944.960000000894070,10307441.400000002235174
20141009,5003534.360000000335276,5212566.879999999888241,10216101.240000000223517
20141010,5030042.060000000521541,5334517.600000000558794,10364559.660000000149012
20141013,4945217.420000000856817,5139735.200000000186265,10084952.620000001043081
20141014,4878653.640000000596046,5139735.200000000186265,10018388.839999999850988
20141015,4839775.680000000633299,5161754.080000001005828,10001529.760000001639128
20141016,5030042.060000000521541,5114328.800000000745058,10144370.860000001266599
20141017,5194389.800000000745058,5104166.240000001154840,10298556.040000002831221
20141020,5215595.960000000894070,5098238.080000001005828,10313834.040000002831221
20141021,5357559.420000000856817,5212566.879999999888241,10570126.300000000745058
20141022,5288050.340000000782311,5208332.480000000447035,10496382.820000000298023
20141023,5340476.680000000633299,5256604.640000000596046,10597081.320000000298023
20141024,5398204.560000000521541,5305723.680000000633299,10703928.240000002086163
20141027,5427068.500000000000000,5344680.160000000149012,10771748.660000000149012
20141028,5457110.560000000521541,5394646.080000001005828,10851756.640000000596046
20141029,5475960.480000000447035,5320967.520000000484288,10796928.000000000000000
20141030,5530154.000000000000000,5331976.960000000894070,10862130.960000000894070
20141031,5596717.780000001192093,5438683.840000000782311,11035401.620000001043081
20141103,5587881.880000000819564,5503046.720000000670552,11090928.600000001490116
20141104,5594950.600000000558794,5525065.599999999627471,11120016.199999999254942
20141105,5643253.520000000484288,5560634.560000000521541,11203888.080000001937151
20141106,5667404.980000000447035,5644475.680000000633299,11311880.660000000149012
20141107,5514249.380000000819564,5667341.440000000409782,11181590.820000000298023
20141110,5581402.220000000670552,5740173.120000000111759,11321575.339999999850988
20141111,5636773.860000000335276,5716460.480000000447035,11353234.339999999850988
20141112,5636184.800000000745058,5711379.200000000186265,11347564.000000000000000
20141113,5649144.120000001043081,5670728.959999999962747,11319873.080000001937151
20141114,5602608.380000000819564,5668188.320000001229346,11270796.700000002980232
20141117,5682720.540000000968575,5636006.879999999888241,11318727.420000001788139
20141118,5784038.860000000335276,5763885.760000000707805,11547924.620000001043081
20141119,5705693.880000000819564,5741020.000000000931323,11446713.880000002682209
20141120,5705104.820000000298023,5702910.400000000372529,11408015.220000000670552
20141121,5696857.980000000447035,5724082.400000000372529,11420940.380000000819564
20141124,5708050.120000001043081,5735938.720000000670552,11443988.840000001713634
20141125,5766956.120000001043081,5742713.760000000707805,11509669.880000002682209
20141126,5779326.380000000819564,5798607.840000000782311,11577934.220000002533197
20141128,5809957.500000000000000,5810464.160000000149012,11620421.660000000149012
20141201,5835287.080000001005828,5739326.240000000223517,11574613.320000000298023
20141202,5880644.700000000186265,5652944.480000000447035,11533589.179999999701977
20141203,5937783.520000000484288,5706297.919999999925494,11644081.440000001341105
20141204,5871219.740000001154840,5750335.680000000633299,11621555.420000001788139
20141205,5910097.700000000186265,5809617.280000000260770,11719714.980000000447035
20141208,5885946.240000001154840,5735938.720000000670552,11621884.960000000894070
20141209,5950742.840000000782311,5808770.400000000372529,11759513.240000002086163
20141210,5837054.260000000707805,5771507.680000000633299,11608561.940000001341105
20141211,5874754.100000000558794,6183091.360000001266599,12057845.460000000894070
20141212,5817615.280000001192093,6309276.480000000447035,12126891.760000001639128
20141215,5788751.340000000782311,6219507.200000000186265,12008258.540000000968575
20141216,5646198.820000000298023,6130584.800000000745058,11776783.620000001043081
20141217,5839999.560000000521541,6096709.599999999627471,11936709.160000000149012
20141218,6022608.160000000149012,6299113.919999999925494,12321722.080000000074506
20141219,6037334.660000000149012,6201722.720000000670552,12239057.380000000819564
20141222,6069732.960000000894070,6289798.240000000223517,12359531.200000001117587
20141223,6058540.820000000298023,6479499.360000001266599,12538040.180000001564622
20141224,6048526.800000000745058,6493049.440000000409782,12541576.240000002086163
20141226,6040869.020000000484288,6475264.959999999962747,12516133.980000000447035
20141229,6027909.700000000186265,6503212.000000000931323,12531121.700000001117587
20141230,6058540.820000000298023,6440542.879999999888241,12499083.699999999254942
20141231,5954866.260000000707805,6453246.080000001005828,12408112.340000001713634
20150102,5936605.400000000372529,6436308.480000000447035,12372913.880000000819564
20150105,5838821.440000001341105,6309276.480000000447035,12148097.920000001788139
20150106,5827040.240000001154840,6325367.200000000186265,12152407.440000001341105
