訓練日期,20100601 - 20100831
測試日期,20100901 - 20100923
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11515467.960000000894070
真實報酬,19744156.800000004470348


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,25.887898707451761 x^2 + 15887.579387676136321 x + 10000000.000000000000000
二次平均預期報酬,18010.387081687182217
風險,145840.265884199703578
二次平均趨勢值,0.123493926540067
一次趨勢線,17469.917638119943149 x + 10000000.000000000000000
一次預期報酬,17469.917638119943149
一次風險,147109.312338638294023
一次趨勢值,0.118754668622915
投資組合檔數,3
Stock#,MCD[15](9),MRK[17](16),VZ[26](20)
張數,49847,98941,129550,
分配資金,3333333,3333333,3333333,
剩餘資金,64.109999999869615,10.710000000428408,11.500000000000000,
20100601,3307911.029999999795109,3317502.440000000409782,3295763.500000000000000,9921177.970000000670552
20100602,3378195.299999999813735,3399623.470000000204891,3341106.000000000000000,10118925.769999999552965
20100603,3382183.059999999590218,3392697.600000000558794,3347583.500000000000000,10122465.160000000149012
20100604,3324859.010000000242144,3281883.680000000633299,3295763.500000000000000,9902507.190000001341105
20100607,3327351.359999999869615,3295735.420000000856817,3280217.500000000000000,9903305.280000001192093
20100608,3408601.969999999739230,3345205.920000000856817,3352765.500000000000000,10106574.390000000596046
20100609,3402620.330000000074506,3335311.820000000298023,3364425.000000000000000,10102358.150000000372529
20100610,3457950.500000000000000,3428316.360000000335276,3433086.500000000000000,10319354.359999999403954
20100611,3466424.490000000223517,3449093.970000000204891,3458996.500000000000000,10374515.960000000894070
20100614,3454461.209999999497086,3464924.530000000726432,3468065.000000000000000,10387451.740000000223517
20100615,3509292.910000000149012,3563865.530000000726432,3526362.500000000000000,10599521.940000001341105
20100616,3503809.740000000223517,3562876.120000000111759,3534135.500000000000000,10600822.359999999403954
20100617,3491846.459999999497086,3548034.970000000204891,3523771.500000000000000,10563653.929999999701977
20100618,3483372.469999999739230,3529236.180000000633299,3527658.000000000000000,10540267.650000000372529
20100621,3485366.350000000093132,3474818.630000000353903,3519885.000000000000000,10480070.980000000447035
20100622,3421562.189999999944121,3475808.040000000502914,3519885.000000000000000,10417256.230000000447035
20100623,3421063.719999999739230,3504500.930000000633299,3552272.500000000000000,10477838.150000000372529
20100624,3376201.419999999925494,3523299.720000000204891,3508225.500000000000000,10407727.640000000596046
20100625,3360748.850000000093132,3554960.840000000316650,3457701.000000000000000,10373411.690000001341105
20100628,3356262.619999999646097,3555950.250000000000000,3477133.500000000000000,10389347.369999999180436
20100629,3312895.729999999515712,3505490.340000000316650,3466769.500000000000000,10285156.570000000298023
20100630,3283486.000000000000000,3459977.480000000447035,3394221.500000000000000,10137685.980000000447035
20100701,3325357.479999999515712,3407538.750000000000000,3407176.500000000000000,10140073.730000000447035
20100702,3296944.689999999944121,3385771.730000000447035,3473247.000000000000000,10155964.419999999925494
20100706,3295449.279999999795109,3428316.360000000335276,3447337.000000000000000,10171103.640000000596046
20100707,3355265.680000000167638,3505490.340000000316650,3435677.500000000000000,10296434.519999999552965
20100708,3440504.049999999813735,3548034.970000000204891,3469360.500000000000000,10457900.519999999552965
20100709,3450473.449999999720603,3591569.010000000242144,3452519.000000000000000,10494562.460000000894070
20100712,3486363.289999999571592,3570791.400000000838190,3431791.000000000000000,10488946.690000001341105
20100713,3531225.589999999850988,3606410.160000000614673,3483611.000000000000000,10621247.750000000000000
20100714,3534216.410000000149012,3581674.910000000614673,3477133.500000000000000,10593025.820000000298023
20100715,3555650.619999999646097,3610367.800000000745058,3471951.500000000000000,10637970.919999999925494
20100716,3486363.289999999571592,3552982.020000000018626,3457701.000000000000000,10497047.309999998658895
20100719,3484867.879999999888241,3542098.510000000242144,3461587.500000000000000,10488554.890000000596046
20100720,3532721.000000000000000,3528246.770000000018626,3455110.000000000000000,10516078.769999999552965
20100721,3494837.279999999795109,3481744.500000000000000,3435677.500000000000000,10412260.279999999329448
20100722,3559139.910000000149012,3480755.090000000316650,3497861.500000000000000,10537757.500000000000000
20100723,3484369.410000000149012,3450083.380000000353903,3630002.500000000000000,10564456.290000000968575
20100726,3532721.000000000000000,3489659.780000000726432,3663685.500000000000000,10686067.280000001192093
20100727,3509292.910000000149012,3480755.090000000316650,3703846.000000000000000,10693895.000000000000000
20100728,3477889.299999999813735,3437221.050000000745058,3745302.000000000000000,10660413.350000001490116
20100729,3458448.969999999739230,3468882.170000000856817,3741415.500000000000000,10668747.640000000596046
20100730,3475895.419999999925494,3409517.570000000298023,3764734.500000000000000,10650148.490000000223517
20100802,3501815.859999999869615,3469871.580000000540167,3829509.500000000000000,10801197.940000001341105
20100803,3511785.260000000242144,3445136.330000000540167,3826918.500000000000000,10783841.089999999850988
20100804,3523748.539999999571592,3481744.500000000000000,3808781.500000000000000,10814275.539999999105930
20100805,3511785.260000000242144,3469871.580000000540167,3828214.000000000000000,10809871.839999999850988
20100806,3576087.889999999664724,3460966.890000000130385,3828214.000000000000000,10865269.779999999329448
20100809,3634907.350000000093132,3498564.470000000204891,3868374.500000000000000,11001847.320000000298023
20100810,3630919.589999999850988,3539130.280000000726432,3889102.500000000000000,11059153.370000001043081
20100811,3567613.899999999441206,3452062.200000000651926,3829509.500000000000000,10849186.599999999627471
20100812,3592038.930000000167638,3466903.350000000558794,3927967.500000000000000,10986910.780000001192093
20100813,3583564.939999999944121,3462945.710000000428408,3890398.000000000000000,10936909.650000000372529
20100816,3578580.240000000223517,3459977.480000000447035,3881329.500000000000000,10919888.220000000670552
20100817,3649861.449999999720603,3516373.850000000558794,3908535.000000000000000,11074771.300000000745058
20100818,3651356.859999999869615,3499553.880000000353903,3905944.000000000000000,11056855.740000000223517
20100819,3637399.699999999720603,3434252.820000000298023,3837282.500000000000000,10908936.019999999552965
20100820,3642882.869999999646097,3407538.750000000000000,3804895.000000000000000,10855317.619999999180436
20100823,3655843.089999999850988,3459977.480000000447035,3810077.000000000000000,10925898.570000000298023
20100824,3624937.949999999720603,3407538.750000000000000,3817850.000000000000000,10850327.699999999254942
20100825,3648366.039999999571592,3417432.850000000558794,3842464.500000000000000,10908264.390000000596046
20100826,3646870.629999999888241,3411496.390000000130385,3821736.500000000000000,10880104.519999999552965
20100827,3688243.639999999664724,3462945.710000000428408,3865783.500000000000000,11016973.849999999627471
20100830,3625934.889999999664724,3436231.640000000130385,3813963.500000000000000,10876131.029999999329448
20100831,3641885.930000000167638,3478776.270000000018626,3825623.000000000000000,10946286.199999999254942
20100901,3715659.490000000223517,3524289.130000000353903,3920194.500000000000000,11160144.120000001043081
20100902,3739586.049999999813735,3497575.060000000521541,3900762.000000000000000,11137924.109999999403954
20100903,3743075.339999999850988,3521320.900000000838190,3912421.500000000000000,11176818.740000000223517
20100907,3778466.709999999497086,3508458.570000000298023,3915012.500000000000000,11201938.779999999329448
20100908,3792423.869999999646097,3543087.920000000856817,3946104.500000000000000,11281617.290000000968575
20100909,3707185.500000000000000,3569801.990000000223517,3995333.500000000000000,11272321.990000000223517
20100910,3739087.580000000074506,3626198.360000000335276,3992742.500000000000000,11358029.440000001341105
20100913,3717154.899999999441206,3583653.730000000447035,4003106.500000000000000,11303916.129999998956919
20100914,3685751.289999999571592,3613336.030000000726432,4004402.000000000000000,11303490.320000000298023
20100915,3724133.479999999515712,3612346.620000000111759,4040676.000000000000000,11377157.099999999627471
20100916,3728619.709999999497086,3604431.340000000316650,4070472.500000000000000,11403524.550000000745058
20100917,3704693.149999999441206,3594537.240000000223517,4104155.500000000000000,11403386.890000000596046
20100920,3744072.279999999795109,3615314.850000000558794,4157271.000000000465661,11516659.130000000819564
20100921,3764011.080000000074506,3633124.230000000447035,4187067.500000000000000,11584203.810000000521541
20100922,3745069.219999999739230,3656870.070000000298023,4196136.000000000000000,11598076.289999999105930
20100923,3720644.189999999944121,3627187.770000000018626,4167635.000000000000000,11515467.960000000894070
