訓練日期,20151102 - 20160204
測試日期,20160205 - 20160205
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10992856.210000000894070
真實報酬,6187545.000000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,90.153767280048157 x^2 + 11383.904952024287923 x + 10000000.000000000000000
二次平均預期報酬,17424.207359787516907
風險,140156.949935125274351
二次平均趨勢值,0.124319253293202
一次趨勢線,15880.069902163822917 x + 10000000.000000000000000
一次預期報酬,15880.069902163822917
一次風險,147122.146553321013926
一次趨勢值,0.107937997603974
投資組合檔數,2
Stock#,MCD[15](6),WMT[28](3)
張數,44543,87351,
分配資金,5000000,5000000,
剩餘資金,48.250000000000000,28.759999999776483,
20151102,4993763.979999999515712,5032319.870000000111759,10026083.849999999627471
20151103,4992427.689999999478459,5075995.370000000111759,10068423.059999998658895
20151104,5006681.450000000186265,5098706.629999999888241,10105388.080000000074506
20151105,5026725.799999999813735,5119670.870000000111759,10146396.669999999925494
20151106,5047215.580000000074506,5134520.540000000037253,10181736.120000001043081
20151109,5030289.240000000223517,5109188.750000000000000,10139477.990000000223517
20151110,5043206.709999999962747,5125785.439999999478459,10168992.149999998509884
20151111,5071268.799999999813735,5029699.339999999850988,10100968.140000000596046
20151112,4993763.979999999515712,4974668.209999999962747,9968432.189999999478459
20151113,4898441.959999999962747,4928372.179999999701977,9826814.140000000596046
20151116,4946993.830000000074506,5055031.129999999888241,10002024.960000000894070
20151117,4941648.669999999925494,5234100.679999999701977,10175749.349999999627471
20151118,5012472.040000000037253,5322325.189999999478459,10334797.230000000447035
20151119,5046770.149999999441206,5302234.459999999962747,10349004.609999999403954
20151120,5073941.379999999888241,5247203.330000000074506,10321144.710000000894070
20151123,5098885.459999999962747,5263800.019999999552965,10362685.480000000447035
20151124,5090422.290000000037253,5234100.679999999701977,10324522.969999998807907
20151125,5095767.450000000186265,5262053.000000000000000,10357820.449999999254942
20151127,5088195.140000000596046,5231480.149999999441206,10319675.289999999105930
20151130,5085077.129999999888241,5139761.599999999627471,10224838.730000000447035
20151201,5097994.600000000558794,5152864.250000000000000,10250858.850000001490116
20151202,5065478.209999999962747,5096959.610000000335276,10162437.820000000298023
20151203,5050779.020000000484288,5157231.799999999813735,10208010.820000000298023
20151204,5175944.850000000558794,5211389.419999999925494,10387334.269999999552965
20151207,5185744.310000000521541,5284764.259999999776483,10470508.570000000298023
20151208,5190644.040000000037253,5207021.870000000111759,10397665.910000000149012
20151209,5192871.189999999478459,5165093.389999999664724,10357964.579999998211861
20151210,5220487.850000000558794,5202654.320000000298023,10423142.170000001788139
20151211,5170599.689999999478459,5185184.120000000111759,10355783.809999998658895
20151214,5178617.430000000633299,5275155.649999999441206,10453773.080000000074506
20151215,5208461.240000000223517,5209642.399999999441206,10418103.640000000596046
20151216,5248995.370000000111759,5267294.059999999590218,10516289.429999999701977
20151217,5233850.750000000000000,5151990.739999999292195,10385841.489999998360872
20151218,5196434.629999999888241,5140635.110000000335276,10337069.740000000223517
20151221,5242313.919999999925494,5201780.809999999590218,10444094.730000000447035
20151222,5243650.209999999962747,5288258.299999999813735,10531908.509999999776483
20151223,5291756.649999999441206,5336301.349999999627471,10628058.000000000000000
20151224,5281511.759999999776483,5313590.089999999850988,10595101.849999999627471
20151228,5289529.500000000000000,5306602.009999999776483,10596131.509999999776483
20151229,5348326.259999999776483,5381723.870000000111759,10730050.129999998956919
20151230,5319818.740000000223517,5387838.439999999478459,10707657.179999999701977
20151231,5262358.270000000484288,5354645.059999999590218,10617003.330000000074506
20160104,5237414.189999999478459,5368621.219999999739230,10606035.410000000149012
20160105,5309573.850000000558794,5496153.679999999701977,10805727.530000001192093
20160106,5273939.450000000186265,5551184.809999999590218,10825124.259999999776483
20160107,5151891.629999999888241,5680464.290000000037253,10832355.919999999925494
20160108,5143873.890000000596046,5550311.299999999813735,10694185.190000001341105
20160111,5197770.919999999925494,5609709.979999999515712,10807480.899999998509884
20160112,5231178.169999999925494,5557299.379999999888241,10788477.550000000745058
20160113,5127838.410000000149012,5408802.679999999701977,10536641.089999999850988
20160114,5194652.910000000149012,5508382.820000000298023,10703035.730000000447035
20160115,5130510.990000000223517,5409676.189999999478459,10540187.179999999701977
20160119,5233850.750000000000000,5464707.320000000298023,10698558.070000000298023
20160120,5157236.790000000037253,5314463.599999999627471,10471700.390000000596046
20160121,5248995.370000000111759,5405308.639999999664724,10654304.009999999776483
20160122,5273939.450000000186265,5476062.949999999254942,10750002.399999998509884
20160125,5309573.850000000558794,5542449.709999999962747,10852023.560000000521541
20160126,5364361.740000000223517,5590492.759999999776483,10954854.500000000000000
20160127,5383960.660000000149012,5586125.209999999962747,10970085.870000001043081
20160128,5451220.589999999850988,5609709.979999999515712,11060930.570000000298023
20160129,5513580.790000000037253,5796641.120000000111759,11310221.910000000149012
20160201,5550551.479999999515712,5896221.259999999776483,11446772.739999998360872
20160202,5521153.100000000558794,5840316.620000000111759,11361469.720000000670552
20160203,5410686.459999999962747,5788779.529999999329448,11199465.989999998360872
20160204,5374606.629999999888241,5801882.179999999701977,11176488.809999998658895
20160205,5140310.450000000186265,5852545.759999999776483,10992856.210000000894070
