訓練日期,20100510 - 20100810
測試日期,20100811 - 20100908
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11132277.310000002384186
真實報酬,1023185.770000001415610


夏普值報酬,-0.027753713900941
夏普值風險,0.013818020609617
夏普值,-2.008515885525954
二次趨勢線,-111.797044988367759 x^2 + 19317.527140498365043 x + 10000000.000000000000000
二次平均預期報酬,9702.981271498738352
風險,204337.376703348709270
二次平均趨勢值,0.047485102471415
一次趨勢線,12148.786799577610509 x + 10000000.000000000000000
一次預期報酬,12148.786799577610509
一次風險,223940.828348729177378
一次趨勢值,0.054249985985847
投資組合檔數,3
Stock#,AAPL[0](8),MRK[17](9),VZ[26](6)
張數,98941,99532,126454,
分配資金,9698080,9698080,9698080,
剩餘資金,10.710000000428408,6.319999999832362,5.560000000055879,
20100510,3589590.190000000409782,3408977.319999999832362,3382650.060000000055879,10381218.570000000298023
20100511,3626198.360000000335276,3335323.639999999664724,3357359.260000000242144,10318882.259999999776483
20100512,3704361.750000000000000,3348262.799999999813735,3392766.379999999888241,10445391.929999999701977
20100513,3651923.020000000018626,3315417.240000000223517,3391501.840000000316650,10358843.099999999627471
20100514,3587611.370000000111759,3272618.479999999981374,3371269.200000000186265,10231500.050000000745058
20100517,3593547.830000000540167,3262665.279999999795109,3388972.760000000242144,10245186.870000001043081
20100518,3566833.760000000242144,3219866.520000000018626,3359888.340000000316650,10146589.620000001043081
20100519,3510437.390000000130385,3246740.159999999683350,3371269.200000000186265,10128447.750000000000000
20100520,3361036.480000000447035,3167114.560000000055879,3281486.859999999869615,9809638.900000000372529
20100521,3425348.130000000353903,3189011.599999999627471,3305513.120000000111759,9919873.850000001490116
20100524,3487680.960000000428408,3171095.839999999850988,3249873.359999999869615,9908651.160000000149012
20100525,3465913.940000000409782,3191002.240000000223517,3239757.040000000037253,9896674.220000000670552
20100526,3450083.380000000353903,3226833.759999999776483,3184117.279999999795109,9861035.419999999925494
20100527,3580685.500000000000000,3346272.159999999683350,3261254.219999999739230,10188212.879999998956919
20100528,3631145.410000000614673,3353239.399999999441206,3253666.979999999981374,10238052.790000000968575
20100601,3686552.370000000111759,3337314.279999999795109,3216995.320000000298023,10240862.970000000670552
20100602,3731075.820000000298023,3419925.839999999850988,3261254.219999999739230,10412256.879999998956919
20100603,3719202.900000000838190,3412958.599999999627471,3267576.919999999925494,10399739.419999999925494
20100604,3618283.080000000540167,3301482.759999999776483,3216995.320000000298023,10136762.160000000149012
20100607,3547045.560000000521541,3315417.240000000223517,3201820.840000000316650,10064284.640000000596046
20100608,3524289.130000000353903,3365183.240000000223517,3272635.080000000074506,10162108.450000001117587
20100609,3437221.050000000745058,3355230.040000000037253,3284015.939999999944121,10076468.030000001192093
