訓練日期,20160309 - 20160609
測試日期,20160610 - 20160629
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11557002.649999998509884
真實報酬,1499779.450000001117587


夏普值報酬,0.011041874303692
夏普值風險,0.010068143723084
夏普值,1.096714012770367
二次趨勢線,-145.519941663650030 x^2 + 30159.143890354334872 x + 10000000.000000000000000
二次平均預期報酬,18517.548557262332906
風險,116487.250440402931417
二次平均趨勢值,0.158966311654306
一次趨勢線,21482.860576068789669 x + 10000000.000000000000000
一次預期報酬,21482.860576068789669
一次風險,155583.771682551625418
一次趨勢值,0.138079057627564
投資組合檔數,2
Stock#,PFE[20](14),XOM[29](7)
張數,170299,60510,
分配資金,23787421,23787421,
剩餘資金,21.360000000335276,58.700000000186265,
20160309,5064713.620000000111759,4986082.700000000186265,10050796.320000000298023
20160310,5039168.770000000484288,4972770.500000000931323,10011939.270000001415610
20160311,5194140.860000000335276,4973375.599999999627471,10167516.460000000894070
20160314,5126021.260000000707805,4986687.799999999813735,10112709.060000000521541
20160315,5030653.820000000298023,5011496.899999999441206,10042150.719999998807907
20160316,4945504.320000000298023,5014522.400000000372529,9960026.720000000670552
20160317,4996594.020000000484288,5088949.700000000186265,10085543.720000000670552
20160318,5015326.910000000149012,5095000.700000000186265,10110327.609999999403954
20160321,5120912.290000000037253,5059904.900000000372529,10180817.190000001341105
20160322,5173704.980000000447035,5090159.900000000372529,10263864.880000000819564
20160323,5141348.170000000856817,5067771.200000000186265,10209119.370000001043081
20160324,5122615.280000000260770,5081688.500000000000000,10204303.780000001192093
20160328,5071525.580000000074506,5096210.900000000372529,10167736.480000000447035
20160329,5117506.310000000521541,5114969.000000000000000,10232475.310000000521541
20160330,5120912.290000000037253,5114363.900000000372529,10235276.190000001341105
20160331,5047683.720000000670552,5058089.600000000558794,10105773.320000000298023
20160401,5115803.320000000298023,5019968.299999999813735,10135771.620000001043081
20160404,5231606.640000000596046,5032070.299999999813735,10263676.940000001341105
20160405,5340598.000000000000000,4974585.799999999813735,10315183.800000000745058
20160406,5607967.430000000633299,5041146.800000000745058,10649114.230000000447035
20160407,5579016.599999999627471,4984267.400000000372529,10563284.000000000000000
20160408,5534738.860000000335276,5035095.799999999813735,10569834.660000000149012
20160411,5430856.470000000670552,5041751.899999999441206,10472608.370000001043081
20160412,5442777.400000000372529,5104077.200000000186265,10546854.600000001490116
20160413,5541550.820000000298023,5133122.000000000000000,10674672.820000000298023
20160414,5560283.709999999962747,5169428.000000000931323,10729711.710000000894070
20160415,5534738.860000000335276,5141593.400000000372529,10676332.260000001639128
20160418,5553471.750000000000000,5190606.500000000000000,10744078.250000000000000
20160419,5601155.470000000670552,5216625.799999999813735,10817781.269999999552965
20160420,5659057.129999999888241,5252326.700000000186265,10911383.830000000074506
20160421,5660760.120000001043081,5251721.600000000558794,10912481.720000002533197
20160422,5665869.090000000782311,5296499.000000000000000,10962368.089999999850988
20160425,5655651.150000000372529,5284397.000000000000000,10940048.150000000372529
20160426,5628403.309999999590218,5302550.000000000000000,10930953.309999998658895
20160427,5619888.360000000335276,5352773.299999999813735,10972661.660000000149012
20160428,5604561.450000000186265,5326754.000000000000000,10931315.449999999254942
20160429,5570501.650000000372529,5349142.700000000186265,10919644.350000001490116
20160502,5585828.559999999590218,5393315.000000000000000,10979143.559999998658895
20160503,5739097.660000001080334,5331594.799999999813735,11070692.460000000894070
20160504,5688007.959999999962747,5321308.099999999627471,11009316.059999998658895
20160505,5716958.790000000037253,5327359.100000000558794,11044317.890000000596046
20160506,5718661.780000000260770,5355798.800000000745058,11074460.580000001937151
20160509,5759533.540000000037253,5359429.399999999441206,11118962.939999999478459
20160510,5756127.559999999590218,5445353.599999999627471,11201481.160000000149012
20160511,5647136.200000000186265,5373951.800000000745058,11021088.000000000000000
20160512,5652245.169999999925494,5425990.400000000372529,11078235.570000000298023
20160513,5652245.169999999925494,5364875.299999999813735,11017120.469999998807907
20160516,5684601.980000000447035,5419939.399999999441206,11104541.379999998956919
20160517,5624997.330000000074506,5417519.000000000000000,11042516.330000000074506
20160518,5648839.190000000409782,5406627.200000000186265,11055466.390000000596046
20160519,5684601.980000000447035,5452614.799999999813735,11137216.780000001192093
20160520,5745909.620000001043081,5430226.099999999627471,11176135.720000000670552
20160523,5733988.690000000409782,5421754.700000000186265,11155743.390000000596046
20160524,5807217.260000000707805,5425990.400000000372529,11233207.660000000149012
20160525,5849792.010000000707805,5461691.300000000745058,11311483.310000002384186
20160526,5863415.930000000633299,5433856.700000000186265,11297272.630000000819564
20160527,5894069.750000000000000,5446563.800000000745058,11340633.550000000745058
20160531,5909396.660000001080334,5386658.900000000372529,11296055.560000002384186
20160601,5917911.610000000335276,5399971.099999999627471,11317882.710000000894070
20160602,5938347.490000000223517,5357009.000000000000000,11295356.490000000223517
20160603,5907693.669999999925494,5347327.400000000372529,11255021.070000000298023
20160606,5948565.430000000633299,5406022.100000000558794,11354587.530000001192093
20160607,5933238.520000000484288,5488920.799999999813735,11422159.320000000298023
20160608,6003061.110000000335276,5493761.600000000558794,11496822.710000000894070
20160609,6013279.050000000745058,5486500.400000000372529,11499779.450000001117587
20160610,6009873.070000000298023,5444748.500000000000000,11454621.570000000298023
20160613,5916208.620000001043081,5481659.600000000558794,11397868.220000002533197
20160614,5958783.370000001043081,5471978.000000000931323,11430761.370000001043081
20160615,5924723.570000000298023,5455640.299999999813735,11380363.870000001043081
20160616,5917911.610000000335276,5519780.900000000372529,11437692.510000001639128
20160617,5827653.140000000596046,5489525.900000000372529,11317179.040000000968575
20160620,5875336.860000000335276,5513729.900000000372529,11389066.760000001639128
20160621,5917911.610000000335276,5538539.000000000000000,11456450.609999999403954
20160622,5870227.890000000596046,5516755.400000000372529,11386983.290000000968575
20160623,5890663.770000000484288,5554876.700000000186265,11445540.470000000670552
20160624,5785078.390000000596046,5409047.600000000558794,11194125.990000002086163
20160627,5756127.559999999590218,5376977.299999999813735,11133104.859999999403954
20160628,5865118.919999999925494,5501022.799999999813735,11366141.719999998807907
20160629,5962189.349999999627471,5594813.299999999813735,11557002.649999998509884
