訓練日期,20120508 - 20120808
測試日期,20120809 - 20120906
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11771850.440000001341105
真實報酬,1563756.000000000000000


夏普值報酬,-0.000657409158962
夏普值風險,0.005694389586070
夏普值,-0.115448574254524
二次趨勢線,-144.677990793062690 x^2 + 30804.226974652763602 x + 10000000.000000000000000
二次平均預期報酬,18361.919766449373128
風險,114983.858252767138765
二次平均趨勢值,0.159691282284898
一次趨勢線,21527.068091343266133 x + 10000000.000000000000000
一次預期報酬,21527.068091343266133
一次風險,165172.194470221758820
一次趨勢值,0.130331065470128
投資組合檔數,3
Stock#,DIS[6](14),PFE[20](12),WMT[28](15)
張數,76068,148478,56315,
分配資金,14455057,14455057,14455057,
剩餘資金,33.239999999757856,1.899999999906868,48.149999999906868,
20120508,3369845.639999999664724,3328878.660000000149012,3325448.899999999906868,10024174.199999999254942
20120509,3424614.600000000093132,3333333.000000000000000,3324322.600000000093132,10082271.199999999254942
20120510,3444392.279999999795109,3389754.639999999664724,3333333.000000000000000,10167480.919999999925494
20120511,3465691.319999999832362,3363028.599999999627471,3346285.450000000186265,10175006.370000001043081
20120514,3436024.799999999813735,3354119.919999999925494,3326575.199999999720603,10116720.919999999925494
20120515,3423853.919999999459833,3311061.299999999813735,3342343.399999999906868,10077259.619999999180436
20120516,3429178.679999999701977,3361543.819999999832362,3333333.000000000000000,10124056.500000000000000
20120517,3372127.679999999701977,3349665.579999999608845,3473557.350000000093132,10195351.609999999403954
20120518,3332572.319999999832362,3351150.359999999869615,3515793.600000000093132,10199517.279999999329448
20120521,3376691.759999999776483,3346696.019999999552965,3550145.750000000000000,10273534.529999999329448
20120522,3376691.759999999776483,3321454.760000000242144,3589003.099999999627471,10287150.619999999180436
20120523,3376691.759999999776483,3321454.760000000242144,3589003.099999999627471,10287150.619999999180436
20120524,3380495.159999999683350,3287304.819999999832362,3664465.199999999720603,10332266.179999999701977
20120525,3385059.239999999757856,3285820.039999999571592,3677980.799999999813735,10348861.079999998211861
20120529,3459605.879999999422580,3293243.939999999944121,3698817.350000000093132,10451668.169999999925494
20120530,3438306.839999999850988,3272457.019999999552965,3685301.750000000000000,10396066.609999999403954
20120531,3477101.520000000018626,3247215.760000000242144,3706701.449999999720603,10431019.730000000447035
20120601,3377452.439999999478459,3213065.819999999832362,3691496.399999999906868,10282015.660000000149012
20120604,3378213.119999999646097,3208611.479999999981374,3716274.999999999534339,10303100.599999999627471
20120605,3410922.359999999869615,3207126.700000000186265,3688680.649999999906868,10306730.710000000894070
20120606,3463409.279999999795109,3253154.879999999888241,3712896.100000000093132,10429461.259999999776483
20120607,3471016.080000000074506,3257609.220000000204891,3709517.200000000186265,10438143.500000000000000
20120608,3517417.560000000055879,3287304.819999999832362,3841857.449999999720603,10646580.830000000074506
20120611,3483947.639999999664724,3281365.700000000186265,3803000.100000000093132,10568314.439999999478459
20120612,3528067.080000000074506,3294728.720000000204891,3813699.949999999720603,10636496.750000000000000
20120613,3516656.879999999422580,3294728.720000000204891,3777095.199999999720603,10588481.799999998882413
20120614,3588921.479999999515712,3349665.579999999608845,3808631.599999999627471,10747219.659999998286366
20120615,3582075.359999999869615,3357089.479999999981374,3815389.399999999906868,10754555.240000000223517
20120618,3582836.040000000037253,3358574.260000000242144,3836225.950000000186265,10777637.250000000000000
20120619,3614023.919999999459833,3371937.280000000260770,3818768.299999999813735,10804730.500000000000000
20120620,3630758.879999999422580,3365998.160000000149012,3858751.949999999720603,10855509.989999998360872
20120621,3605656.439999999478459,3355604.700000000186265,3812573.649999999906868,10773835.789999999105930
20120622,3610981.199999999720603,3374906.839999999850988,3790047.649999999906868,10775936.689999999478459
