訓練日期,20130212 - 20130515
測試日期,20130516 - 20131018
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11438135.449999999254942
真實報酬,1427472.460000000894070


夏普值報酬,-0.049142747344735
夏普值風險,0.029416215993806
夏普值,-1.670600574699432
二次趨勢線,-100.948669142538876 x^2 + 22112.097331160788599 x + 10000000.000000000000000
二次平均預期報酬,4446.080231216486936
風險,213362.960220158507582
二次平均趨勢值,0.020838107170189
一次趨勢線,8900.548726331391663 x + 10000000.000000000000000
一次預期報酬,8900.548726331391663
一次風險,404928.084565357945394
一次趨勢值,0.021980566588472
投資組合檔數,5
Stock#,JNJ[12](14),MCD[15](23),TRV[22](16),V[25](10),VZ[26](30)
張數,26521,21015,25249,51177,45126,
分配資金,17835704,17835704,17835704,17835704,17835704,
剩餘資金,51.390000000130385,2.449999999953434,26.710000000195578,2.840000000083819,15.679999999934807,
20130212,2010343.189999999944121,1998528.949999999720603,2017421.810000000288710,2006141.240000000223517,2005415.119999999878928,10037850.310000000521541
20130213,2006630.250000000000000,1975412.449999999953434,2019694.219999999972060,1980040.969999999972060,2009025.200000000186265,9990803.089999999850988
20130214,2010608.400000000139698,1966165.850000000093132,2028531.370000000344589,1995394.070000000298023,2000451.259999999776483,10001150.949999999254942
20130215,2019890.750000000000000,1973310.950000000186265,2029793.820000000298023,2021494.340000000083819,2003610.079999999841675,10048099.939999999478459
20130219,2041107.550000000046566,1972260.199999999720603,2035096.110000000102445,2016376.639999999897555,2008122.679999999934807,10072963.179999999701977
20130220,2032886.040000000270084,1973521.099999999860302,2022724.100000000093132,1988229.290000000270084,2027075.600000000093132,10044436.130000000819564
20130221,2038720.660000000149012,1978354.550000000046566,2029541.330000000074506,2014329.560000000055879,2036100.799999999813735,10097046.899999998509884
20130222,2022277.640000000130385,2001681.199999999953434,2045448.200000000419095,2039918.060000000055879,2048736.079999999841675,10158061.179999999701977
20130225,2004243.359999999869615,2020384.550000000046566,2001009.960000000195578,1994370.530000000027940,2063176.399999999906868,10083184.800000000745058
20130226,2009017.140000000130385,2022065.750000000000000,2020956.670000000391155,2019447.260000000242144,2081226.799999999813735,10152713.620000001043081
20130227,2024134.109999999869615,2011768.400000000139698,2039640.930000000167638,2045547.530000000027940,2091605.780000000027940,10212696.750000000000000
20130228,2018564.700000000186265,2015340.950000000186265,2030551.290000000270084,2029682.659999999916181,2099728.459999999962747,10193868.060000000521541
20130301,2034212.090000000316650,2010717.650000000139698,2037368.520000000251457,2022517.880000000353903,2108302.399999999441206,10213118.539999999105930
20130304,2047472.590000000316650,1997898.499999999767169,2033076.190000000176951,2040941.600000000325963,2125901.540000000037253,10245290.420000001788139
20130305,2059672.250000000000000,2013449.600000000093132,2056810.250000000000000,2050665.230000000214204,2152074.620000000111759,10332671.949999999254942
20130306,2052511.580000000074506,2034464.600000000093132,2046963.140000000130385,2060900.630000000353903,2133572.959999999962747,10328412.910000000149012
20130307,2062059.140000000130385,2040348.800000000046566,2050245.510000000242144,2053735.850000000325963,2142598.160000000149012,10348987.460000000894070
20130308,2073728.380000000121072,2074393.099999999860302,2061607.560000000288710,2055782.930000000167638,2164258.639999999664724,10429770.609999999403954
20130311,2080358.630000000121072,2078175.800000000046566,2064132.460000000195578,2062435.939999999944121,2157489.740000000223517,10442592.570000000298023
20130312,2083541.150000000139698,2075443.850000000093132,2063879.969999999972060,2044523.990000000223517,2182309.040000000037253,10449698.000000000000000
20130313,2083275.939999999944121,2088473.149999999906868,2073474.590000000316650,2038894.520000000251457,2163356.120000000111759,10447474.320000000298023
20130314,2097862.489999999757856,2087002.100000000093132,2079534.350000000093132,2055782.930000000167638,2187724.160000000149012,10507906.029999999329448
20130315,2100249.379999999888241,2094567.500000000000000,2077514.430000000167638,2028659.120000000111759,2166966.200000000186265,10467956.630000000819564
