訓練日期,20091229 - 20100401
測試日期,20100405 - 20100524
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10098173.910000000149012
真實報酬,1228047.010000001639128


夏普值報酬,-0.118446438006280
夏普值風險,0.041154929509864
夏普值,-2.878061982292816
二次趨勢線,-272.309639148103315 x^2 + 32533.833059404296364 x + 10000000.000000000000000
二次平均預期報酬,4758.249866297755943
風險,201264.128541990474332
二次平均趨勢值,0.023641817847859
一次趨勢線,11804.764814302643572 x + 10000000.000000000000000
一次預期報酬,11804.764814302643572
一次風險,373299.855265974125359
一次趨勢值,0.031622741471174
投資組合檔數,4
Stock#,BA[2](25),PG[21](4),TRV[22](13),UNH[23](16)
張數,45339,40816,50170,79643,
分配資金,10063131,10063131,10063131,10063131,
剩餘資金,7.540000000037253,20.000000000000000,28.899999999906868,6.229999999981374,
20091229,2503173.729999999981374,2513469.279999999795109,2502006.799999999813735,2456992.780000000260770,9975642.589999999850988
20091230,2491838.979999999981374,2504897.919999999925494,2521573.099999999627471,2469735.660000000149012,9988045.660000000149012
20091231,2454207.610000000335276,2474694.080000000074506,2501505.100000000093132,2427524.870000000111759,9857931.660000000149012
20100104,2547152.560000000055879,2494693.919999999925494,2498996.600000000093132,2511150.020000000018626,10051993.099999999627471
20100105,2630576.320000000298023,2495510.240000000223517,2439796.000000000000000,2507167.870000000111759,10073050.429999999701977
20100106,2710372.959999999962747,2483673.600000000093132,2405178.699999999720603,2531857.199999999720603,10131082.459999999031425
20100107,2820093.340000000316650,2470204.320000000298023,2439796.000000000000000,2629021.659999999683350,10359115.320000000298023
20100108,2792889.939999999944121,2466939.040000000037253,2436284.100000000093132,2604332.330000000074506,10300445.410000000149012
20100111,2759792.469999999739230,2457143.200000000186265,2435280.699999999720603,2621853.790000000037253,10274070.160000000149012
20100112,2739843.310000000055879,2485306.240000000223517,2450833.399999999906868,2552564.379999999888241,10228547.330000001937151
20100113,2772940.779999999795109,2511020.320000000298023,2459362.300000000279397,2591589.449999999720603,10334912.849999999627471
20100114,2791076.380000000353903,2513469.279999999795109,2472406.500000000000000,2653710.990000000223517,10430663.150000000372529
20100115,2757525.520000000018626,2482449.120000000111759,2447823.199999999720603,2687957.479999999981374,10375755.320000000298023
20100119,2749817.890000000130385,2519183.520000000018626,2479932.000000000000000,2797864.820000000298023,10546798.230000000447035
20100120,2729415.340000000316650,2467347.200000000186265,2454847.000000000000000,2751671.879999999888241,10403281.420000001788139
20100121,2684076.340000000316650,2442449.439999999944121,2455850.399999999906868,2636189.530000000260770,10218565.710000000894070
20100122,2619241.570000000298023,2461632.959999999962747,2423741.600000000093132,2640968.109999999869615,10145584.240000000223517
20100125,2619694.959999999962747,2474694.080000000074506,2452840.199999999720603,2628225.229999999981374,10175454.470000000670552
20100126,2616521.229999999981374,2477143.040000000037253,2520067.999999999534339,2583625.149999999906868,10197357.419999999925494
20100127,2807851.810000000055879,2482040.959999999962747,2553681.899999999906868,2647339.550000000279397,10490914.220000000670552
20100128,2836415.380000000353903,2517550.879999999888241,2522074.800000000279397,2662471.719999999739230,10538512.780000001192093
20100129,2747550.939999999944121,2512244.799999999813735,2542142.799999999813735,2628225.229999999981374,10430163.769999999552965
20100201,2797423.840000000316650,2530203.839999999850988,2543146.199999999720603,2638578.820000000298023,10509352.699999999254942
20100202,2808305.199999999720603,2567346.399999999906868,2563214.200000000186265,2711850.379999999888241,10650716.179999999701977
20100203,2786542.479999999981374,2557142.399999999906868,2537125.799999999813735,2653710.990000000223517,10534521.669999999925494
20100204,2689517.020000000018626,2506122.399999999906868,2494982.999999999534339,2585218.010000000242144,10275840.429999999701977
20100205,2647805.140000000130385,2502040.799999999813735,2522576.500000000000000,2591589.449999999720603,10264011.889999998733401
20100208,2624682.250000000000000,2490204.160000000149012,2460867.399999999906868,2581235.859999999869615,10156989.669999999925494
20100209,2708559.399999999906868,2520816.160000000149012,2486955.799999999813735,2628225.229999999981374,10344556.589999999850988
20100210,2699491.600000000093132,2517142.720000000204891,2492976.199999999720603,2605128.760000000242144,10314739.279999999329448
20100211,2747097.550000000279397,2528979.359999999869615,2518562.899999999906868,2637782.389999999664724,10432422.199999999254942
20100212,2704478.890000000130385,2520816.160000000149012,2531105.399999999906868,2562917.969999999739230,10319318.420000001788139
20100216,2777474.680000000167638,2564489.279999999795109,2589302.600000000093132,2519114.319999999832362,10450380.880000000819564
20100217,2802864.520000000018626,2565305.600000000093132,2596326.399999999906868,2592385.879999999888241,10556882.399999998509884
20100218,2851377.250000000000000,2587346.240000000223517,2645994.700000000186265,2603535.899999999906868,10688254.089999999850988
20100219,2883114.550000000279397,2589795.200000000186265,2653018.500000000000000,2543803.649999999906868,10669731.900000000372529
20100222,2900343.370000000111759,2588570.720000000204891,2661045.699999999720603,2634596.669999999925494,10784556.459999999031425
20100223,2845936.570000000298023,2579999.359999999869615,2626930.100000000093132,2613093.060000000055879,10665959.089999999850988
20100224,2878127.259999999776483,2607754.240000000223517,2648503.199999999720603,2677603.889999999664724,10811988.589999999850988
20100225,2850470.469999999739230,2599999.200000000186265,2646496.399999999906868,2664064.580000000074506,10761030.650000000372529
20100226,2863618.779999999795109,2582856.479999999981374,2638469.200000000186265,2696718.209999999962747,10781662.669999999925494
20100301,2901703.540000000037253,2592244.160000000149012,2663052.500000000000000,2711053.949999999720603,10868054.150000000372529
20100302,2921652.699999999720603,2600407.359999999869615,2673588.199999999720603,2703886.080000000074506,10899534.339999999850988
20100303,2922106.090000000316650,2593876.799999999813735,2665059.299999999813735,2715832.530000000260770,10896874.720000000670552
20100304,2971978.989999999757856,2598774.720000000204891,2686632.399999999906868,2624243.080000000074506,10881629.189999999478459
20100305,3079885.810000000521541,2599591.040000000037253,2706198.699999999720603,2687161.050000000279397,11072836.600000001490116
20100308,3048601.899999999906868,2579183.040000000037253,2699174.899999999906868,2636189.530000000260770,10963149.370000001043081
20100309,3073538.350000000093132,2583672.799999999813735,2687635.799999999813735,2634596.669999999925494,10979443.620000001043081
20100310,3174190.930000000167638,2571836.160000000149012,2653520.199999999720603,2647339.550000000279397,11046886.839999999850988
20100311,3176911.269999999552965,2578366.720000000204891,2690144.299999999813735,2668046.729999999981374,11113469.019999999552965
20100312,3166029.910000000149012,2584489.120000000111759,2667066.099999999627471,2621057.359999999869615,11038642.489999998360872
20100315,3146534.140000000130385,2599999.200000000186265,2645492.999999999534339,2590793.020000000018626,10982819.359999999403954
20100316,3115703.620000000111759,2593060.479999999981374,2651513.399999999906868,2632207.379999999888241,10992484.879999998956919
20100317,3145627.359999999869615,2612652.160000000149012,2658537.200000000186265,2608314.479999999981374,11025131.199999999254942
20100318,3213182.470000000204891,2601223.679999999701977,2678103.500000000000000,2675214.600000000093132,11167724.250000000000000
20100319,3206381.620000000111759,2605713.439999999944121,2682117.100000000093132,2738929.000000000000000,11233141.160000000149012
20100322,3260335.029999999795109,2607346.080000000074506,2678605.199999999720603,2652118.129999999888241,11198404.439999997615814
20100323,3272576.560000000521541,2633876.479999999981374,2704191.899999999906868,2640968.109999999869615,11251613.050000000745058
20100324,3278924.019999999552965,2596325.759999999776483,2712219.100000000093132,2605925.189999999944121,11193394.069999998435378
20100325,3286631.649999999906868,2596733.919999999925494,2713222.500000000000000,2637782.389999999664724,11234370.460000000894070
20100326,3291165.550000000279397,2599591.040000000037253,2726768.399999999906868,2598757.320000000298023,11216282.310000000521541
20100329,3360080.830000000074506,2601223.679999999701977,2747338.099999999627471,2615482.350000000093132,11324124.959999999031425
20100330,3333784.209999999962747,2598366.560000000055879,2705697.000000000000000,2633003.810000000055879,11270851.580000000074506
20100331,3292072.330000000074506,2582448.320000000298023,2706198.699999999720603,2601943.040000000037253,11182662.390000000596046
