訓練日期,20100921 - 20101221
測試日期,20101222 - 20110201
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11724182.640000000596046
真實報酬,1629942.480000000447035


夏普值報酬,0.145177740294211
夏普值風險,0.036500535620763
夏普值,3.977413970101496
二次趨勢線,-161.790314936617420 x^2 + 30890.538351737155608 x + 10000000.000000000000000
二次平均預期報酬,15682.248747695117345
風險,110659.414426629300578
二次平均趨勢值,0.141716353994381
一次趨勢線,19545.316962625583983 x + 10000000.000000000000000
一次預期報酬,19545.316962625583983
一次風險,193341.550400803185767
一次趨勢值,0.101092170421244
投資組合檔數,3
Stock#,KO[14](25),NKE[19](28),XOM[29](2)
張數,114982,170154,54156,
分配資金,10724901,10724901,10724901,
剩餘資金,4.820000000298023,16.140000000130385,31.200000000186265,
20100921,3341381.740000000223517,3304406.820000000298023,3332791.439999999944121,9978581.000000000000000
20100922,3348280.660000000614673,3289092.959999999962747,3327917.400000000372529,9965292.020000001415610
20100923,3327583.900000000372529,3304406.820000000298023,3311670.600000000093132,9943662.320000000298023
20100924,3370127.240000000223517,3384379.200000000186265,3344164.200000000186265,10098671.640000000596046
20100927,3368977.420000000391155,3365662.260000000242144,3341997.960000000428408,10076638.640000000596046
20100928,3397722.920000000391155,3430320.780000000260770,3360952.560000000521541,10188997.260000001639128
20100929,3378175.979999999981374,3399693.060000000055879,3335499.240000000223517,10113369.280000001192093
20100930,3364378.140000000596046,3409902.299999999813735,3346330.439999999944121,10120611.880000000819564
20101001,3398872.740000000223517,3413305.379999999888241,3386947.439999999944121,10199126.560000000521541
20101004,3385074.900000000372529,3397991.520000000018626,3367992.839999999850988,10151060.259999999776483
20101005,3429917.879999999888241,3459246.959999999962747,3425939.760000000242144,10315105.599999999627471
20101006,3435666.979999999981374,3450739.260000000242144,3450851.520000000018626,10337258.759999999776483
20101007,3417269.860000000335276,3445634.640000000130385,3457891.800000000279397,10320797.300000000745058
20101008,3416120.040000000502914,3489874.680000000167638,3486594.479999999981374,10392590.200000001117587
20101011,3424168.780000000260770,3488173.140000000130385,3495801.000000000000000,10408143.919999999925494
20101012,3426468.420000000391155,3483068.520000000018626,3503924.400000000372529,10413462.339999999850988
20101013,3446015.360000000335276,3489874.680000000167638,3522337.440000000409782,10458228.480000000447035
20101014,3444865.540000000502914,3477963.900000000372529,3536418.000000000000000,10459248.440000001341105
20101015,3446015.360000000335276,3488173.140000000130385,3530460.839999999850988,10464650.339999999850988
20101018,3449464.820000000298023,3474560.820000000298023,3589490.880000000353903,10513517.520000001415610
20101019,3469011.760000000707805,3433723.859999999869615,3526669.920000000391155,10429406.540000000968575
20101020,3516154.379999999888241,3455843.879999999888241,3574868.760000000242144,10546868.019999999552965
20101021,3534551.500000000000000,3493277.760000000242144,3591657.119999999646097,10619487.379999998956919
20101022,3542600.240000000223517,3484770.060000000055879,3592740.240000000223517,10620111.540000000968575
20101025,3508105.640000000596046,3489874.680000000167638,3585158.400000000372529,10583139.720000000670552
20101026,3520753.660000000614673,3479665.439999999944121,3603029.880000000353903,10603449.980000000447035
20101027,3518454.020000000484288,3447336.180000000167638,3556455.720000000204891,10522246.920000001788139
20101028,3519603.840000000316650,3450739.260000000242144,3586241.520000000018626,10556585.620000001043081
20101029,3525352.940000000409782,3464351.580000000074506,3600863.640000000130385,10590569.160000000149012
20101101,3548349.340000000316650,3449037.720000000204891,3625775.400000000372529,10623163.460000000894070
20101102,3556398.080000000074506,3477963.900000000372529,3673974.240000000223517,10708337.220000000670552
20101103,3562147.180000000167638,3481366.980000000447035,3681014.520000000018626,10724529.679999999701977
20101104,3590892.680000000167638,3547727.040000000502914,3757374.479999999981374,10895995.200000001117587
20101105,3597791.600000000093132,3578354.760000000242144,3790951.200000000186265,10967098.560000000521541
20101108,3590892.680000000167638,3556234.739999999757856,3808281.119999999646097,10955409.539999999105930
20101109,3601241.060000000521541,3539219.340000000316650,3825069.479999999981374,10965530.880000000819564
20101110,3596641.780000000260770,3568145.520000000018626,3852147.479999999981374,11016935.780000001192093
20101111,3610439.620000000111759,3559637.820000000298023,3890056.680000000167638,11060135.120000001043081
20101112,3617338.540000000502914,3515397.780000000260770,3844565.640000000130385,10977302.960000000894070
20101115,3619638.180000000167638,3479665.439999999944121,3816946.080000000540167,10916250.700000001117587
20101116,3569046.100000000093132,3425216.160000000149012,3733545.839999999850988,10727809.099999999627471
20101117,3594342.140000000596046,3462650.040000000502914,3737336.760000000242144,10794329.940000001341105
20101118,3670230.260000000707805,3508591.620000000111759,3807739.560000000521541,10986562.440000001341105
20101119,3697825.939999999944121,3649819.439999999944121,3820195.440000000409782,11167841.820000000298023
20101122,3695526.300000000279397,3654924.060000000055879,3801240.839999999850988,11151692.199999999254942
20101123,3657582.240000000223517,3627699.420000000391155,3735712.080000000540167,11020994.740000000223517
20101124,3715073.240000000689179,3680447.160000000149012,3784452.479999999981374,11179973.880000000819564
20101126,3686327.740000000689179,3656625.600000000093132,3749251.080000000540167,11092205.420000001788139
20101129,3644934.220000000204891,3622594.799999999813735,3761165.400000000372529,11028695.419999999925494
20101130,3632286.200000000186265,3663431.760000000242144,3767122.560000000521541,11062841.520000001415610
20101201,3719672.520000000484288,3728090.280000000260770,3862978.680000000167638,11310742.480000000447035
20101202,3731170.720000000670552,3736597.980000000447035,3871102.080000000540167,11338871.780000001192093
20101203,3708174.320000000298023,3722985.660000000149012,3855396.839999999850988,11286557.820000000298023
20101206,3679428.820000000298023,3731493.359999999869615,3861895.560000000521541,11272818.740000000223517
20101207,3687477.560000000521541,3709373.340000000316650,3870018.959999999962747,11266870.859999999403954
20101208,3702425.220000000670552,3714477.959999999962747,3891139.799999999813735,11308043.980000000447035
20101209,3727721.260000000707805,3721284.120000000111759,3899263.200000000186265,11348269.580000001937151
20101210,3717372.879999999888241,3734896.439999999944121,3909011.280000000726432,11361281.600000001490116
20101213,3727721.260000000707805,3796151.879999999888241,3918759.360000000335276,11442633.500000000000000
20101214,3673679.720000000204891,3797853.420000000391155,3909011.280000000726432,11380545.420000001788139
20101215,3721972.160000000149012,3768927.239999999757856,3891139.799999999813735,11382040.199999999254942
20101216,3756466.760000000707805,3796151.879999999888241,3911177.520000000018626,11463797.160000000149012
20101217,3777163.520000000484288,3830182.680000000167638,3908469.720000000204891,11515816.920000001788139
20101220,3755316.939999999944121,3840391.920000000391155,3911177.520000000018626,11506887.380000000819564
20101221,3764515.500000000465661,3927170.459999999962747,3938255.520000000018626,11629942.480000000447035
20101222,3771414.419999999925494,3699164.100000000093132,3942588.000000000000000,11413167.519999999552965
20101223,3770264.600000000093132,3660028.680000000167638,3964250.400000000372529,11394544.679999999701977
20101227,3740369.280000000260770,3651520.980000000447035,3953960.760000000242144,11345852.020000001415610
20101228,3757616.580000000074506,3671939.459999999962747,3976164.720000000204891,11405721.759999999776483
20101229,3763365.680000000167638,3627699.420000000391155,3973456.920000000391155,11364523.020000001415610
20101230,3765665.320000000298023,3648117.900000000372529,3972915.360000000335276,11386699.580000001937151
20101231,3781762.800000000279397,3634505.580000000074506,3959917.920000000391155,11376187.300000000745058
20110103,3749567.840000000316650,3661730.220000000204891,4037361.000000000000000,11448660.060000000521541
20110104,3672529.900000000372529,3571548.600000000093132,4056315.600000000558794,11300395.100000001490116
20110105,3650683.320000000298023,3595370.160000000149012,4045484.400000000372529,11291538.880000000819564
20110106,3624237.460000000428408,3563040.900000000372529,4071479.280000000726432,11258758.640000002458692
20110107,3617338.540000000502914,3552831.660000000149012,4093683.240000000223517,11263854.440000001341105
20110110,3625387.280000000260770,3580056.299999999813735,4068771.479999999981374,11274216.060000000521541
20110111,3604690.520000000484288,3574951.680000000167638,4099098.839999999850988,11278742.040000000968575
20110112,3624237.460000000428408,3561339.359999999869615,4147297.680000000167638,11332875.500000000000000
20110113,3644934.220000000204891,3511994.700000000186265,4154337.959999999962747,11311267.879999998956919
20110114,3629986.560000000521541,3576653.220000000204891,4215534.240000000223517,11422175.020000001415610
20110118,3649533.500000000000000,3576653.220000000204891,4262649.959999999962747,11488837.679999999701977
20110119,3646084.040000000502914,3559637.820000000298023,4237196.639999999664724,11442919.500000000000000
20110120,3618488.360000000335276,3534114.720000000204891,4210660.200000000186265,11363264.280000001192093
20110121,3609289.800000000279397,3501785.459999999962747,4277272.080000000074506,11388348.339999999850988
20110124,3636885.479999999981374,3517099.320000000298023,4256151.240000000223517,11410137.040000000968575
20110125,3619638.180000000167638,3525607.020000000018626,4261025.280000000260770,11406271.480000000447035
20110126,3619638.180000000167638,3573250.140000000130385,4314098.160000000149012,11506987.480000000447035
20110127,3604690.520000000484288,3520502.400000000372529,4326012.479999999515712,11451206.400000000372529
20110128,3577094.840000000316650,3464351.580000000074506,4277813.639999999664724,11319261.059999998658895
20110131,3613889.080000000074506,3508591.620000000111759,4369337.280000000260770,11491818.980000000447035
20110201,3625387.280000000260770,3554533.200000000186265,4544261.160000000149012,11724182.640000000596046
