訓練日期,20190425 - 20190726
測試日期,20190729 - 20191216
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11101300.470000000670552
真實報酬,1099687.190000001341105


夏普值報酬,-0.072996119172538
夏普值風險,0.026884572483375
夏普值,-2.715167563764629
二次趨勢線,-61.938354761174409 x^2 + 13028.612228933907318 x + 10000000.000000000000000
二次平均預期報酬,2808.783693340129048
風險,267282.889791420428082
二次平均趨勢值,0.010508655064049
一次趨勢線,5387.038308702713948 x + 10000000.000000000000000
一次預期報酬,5387.038308702713948
一次風險,326587.678996271104552
一次趨勢值,0.016494922053579
投資組合檔數,5
Stock#,KO[14](22),MCD[15](26),PFE[20](25),UNH[23](3),V[25](18)
張數,41684,10119,50800,8682,12384,
分配資金,30811517,30811517,30811517,30811517,30811517,
剩餘資金,1.680000000167638,182.030000000027940,4.000000000232831,101.300000000046566,107.839999999850988,
20190425,1994164.240000000223517,2003035.700000000186265,2012192.000000000232831,2003820.080000000074506,1994179.520000000018626,10007391.540000000968575
20190426,2011671.520000000018626,1997875.010000000009313,2030480.000000000232831,2057735.300000000046566,2017832.959999999962747,10115594.789999999105930
20190429,2018340.960000000195578,1994839.310000000055879,2011176.000000000465661,2061642.199999999953434,2032941.439999999944121,10118939.910000002011657
20190430,2045018.720000000204891,1999392.859999999869615,2062992.000000000232831,2023615.040000000037253,2036408.959999999962747,10167427.580000000074506
20190501,2025427.240000000223517,1964988.260000000009313,2071120.000000000465661,2013891.199999999953434,2016099.199999999720603,10091525.900000000372529
20190502,2017090.440000000176951,1969440.620000000111759,2083312.000000000232831,2018232.199999999953434,1995417.919999999925494,10083493.179999999701977
20190503,2030846.160000000149012,1998886.910000000149012,2102616.000000000000000,2013891.199999999953434,2006811.199999999720603,10153051.470000000670552
20190506,2020425.160000000149012,2012851.130000000121072,2115824.000000000000000,2088122.300000000046566,2009783.359999999869615,10247005.949999999254942
20190507,2000833.680000000167638,2004148.790000000037253,2074168.000000000232831,2066851.400000000139698,1984148.479999999981374,10130150.350000001490116
20190508,1994581.080000000307336,2004047.600000000093132,2080264.000000000465661,2076401.600000000093132,1990959.679999999701977,10146253.960000000894070
20190509,1975823.280000000027940,2001011.899999999906868,2064516.000000000232831,2066156.840000000083819,1979194.879999999888241,10086702.899999998509884
20190510,2008753.640000000130385,2023880.840000000083819,2068580.000000000232831,2088903.680000000167638,1990340.479999999981374,10180458.640000000596046
20190513,2002917.880000000121072,2014166.600000000093132,2060960.000000000232831,2079874.400000000139698,1948482.560000000055879,10106401.440000001341105
20190514,2029595.640000000130385,2003845.219999999972060,2065532.000000000000000,2052786.560000000055879,1984148.479999999981374,10135907.900000000372529
20190515,2050020.800000000046566,2014571.359999999869615,2090424.000000000232831,2049747.860000000102445,2016099.199999999720603,10220863.220000000670552
20190516,2066694.400000000139698,2023880.840000000083819,2115316.000000000000000,2055912.080000000074506,2041857.919999999925494,10303661.240000000223517
20190517,2050854.480000000214204,2016089.209999999962747,2106680.000000000000000,2095762.459999999962747,2032198.399999999906868,10301584.550000000745058
20190520,2036265.080000000307336,2013761.840000000083819,2112776.000000000000000,2135786.480000000447035,2024520.319999999832362,10323109.720000000670552
20190521,2025844.080000000307336,2022362.989999999990687,2116840.000000000000000,2170080.379999999888241,2029350.080000000074506,10364477.530000001192093
20190522,2069612.280000000027940,2023577.270000000018626,2133096.000000000000000,2164871.179999999701977,2034056.000000000000000,10425212.730000000447035
20190523,2077949.080000000307336,2013559.459999999962747,2129540.000000000000000,2140214.299999999813735,2000247.679999999701977,10361510.519999999552965
20190524,2067944.920000000158325,2001416.660000000149012,2131064.000000000000000,2150024.959999999962747,2014241.599999999627471,10364692.140000000596046
20190528,2046686.080000000307336,1990285.760000000009313,2128524.000000000000000,2101666.219999999739230,2027492.479999999981374,10294654.539999999105930
20190529,2026260.920000000158325,1983708.410000000149012,2119380.000000000000000,2104618.100000000558794,2015356.159999999683350,10249323.589999999850988
20190530,2052938.680000000167638,2016291.590000000083819,2128524.000000000000000,2114168.299999999813735,2015727.679999999701977,10327650.250000000000000
20190531,2047936.600000000325963,2006476.160000000149012,2109220.000000000000000,2099408.900000000372529,1998018.560000000055879,10261060.220000000670552
20190603,2083368.000000000000000,2011636.850000000093132,2129540.000000000000000,2053915.219999999972060,1964210.239999999757856,10242670.309999998658895
20190604,2084201.680000000167638,2020238.000000000000000,2145288.000000000000000,2090379.619999999878928,2010402.560000000055879,10350509.859999999403954
20190605,2116715.200000000186265,2025297.500000000000000,2157988.000000000000000,2107830.440000000409782,2048297.599999999627471,10456128.740000000223517
20190606,2142559.280000000260770,2054844.980000000214204,2169672.000000000000000,2099582.540000000037253,2067245.119999999646097,10533903.919999999925494
20190607,2146310.840000000316650,2079434.149999999906868,2180340.000000000000000,2142558.440000000409782,2106007.040000000037253,10654650.469999998807907
20190610,2141725.600000000093132,2037136.730000000214204,2187960.000000000000000,2154452.780000000260770,2115542.719999999739230,10636817.829999998211861
20190611,2139641.399999999906868,2056969.969999999972060,2167640.000000000000000,2134744.639999999664724,2109226.879999999888241,10608222.890000000596046
20190612,2152563.440000000409782,2073868.700000000186265,2188468.000000000000000,2122850.299999999813735,2125078.399999999906868,10662828.840000001713634
20190613,2131304.600000000093132,2069416.340000000083819,2159004.000000000000000,2126844.020000000484288,2097338.239999999757856,10583907.200000001117587
20190614,2138807.720000000204891,2077511.540000000037253,2172212.000000000000000,2130403.639999999664724,2101177.279999999795109,10620112.179999997839332
20190617,2120466.760000000242144,2062535.420000000158325,2178308.000000000000000,2135612.839999999850988,2099938.879999999888241,10596861.899999998509884
20190618,2110879.440000000409782,2069618.719999999972060,2187960.000000000000000,2133268.700000000186265,2096471.359999999869615,10598198.219999998807907
20190619,2130887.760000000242144,2070023.480000000214204,2209804.000000000000000,2172250.879999999888241,2113932.799999999813735,10696898.920000001788139
20190620,2153397.120000000111759,2075791.310000000055879,2214884.000000000000000,2151153.620000000111759,2151704.000000000000000,10746930.050000000745058
