訓練日期,20131028 - 20140130
測試日期,20140131 - 20140616
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12258928.990000002086163
真實報酬,1058793.619999999180436


夏普值報酬,0.086309503742238
夏普值風險,0.039344420694767
夏普值,2.193691054999231
二次趨勢線,-27.379401099721903 x^2 + 18490.608215785789071 x + 10000000.000000000000000
二次平均預期報酬,14109.904039830282272
風險,133955.814932742970996
二次平均趨勢值,0.105332523615452
一次趨勢線,15215.379545047917418 x + 10000000.000000000000000
一次預期報酬,15215.379545047917418
一次風險,155007.458070872147800
一次趨勢值,0.098159015923551
投資組合檔數,3
Stock#,CAT[3](5),MRK[17](20),XOM[29](12)
張數,39322,71622,37891,
分配資金,13658619,13658619,13658619,
剩餘資金,7.060000000055879,45.120000000111759,61.729999999981374,
20131028,3314065.220000000204891,3248102.820000000298023,3343184.660000000149012,9905353.700000001117587
20131029,3305807.599999999627471,3264575.879999999888241,3369708.360000000335276,9940092.839999999850988
20131030,3283000.839999999850988,3240224.400000000372529,3365161.439999999944121,9888387.679999999701977
20131031,3277888.979999999981374,3229481.100000000558794,3395853.150000000372529,9903224.230000000447035
20131101,3286933.040000000037253,3239508.179999999701977,3403431.349999999627471,9929873.570000000298023
20131104,3298729.640000000130385,3274602.959999999962747,3489822.829999999608845,10063156.429999999701977
20131105,3305021.160000000149012,3248819.040000000037253,3485654.819999999832362,10039496.019999999552965
20131106,3311705.899999999906868,3291792.240000000223517,3532260.750000000000000,10135759.890000000596046
20131107,3289292.360000000335276,3281765.160000000149012,3484518.089999999850988,10055576.609999999403954
20131108,3312492.339999999850988,3351954.719999999739230,3513694.160000000149012,10178142.219999998807907
20131111,3308953.360000000335276,3366279.120000000111759,3522409.089999999850988,10197642.570000000298023
20131112,3297156.759999999776483,3408536.100000000558794,3511420.700000000186265,10217114.560000000521541
20131113,3310919.459999999962747,3390630.600000000558794,3508389.419999999925494,10209940.480000000447035
20131114,3293617.780000000260770,3425009.160000000149012,3532260.750000000000000,10250888.690000001341105
20131115,3292831.339999999850988,3442914.660000000149012,3609937.299999999813735,10345684.300000000745058
20131118,3304627.940000000409782,3438617.339999999850988,3616757.680000000167638,10360003.960000000894070
20131119,3290078.800000000279397,3442914.660000000149012,3615620.950000000186265,10348615.410000000149012
20131120,3251150.020000000484288,3447211.980000000447035,3587581.610000000335276,10285944.610000001266599
20131121,3229129.700000000186265,3482306.759999999776483,3587960.520000000018626,10299397.980000000447035
20131122,3259014.419999999925494,3505225.799999999813735,3600085.640000000130385,10364326.859999999403954
20131125,3318783.860000000335276,3556793.639999999664724,3603116.919999999925494,10478695.419999999925494
20131126,3317210.979999999981374,3551063.879999999888241,3572046.299999999813735,10440322.160000000149012
20131127,3329400.800000000279397,3568969.379999999888241,3554237.529999999795109,10452608.709999999031425
20131129,3326648.259999999776483,3568969.379999999888241,3542112.410000000149012,10437731.050000000745058
