訓練日期,20190510 - 20190812
測試日期,20190813 - 20190924
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11345524.010000001639128
真實報酬,1112433.169999999925494


夏普值報酬,0.012986009833373
夏普值風險,0.028258180316884
夏普值,0.459548693077530
二次趨勢線,-108.237656908427638 x^2 + 24910.538253654853179 x + 10000000.000000000000000
二次平均預期報酬,14519.723190445800356
風險,112549.281056643187185
二次平均趨勢值,0.129007693822037
一次趨勢線,17158.228586077435466 x + 10000000.000000000000000
一次預期報酬,17158.228586077435466
一次風險,157827.685942374897422
一次趨勢值,0.108714947467089
投資組合檔數,3
Stock#,KO[14](22),MCD[15](29),PG[21](6)
張數,70323,16858,31977,
分配資金,31194026,31194026,31194026,
剩餘資金,22.800000000279397,0.660000000149012,50.520000000018626,
20190510,3388888.169999999925494,3371432.080000000074506,3389932.290000000037253,10150253.539999999105930
20190513,3379042.950000000186265,3355248.400000000372529,3393129.990000000223517,10127422.339999999850988
20190514,3424049.669999999925494,3338053.240000000223517,3376821.719999999739230,10138925.629999998956919
20190515,3458507.940000000409782,3355922.720000000204891,3411996.419999999925494,10226428.080000000074506
20190516,3486637.140000000130385,3371432.080000000074506,3457083.990000000223517,10315154.210000000894070
20190517,3459914.400000000372529,3358451.419999999925494,3435979.169999999925494,10254345.990000000223517
20190520,3435301.350000000558794,3354574.080000000074506,3432141.930000000167638,10222018.360000001266599
20190521,3417720.600000000558794,3368903.380000000353903,3401444.010000000242144,10188068.990000000223517
20190522,3491559.750000000000000,3370926.340000000316650,3412635.959999999962747,10275123.050000000745058
20190523,3505624.350000000558794,3354236.919999999925494,3413915.040000000037253,10273777.310000000521541
20190524,3488746.830000000074506,3334007.320000000298023,3411676.649999999906868,10234431.800000000745058
20190528,3452882.100000000558794,3315463.520000000018626,3340367.939999999944121,10108714.560000000521541
20190529,3418423.830000000074506,3304505.820000000298023,3331734.149999999906868,10054664.800000000745058
20190530,3463430.550000000279397,3358788.580000000074506,3368187.930000000167638,10190408.060000000521541
20190531,3454991.790000000502914,3342436.320000000298023,3290803.589999999850988,10088232.700000001117587
20190603,3514766.339999999850988,3351033.900000000372529,3319263.120000000111759,10185064.359999999403954
20190604,3516172.800000000279397,3365363.200000000186265,3347402.880000000353903,10228939.880000000819564
20190605,3571024.740000000223517,3373792.200000000186265,3412955.729999999981374,10357773.669999999925494
20190606,3614625.000000000000000,3423017.560000000521541,3433740.779999999795109,10471384.339999999850988
20190607,3620954.070000000298023,3463982.500000000000000,3478188.810000000055879,10563126.380000000819564
20190610,3613218.540000000502914,3393516.060000000521541,3476589.959999999962747,10483325.560000002384186
20190611,3609702.390000000130385,3426557.740000000223517,3497694.779999999795109,10533955.910000000149012
20190612,3631502.520000000484288,3454710.600000000093132,3507287.880000000353903,10593502.000000001862645
20190613,3595637.790000000502914,3447293.080000000074506,3546619.589999999850988,10589551.460000000894070
20190614,3608295.930000000633299,3460779.479999999981374,3555892.919999999925494,10624969.330000000074506
20190617,3577353.810000000055879,3435829.640000000130385,3549177.750000000000000,10562362.199999999254942
20190618,3561179.520000000484288,3447630.240000000223517,3504729.719999999739230,10513540.480000000447035
20190619,3594934.560000000055879,3448304.560000000521541,3530950.859999999869615,10574190.980000000447035
20190620,3632908.979999999981374,3457913.620000000111759,3573160.500000000000000,10663984.099999999627471
20190621,3625173.450000000186265,3443415.740000000223517,3555892.919999999925494,10624483.109999999403954
20190624,3651192.960000000428408,3437684.020000000018626,3592026.930000000167638,10680904.910000000149012
20190625,3639941.280000000260770,3467859.840000000316650,3572520.959999999962747,10680323.080000001937151
20190626,3594934.560000000055879,3448304.560000000521541,3508886.729999999981374,10552126.850000001490116
20190627,3592121.640000000130385,3477300.320000000298023,3510485.580000000074506,10579908.540000000968575
20190628,3580869.960000000428408,3500732.939999999944121,3506328.570000000298023,10587932.470000000670552
20190701,3628689.600000000558794,3477806.060000000521541,3533189.250000000000000,10639685.910000000149012
20190702,3655412.339999999850988,3533100.300000000279397,3564846.479999999981374,10753360.120000001043081
20190703,3663851.100000000558794,3587551.640000000130385,3647986.680000000167638,10899390.419999999925494
20190705,3664554.330000000074506,3561084.580000000074506,3618248.070000000298023,10843887.980000000447035
20190708,3656818.800000000279397,3576593.939999999944121,3647027.370000000111759,10880441.109999999403954
20190709,3627986.370000000577420,3575413.880000000353903,3610573.589999999850988,10813974.839999999850988
20190710,3644160.660000000149012,3590754.660000000149012,3637434.270000000018626,10872350.589999999850988
20190711,3659631.720000000204891,3585528.680000000167638,3657579.779999999795109,10902741.179999999701977
20190712,3665257.560000000055879,3590586.080000000074506,3677085.750000000000000,10932930.390000000596046
20190715,3665960.790000000502914,3611152.840000000316650,3692754.479999999981374,10969869.110000001266599
20190716,3666664.020000000484288,3602892.419999999925494,3705865.049999999813735,10975422.490000000223517
20190717,3669476.940000000409782,3602723.840000000316650,3707463.899999999906868,10979665.680000001564622
20190718,3658928.490000000223517,3639811.439999999944121,3691475.399999999906868,10990216.330000000074506
20190719,3613921.770000000484288,3605421.120000000111759,3677725.290000000037253,10897069.179999999701977
20190722,3601966.860000000335276,3624470.660000000149012,3686998.620000000111759,10913437.140000000596046
20190723,3820671.390000000130385,3612838.640000000130385,3640631.969999999739230,11074143.000000000000000
20190724,3781993.740000000223517,3587045.900000000372529,3600660.719999999739230,10969701.359999999403954
20190725,3732064.410000000149012,3615030.180000000167638,3606096.810000000055879,10953192.400000000372529
20190726,3809419.710000000428408,3634248.300000000279397,3668771.729999999981374,11112440.740000000223517
20190729,3796761.570000000298023,3624133.500000000000000,3709382.520000000018626,11130278.589999999850988
20190730,3777774.360000000335276,3579628.380000000353903,3850401.089999999850988,11207804.830000000074506
20190731,3701122.290000000502914,3552318.419999999925494,3774615.600000000093132,11028057.310000000521541
