訓練日期,20110826 - 20111128
測試日期,20111129 - 20111229
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12042339.820000000298023
真實報酬,14659981.500000000000000


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-264.151595259302894 x^2 + 45786.379001371169579 x + 10000000.000000000000000
二次平均預期報酬,22541.038618552513071
風險,274568.299681303615216
二次平均趨勢值,0.082096289501433
一次趨勢線,28451.996601612165250 x + 10000000.000000000000000
一次預期報酬,28451.996601612165250
一次風險,356082.015171557781287
一次趨勢值,0.079902930755725
投資組合檔數,3
Stock#,CSCO[4](9),INTC[11](14),WMT[28](21)
張數,221043,171644,63251,
分配資金,3333333,3333333,3333333,
剩餘資金,4.560000000055879,6.519999999552965,5.299999999813735,
20110826,3386383.320000000298023,3393408.399999999441206,3345983.199999999720603,10125775.919999999925494
20110829,3479221.379999999888241,3484379.719999999739230,3364325.989999999757856,10327928.089999999850988
20110830,3454906.650000000372529,3474081.079999999143183,3340923.119999999646097,10269911.849999999627471
20110831,3463748.370000000111759,3455200.239999999292195,3364325.989999999757856,10283275.599999999627471
20110901,3496904.820000000298023,3431170.079999999143183,3330170.449999999720603,10258246.349999999627471
20110902,3406277.189999999944121,3371094.679999999701977,3290954.830000000074506,10068327.699999999254942
20110906,3377541.600000000093132,3353930.279999999329448,3268816.979999999981374,10000289.859999999403954
20110907,3510167.400000000372529,3446618.039999999105930,3315622.719999999739230,10272409.160000000149012
20110908,3600795.029999999795109,3415722.119999999180436,3302340.009999999776483,10318858.159999998286366
20110909,3496904.820000000298023,3381393.319999999366701,3248576.659999999683350,10126875.799999998882413
20110912,3556586.430000000167638,3480946.839999999850988,3277672.119999999646097,10315206.389999998733401
20110913,3614057.610000000335276,3563335.959999999962747,3263124.390000000130385,10440518.960000000894070
20110914,3609636.749999999534339,3625127.799999999813735,3301707.500000000000000,10536473.049999998882413
20110915,3684791.370000000577420,3697218.279999999329448,3321315.309999999590218,10703325.960000000894070
20110916,3673739.220000000204891,3771025.199999999254942,3330170.449999999720603,10774935.869999999180436
20110919,3649424.490000000223517,3764159.439999999478459,3317520.250000000000000,10731105.179999999701977
20110920,3653845.350000000093132,3810503.319999999366701,3307400.089999999850988,10771749.759999999776483
20110921,3501325.680000000167638,3765875.879999999888241,3246046.619999999646097,10513249.179999999701977
20110922,3388593.750000000000000,3710949.799999999813735,3180265.580000000074506,10279810.129999998956919
20110923,3450485.790000000037253,3803637.559999999590218,3213156.099999999627471,10467280.449999999254942
20110926,3534482.129999999888241,3817369.079999999143183,3278304.629999999888241,10630156.839999999850988
20110927,3552165.570000000298023,3868862.279999999329448,3290954.830000000074506,10711983.679999999701977
20110928,3501325.680000000167638,3829384.159999999217689,3245414.109999999869615,10576124.949999999254942
20110929,3503536.109999999869615,3812219.759999999776483,3284629.729999999981374,10600386.599999999627471
20110930,3426171.060000000055879,3662889.479999999515712,3282732.199999999720603,10371793.739999998360872
20111003,3357647.729999999981374,3539305.799999999813735,3286527.259999999776483,10183481.789999999105930
20111004,3443854.500000000000000,3642292.199999999254942,3344718.180000000167638,10430865.879999998956919
20111005,3572059.439999999944121,3750427.919999999925494,3330170.449999999720603,10652658.809999998658895
20111006,3702474.810000000055879,3781323.839999999850988,3336495.549999999813735,10820295.199999999254942
20111007,3682580.939999999944121,3825951.279999999329448,3396584.000000000000000,10905117.219999998807907
20111010,3777629.430000000167638,3927221.239999999292195,3466792.609999999869615,11171644.279999999329448
20111011,3755525.129999999888241,3946102.079999999143183,3461100.019999999552965,11162728.229999998584390
20111012,3812996.310000000055879,3968415.799999999813735,3491460.500000000000000,11272873.609999999403954
20111013,3850573.620000000577420,4014759.679999999701977,3480075.319999999832362,11345409.620000001043081
20111014,3879309.210000000428408,4033640.519999999552965,3507905.759999999776483,11420856.490000000223517
20111017,3795312.870000000577420,3995878.839999999850988,3464895.080000000074506,11256087.790000000968575
20111018,3870467.490000000223517,4016476.119999999180436,3535103.689999999944121,11422048.299999998882413
20111019,3793102.439999999944121,4160657.079999999143183,3557874.049999999813735,11511634.570000000298023
20111020,3799733.730000000447035,4052521.359999999403954,3565464.169999999459833,11417720.259999999776483
20111021,3841731.899999999906868,4124611.839999999850988,3600252.219999999739230,11566596.960000000894070
20111024,3877098.779999999795109,4220732.479999999515712,3591397.080000000074506,11689229.339999999850988
20111025,3894782.220000000204891,4227598.239999999292195,3586969.509999999776483,11709350.969999998807907
20111026,3892571.790000000037253,4239613.319999999366701,3628715.169999999459833,11760901.279999999329448
20111027,4076037.480000000447035,4313420.239999999292195,3656545.609999999869615,12046004.329999998211861
20111028,4102562.639999999664724,4287673.639999999664724,3614799.949999999720603,12005037.229999998584390
20111031,4095931.350000000093132,4212150.279999999329448,3587602.019999999552965,11895684.649999998509884
20111101,3888150.930000000167638,4102298.119999999180436,3556609.029999999795109,11547059.079999998211861
20111102,3945622.110000000335276,4093715.919999999925494,3596457.159999999683350,11635796.189999999478459
20111103,4018566.299999999813735,4153791.319999999366701,3631877.719999999739230,11804236.339999999850988
20111104,3985409.850000000093132,4074835.079999999143183,3636937.799999999813735,11697183.730000000447035
20111107,3980988.990000000223517,4167522.839999999850988,3664768.239999999757856,11813281.070000000298023
20111108,4047301.889999999664724,4248195.519999999552965,3752054.619999999646097,12047553.029999999329448
20111109,3892571.790000000037253,4091999.479999999515712,3671725.849999999627471,11656298.119999999180436
20111110,4113614.790000000037253,4129761.159999999217689,3676785.930000000167638,11920162.879999998956919
20111111,4204242.419999999925494,4265359.919999999925494,3744464.500000000000000,12214067.839999999850988
20111114,4186558.980000000447035,4227598.239999999292195,3724856.689999999944121,12139014.909999998286366
20111115,4226346.720000000670552,4349465.479999999515712,3634407.759999999776483,12210220.959999999031425
20111116,4155612.960000000428408,4280807.879999999888241,3585071.979999999981374,12021493.820000000298023
20111117,4084879.200000000186265,4177821.479999999515712,3588234.529999999795109,11850936.209999999031425
20111118,4071616.620000000577420,4169239.279999999329448,3619860.029999999795109,11860716.929999999701977
20111121,3978778.560000000055879,4045655.599999999627471,3583806.959999999497086,11608242.119999999180436
20111122,3961095.120000000577420,3989013.079999999143183,3595824.649999999906868,11545933.849999999627471
20111123,3848363.189999999944121,3896325.319999999366701,3582541.939999999944121,11327231.449999999254942
20111125,3868257.060000000055879,3901474.639999999664724,3598354.689999999944121,11368087.389999998733401
20111128,3980988.990000000223517,4026774.759999999776483,3621125.049999999813735,11628889.800000000745058
20111129,3908044.799999999813735,4047372.039999999105930,3679315.969999999739230,11634733.809999998658895
20111130,4120246.080000000074506,4275658.559999999590218,3725489.199999999720603,12121394.839999999850988
20111201,4106983.499999999534339,4277375.000000000000000,3707146.409999999683350,12091505.910000000149012
20111202,4100352.210000000428408,4229314.679999999701977,3674255.890000000130385,12003923.780000001192093
20111205,4153402.529999999795109,4292822.959999999962747,3690068.640000000130385,12136295.130000000819564
20111206,4140139.950000000186265,4351181.919999999925494,3717899.080000000074506,12209221.950000001117587
20111207,4197611.129999998956919,4404391.559999999590218,3700821.309999999590218,12302824.999999996274710
20111208,4104773.070000000298023,4241329.759999999776483,3667298.279999999795109,12013402.109999999403954
20111209,4173296.399999999906868,4292822.959999999962747,3688803.619999999646097,12154923.979999998584390
20111212,4095931.350000000093132,4119462.519999999552965,3674255.890000000130385,11889650.759999999776483
20111213,4082668.770000000018626,4043939.159999999217689,3643262.899999999906868,11769871.830000000074506
20111214,3974357.700000000186265,4001028.159999999217689,3646425.449999999720603,11621812.309999998658895
20111215,3987620.279999999795109,4001028.159999999217689,3665400.750000000000000,11654050.189999999478459
20111216,3965515.980000000447035,3987296.639999999664724,3685641.069999999832362,11638454.689999999478459
20111219,3910255.230000000447035,3964982.919999999925494,3654648.080000000074506,11529887.230000000447035
20111220,4069406.189999999944121,4091999.479999999515712,3743831.989999999757856,11905238.660000000149012
20111221,3961095.120000000577420,4064536.439999999478459,3756482.189999999944121,11782114.750000000000000
20111222,4007514.149999999906868,4122895.399999999441206,3743831.989999999757856,11874242.539999999105930
20111223,4082668.770000000018626,4188120.119999999180436,3794432.790000000037253,12065222.679999999701977
20111227,4106983.499999999534339,4215583.159999999217689,3784312.629999999888241,12106880.289999999105930
20111228,4014145.439999999944121,4158940.639999999664724,3777987.529999999795109,11951074.609999999403954
20111229,4034039.310000000055879,4213866.719999999739230,3794432.790000000037253,12042339.820000000298023
